Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R
347,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
348,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
349,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
350,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
351,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
352,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
353,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
354,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
355,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
356,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
357,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
358,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
359,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
360,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
361,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
362,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
363,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
364,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
365,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
366,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
367,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
368,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
369,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
370,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
371,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
372,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
373,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
374,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
375,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
376,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
377,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
378,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
379,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
380,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
381,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
382,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
383,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
384,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
385,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
386,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
387,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
388,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
389,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
390,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
391,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
392,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
393,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
394,Forest,Bareland,Water,NULL,Water,NULL,NULL,Forest
395,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
396,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
397,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
398,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
399,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
400,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
401,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
402,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
403,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
404,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
405,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
406,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
407,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
408,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
409,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
410,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
411,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
412,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
413,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
414,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
415,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
416,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
417,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
418,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
419,Forest,Water,Water,NULL,Water,NULL,NULL,Water
420,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
421,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
422,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
423,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
424,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
425,Forest,Water,Water,Water,Water,NULL,NULL,Water
426,Forest,Water,Water,Water,Water,NULL,NULL,Forest
427,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
428,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
429,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
430,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
431,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
432,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
433,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
434,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
435,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
436,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
437,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
438,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
439,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
440,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
441,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
442,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
443,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
444,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
445,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
446,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
447,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
448,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
449,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
450,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
451,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
452,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
453,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
454,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
455,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
456,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
457,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
458,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
459,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
460,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
461,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
462,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
463,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
464,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
465,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
466,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
467,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
468,Forest,Forest,Wetland,NULL,Wetland,Forest,NULL,Grassland
469,Forest,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
470,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
471,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
472,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
473,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
474,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
475,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
476,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
477,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
478,Forest,Forest,Water,NULL,Water,NULL,NULL,Bareland
479,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
480,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
481,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
482,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
483,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
484,Forest,Forest,Water,Water,Water,NULL,NULL,Water
485,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
486,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
487,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
488,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
489,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
490,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
491,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
492,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
493,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
494,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
495,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
496,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
497,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
498,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
499,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
500,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
501,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
502,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
503,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
504,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
505,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
506,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
