Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R
1013,Grassland,Wetland,Water,Water,Water,Water,Wetland,Grassland
1014,Grassland,Wetland,Water,Water,Water,Water,Wetland,Water
1015,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
1016,Grassland,Wetland,Water,Water,Water,Water,Water,Wetland
1017,Grassland,Wetland,Water,Water,Water,Water,Water,Water
1018,Grassland,Wetland,Water,Water,Water,Water,Water,Forest
1019,Grassland,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1020,Grassland,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1021,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1022,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1023,Grassland,Water,Water,Water,Water,Water,Water,Grassland
1024,Grassland,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1025,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1026,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1027,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1028,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1029,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1030,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1031,Grassland,Forest,Water,Water,Water,Water,Wetland,Grassland
1032,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1033,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1034,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1035,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1036,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1037,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1038,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1039,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1040,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1041,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1042,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1043,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
1044,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1045,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1046,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
1047,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1048,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1049,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1050,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1051,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1052,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1053,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1054,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
1055,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1056,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1057,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1058,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1059,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1060,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1061,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1062,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1063,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1064,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1065,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1066,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1067,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1068,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Water
1069,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1070,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1071,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
1072,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1073,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1074,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1075,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1076,Wetland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1077,Wetland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1078,Wetland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1079,Wetland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1080,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1081,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1082,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1083,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1084,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
1085,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
1086,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1087,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1088,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
1089,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1090,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1091,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1092,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1093,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1094,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1095,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1096,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
1097,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
1098,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1099,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1100,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
1101,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
1102,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
1103,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
1104,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
1105,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
1106,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1107,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1108,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1109,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1110,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1111,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
1112,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1113,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1114,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1115,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1116,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1117,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1118,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
1119,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1120,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
1121,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1122,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
1123,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1124,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1125,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
1126,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Forest
1127,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1128,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1129,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1130,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1131,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
1132,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1133,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1134,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
1135,Wetland,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
1136,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
1137,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
1138,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,Forest
1139,Wetland,NULL,Water,NULL,Water,Wetland,Water,Forest
1140,Wetland,NULL,Water,NULL,Water,Water,Wetland,Grassland
1141,Wetland,NULL,Water,NULL,Water,Water,Wetland,Water
1142,Wetland,NULL,Water,NULL,Water,Water,Water,Grassland
1143,Wetland,NULL,Water,NULL,Water,Water,Water,Wetland
1144,Wetland,NULL,Water,NULL,Water,Water,Water,Water
1145,Wetland,NULL,Water,NULL,Water,Water,Water,Forest
1146,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1147,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1148,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Forest
1149,Wetland,NULL,Water,Water,Water,Wetland,Water,Grassland
1150,Wetland,NULL,Water,Water,Water,Wetland,Water,Wetland
1151,Wetland,NULL,Water,Water,Water,Wetland,Water,Water
1152,Wetland,NULL,Water,Water,Water,Wetland,Water,Forest
1153,Wetland,NULL,Water,Water,Water,Water,Wetland,Grassland
1154,Wetland,NULL,Water,Water,Water,Water,Wetland,Wetland
1155,Wetland,NULL,Water,Water,Water,Water,Wetland,Water
1156,Wetland,NULL,Water,Water,Water,Water,Wetland,Forest
1157,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
1158,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
1159,Wetland,NULL,Water,Water,Water,Water,Water,Water
1160,Wetland,NULL,Water,Water,Water,Water,Water,Forest
1161,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1162,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1163,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1164,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1165,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1166,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1167,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
1168,Wetland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1169,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1170,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1171,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1172,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1173,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
1174,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1175,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1176,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1177,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1178,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1179,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1180,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1181,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
1182,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1183,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1184,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1185,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
1186,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1187,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
1188,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
1189,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1190,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
1191,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1192,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
1193,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1194,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
1195,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
1196,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
1197,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
1198,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
1199,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1200,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1201,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1202,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1203,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1204,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1205,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
1206,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
1207,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
1208,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1209,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1210,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
1211,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1212,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
1213,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1214,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
1215,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
1216,Wetland,Wetland,Wetland,Water,Wetland,Water,Grassland,Grassland
1217,Wetland,Wetland,Wetland,Water,Wetland,Water,Grassland,Wetland
1218,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
1219,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
1220,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
1221,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
1222,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1223,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
1224,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
1225,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
1226,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1227,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1228,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Water
1229,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Grassland
1230,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1231,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
1232,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1233,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
1234,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Water
1235,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
1236,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
1237,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1238,Wetland,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
1239,Wetland,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
1240,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Grassland
1241,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Forest
1242,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Grassland
1243,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Wetland
1244,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Forest
1245,Wetland,Wetland,Water,NULL,Water,Water,Water,Grassland
1246,Wetland,Wetland,Water,NULL,Water,Water,Water,Wetland
1247,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
1248,Wetland,Wetland,Water,NULL,Water,Water,Water,Forest
1249,Wetland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
1250,Wetland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
1251,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
1252,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
1253,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
1254,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
1255,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Forest
1256,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
1257,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
1258,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
1259,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
1260,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
1261,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
1262,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
1263,Wetland,Wetland,Water,Water,Water,Water,Grassland,Wetland
1264,Wetland,Wetland,Water,Water,Water,Water,Wetland,Grassland
1265,Wetland,Wetland,Water,Water,Water,Water,Wetland,Wetland
1266,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
1267,Wetland,Wetland,Water,Water,Water,Water,Wetland,Forest
1268,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
1269,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
1270,Wetland,Wetland,Water,Water,Water,Water,Water,Water
1271,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
1272,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1273,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1274,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1275,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1276,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1277,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
1278,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1279,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1280,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1281,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1282,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1283,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1284,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1285,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1286,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Forest
1287,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1288,Wetland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
1289,Wetland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
1290,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1291,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1292,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
1293,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
1294,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1295,Wetland,Water,Wetland,Water,Wetland,Grassland,Water,Wetland
1296,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1297,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
1298,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1299,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
1300,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1301,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
1302,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
1303,Wetland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1304,Wetland,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
1305,Wetland,Water,Water,NULL,Water,Wetland,Wetland,Forest
1306,Wetland,Water,Water,NULL,Water,Water,Wetland,Grassland
1307,Wetland,Water,Water,NULL,Water,Water,Wetland,Forest
1308,Wetland,Water,Water,NULL,Water,Water,Water,Forest
1309,Wetland,Water,Water,Water,Water,Wetland,Wetland,Forest
1310,Wetland,Water,Water,Water,Water,Wetland,Water,Grassland
1311,Wetland,Water,Water,Water,Water,Water,Wetland,Grassland
1312,Wetland,Water,Water,Water,Water,Water,Wetland,Wetland
1313,Wetland,Water,Water,Water,Water,Water,Wetland,Forest
1314,Wetland,Water,Water,Water,Water,Water,Water,Grassland
1315,Wetland,Water,Water,Water,Water,Water,Water,Wetland
1316,Wetland,Water,Water,Water,Water,Water,Water,Water
1317,Wetland,Water,Water,Water,Water,Water,Water,Forest
1318,Wetland,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
1319,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1320,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1321,Wetland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1322,Wetland,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1323,Wetland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1324,Wetland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1325,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1326,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1327,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1328,Wetland,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1329,Wetland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1330,Wetland,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
1331,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1332,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1333,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1334,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1335,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1336,Wetland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1337,Wetland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
1338,Wetland,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
1339,Wetland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
1340,Wetland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1341,Wetland,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
1342,Wetland,Forest,Water,Non_Water,Water,Wetland,Wetland,Forest
1343,Wetland,Forest,Water,Non_Water,Water,Water,Wetland,Forest
1344,Wetland,Forest,Water,Water,Water,Wetland,Wetland,Forest
1345,Wetland,Forest,Water,Water,Water,Water,Wetland,Grassland
1346,Wetland,Forest,Water,Water,Water,Water,Wetland,Forest
1347,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1348,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1349,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1350,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1351,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1352,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1353,Wetland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1354,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1355,Bareland,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
1356,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1357,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1358,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1359,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1360,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
1361,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
