Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R
703,Grassland,NULL,Water,Water,Water,Shrubland,Wetland,Forest
704,Grassland,NULL,Water,Water,Water,Shrubland,Water,NULL
705,Grassland,NULL,Water,Water,Water,Shrubland,Water,Grassland
706,Grassland,NULL,Water,Water,Water,Shrubland,Water,Forest
707,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Wetland
708,Grassland,NULL,Water,Water,Water,Grassland,Water,Grassland
709,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Grassland
710,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Bareland
711,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
712,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
713,Grassland,NULL,Water,Water,Water,Wetland,Water,NULL
714,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
715,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
716,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
717,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
718,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
719,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
720,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
721,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
722,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
723,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
724,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
725,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
726,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
727,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
728,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
729,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
730,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
731,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
732,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
733,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
734,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
735,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
736,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
737,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
738,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
739,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
740,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
741,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
742,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
743,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
744,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
745,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
746,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,NULL
747,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
748,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
749,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
750,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
751,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
752,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
753,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
754,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
755,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
756,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
757,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
758,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
759,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
760,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
761,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
762,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
763,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
764,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
765,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
766,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
767,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
768,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
769,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
770,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
771,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
772,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
773,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
774,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
775,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
776,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
777,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
778,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
779,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
780,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
781,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
782,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
783,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
784,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
785,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
786,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
787,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
788,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
789,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
790,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
791,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
792,Grassland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
793,Grassland,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
794,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
795,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
796,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
797,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
798,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
799,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
800,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
801,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
802,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
803,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
804,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
805,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
806,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
807,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
808,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
809,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
810,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
811,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
812,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
813,Grassland,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
814,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
815,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
816,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
817,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Water,Grassland
818,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Water,Forest
819,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
820,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
821,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
822,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
823,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
824,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
825,Grassland,Water,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
826,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
827,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
828,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
829,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
830,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
831,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
832,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
833,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
834,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
835,Grassland,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
836,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
837,Grassland,Water,Water,NULL,Water,Shrubland,Shrubland,Forest
838,Grassland,Water,Water,NULL,Water,Shrubland,Wetland,Forest
839,Grassland,Water,Water,NULL,Water,Shrubland,Water,Forest
840,Grassland,Water,Water,NULL,Water,Grassland,Wetland,Forest
841,Grassland,Water,Water,NULL,Water,Wetland,Water,Water
842,Grassland,Water,Water,Water,Water,Grassland,Wetland,Forest
843,Grassland,Water,Water,Water,Water,Wetland,Water,Grassland
844,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
845,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
846,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
847,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
848,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
849,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
850,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
851,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
852,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
853,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
854,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
855,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
856,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
857,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
858,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
859,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
860,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
861,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
862,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
863,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
864,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
865,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
866,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
867,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
868,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
869,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
870,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
871,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
872,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
873,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
874,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
875,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
876,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
877,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
878,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
879,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
880,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
881,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
882,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
883,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
884,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
885,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
886,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
887,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
888,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
889,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
890,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
891,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
892,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
893,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
894,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
895,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
896,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
897,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
898,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
899,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
900,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
901,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
902,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
903,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
904,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
905,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
906,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
907,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
908,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
909,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
910,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
911,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
912,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
913,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
914,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
915,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,NULL
916,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
917,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
918,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
919,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
920,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
921,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
922,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
923,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
924,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,NULL
925,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
926,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
927,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
928,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
929,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
930,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
931,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
932,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
933,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
934,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
935,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Forest,Wetland
936,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Forest,Forest
937,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
938,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
939,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Forest,Wetland
940,Grassland,Forest,Water,NULL,Water,Wetland,Wetland,NULL
941,Grassland,Forest,Water,Non_Water,Water,Shrubland,Shrubland,Forest
942,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
943,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
944,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
945,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
946,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
947,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
948,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
949,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
950,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
951,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
952,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
953,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
954,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
955,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
956,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
957,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
958,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
959,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
960,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
961,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
962,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
963,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
964,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
965,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
966,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
967,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
968,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
969,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
970,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
971,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
972,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
973,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
974,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
975,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
976,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
977,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
978,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
979,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
980,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
981,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
982,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
983,Grassland,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
984,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
985,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
986,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
987,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
988,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
989,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
990,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
991,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
992,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
993,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
994,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
995,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
996,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
997,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
998,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
999,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1000,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
1001,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1002,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
1003,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1004,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1005,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1006,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1007,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1008,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1009,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
1010,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1011,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1012,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
1013,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1014,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1015,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1016,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1017,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1018,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1019,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1020,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
1021,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1022,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1023,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1024,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1025,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1026,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1027,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1028,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1029,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1030,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1031,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1032,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
