Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R
781,Bareland,Bareland,Built-up,Water,Non_Wetland,Water,Water,Water
782,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
783,Bareland,Bareland,Water,NULL,Water,Water,Water,Forest
784,Bareland,Bareland,Water,Non_Water,Water,NULL,Water,Wetland
785,Bareland,Bareland,Water,Non_Water,Water,NULL,Water,Water
786,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Wetland
787,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
788,Bareland,Bareland,Water,Water,Water,NULL,Wetland,Water
789,Bareland,Bareland,Water,Water,Water,NULL,Water,Water
790,Bareland,Bareland,Water,Water,Water,NULL,Water,Forest
791,Bareland,Bareland,Water,Water,Water,Grassland,Water,Water
792,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
793,Bareland,Bareland,Water,Water,Water,Water,Wetland,Wetland
794,Bareland,Bareland,Water,Water,Water,Water,Water,Wetland
795,Bareland,Bareland,Water,Water,Water,Water,Water,Water
796,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Water
797,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
798,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
799,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
800,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
801,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
802,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
803,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
804,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
805,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
806,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Bareland
807,Bareland,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
808,Bareland,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
809,Bareland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
810,Bareland,Water,Wetland,NULL,Wetland,NULL,Water,Wetland
811,Bareland,Water,Wetland,NULL,Wetland,NULL,Water,Water
812,Bareland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
813,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
814,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
815,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
816,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Forest
817,Bareland,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
818,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
819,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
820,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
821,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
822,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
823,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
824,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
825,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Forest
826,Bareland,Water,Wetland,Water,Wetland,Water,Water,Wetland
827,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
828,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
829,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
830,Bareland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
831,Bareland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
832,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
833,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
834,Bareland,Water,Water,NULL,Water,NULL,Wetland,Forest
835,Bareland,Water,Water,NULL,Water,Wetland,Water,Forest
836,Bareland,Water,Water,NULL,Water,Water,Water,Water
837,Bareland,Water,Water,NULL,Water,Water,Water,Forest
838,Bareland,Water,Water,Non_Water,Water,NULL,Water,Wetland
839,Bareland,Water,Water,Non_Water,Water,NULL,Water,Forest
840,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
841,Bareland,Water,Water,Non_Water,Water,Water,Water,Wetland
842,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
843,Bareland,Water,Water,Non_Water,Water,Water,Water,Forest
844,Bareland,Water,Water,Water,Water,NULL,Water,Water
845,Bareland,Water,Water,Water,Water,NULL,Water,Forest
846,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
847,Bareland,Water,Water,Water,Water,Bareland,Water,Water
848,Bareland,Water,Water,Water,Water,Water,Water,Wetland
849,Bareland,Water,Water,Water,Water,Water,Water,Water
850,Bareland,Water,Water,Water,Water,Water,Water,Forest
851,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
852,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
853,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
854,Bareland,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
855,Bareland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Water
856,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
857,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
858,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
859,Water,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
860,Water,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
861,Water,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
862,Water,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
863,Water,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
864,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
865,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
866,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
867,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
868,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
869,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
870,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
871,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
872,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
873,Water,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
874,Water,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
875,Water,NULL,Wetland,NULL,Wetland,Water,Water,Forest
876,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
877,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
878,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
879,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
880,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
881,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
882,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
883,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
884,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
885,Water,NULL,Wetland,Water,Wetland,Water,Water,Wetland
886,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
887,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
888,Water,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
889,Water,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
890,Water,NULL,Water,NULL,Water,Water,Wetland,Wetland
891,Water,NULL,Water,NULL,Water,Water,Wetland,Water
892,Water,NULL,Water,NULL,Water,Water,Water,Grassland
893,Water,NULL,Water,NULL,Water,Water,Water,Wetland
894,Water,NULL,Water,NULL,Water,Water,Water,Bareland
895,Water,NULL,Water,NULL,Water,Water,Water,Water
896,Water,NULL,Water,NULL,Water,Water,Water,Forest
897,Water,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
898,Water,NULL,Water,Non_Water,Water,Water,Water,Grassland
899,Water,NULL,Water,Non_Water,Water,Water,Water,Wetland
900,Water,NULL,Water,Non_Water,Water,Water,Water,Water
901,Water,NULL,Water,Non_Water,Water,Water,Water,Forest
902,Water,NULL,Water,Water,Water,Grassland,Water,Wetland
903,Water,NULL,Water,Water,Water,Wetland,Wetland,Wetland
904,Water,NULL,Water,Water,Water,Wetland,Water,Wetland
905,Water,NULL,Water,Water,Water,Water,Wetland,Wetland
906,Water,NULL,Water,Water,Water,Water,Wetland,Water
907,Water,NULL,Water,Water,Water,Water,Wetland,Forest
908,Water,NULL,Water,Water,Water,Water,Water,Grassland
909,Water,NULL,Water,Water,Water,Water,Water,Wetland
910,Water,NULL,Water,Water,Water,Water,Water,Bareland
911,Water,NULL,Water,Water,Water,Water,Water,Water
912,Water,NULL,Water,Water,Water,Water,Water,Forest
913,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
914,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
915,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
916,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
917,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Water
918,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
919,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
920,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
921,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Water
922,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Forest
923,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Water
924,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Forest
925,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
926,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
927,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
928,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Water
929,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
930,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Wetland
931,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Forest
932,Water,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
933,Water,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
934,Water,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
935,Water,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
936,Water,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
937,Water,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
938,Water,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
939,Water,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Water
940,Water,Wetland,Grassland,Water,Non_Wetland,Water,Water,Grassland
941,Water,Wetland,Grassland,Water,Non_Wetland,Water,Water,Water
942,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
943,Water,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
944,Water,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
945,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
946,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
947,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
948,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
949,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
950,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
951,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
952,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
953,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
954,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
955,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
956,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
957,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
958,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
959,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
960,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
961,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
962,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
963,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
964,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
965,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
966,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
967,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
968,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
969,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
970,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
971,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
972,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
973,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
974,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
975,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
976,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
977,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
978,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
979,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
980,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
981,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
982,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
983,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
984,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
985,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
986,Water,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
987,Water,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
988,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
989,Water,Wetland,Wetland,Water,Wetland,Water,Water,Forest
990,Water,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
991,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
992,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
993,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Grassland
994,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Wetland
995,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Water
996,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Forest
997,Water,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
998,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
999,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
1000,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
1001,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
1002,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
1003,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
1004,Water,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1005,Water,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Water
1006,Water,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Forest
1007,Water,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
1008,Water,Wetland,Bareland,Water,Non_Wetland,Water,Water,Water
1009,Water,Wetland,Bareland,Water,Non_Wetland,Water,Water,Forest
1010,Water,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
1011,Water,Wetland,Water,NULL,Water,Wetland,Water,Grassland
1012,Water,Wetland,Water,NULL,Water,Wetland,Water,Wetland
1013,Water,Wetland,Water,NULL,Water,Wetland,Water,Forest
1014,Water,Wetland,Water,NULL,Water,Water,Wetland,Grassland
1015,Water,Wetland,Water,NULL,Water,Water,Wetland,Wetland
1016,Water,Wetland,Water,NULL,Water,Water,Wetland,Water
1017,Water,Wetland,Water,NULL,Water,Water,Wetland,Forest
1018,Water,Wetland,Water,NULL,Water,Water,Water,Grassland
1019,Water,Wetland,Water,NULL,Water,Water,Water,Wetland
1020,Water,Wetland,Water,NULL,Water,Water,Water,Water
1021,Water,Wetland,Water,NULL,Water,Water,Water,Forest
1022,Water,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
1023,Water,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
1024,Water,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
1025,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Grassland
1026,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Wetland
1027,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Forest
1028,Water,Wetland,Water,Non_Water,Water,Water,Water,Grassland
1029,Water,Wetland,Water,Non_Water,Water,Water,Water,Wetland
1030,Water,Wetland,Water,Non_Water,Water,Water,Water,Water
1031,Water,Wetland,Water,Non_Water,Water,Water,Water,Forest
1032,Water,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
1033,Water,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
1034,Water,Wetland,Water,Water,Water,Wetland,Wetland,Forest
1035,Water,Wetland,Water,Water,Water,Wetland,Water,Grassland
1036,Water,Wetland,Water,Water,Water,Wetland,Water,Wetland
1037,Water,Wetland,Water,Water,Water,Wetland,Water,Bareland
1038,Water,Wetland,Water,Water,Water,Wetland,Water,Water
1039,Water,Wetland,Water,Water,Water,Wetland,Water,Forest
1040,Water,Wetland,Water,Water,Water,Water,Wetland,Grassland
1041,Water,Wetland,Water,Water,Water,Water,Wetland,Wetland
1042,Water,Wetland,Water,Water,Water,Water,Wetland,Water
1043,Water,Wetland,Water,Water,Water,Water,Wetland,Forest
1044,Water,Wetland,Water,Water,Water,Water,Water,Grassland
1045,Water,Wetland,Water,Water,Water,Water,Water,Wetland
1046,Water,Wetland,Water,Water,Water,Water,Water,Bareland
1047,Water,Wetland,Water,Water,Water,Water,Water,Water
1048,Water,Wetland,Water,Water,Water,Water,Water,Forest
1049,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1050,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1051,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1052,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1053,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Water
1054,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1055,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Grassland
1056,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Wetland
1057,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
1058,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
1059,Water,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1060,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1061,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1062,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1063,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1064,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
1065,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
1066,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1067,Water,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1068,Water,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1069,Water,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1070,Water,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Forest
1071,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Water
1072,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Forest
1073,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
1074,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
1075,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Forest
1076,Water,Bareland,Grassland,NULL,Non_Wetland,Water,Wetland,Water
1077,Water,Bareland,Wetland,NULL,Wetland,Grassland,Wetland,Water
1078,Water,Bareland,Wetland,NULL,Wetland,Bareland,Water,Water
1079,Water,Bareland,Wetland,NULL,Wetland,Water,Wetland,Water
1080,Water,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
1081,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Water
1082,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Forest
1083,Water,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1084,Water,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
1085,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Wetland
1086,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
1087,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Forest
1088,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1089,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1090,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Forest
1091,Water,Bareland,Wetland,Water,Wetland,Water,Water,Wetland
1092,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
1093,Water,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Water
1094,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
1095,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
1096,Water,Bareland,Water,NULL,Water,Water,Water,Water
1097,Water,Bareland,Water,NULL,Water,Water,Water,Forest
1098,Water,Bareland,Water,Non_Water,Water,NULL,Water,Wetland
1099,Water,Bareland,Water,Non_Water,Water,Water,Water,Water
1100,Water,Bareland,Water,Non_Water,Water,Water,Water,Forest
1101,Water,Bareland,Water,Water,Water,NULL,Water,Water
1102,Water,Bareland,Water,Water,Water,Grassland,Water,Water
1103,Water,Bareland,Water,Water,Water,Bareland,Water,Water
1104,Water,Bareland,Water,Water,Water,Water,Wetland,Wetland
1105,Water,Bareland,Water,Water,Water,Water,Wetland,Water
1106,Water,Bareland,Water,Water,Water,Water,Wetland,Forest
1107,Water,Bareland,Water,Water,Water,Water,Water,Grassland
1108,Water,Bareland,Water,Water,Water,Water,Water,Wetland
1109,Water,Bareland,Water,Water,Water,Water,Water,Water
1110,Water,Bareland,Water,Water,Water,Water,Water,Forest
1111,Water,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Water
1112,Water,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
1113,Water,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1114,Water,Built-up,NULL,NULL,Non_Wetland,Built-up,Water,Forest
1115,Water,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1116,Water,Built-up,Wetland,NULL,Wetland,NULL,Water,Forest
1117,Water,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1118,Water,Built-up,Wetland,NULL,Wetland,Grassland,Water,Forest
1119,Water,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
1120,Water,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
1121,Water,Built-up,Wetland,NULL,Wetland,Built-up,Water,Grassland
1122,Water,Built-up,Wetland,NULL,Wetland,Built-up,Water,Water
1123,Water,Built-up,Wetland,NULL,Wetland,Built-up,Water,Forest
1124,Water,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Bareland
1125,Water,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Water
1126,Water,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Forest
1127,Water,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,Forest
1128,Water,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Water,Forest
1129,Water,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1130,Water,Built-up,Water,NULL,Water,Built-up,Water,Water
1131,Water,Built-up,Water,NULL,Water,Built-up,Water,Forest
1132,Water,Built-up,Water,NULL,Water,Water,Water,Grassland
1133,Water,Built-up,Water,Non_Water,Water,Built-up,Water,Forest
1134,Water,Built-up,Water,Water,Water,Wetland,Water,Forest
1135,Water,Built-up,Water,Water,Water,Built-up,Water,Water
1136,Water,Built-up,Water,Water,Water,Built-up,Water,Forest
1137,Water,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1138,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
1139,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1140,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
1141,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1142,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1143,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
1144,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1145,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
1146,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Wetland
1147,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
1148,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
1149,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
1150,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
1151,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
1152,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1153,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
1154,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
1155,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
1156,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1157,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1158,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1159,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
1160,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
