Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R
3233,NULL,Water,Forest,Water,Non_Wetland,NULL,Water,Grassland
3234,NULL,Water,Forest,Water,Non_Wetland,NULL,Water,Water
3235,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3236,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3237,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3238,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3239,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3240,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3241,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
3242,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
3243,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3244,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3245,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3246,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3247,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3248,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3249,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3250,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
3251,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
3252,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
3253,NULL,Forest,NULL,NULL,Non_Wetland,Water,Forest,Water
3254,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3255,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3256,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
3257,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
3258,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3259,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3260,NULL,Forest,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
3261,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3262,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3263,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3264,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3265,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
3266,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
3267,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
3268,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
3269,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
3270,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3271,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3272,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3273,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3274,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3275,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3276,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3277,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3278,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3279,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3280,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3281,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3282,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
3283,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
3284,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3285,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
3286,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3287,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
3288,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3289,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3290,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3291,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
3292,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
3293,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3294,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3295,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3296,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3297,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3298,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
3299,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3300,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3301,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3302,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3303,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
3304,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
3305,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
3306,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
3307,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3308,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
3309,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
3310,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
3311,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3312,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
3313,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
3314,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
3315,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3316,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3317,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3318,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3319,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3320,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3321,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
3322,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3323,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3324,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3325,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3326,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3327,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
3328,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
3329,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Built-up
3330,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
3331,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
3332,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
3333,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
3334,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
3335,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
3336,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
3337,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
3338,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
3339,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
3340,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
3341,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3342,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3343,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
3344,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Water,Built-up
3345,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Forest,Built-up
3346,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Forest,Forest
3347,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3348,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
3349,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
3350,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Built-up,Forest
3351,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
3352,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
3353,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3354,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
3355,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
3356,NULL,Forest,Cropland,Non_Water,Non_Wetland,Built-up,NULL,Grassland
3357,NULL,Forest,Cropland,Non_Water,Non_Wetland,Built-up,NULL,Forest
3358,NULL,Forest,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
3359,NULL,Forest,Wetland,NULL,NULL,NULL,NULL,Grassland
3360,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
3361,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Built-up
3362,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
3363,NULL,Forest,Wetland,NULL,Wetland,NULL,Bareland,Wetland
3364,NULL,Forest,Wetland,NULL,Wetland,NULL,Built-up,Grassland
3365,NULL,Forest,Wetland,NULL,Wetland,NULL,Built-up,Forest
3366,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
3367,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
3368,NULL,Forest,Wetland,NULL,Wetland,Wetland,NULL,Wetland
3369,NULL,Forest,Wetland,NULL,Wetland,Wetland,NULL,Built-up
3370,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
3371,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3372,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
3373,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3374,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
3375,NULL,Forest,Wetland,NULL,Wetland,Bareland,NULL,Grassland
3376,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
3377,NULL,Forest,Wetland,NULL,Wetland,Built-up,Bareland,Grassland
3378,NULL,Forest,Wetland,NULL,Wetland,Built-up,Water,Built-up
3379,NULL,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
3380,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
3381,NULL,Forest,Wetland,Non_Water,Wetland,Forest,Water,Grassland
3382,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3383,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
3384,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
3385,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
3386,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
3387,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
3388,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
3389,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
3390,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
3391,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
3392,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
3393,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
3394,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
3395,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
3396,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Forest
3397,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
3398,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
3399,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
3400,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3401,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
3402,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
3403,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
3404,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,NULL,Built-up
3405,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
3406,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
3407,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
3408,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
3409,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
3410,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
3411,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
3412,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
3413,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
3414,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
3415,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
3416,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
3417,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
3418,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
3419,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
3420,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
3421,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
3422,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
3423,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Water,Grassland
3424,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Water,Built-up
3425,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
3426,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
3427,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
3428,NULL,Forest,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
3429,NULL,Forest,Built-up,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
3430,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
3431,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3432,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
3433,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
3434,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
3435,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3436,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3437,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3438,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
3439,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
3440,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
3441,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
3442,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
3443,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
3444,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up,Wetland
3445,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
3446,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
3447,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Built-up
3448,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
3449,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
3450,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Bareland
3451,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
3452,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3453,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3454,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3455,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3456,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3457,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3458,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3459,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Built-up,Grassland
3460,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3461,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
3462,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Built-up
3463,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3464,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3465,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3466,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
3467,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
3468,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
3469,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Water,Built-up
3470,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
3471,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Wetland
3472,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
3473,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
3474,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
3475,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Bareland
3476,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
3477,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
3478,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
3479,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
3480,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
3481,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3482,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Bareland
3483,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3484,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3485,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3486,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
3487,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
3488,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
3489,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3490,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3491,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
3492,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
3493,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3494,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3495,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3496,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3497,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3498,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3499,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3500,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3501,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
3502,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3503,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
3504,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
3505,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
3506,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3507,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3508,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3509,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3510,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
3511,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
3512,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3513,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3514,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3515,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3516,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
3517,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3518,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3519,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3520,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3521,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
3522,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
3523,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3524,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
3525,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
3526,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
3527,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
3528,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
3529,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
3530,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
3531,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
3532,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3533,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
3534,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
3535,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
3536,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3537,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3538,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3539,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3540,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3541,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
3542,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
3543,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
3544,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
3545,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
3546,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
3547,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
3548,Grassland,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
3549,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
3550,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3551,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
3552,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3553,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3554,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3555,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
3556,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
3557,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3558,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3559,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3560,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
3561,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
3562,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
3563,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3564,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
