Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R
997,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
998,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
999,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1000,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1001,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1002,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1003,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1004,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1005,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1006,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
1007,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1008,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1009,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1010,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1011,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
1012,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
1013,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
1014,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1015,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1016,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1017,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
1018,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1019,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1020,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1021,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1022,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
1023,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
1024,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
1025,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1026,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
1027,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1028,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1029,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
1030,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
1031,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1032,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1033,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
1034,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
1035,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1036,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1037,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1038,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1039,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1040,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1041,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1042,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1043,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1044,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1045,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
1046,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1047,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
1048,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1049,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1050,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1051,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1052,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1053,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1054,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1055,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
1056,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,NULL,Wetland
1057,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,NULL,Forest
1058,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1059,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
1060,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
1061,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1062,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1063,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
1064,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1065,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1066,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1067,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
1068,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
1069,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1070,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
1071,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1072,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1073,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1074,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1075,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
1076,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1077,NULL,Cropland,Wetland,NULL,Wetland,Water,Water,Wetland
1078,NULL,Cropland,Wetland,NULL,Wetland,Water,Forest,Wetland
1079,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1080,NULL,Cropland,Wetland,Water,Wetland,Grassland,Grassland,Forest
1081,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Grassland
1082,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1083,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
1084,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1085,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1086,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
1087,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1088,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Bareland
1089,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
1090,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
1091,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1092,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1093,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland,NULL,Grassland
1094,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1095,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1096,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1097,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1098,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1099,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
1100,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1101,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1102,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1103,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1104,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1105,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1106,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1107,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1108,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1109,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Built-up,Built-up
1110,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1111,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
1112,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
1113,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
1114,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
1115,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1116,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1117,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1118,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1119,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1120,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1121,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1122,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1123,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1124,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1125,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1126,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1127,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1128,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1129,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1130,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1131,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1132,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1133,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1134,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1135,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1136,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1137,NULL,Cropland,Water,NULL,Water,Cropland,NULL,Grassland
1138,NULL,Cropland,Water,NULL,Water,Water,Grassland,Forest
1139,NULL,Cropland,Water,Water,Water,Water,Grassland,Wetland
1140,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1141,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1142,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1143,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1144,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1145,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1146,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1147,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1148,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1149,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1150,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1151,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1152,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1153,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1154,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1155,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1156,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1157,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1158,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1159,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1160,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1161,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Bareland
1162,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1163,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
1164,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Bareland,Bareland
1165,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
1166,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1167,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1168,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1169,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1170,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1171,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1172,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1173,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1174,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
1175,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
1176,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1177,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1178,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
1179,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1180,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1181,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1182,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1183,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1184,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1185,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Water,Wetland
1186,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Wetland
1187,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1188,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1189,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1190,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1191,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1192,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1193,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1194,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1195,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1196,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1197,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
1198,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Water,Wetland
1199,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1200,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1201,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1202,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1203,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1204,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1205,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1206,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1207,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
1208,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1209,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1210,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1211,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1212,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1213,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
1214,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1215,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
1216,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1217,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1218,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1219,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1220,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1221,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1222,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
1223,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1224,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1225,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1226,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
1227,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1228,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1229,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1230,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1231,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
1232,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
1233,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1234,NULL,Wetland,Wetland,NULL,Wetland,Water,Grassland,Grassland
1235,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1236,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
1237,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
1238,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
1239,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1240,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1241,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1242,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
1243,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
1244,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
1245,NULL,Wetland,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1246,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1247,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1248,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1249,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1250,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
1251,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1252,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Forest
1253,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
1254,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1255,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
1256,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1257,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1258,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1259,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1260,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1261,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1262,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1263,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1264,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1265,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1266,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
1267,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
1268,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
1269,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
1270,NULL,Wetland,Water,Water,Water,Water,Water,Water
1271,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1272,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1273,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1274,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1275,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1276,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1277,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1278,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1279,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1280,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1281,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1282,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1283,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1284,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
1285,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1286,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
1287,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1288,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1289,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1290,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1291,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1292,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1293,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1294,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1295,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1296,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1297,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
1298,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1299,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1300,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
1301,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1302,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1303,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1304,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1305,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1306,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1307,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1308,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1309,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1310,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1311,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1312,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Bareland
1313,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Bareland
1314,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Water
1315,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1316,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1317,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1318,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1319,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
