Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R
379,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
380,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
381,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Forest
382,Forest,Water,Wetland,Water,Wetland,Wetland,Forest,Water
383,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
384,Forest,Water,Wetland,Water,Wetland,Bareland,Forest,Water
385,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
386,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
387,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
388,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
389,Forest,Water,Wetland,Water,Wetland,Water,Water,Bareland
390,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
391,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
392,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
393,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
394,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
395,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
396,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
397,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
398,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
399,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
400,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Forest
401,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,Wetland,Water
402,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,Wetland,Forest
403,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Wetland,Forest
404,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
405,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Forest,Forest
406,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
407,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
408,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
409,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
410,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Water
411,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
412,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
413,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
414,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
415,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
416,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
417,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
418,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
419,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
420,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
421,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
422,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
423,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
424,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
425,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Water
426,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
427,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
428,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
429,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
430,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
431,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
432,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Forest,Water
433,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
434,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
435,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
436,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Forest,Water
437,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
438,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
439,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
440,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
441,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
442,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
443,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
444,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
445,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
446,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
447,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
448,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
449,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
450,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
451,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
452,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
453,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
454,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Bareland
455,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
456,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
457,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
458,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
459,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
460,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
461,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
462,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Water
463,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Forest
464,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
465,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
466,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
467,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
468,Forest,Water,Built-up,Water,Non_Wetland,Grassland,Wetland,Forest
469,Forest,Water,Built-up,Water,Non_Wetland,Wetland,Wetland,Water
470,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
471,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
472,Forest,Water,Water,NULL,Water,NULL,Water,Water
473,Forest,Water,Water,NULL,Water,NULL,Water,Forest
474,Forest,Water,Water,NULL,Water,NULL,Forest,Water
475,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
476,Forest,Water,Water,NULL,Water,Grassland,Wetland,Water
477,Forest,Water,Water,NULL,Water,Wetland,Wetland,Water
478,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
479,Forest,Water,Water,NULL,Water,Wetland,Water,Water
480,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
481,Forest,Water,Water,NULL,Water,Wetland,Forest,Water
482,Forest,Water,Water,NULL,Water,Wetland,Forest,Forest
483,Forest,Water,Water,NULL,Water,Bareland,Water,Forest
484,Forest,Water,Water,NULL,Water,Water,Wetland,Water
485,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
486,Forest,Water,Water,NULL,Water,Water,Water,Water
487,Forest,Water,Water,NULL,Water,Water,Water,Forest
488,Forest,Water,Water,NULL,Water,Water,Forest,Water
489,Forest,Water,Water,NULL,Water,Water,Forest,Forest
490,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
491,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
492,Forest,Water,Water,NULL,Water,Forest,Water,Water
493,Forest,Water,Water,NULL,Water,Forest,Water,Forest
494,Forest,Water,Water,NULL,Water,Forest,Forest,Water
495,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
496,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
497,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
498,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
499,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
500,Forest,Water,Water,Non_Water,Water,NULL,Forest,Water
501,Forest,Water,Water,Non_Water,Water,NULL,Forest,Forest
502,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Water
503,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
504,Forest,Water,Water,Non_Water,Water,Wetland,Water,Water
505,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
506,Forest,Water,Water,Non_Water,Water,Bareland,Wetland,Water
507,Forest,Water,Water,Non_Water,Water,Bareland,Wetland,Forest
508,Forest,Water,Water,Non_Water,Water,Water,Wetland,Grassland
509,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
510,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
511,Forest,Water,Water,Non_Water,Water,Water,Water,Water
512,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
513,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
514,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
515,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
516,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Forest
517,Forest,Water,Water,Non_Water,Water,Forest,Water,Water
518,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
519,Forest,Water,Water,Non_Water,Water,Forest,Forest,Water
520,Forest,Water,Water,Non_Water,Water,Forest,Forest,Forest
521,Forest,Water,Water,Water,Water,NULL,Wetland,Water
522,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
523,Forest,Water,Water,Water,Water,NULL,Water,Water
524,Forest,Water,Water,Water,Water,NULL,Water,Forest
525,Forest,Water,Water,Water,Water,NULL,Forest,Water
526,Forest,Water,Water,Water,Water,NULL,Forest,Forest
527,Forest,Water,Water,Water,Water,Wetland,Wetland,Water
528,Forest,Water,Water,Water,Water,Wetland,Wetland,Forest
529,Forest,Water,Water,Water,Water,Wetland,Water,Water
530,Forest,Water,Water,Water,Water,Wetland,Water,Forest
531,Forest,Water,Water,Water,Water,Wetland,Forest,Water
532,Forest,Water,Water,Water,Water,Wetland,Forest,Forest
533,Forest,Water,Water,Water,Water,Bareland,Wetland,Water
534,Forest,Water,Water,Water,Water,Water,Wetland,Grassland
535,Forest,Water,Water,Water,Water,Water,Wetland,Water
536,Forest,Water,Water,Water,Water,Water,Wetland,Forest
537,Forest,Water,Water,Water,Water,Water,Water,Grassland
538,Forest,Water,Water,Water,Water,Water,Water,Water
539,Forest,Water,Water,Water,Water,Water,Water,Forest
540,Forest,Water,Water,Water,Water,Water,Forest,Water
541,Forest,Water,Water,Water,Water,Water,Forest,Forest
542,Forest,Water,Water,Water,Water,Forest,Wetland,Water
543,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
544,Forest,Water,Water,Water,Water,Forest,Water,Water
545,Forest,Water,Water,Water,Water,Forest,Water,Forest
546,Forest,Water,Water,Water,Water,Forest,Forest,Water
547,Forest,Water,Water,Water,Water,Forest,Forest,Forest
548,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
549,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
550,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
551,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
552,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
553,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
554,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
555,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Water
556,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
557,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
558,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
559,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
560,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
561,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
562,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
563,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
564,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
565,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
566,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
567,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
568,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
569,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
570,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
571,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
572,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
573,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
574,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
575,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
576,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
577,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
578,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
579,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
580,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
581,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
582,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
583,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
584,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Water
585,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
586,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
587,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
588,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
589,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
590,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Water
591,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Water
592,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
593,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
594,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
595,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
596,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
597,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
598,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
599,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
600,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
601,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
602,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
603,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
604,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
605,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Water
606,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
607,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Water
608,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
609,Forest,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Water
610,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
611,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
612,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
613,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
614,Forest,Water,Forest,Water,Non_Wetland,Bareland,Forest,Forest
615,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
616,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
617,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
618,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Water
619,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Forest
620,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Water
621,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
622,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
623,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
624,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Water
625,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
626,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Water
627,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Forest
628,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
629,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Water
630,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
631,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
632,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Water
633,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
634,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
635,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
636,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
637,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
638,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Forest
639,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Water
640,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
641,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
642,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Water
643,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
644,Forest,Forest,NULL,NULL,Non_Wetland,Water,Grassland,Forest
645,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Water
646,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
647,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
648,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Grassland
649,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Water
650,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
651,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
652,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Water
653,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
654,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Water,Forest
655,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Water
656,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
657,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
658,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
659,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Water
660,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
661,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
662,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
663,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
664,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
665,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
666,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
667,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
668,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
669,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Forest
670,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
671,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Wetland,Water
672,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
673,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
674,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
675,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Forest
676,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
677,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Water,Grassland
678,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Water,Forest
679,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Grassland
680,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Forest
681,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Grassland
682,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Water
683,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Forest
684,Forest,Forest,NULL,Water,Non_Wetland,Forest,Water,Forest
685,Forest,Forest,NULL,Water,Non_Wetland,Forest,Forest,Forest
686,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
687,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
688,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
689,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
690,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
691,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
692,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Water
693,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
694,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
695,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
696,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
697,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
698,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
699,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
700,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
701,Forest,Forest,Shrubland,Water,Non_Wetland,Water,Forest,Water
702,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
703,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
704,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
705,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Water
706,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Water
707,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
708,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
709,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
710,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
711,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
712,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
713,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Water
714,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
715,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
716,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
717,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Water
718,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
719,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
720,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
721,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
722,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
723,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
724,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest,Forest
725,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
726,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
727,Forest,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
728,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
729,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
730,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Water
731,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
732,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
733,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
734,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Water
735,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
736,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Water,Water
737,Forest,Forest,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
738,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Water
739,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Forest
740,Forest,Forest,Grassland,Water,Non_Wetland,Water,Water,Forest
741,Forest,Forest,Grassland,Water,Non_Wetland,Water,Forest,Forest
742,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
743,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
744,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
745,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
746,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
747,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
748,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
749,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
750,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
751,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Water
752,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
753,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Forest,Grassland
