Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R
765,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
766,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
767,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
768,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
769,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
770,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
771,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
772,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
773,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
774,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
775,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
776,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
777,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
778,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
779,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
780,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Water
781,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
782,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
783,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
784,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
785,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
786,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
787,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
788,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
789,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
790,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
791,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
792,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
793,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
794,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
795,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
796,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
797,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
798,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
799,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
800,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
801,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
802,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
803,NULL,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
804,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Forest,Forest
805,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
806,NULL,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
807,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
808,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
809,NULL,Water,Wetland,NULL,Wetland,Grassland,Bareland,Forest
810,NULL,Water,Wetland,NULL,Wetland,Grassland,Built-up,Forest
811,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
812,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Wetland
813,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
814,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
815,NULL,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
816,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
817,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Water
818,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
819,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
820,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
821,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
822,NULL,Water,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
823,NULL,Water,Wetland,NULL,Wetland,Wetland,Built-up,Water
824,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
825,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
826,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
827,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
828,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
829,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
830,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
831,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
832,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Built-up
833,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
834,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
835,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
836,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
837,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
838,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
839,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Wetland
840,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Bareland
841,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Built-up
842,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
843,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
844,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,Bareland
845,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
846,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
847,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
848,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
849,NULL,Water,Wetland,NULL,Wetland,Water,Forest,Forest
850,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
851,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
852,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
853,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
854,NULL,Water,Wetland,Water,Wetland,Wetland,Bareland,Forest
855,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
856,NULL,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
857,NULL,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
858,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
859,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
860,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
861,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Forest
862,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
863,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
864,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
865,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
866,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Built-up,Water
867,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Forest
868,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
869,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
870,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
871,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Water
872,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
873,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
874,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
875,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
876,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
877,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
878,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
879,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Water
880,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
881,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
882,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
883,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
884,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
885,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
886,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
887,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Forest
888,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
889,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
890,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
891,NULL,Water,Water,NULL,Water,Wetland,Built-up,Water
892,NULL,Water,Water,NULL,Water,Wetland,Water,Water
893,NULL,Water,Water,NULL,Water,Bareland,Wetland,Forest
894,NULL,Water,Water,NULL,Water,Water,Water,Water
895,NULL,Water,Water,Non_Water,Water,Bareland,Wetland,Bareland
896,NULL,Water,Water,Water,Water,Grassland,Water,Forest
897,NULL,Water,Water,Water,Water,Wetland,Water,Water
898,NULL,Water,Water,Water,Water,Bareland,Wetland,Forest
899,NULL,Water,Water,Water,Water,Bareland,Water,Water
900,NULL,Water,Water,Water,Water,Water,Water,Water
901,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
902,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
903,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
904,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
905,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
906,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
907,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
908,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
909,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
910,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
911,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
912,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
913,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
914,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
915,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
916,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
917,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
918,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
919,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
920,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
921,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
922,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
923,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
924,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
925,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
926,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
927,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
928,NULL,Forest,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
929,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
930,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
931,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
932,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
933,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
934,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
935,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
936,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
937,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
938,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
939,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
940,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
941,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
942,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
943,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
944,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
945,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
946,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
947,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
948,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
949,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
950,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
951,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
952,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
953,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
954,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
955,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
956,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
957,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
958,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
959,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
960,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
961,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
962,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
963,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
964,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
965,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
966,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
967,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
968,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
969,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
970,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
971,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
972,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
973,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
974,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
975,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
976,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
977,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
978,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
979,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
980,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
981,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
982,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
983,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
984,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
985,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
986,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
987,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
988,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
989,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
990,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
991,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
992,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
993,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
994,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
995,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
996,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
997,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
998,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
999,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
1000,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1001,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
1002,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
1003,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
1004,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1005,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
1006,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
1007,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1008,NULL,Forest,Grassland,Water,Non_Wetland,Grassland,Forest,Forest
1009,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
1010,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1011,NULL,Forest,Wetland,NULL,Wetland,NULL,Bareland,Forest
1012,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
1013,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1014,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1015,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1016,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1017,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Water
1018,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1019,NULL,Forest,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
1020,NULL,Forest,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1021,NULL,Forest,Wetland,NULL,Wetland,Grassland,Built-up,Built-up
1022,NULL,Forest,Wetland,NULL,Wetland,Grassland,Built-up,Forest
1023,NULL,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
1024,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1025,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1026,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1027,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1028,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1029,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1030,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1031,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
1032,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1033,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Wetland
1034,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1035,NULL,Forest,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1036,NULL,Forest,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1037,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1038,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Water
1039,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1040,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1041,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1042,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Grassland
1043,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Water
1044,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Forest
1045,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,Grassland
1046,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,Built-up
1047,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,Forest
1048,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1049,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Forest
1050,NULL,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
1051,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
1052,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1053,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1054,NULL,Forest,Wetland,Non_Water,Wetland,Built-up,Forest,Forest
1055,NULL,Forest,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1056,NULL,Forest,Wetland,Water,Wetland,Bareland,Wetland,Forest
1057,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1058,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1059,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1060,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
1061,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1062,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
1063,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1064,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1065,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1066,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1067,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
1068,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
1069,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1070,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1071,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
1072,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1073,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
1074,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
1075,NULL,Forest,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
1076,NULL,Forest,Water,NULL,Water,Bareland,Wetland,Grassland
1077,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1078,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1079,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1080,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1081,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1082,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1083,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1084,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1085,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1086,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1087,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1088,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1089,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1090,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1091,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1092,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1093,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1094,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1095,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1096,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1097,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1098,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1099,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1100,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1101,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1102,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1103,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1104,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1105,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1106,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1107,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1108,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1109,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
1110,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1111,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1112,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
