Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R
342,Bareland,Forest,NULL,NULL,Non_Wetland,Water,Bareland,Forest
343,Bareland,Forest,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
344,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
345,Bareland,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
346,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
347,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
348,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
349,Bareland,Forest,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
350,Bareland,Forest,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
351,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
352,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Forest
353,Bareland,Forest,Wetland,NULL,Wetland,Water,Bareland,Grassland
354,Bareland,Forest,Wetland,NULL,Wetland,Water,Bareland,Forest
355,Bareland,Forest,Wetland,Water,Wetland,Bareland,Bareland,Grassland
356,Bareland,Forest,Wetland,Water,Wetland,Bareland,Bareland,Bareland
357,Bareland,Forest,Wetland,Water,Wetland,Bareland,Bareland,Water
358,Bareland,Forest,Wetland,Water,Wetland,Bareland,Bareland,Forest
359,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
360,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
361,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
362,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
363,Bareland,Forest,Water,NULL,Water,Bareland,Bareland,Grassland
364,Bareland,Forest,Water,NULL,Water,Bareland,Bareland,Forest
365,Bareland,Forest,Water,Water,Water,Bareland,Bareland,Grassland
366,Bareland,Forest,Water,Water,Water,Bareland,Bareland,Bareland
367,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
368,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
369,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
370,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
371,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
372,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Bareland,Forest
373,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
374,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
375,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
376,Water,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
377,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
378,Water,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
379,Water,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
380,Water,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
381,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
382,Water,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
383,Water,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
384,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
385,Water,NULL,Wetland,Water,Wetland,Water,Water,Wetland
386,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Forest
387,Water,NULL,Water,Water,Water,Wetland,Water,Forest
388,Water,NULL,Water,Water,Water,Water,Water,Wetland
389,Water,NULL,Water,Water,Water,Water,Water,Forest
390,Water,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
391,Water,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Water
392,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
393,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
394,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
395,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
396,Water,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
397,Water,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Forest
398,Water,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
399,Water,Wetland,Water,NULL,Water,Water,Water,Grassland
400,Water,Wetland,Water,NULL,Water,Water,Water,Wetland
401,Water,Wetland,Water,Water,Water,Water,Water,Grassland
402,Water,Wetland,Water,Water,Water,Water,Water,Wetland
403,Water,Wetland,Water,Water,Water,Water,Water,Water
404,Water,Wetland,Water,Water,Water,Water,Water,Forest
405,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
406,Water,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
407,Water,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
408,Water,Bareland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
409,Water,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
410,Water,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
411,Water,Bareland,Wetland,NULL,Wetland,Water,Bareland,Forest
412,Water,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
413,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
414,Water,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
415,Water,Bareland,Water,NULL,Water,Bareland,Bareland,Grassland
416,Water,Bareland,Water,NULL,Water,Bareland,Bareland,Water
417,Water,Bareland,Water,NULL,Water,Water,Bareland,Forest
418,Water,Bareland,Water,Water,Water,Bareland,Bareland,Grassland
419,Water,Bareland,Water,Water,Water,Bareland,Bareland,Water
420,Water,Bareland,Water,Water,Water,Bareland,Bareland,Forest
421,Water,Bareland,Water,Water,Water,Water,Bareland,Water
422,Water,Bareland,Water,Water,Water,Water,Water,Water
423,Water,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
424,Water,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
425,Water,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
426,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
427,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
428,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
429,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
430,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
431,Water,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
432,Water,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
433,Water,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
434,Water,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
435,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
436,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
437,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
438,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
439,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
440,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
441,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
442,Water,Water,NULL,NULL,Non_Wetland,Water,Bareland,Water
443,Water,Water,NULL,NULL,Non_Wetland,Water,Bareland,Forest
444,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
445,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Wetland
446,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
447,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
448,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
449,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
450,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
451,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
452,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
453,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
454,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
455,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
456,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
457,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Water
458,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
459,Water,Water,NULL,Water,Non_Wetland,Wetland,Forest,Forest
460,Water,Water,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
461,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
462,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Wetland
463,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
464,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
465,Water,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
466,Water,Water,NULL,Water,Non_Wetland,Water,Water,Wetland
467,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
468,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
469,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
470,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
471,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
472,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
473,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
474,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
475,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
476,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
477,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
478,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
479,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
480,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
481,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
482,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
483,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
484,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
485,Water,Water,Shrubland,Water,Non_Wetland,NULL,Wetland,Water
486,Water,Water,Shrubland,Water,Non_Wetland,NULL,Water,Forest
487,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
488,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
489,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
490,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
491,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
492,Water,Water,Shrubland,Water,Non_Wetland,Water,Forest,Forest
493,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
494,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
495,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
496,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
497,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
498,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
499,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
500,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
501,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
502,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
503,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
504,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
505,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
506,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
507,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
508,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
509,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
510,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
511,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
512,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
513,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
514,Water,Water,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
515,Water,Water,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
516,Water,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
517,Water,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
518,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Wetland
519,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
520,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
521,Water,Water,Wetland,NULL,Wetland,Bareland,Forest,Water
522,Water,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
523,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
524,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
525,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
526,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
527,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
528,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Grassland
529,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Bareland
530,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Water
531,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
532,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
533,Water,Water,Wetland,NULL,Wetland,Water,Water,Wetland
534,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
535,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
536,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
537,Water,Water,Wetland,NULL,Wetland,Water,Forest,Wetland
538,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
539,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
540,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
541,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
542,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
543,Water,Water,Wetland,Non_Water,Wetland,NULL,Bareland,Water
544,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
545,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
546,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
547,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
548,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
549,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
550,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
551,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
552,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
553,Water,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
554,Water,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
555,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
556,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
557,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
558,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
559,Water,Water,Wetland,Non_Water,Wetland,Water,Bareland,Water
560,Water,Water,Wetland,Non_Water,Wetland,Water,Bareland,Forest
561,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
562,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
563,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
564,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
565,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
566,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
567,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
568,Water,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
569,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
570,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
571,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
572,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
573,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
574,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
575,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Water
576,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Forest
577,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
578,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Bareland
579,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
580,Water,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
581,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
582,Water,Water,Wetland,Water,Wetland,Bareland,Water,Forest
583,Water,Water,Wetland,Water,Wetland,Bareland,Forest,Wetland
584,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
585,Water,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
586,Water,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
587,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
588,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
589,Water,Water,Wetland,Water,Wetland,Water,Bareland,Grassland
590,Water,Water,Wetland,Water,Wetland,Water,Bareland,Bareland
591,Water,Water,Wetland,Water,Wetland,Water,Bareland,Water
592,Water,Water,Wetland,Water,Wetland,Water,Bareland,Forest
593,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
594,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
595,Water,Water,Wetland,Water,Wetland,Water,Water,Water
596,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
597,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
598,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
599,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
600,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,Wetland,Water
601,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
602,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
603,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
604,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
605,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
606,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
607,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
608,Water,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Water
609,Water,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
610,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
611,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
612,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
613,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
614,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
615,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
616,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
617,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
618,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
619,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Forest
620,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
621,Water,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
622,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
623,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
624,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Water,Water
625,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
626,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
627,Water,Water,Water,NULL,Water,NULL,Wetland,Water
628,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
629,Water,Water,Water,NULL,Water,NULL,Water,Water
630,Water,Water,Water,NULL,Water,NULL,Water,Forest
631,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
632,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
633,Water,Water,Water,NULL,Water,Wetland,Water,Wetland
634,Water,Water,Water,NULL,Water,Wetland,Water,Water
635,Water,Water,Water,NULL,Water,Wetland,Water,Forest
636,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
637,Water,Water,Water,NULL,Water,Bareland,Wetland,Forest
638,Water,Water,Water,NULL,Water,Bareland,Bareland,Grassland
639,Water,Water,Water,NULL,Water,Bareland,Bareland,Water
640,Water,Water,Water,NULL,Water,Bareland,Bareland,Forest
641,Water,Water,Water,NULL,Water,Bareland,Water,Water
642,Water,Water,Water,NULL,Water,Bareland,Water,Forest
643,Water,Water,Water,NULL,Water,Water,Wetland,Water
644,Water,Water,Water,NULL,Water,Water,Wetland,Forest
645,Water,Water,Water,NULL,Water,Water,Bareland,Grassland
646,Water,Water,Water,NULL,Water,Water,Bareland,Water
647,Water,Water,Water,NULL,Water,Water,Bareland,Forest
648,Water,Water,Water,NULL,Water,Water,Water,Grassland
649,Water,Water,Water,NULL,Water,Water,Water,Wetland
650,Water,Water,Water,NULL,Water,Water,Water,Water
651,Water,Water,Water,NULL,Water,Water,Water,Forest
652,Water,Water,Water,NULL,Water,Water,Forest,Forest
653,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
654,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Wetland
655,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
656,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
657,Water,Water,Water,Non_Water,Water,Bareland,Bareland,Forest
658,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
659,Water,Water,Water,Non_Water,Water,Bareland,Water,Forest
660,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
661,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
662,Water,Water,Water,Non_Water,Water,Water,Bareland,Water
663,Water,Water,Water,Non_Water,Water,Water,Bareland,Forest
664,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
665,Water,Water,Water,Non_Water,Water,Water,Water,Water
666,Water,Water,Water,Non_Water,Water,Water,Water,Forest
667,Water,Water,Water,Water,Water,NULL,Wetland,Water
668,Water,Water,Water,Water,Water,NULL,Wetland,Forest
669,Water,Water,Water,Water,Water,NULL,Bareland,Forest
670,Water,Water,Water,Water,Water,NULL,Water,Water
671,Water,Water,Water,Water,Water,NULL,Water,Forest
672,Water,Water,Water,Water,Water,Grassland,Water,Water
673,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
674,Water,Water,Water,Water,Water,Wetland,Water,Wetland
675,Water,Water,Water,Water,Water,Wetland,Water,Water
676,Water,Water,Water,Water,Water,Wetland,Water,Forest
677,Water,Water,Water,Water,Water,Bareland,Wetland,Water
678,Water,Water,Water,Water,Water,Bareland,Wetland,Forest
679,Water,Water,Water,Water,Water,Bareland,Bareland,Grassland
680,Water,Water,Water,Water,Water,Bareland,Bareland,Water
681,Water,Water,Water,Water,Water,Bareland,Bareland,Forest
682,Water,Water,Water,Water,Water,Bareland,Water,Water
683,Water,Water,Water,Water,Water,Bareland,Water,Forest
684,Water,Water,Water,Water,Water,Bareland,Forest,Forest
685,Water,Water,Water,Water,Water,Water,Wetland,Grassland
686,Water,Water,Water,Water,Water,Water,Wetland,Wetland
687,Water,Water,Water,Water,Water,Water,Wetland,Water
688,Water,Water,Water,Water,Water,Water,Wetland,Forest
689,Water,Water,Water,Water,Water,Water,Bareland,Grassland
690,Water,Water,Water,Water,Water,Water,Bareland,Bareland
691,Water,Water,Water,Water,Water,Water,Bareland,Water
692,Water,Water,Water,Water,Water,Water,Bareland,Forest
693,Water,Water,Water,Water,Water,Water,Water,Grassland
694,Water,Water,Water,Water,Water,Water,Water,Wetland
695,Water,Water,Water,Water,Water,Water,Water,Bareland
696,Water,Water,Water,Water,Water,Water,Water,Water
697,Water,Water,Water,Water,Water,Water,Water,Forest
698,Water,Water,Water,Water,Water,Water,Forest,Wetland
699,Water,Water,Water,Water,Water,Water,Forest,Water
700,Water,Water,Water,Water,Water,Water,Forest,Forest
701,Water,Water,Water,Water,Water,Forest,Water,Water
702,Water,Water,Water,Water,Water,Forest,Water,Forest
703,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
704,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
705,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
706,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
707,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
708,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
709,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
710,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
711,Water,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
712,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
713,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
714,Water,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
715,Water,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
716,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Water
717,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
718,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
719,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
720,Water,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
721,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
722,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
723,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
724,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
725,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
726,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
727,Water,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
728,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
729,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
730,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
731,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
732,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
733,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
734,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
