Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTB_M_R
11974,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
11975,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
11976,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Wetland
11977,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
11978,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
11979,Wetland,Bareland,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
11980,Wetland,Bareland,Cropland,NULL,Non_Wetland,Water,Water,Wetland
11981,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
11982,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Wetland
11983,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
11984,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
11985,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
11986,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
11987,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Bareland
11988,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
11989,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
11990,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
11991,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
11992,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
11993,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Bareland,Grassland
11994,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
11995,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Water,Wetland
11996,Wetland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Water,Bareland
11997,Wetland,Bareland,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
11998,Wetland,Bareland,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
11999,Wetland,Bareland,Cropland,Water,Non_Wetland,Grassland,Water,Wetland
12000,Wetland,Bareland,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
12001,Wetland,Bareland,Cropland,Water,Non_Wetland,Water,Water,Wetland
12002,Wetland,Bareland,Wetland,NULL,Wetland,Shrubland,Wetland,Bareland
12003,Wetland,Bareland,Wetland,NULL,Wetland,Shrubland,Bareland,Wetland
12004,Wetland,Bareland,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
12005,Wetland,Bareland,Wetland,NULL,Wetland,Grassland,Bareland,Wetland
12006,Wetland,Bareland,Wetland,NULL,Wetland,Grassland,Bareland,Bareland
12007,Wetland,Bareland,Wetland,NULL,Wetland,Grassland,Water,Wetland
12008,Wetland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
12009,Wetland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
12010,Wetland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
12011,Wetland,Bareland,Wetland,NULL,Wetland,Bareland,Water,Wetland
12012,Wetland,Bareland,Wetland,NULL,Wetland,Water,Bareland,Grassland
12013,Wetland,Bareland,Wetland,NULL,Wetland,Water,Water,Grassland
12014,Wetland,Bareland,Wetland,NULL,Wetland,Water,Water,Wetland
12015,Wetland,Bareland,Wetland,Non_Water,Wetland,Shrubland,Bareland,Wetland
12016,Wetland,Bareland,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
12017,Wetland,Bareland,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
12018,Wetland,Bareland,Wetland,Non_Water,Wetland,Shrubland,Water,Bareland
12019,Wetland,Bareland,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
12020,Wetland,Bareland,Wetland,Non_Water,Wetland,Grassland,Bareland,Wetland
12021,Wetland,Bareland,Wetland,Non_Water,Wetland,Grassland,Bareland,Water
12022,Wetland,Bareland,Wetland,Non_Water,Wetland,Bareland,Bareland,Wetland
12023,Wetland,Bareland,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
12024,Wetland,Bareland,Wetland,Non_Water,Wetland,Water,Bareland,Grassland
12025,Wetland,Bareland,Wetland,Non_Water,Wetland,Water,Bareland,Wetland
12026,Wetland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
12027,Wetland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Wetland
12028,Wetland,Bareland,Wetland,Water,Wetland,Shrubland,Bareland,Wetland
12029,Wetland,Bareland,Wetland,Water,Wetland,Shrubland,Water,Wetland
12030,Wetland,Bareland,Wetland,Water,Wetland,Grassland,Bareland,Wetland
12031,Wetland,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
12032,Wetland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
12033,Wetland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Wetland
12034,Wetland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
12035,Wetland,Bareland,Wetland,Water,Wetland,Bareland,Water,Wetland
12036,Wetland,Bareland,Wetland,Water,Wetland,Water,Bareland,Grassland
12037,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Wetland
12038,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
12039,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
12040,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
12041,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland,Bareland
12042,Wetland,Bareland,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12043,Wetland,Bareland,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
12044,Wetland,Bareland,Bareland,NULL,Non_Wetland,Shrubland,Water,Grassland
12045,Wetland,Bareland,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
12046,Wetland,Bareland,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
12047,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
12048,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Wetland
12049,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
12050,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
12051,Wetland,Bareland,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
12052,Wetland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Wetland
12053,Wetland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Bareland
12054,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
12055,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
12056,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
12057,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Bareland
12058,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
12059,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
12060,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
12061,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Bareland,Grassland
12062,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
12063,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
12064,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Bareland
12065,Wetland,Bareland,Bareland,Water,Non_Wetland,Shrubland,Bareland,Grassland
12066,Wetland,Bareland,Bareland,Water,Non_Wetland,Shrubland,Water,Bareland
12067,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
12068,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Wetland
12069,Wetland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Bareland
12070,Wetland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
12071,Wetland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
12072,Wetland,Bareland,Built-up,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
12073,Wetland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
12074,Wetland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
12075,Wetland,Bareland,Built-up,Non_Water,Non_Wetland,Water,Bareland,Grassland
12076,Wetland,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
12077,Wetland,Bareland,Water,Water,Water,Shrubland,Water,Grassland
12078,Wetland,Bareland,Water,Water,Water,Shrubland,Water,Water
12079,Wetland,Bareland,Water,Water,Water,Grassland,Bareland,Wetland
12080,Wetland,Bareland,Water,Water,Water,Grassland,Water,Water
12081,Wetland,Bareland,Water,Water,Water,Water,Water,Grassland
12082,Wetland,Bareland,Water,Water,Water,Water,Water,Bareland
12083,Wetland,Bareland,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12084,Wetland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
12085,Wetland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
12086,Wetland,Bareland,Forest,NULL,Non_Wetland,Water,Water,Wetland
12087,Wetland,Bareland,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
12088,Wetland,Bareland,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
12089,Wetland,Bareland,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
12090,Wetland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Wetland
12091,Wetland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
12092,Wetland,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
12093,Wetland,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
12094,Wetland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
12095,Wetland,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
12096,Wetland,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
12097,Wetland,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
12098,Wetland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
12099,Wetland,Built-up,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
12100,Wetland,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
12101,Wetland,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
12102,Wetland,Built-up,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
12103,Wetland,Built-up,NULL,Water,Non_Wetland,Shrubland,Built-up,Grassland
12104,Wetland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
12105,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
12106,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
12107,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12108,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
12109,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
12110,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
12111,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
12112,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
12113,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
12114,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
12115,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
12116,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
12117,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
12118,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
12119,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
12120,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
12121,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
12122,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
12123,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
12124,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
12125,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
12126,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Water
12127,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
12128,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
12129,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
12130,Wetland,Built-up,Shrubland,Water,Non_Wetland,NULL,Shrubland,Wetland
12131,Wetland,Built-up,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Wetland
12132,Wetland,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
12133,Wetland,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
12134,Wetland,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Wetland
12135,Wetland,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
12136,Wetland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
12137,Wetland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
12138,Wetland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12139,Wetland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
12140,Wetland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
12141,Wetland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
12142,Wetland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
12143,Wetland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,NULL
12144,Wetland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
12145,Wetland,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
12146,Wetland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
12147,Wetland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
12148,Wetland,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
12149,Wetland,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
12150,Wetland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
12151,Wetland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
12152,Wetland,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
12153,Wetland,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
12154,Wetland,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
12155,Wetland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
12156,Wetland,Built-up,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
12157,Wetland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
12158,Wetland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
12159,Wetland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
12160,Wetland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
12161,Wetland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
12162,Wetland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12163,Wetland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
12164,Wetland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
12165,Wetland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
12166,Wetland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Wetland
12167,Wetland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
12168,Wetland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
12169,Wetland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
12170,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
12171,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
12172,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
12173,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
12174,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
12175,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
12176,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
12177,Wetland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
12178,Wetland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
12179,Wetland,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
12180,Wetland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
12181,Wetland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
12182,Wetland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
12183,Wetland,Built-up,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,NULL
12184,Wetland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
12185,Wetland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
12186,Wetland,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
12187,Wetland,Built-up,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
12188,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
12189,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
12190,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
12191,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
12192,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Bareland,NULL
12193,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
12194,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Bareland,Wetland
12195,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Bareland,Forest
12196,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Built-up,Grassland
12197,Wetland,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Grassland
12198,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,NULL,Grassland
12199,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
12200,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
12201,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,NULL
12202,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
12203,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Wetland
12204,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
12205,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Water,NULL
12206,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Water,Grassland
12207,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Water,Wetland
12208,Wetland,Built-up,Wetland,NULL,Wetland,Grassland,Water,Forest
12209,Wetland,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
12210,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
12211,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
12212,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
12213,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
12214,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
12215,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Water
12216,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Water,Grassland
12217,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Water,Wetland
12218,Wetland,Built-up,Wetland,NULL,Wetland,Bareland,Water,Water
12219,Wetland,Built-up,Wetland,NULL,Wetland,Water,Wetland,Grassland
12220,Wetland,Built-up,Wetland,NULL,Wetland,Water,Water,NULL
12221,Wetland,Built-up,Wetland,NULL,Wetland,Water,Water,Grassland
12222,Wetland,Built-up,Wetland,NULL,Wetland,Water,Water,Wetland
12223,Wetland,Built-up,Wetland,NULL,Wetland,Forest,NULL,Grassland
12224,Wetland,Built-up,Wetland,NULL,Wetland,Forest,Wetland,Grassland
12225,Wetland,Built-up,Wetland,NULL,Wetland,Forest,Bareland,Grassland
12226,Wetland,Built-up,Wetland,NULL,Wetland,Forest,Bareland,Wetland
12227,Wetland,Built-up,Wetland,NULL,Wetland,Forest,Water,Grassland
12228,Wetland,Built-up,Wetland,NULL,Wetland,Forest,Water,Built-up
12229,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
12230,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,Bareland,Grassland
12231,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,Bareland,Cropland
12232,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,Bareland,Wetland
12233,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
12234,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,Water,Bareland
12235,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,Water,Built-up
12236,Wetland,Built-up,Wetland,Non_Water,Wetland,Shrubland,Forest,Wetland
12237,Wetland,Built-up,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
12238,Wetland,Built-up,Wetland,Non_Water,Wetland,Grassland,Bareland,Wetland
12239,Wetland,Built-up,Wetland,Non_Water,Wetland,Grassland,Built-up,Grassland
12240,Wetland,Built-up,Wetland,Non_Water,Wetland,Grassland,Built-up,Wetland
12241,Wetland,Built-up,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
12242,Wetland,Built-up,Wetland,Non_Water,Wetland,Grassland,Forest,Wetland
12243,Wetland,Built-up,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
12244,Wetland,Built-up,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
12245,Wetland,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
12246,Wetland,Built-up,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
12247,Wetland,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Wetland
12248,Wetland,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
12249,Wetland,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Built-up
12250,Wetland,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
12251,Wetland,Built-up,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
12252,Wetland,Built-up,Wetland,Non_Water,Wetland,Built-up,Built-up,NULL
12253,Wetland,Built-up,Wetland,Non_Water,Wetland,Water,Bareland,Grassland
12254,Wetland,Built-up,Wetland,Non_Water,Wetland,Water,Water,Grassland
12255,Wetland,Built-up,Wetland,Non_Water,Wetland,Forest,Water,Wetland
12256,Wetland,Built-up,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
12257,Wetland,Built-up,Wetland,Water,Wetland,Shrubland,Water,Water
12258,Wetland,Built-up,Wetland,Water,Wetland,Shrubland,Forest,Wetland
12259,Wetland,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Grassland
12260,Wetland,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Wetland
12261,Wetland,Built-up,Wetland,Water,Wetland,Grassland,Water,Wetland
12262,Wetland,Built-up,Wetland,Water,Wetland,Grassland,Forest,Wetland
12263,Wetland,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Wetland
12264,Wetland,Built-up,Wetland,Water,Wetland,Wetland,Water,Wetland
12265,Wetland,Built-up,Wetland,Water,Wetland,Bareland,Bareland,Wetland
12266,Wetland,Built-up,Wetland,Water,Wetland,Bareland,Bareland,Water
12267,Wetland,Built-up,Wetland,Water,Wetland,Water,Water,Grassland
12268,Wetland,Built-up,Wetland,Water,Wetland,Water,Water,Water
12269,Wetland,Built-up,Wetland,Water,Wetland,Forest,Bareland,Wetland
12270,Wetland,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
12271,Wetland,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
12272,Wetland,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
12273,Wetland,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Bareland
12274,Wetland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
12275,Wetland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
12276,Wetland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
12277,Wetland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Bareland
12278,Wetland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
12279,Wetland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
12280,Wetland,Built-up,Bareland,Water,Non_Wetland,Grassland,Bareland,Grassland
12281,Wetland,Built-up,Bareland,Water,Non_Wetland,Bareland,Bareland,Wetland
12282,Wetland,Built-up,Bareland,Water,Non_Wetland,Water,Water,Grassland
12283,Wetland,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
12284,Wetland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
12285,Wetland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
12286,Wetland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
12287,Wetland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
12288,Wetland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
12289,Wetland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
