Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQP_M_R
861,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
862,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
863,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
864,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
865,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
866,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
867,Cropland,NULL,Cropland,Water,Non_Wetland,Water
868,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
869,Cropland,NULL,Wetland,NULL,Wetland,Forest
870,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
871,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
872,Cropland,NULL,Wetland,Non_Water,Wetland,Water
873,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
874,Cropland,NULL,Wetland,Water,Wetland,Bareland
875,Cropland,NULL,Wetland,Water,Wetland,Water
876,Cropland,NULL,Wetland,Water,Wetland,Forest
877,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
878,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
879,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
880,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
881,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
882,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
883,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
884,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
885,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
886,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
887,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
888,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
889,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
890,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
891,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
892,Cropland,NULL,Bareland,Water,Non_Wetland,Water
893,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
894,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
895,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
896,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
897,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
898,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
899,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
900,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
901,Cropland,NULL,Built-up,Water,Non_Wetland,Forest
902,Cropland,NULL,Water,NULL,Water,Grassland
903,Cropland,NULL,Water,NULL,Water,Cropland
904,Cropland,NULL,Water,NULL,Water,Bareland
905,Cropland,NULL,Water,NULL,Water,Water
906,Cropland,NULL,Water,NULL,Water,Forest
907,Cropland,NULL,Water,Non_Water,Water,Grassland
908,Cropland,NULL,Water,Non_Water,Water,Cropland
909,Cropland,NULL,Water,Non_Water,Water,Bareland
910,Cropland,NULL,Water,Non_Water,Water,Water
911,Cropland,NULL,Water,Non_Water,Water,Forest
912,Cropland,NULL,Water,Water,Water,Grassland
913,Cropland,NULL,Water,Water,Water,Cropland
914,Cropland,NULL,Water,Water,Water,Bareland
915,Cropland,NULL,Water,Water,Water,Water
916,Cropland,NULL,Water,Water,Water,Forest
917,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
918,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
919,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
920,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
921,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
922,Cropland,NULL,Forest,NULL,Non_Wetland,Water
923,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
924,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
925,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
926,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
927,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland
928,Cropland,NULL,Forest,Non_Water,Non_Wetland,Built-up
929,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
930,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
931,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
932,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
933,Cropland,NULL,Forest,Water,Non_Wetland,Bareland
934,Cropland,NULL,Forest,Water,Non_Wetland,Water
935,Cropland,NULL,Forest,Water,Non_Wetland,Forest
936,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
937,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
938,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
939,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
940,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
941,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
942,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
943,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
944,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
945,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
946,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Water
947,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
948,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
949,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
950,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
951,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
952,Cropland,Cropland,Shrubland,Water,Non_Wetland,Forest
953,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
954,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
955,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
956,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
957,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
958,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
959,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
960,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
961,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
962,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
963,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Water
964,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
965,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
966,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
967,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
968,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
969,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
970,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
971,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
972,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
973,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
974,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
975,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
976,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
977,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
978,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
979,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
980,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
981,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Built-up
982,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water
983,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
984,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
985,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
986,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
987,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
988,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
989,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
990,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
991,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
992,Cropland,Cropland,Wetland,NULL,Wetland,Forest
993,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
994,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
995,Cropland,Cropland,Wetland,Non_Water,Wetland,Bareland
996,Cropland,Cropland,Wetland,Non_Water,Wetland,Water
997,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
998,Cropland,Cropland,Wetland,Water,Wetland,Cropland
999,Cropland,Cropland,Wetland,Water,Wetland,Bareland
1000,Cropland,Cropland,Wetland,Water,Wetland,Water
1001,Cropland,Cropland,Wetland,Water,Wetland,Forest
1002,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
1003,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
1004,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
1005,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
1006,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
1007,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
1008,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
1009,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
1010,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
1011,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
1012,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Water
1013,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
1014,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
1015,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
1016,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
1017,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
1018,Cropland,Cropland,Bareland,Water,Non_Wetland,Forest
1019,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
1020,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
1021,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
1022,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
1023,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
1024,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
1025,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
1026,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
1027,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Forest
1028,Cropland,Cropland,Built-up,Water,Non_Wetland,Forest
1029,Cropland,Cropland,Water,NULL,Water,Grassland
1030,Cropland,Cropland,Water,NULL,Water,Cropland
1031,Cropland,Cropland,Water,NULL,Water,Bareland
1032,Cropland,Cropland,Water,NULL,Water,Water
1033,Cropland,Cropland,Water,NULL,Water,Forest
1034,Cropland,Cropland,Water,Non_Water,Water,Grassland
1035,Cropland,Cropland,Water,Non_Water,Water,Cropland
1036,Cropland,Cropland,Water,Non_Water,Water,Bareland
1037,Cropland,Cropland,Water,Non_Water,Water,Water
1038,Cropland,Cropland,Water,Non_Water,Water,Forest
1039,Cropland,Cropland,Water,Water,Water,Grassland
1040,Cropland,Cropland,Water,Water,Water,Cropland
1041,Cropland,Cropland,Water,Water,Water,Bareland
1042,Cropland,Cropland,Water,Water,Water,Water
1043,Cropland,Cropland,Water,Water,Water,Forest
1044,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
1045,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
1046,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
1047,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
1048,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
1049,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
1050,Cropland,Cropland,Forest,NULL,Non_Wetland,Water
1051,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
1052,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
1053,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
1054,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Bareland
1055,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Built-up
1056,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Water
1057,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
1058,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
1059,Cropland,Cropland,Forest,Water,Non_Wetland,Cropland
1060,Cropland,Cropland,Forest,Water,Non_Wetland,Bareland
1061,Cropland,Cropland,Forest,Water,Non_Wetland,Water
1062,Cropland,Cropland,Forest,Water,Non_Wetland,Forest
1063,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
1064,Cropland,Wetland,Cropland,Water,Non_Wetland,Built-up
1065,Cropland,Wetland,Forest,NULL,Non_Wetland,Cropland
1066,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
1067,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
1068,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
1069,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Forest
1070,Cropland,Bareland,Shrubland,Water,Non_Wetland,Cropland
1071,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
1072,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
1073,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
1074,Cropland,Bareland,Grassland,NULL,Non_Wetland,Built-up
1075,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
1076,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
1077,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
1078,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
1079,Cropland,Bareland,Cropland,NULL,Non_Wetland,Forest
1080,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
1081,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,Forest
1082,Cropland,Bareland,Cropland,Water,Non_Wetland,Bareland
1083,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
1084,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
1085,Cropland,Bareland,Bareland,NULL,Non_Wetland,Forest
1086,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
1087,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
1088,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
1089,Cropland,Bareland,Bareland,Water,Non_Wetland,Grassland
1090,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
1091,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
1092,Cropland,Bareland,Bareland,Water,Non_Wetland,Forest
1093,Cropland,Bareland,Built-up,NULL,Non_Wetland,Built-up
1094,Cropland,Bareland,Water,Non_Water,Water,Cropland
1095,Cropland,Bareland,Water,Water,Water,Grassland
1096,Cropland,Bareland,Water,Water,Water,Forest
1097,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
1098,Cropland,Bareland,Forest,NULL,Non_Wetland,Cropland
1099,Cropland,Bareland,Forest,NULL,Non_Wetland,Bareland
1100,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
1101,Cropland,Bareland,Forest,Non_Water,Non_Wetland,Forest
1102,Cropland,Bareland,Forest,Water,Non_Wetland,Grassland
1103,Cropland,Bareland,Forest,Water,Non_Wetland,Bareland
1104,Cropland,Bareland,Forest,Water,Non_Wetland,Forest
1105,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
1106,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
1107,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
1108,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
1109,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
1110,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
1111,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
1112,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Water
1113,Cropland,Built-up,Shrubland,Water,Non_Wetland,Forest
1114,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
1115,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
1116,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
1117,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
1118,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
1119,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
1120,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
1121,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
1122,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
1123,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
1124,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
1125,Cropland,Built-up,Cropland,NULL,Non_Wetland,Water
1126,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
1127,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
1128,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
1129,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
1130,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Forest
1131,Cropland,Built-up,Cropland,Water,Non_Wetland,Cropland
1132,Cropland,Built-up,Cropland,Water,Non_Wetland,Water
1133,Cropland,Built-up,Wetland,Non_Water,Wetland,Cropland
1134,Cropland,Built-up,Wetland,Water,Wetland,Water
1135,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
1136,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
1137,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
1138,Cropland,Built-up,Bareland,NULL,Non_Wetland,Water
1139,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
1140,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
1141,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
1142,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,Water
1143,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,Forest
1144,Cropland,Built-up,Bareland,Water,Non_Wetland,Grassland
1145,Cropland,Built-up,Bareland,Water,Non_Wetland,Bareland
1146,Cropland,Built-up,Bareland,Water,Non_Wetland,Water
1147,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
1148,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
1149,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
1150,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
1151,Cropland,Built-up,Water,Water,Water,Water
1152,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
1153,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
1154,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
1155,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland
1156,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
1157,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
1158,Cropland,Built-up,Forest,Non_Water,Non_Wetland,Forest
1159,Cropland,Built-up,Forest,Water,Non_Wetland,Cropland
1160,Cropland,Built-up,Forest,Water,Non_Wetland,Bareland
1161,Cropland,Built-up,Forest,Water,Non_Wetland,Water
1162,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
1163,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
1164,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
1165,Cropland,Water,Shrubland,NULL,Non_Wetland,Built-up
1166,Cropland,Water,Shrubland,NULL,Non_Wetland,Water
1167,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
1168,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
1169,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Forest
1170,Cropland,Water,Shrubland,Water,Non_Wetland,Grassland
1171,Cropland,Water,Shrubland,Water,Non_Wetland,Bareland
1172,Cropland,Water,Shrubland,Water,Non_Wetland,Water
1173,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
1174,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
1175,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
1176,Cropland,Water,Grassland,Non_Water,Non_Wetland,Grassland
1177,Cropland,Water,Grassland,Non_Water,Non_Wetland,Forest
1178,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
1179,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
1180,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
1181,Cropland,Water,Cropland,NULL,Non_Wetland,Water
1182,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
1183,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
1184,Cropland,Water,Cropland,Non_Water,Non_Wetland,Cropland
1185,Cropland,Water,Cropland,Non_Water,Non_Wetland,Bareland
1186,Cropland,Water,Cropland,Non_Water,Non_Wetland,Water
1187,Cropland,Water,Cropland,Non_Water,Non_Wetland,Forest
1188,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
1189,Cropland,Water,Cropland,Water,Non_Wetland,Cropland
1190,Cropland,Water,Cropland,Water,Non_Wetland,Bareland
1191,Cropland,Water,Cropland,Water,Non_Wetland,Built-up
1192,Cropland,Water,Cropland,Water,Non_Wetland,Water
1193,Cropland,Water,Cropland,Water,Non_Wetland,Forest
1194,Cropland,Water,Wetland,NULL,Wetland,Cropland
1195,Cropland,Water,Wetland,NULL,Wetland,Water
1196,Cropland,Water,Wetland,NULL,Wetland,Forest
1197,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
1198,Cropland,Water,Wetland,Non_Water,Wetland,Cropland
1199,Cropland,Water,Wetland,Non_Water,Wetland,Water
1200,Cropland,Water,Wetland,Non_Water,Wetland,Forest
1201,Cropland,Water,Wetland,Water,Wetland,Water
1202,Cropland,Water,Wetland,Water,Wetland,Forest
1203,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
1204,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
1205,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
1206,Cropland,Water,Bareland,NULL,Non_Wetland,Built-up
1207,Cropland,Water,Bareland,NULL,Non_Wetland,Water
1208,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
1209,Cropland,Water,Bareland,Non_Water,Non_Wetland,Grassland
1210,Cropland,Water,Bareland,Non_Water,Non_Wetland,Cropland
1211,Cropland,Water,Bareland,Non_Water,Non_Wetland,Bareland
1212,Cropland,Water,Bareland,Non_Water,Non_Wetland,Forest
1213,Cropland,Water,Bareland,Water,Non_Wetland,Grassland
1214,Cropland,Water,Bareland,Water,Non_Wetland,Cropland
1215,Cropland,Water,Bareland,Water,Non_Wetland,Bareland
1216,Cropland,Water,Bareland,Water,Non_Wetland,Water
1217,Cropland,Water,Bareland,Water,Non_Wetland,Forest
1218,Cropland,Water,Built-up,Water,Non_Wetland,Forest
1219,Cropland,Water,Water,NULL,Water,Cropland
1220,Cropland,Water,Water,NULL,Water,Water
1221,Cropland,Water,Water,NULL,Water,Forest
1222,Cropland,Water,Water,Non_Water,Water,Grassland
1223,Cropland,Water,Water,Non_Water,Water,Cropland
1224,Cropland,Water,Water,Non_Water,Water,Bareland
1225,Cropland,Water,Water,Non_Water,Water,Water
1226,Cropland,Water,Water,Non_Water,Water,Forest
1227,Cropland,Water,Water,Water,Water,Grassland
1228,Cropland,Water,Water,Water,Water,Bareland
1229,Cropland,Water,Water,Water,Water,Water
1230,Cropland,Water,Water,Water,Water,Forest
1231,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
1232,Cropland,Water,Forest,NULL,Non_Wetland,Cropland
1233,Cropland,Water,Forest,NULL,Non_Wetland,Bareland
1234,Cropland,Water,Forest,NULL,Non_Wetland,Water
1235,Cropland,Water,Forest,NULL,Non_Wetland,Forest
1236,Cropland,Water,Forest,Non_Water,Non_Wetland,Grassland
1237,Cropland,Water,Forest,Non_Water,Non_Wetland,Cropland
1238,Cropland,Water,Forest,Non_Water,Non_Wetland,Bareland
1239,Cropland,Water,Forest,Non_Water,Non_Wetland,Forest
1240,Cropland,Water,Forest,Water,Non_Wetland,Cropland
1241,Cropland,Water,Forest,Water,Non_Wetland,Bareland
1242,Cropland,Water,Forest,Water,Non_Wetland,Forest
1243,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
1244,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
1245,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
1246,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
1247,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
1248,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
1249,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
1250,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
1251,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
1252,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
1253,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
1254,Cropland,Forest,Shrubland,Water,Non_Wetland,Forest
1255,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
1256,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
1257,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
1258,Cropland,Forest,Grassland,NULL,Non_Wetland,Built-up
1259,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
1260,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
1261,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
1262,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Bareland
1263,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Forest
1264,Cropland,Forest,Grassland,Water,Non_Wetland,Cropland
1265,Cropland,Forest,Grassland,Water,Non_Wetland,Bareland
1266,Cropland,Forest,Grassland,Water,Non_Wetland,Forest
1267,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
1268,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
1269,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
1270,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
1271,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
1272,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
1273,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
1274,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
1275,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Forest
1276,Cropland,Forest,Cropland,Water,Non_Wetland,Grassland
1277,Cropland,Forest,Cropland,Water,Non_Wetland,Cropland
1278,Cropland,Forest,Cropland,Water,Non_Wetland,Bareland
1279,Cropland,Forest,Cropland,Water,Non_Wetland,Water
1280,Cropland,Forest,Cropland,Water,Non_Wetland,Forest
