Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R
1244,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1245,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1246,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Grassland,Forest
1247,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1248,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Bareland
1249,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
1250,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
1251,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Forest,Grassland
1252,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Forest,Bareland
1253,Bareland,Forest,Grassland,Water,Non_Wetland,Bareland,Wetland,Bareland
1254,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Grassland,Bareland
1255,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Grassland,Water
1256,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Water
1257,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Water,Forest
1258,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Forest,Bareland
1259,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Forest,Water
1260,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1261,Bareland,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Water
1262,Bareland,Forest,Cropland,Water,Non_Wetland,Bareland,Water,Water
1263,Bareland,Forest,Cropland,Water,Non_Wetland,Water,Wetland,Water
1264,Bareland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1265,Bareland,Forest,Wetland,NULL,Wetland,Water,Water,Water
1266,Bareland,Forest,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
1267,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Forest,Grassland
1268,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Bareland
1269,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
1270,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Forest
1271,Bareland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Forest,Grassland
1272,Bareland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Forest,Bareland
1273,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1274,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
1275,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
1276,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
1277,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
1278,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Bareland
1279,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Forest
1280,Bareland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1281,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1282,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
1283,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1284,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1285,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Bareland
1286,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Water,Bareland
1287,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Forest,Grassland
1288,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Forest,Bareland
1289,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
1290,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Grassland,Bareland
1291,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Grassland,Water
1292,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1293,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Bareland
1294,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Water
1295,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
1296,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Forest,Grassland
1297,Bareland,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
1298,Bareland,Forest,Built-up,NULL,Non_Wetland,Water,Forest,Forest
1299,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Water,Grassland,Grassland
1300,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Water,Grassland,Bareland
1301,Bareland,Forest,Water,NULL,Water,Water,Wetland,Grassland
1302,Bareland,Forest,Water,NULL,Water,Water,Water,Forest
1303,Bareland,Forest,Water,Non_Water,Water,Bareland,Wetland,Grassland
1304,Bareland,Forest,Water,Non_Water,Water,Water,Wetland,Grassland
1305,Bareland,Forest,Water,Non_Water,Water,Water,Wetland,Bareland
1306,Bareland,Forest,Water,Non_Water,Water,Water,Wetland,Water
1307,Bareland,Forest,Water,Water,Water,Bareland,Wetland,Water
1308,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
1309,Bareland,Forest,Water,Water,Water,Water,Wetland,Grassland
1310,Bareland,Forest,Water,Water,Water,Water,Water,Bareland
1311,Bareland,Forest,Water,Water,Water,Water,Water,Water
1312,Bareland,Forest,Water,Water,Water,Water,Forest,Water
1313,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1314,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1315,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
1316,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1317,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1318,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1319,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1320,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1321,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
1322,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1323,Bareland,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
1324,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
1325,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1326,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1327,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Water,Grassland
1328,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
1329,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Water
1330,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1331,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1332,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1333,Bareland,Forest,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1334,Bareland,Forest,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1335,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1336,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Water
1337,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Bareland
1338,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
1339,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1340,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1341,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,NULL,Forest
1342,Bareland,Forest,Forest,Water,Non_Wetland,Water,NULL,Forest
1343,Bareland,Forest,Forest,Water,Non_Wetland,Water,Grassland,Bareland
1344,Bareland,Forest,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1345,Bareland,Forest,Forest,Water,Non_Wetland,Water,Wetland,Bareland
1346,Bareland,Forest,Forest,Water,Non_Wetland,Water,Wetland,Water
1347,Bareland,Forest,Forest,Water,Non_Wetland,Water,Water,Water
1348,Bareland,Forest,Forest,Water,Non_Wetland,Water,Forest,Grassland
1349,Bareland,Forest,Forest,Water,Non_Wetland,Water,Forest,Bareland
1350,Bareland,Forest,Forest,Water,Non_Wetland,Water,Forest,Forest
1351,Water,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
1352,Water,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
1353,Water,NULL,Shrubland,Water,Non_Wetland,Forest,Forest,Grassland
1354,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1355,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1356,Water,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Water
1357,Water,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
1358,Water,NULL,Grassland,Water,Non_Wetland,Forest,Forest,Grassland
1359,Water,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
1360,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
1361,Water,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
1362,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1363,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1364,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1365,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1366,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1367,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1368,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1369,Water,NULL,Forest,Water,Non_Wetland,NULL,Forest,Water
1370,Water,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
1371,Water,NULL,Forest,Water,Non_Wetland,Forest,Forest,Grassland
1372,Water,NULL,Forest,Water,Non_Wetland,Forest,Forest,Bareland
1373,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
1374,Water,Wetland,Forest,Water,Non_Wetland,Forest,Forest,Grassland
1375,Water,Bareland,NULL,NULL,Non_Wetland,Water,Water,Water
1376,Water,Bareland,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1377,Water,Bareland,NULL,Non_Water,Non_Wetland,Water,Water,Water
1378,Water,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
1379,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
1380,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland,Water,Water
1381,Water,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
1382,Water,Bareland,Grassland,Water,Non_Wetland,Water,Water,Bareland
1383,Water,Bareland,Grassland,Water,Non_Wetland,Water,Water,Water
1384,Water,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
1385,Water,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
1386,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1387,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1388,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
1389,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland,Water,Water
1390,Water,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Water
1391,Water,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
1392,Water,Bareland,Water,NULL,Water,Water,Water,Water
1393,Water,Bareland,Water,Water,Water,Bareland,Water,Water
1394,Water,Bareland,Water,Water,Water,Water,Water,Water
1395,Water,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1396,Water,Bareland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1397,Water,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1398,Water,Bareland,Forest,NULL,Non_Wetland,Water,Water,Grassland
1399,Water,Bareland,Forest,NULL,Non_Wetland,Water,Water,Water
1400,Water,Bareland,Forest,NULL,Non_Wetland,Water,Water,Forest
1401,Water,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Water
1402,Water,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Forest
1403,Water,Bareland,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
1404,Water,Bareland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1405,Water,Bareland,Forest,Non_Water,Non_Wetland,Water,Water,Water
1406,Water,Bareland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1407,Water,Bareland,Forest,Water,Non_Wetland,Water,Water,Grassland
1408,Water,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
1409,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1410,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1411,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
1412,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1413,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
1414,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1415,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Grassland
1416,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
1417,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
1418,Water,Water,NULL,NULL,Non_Wetland,NULL,Forest,Water
1419,Water,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1420,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1421,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
1422,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1423,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
1424,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1425,Water,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1426,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1427,Water,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Water
1428,Water,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1429,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1430,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
1431,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
1432,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1433,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
1434,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
1435,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1436,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Water
1437,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1438,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
1439,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
1440,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1441,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
1442,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Bareland
1443,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
1444,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
1445,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Grassland
1446,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
1447,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
1448,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
1449,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Water
1450,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1451,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,Water
1452,Water,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1453,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1454,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1455,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1456,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1457,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
1458,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
1459,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
1460,Water,Water,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1461,Water,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
1462,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
1463,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Water
1464,Water,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
1465,Water,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
1466,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1467,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Bareland
1468,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1469,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1470,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
1471,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
1472,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
1473,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
1474,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Bareland
1475,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
1476,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
1477,Water,Water,NULL,Non_Water,Non_Wetland,Forest,NULL,Water
1478,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Water
1479,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
1480,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
1481,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1482,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1483,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
1484,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
1485,Water,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
1486,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Water
1487,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
1488,Water,Water,NULL,Water,Non_Wetland,NULL,Forest,Water
1489,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Grassland
1490,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
1491,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Forest
1492,Water,Water,NULL,Water,Non_Wetland,Grassland,Forest,Water
1493,Water,Water,NULL,Water,Non_Wetland,Grassland,Forest,Forest
1494,Water,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1495,Water,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Water
1496,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Bareland
1497,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
1498,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Forest
1499,Water,Water,NULL,Water,Non_Wetland,Bareland,Forest,Bareland
1500,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Grassland
1501,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Water
1502,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Forest
1503,Water,Water,NULL,Water,Non_Wetland,Water,Grassland,Forest
1504,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
1505,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
1506,Water,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
1507,Water,Water,NULL,Water,Non_Wetland,Water,Water,Bareland
1508,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
1509,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
1510,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Bareland
1511,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
1512,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
1513,Water,Water,NULL,Water,Non_Wetland,Forest,NULL,Water
1514,Water,Water,NULL,Water,Non_Wetland,Forest,NULL,Forest
1515,Water,Water,NULL,Water,Non_Wetland,Forest,Water,Bareland
1516,Water,Water,NULL,Water,Non_Wetland,Forest,Water,Water
1517,Water,Water,NULL,Water,Non_Wetland,Forest,Water,Forest
1518,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1519,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1520,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1521,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1522,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1523,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
1524,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
1525,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
1526,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1527,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
1528,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1529,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1530,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
1531,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1532,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1533,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1534,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
1535,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1536,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
1537,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Water
1538,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
1539,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
1540,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
1541,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
1542,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
1543,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1544,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
1545,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
1546,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
1547,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
1548,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
1549,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
1550,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
1551,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
1552,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
1553,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
1554,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
1555,Water,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Water
1556,Water,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1557,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Bareland
1558,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Water
1559,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
1560,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
1561,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1562,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1563,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1564,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1565,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1566,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
1567,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
1568,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Water
1569,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1570,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
1571,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1572,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1573,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1574,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
1575,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
1576,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Water
1577,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1578,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
1579,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1580,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
1581,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
1582,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Bareland
1583,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
1584,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Forest
1585,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
1586,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
1587,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1588,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
1589,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
1590,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
1591,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
1592,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
1593,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
1594,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
1595,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Water
1596,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
