Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R
381,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
382,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
383,Water,Water,Water,Non_Water,Water,Water,Water,Water
384,Water,Water,Water,Non_Water,Water,Water,Water,Forest
385,Water,Water,Water,Non_Water,Water,Water,Forest,Water
386,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
387,Water,Water,Water,Water,Water,NULL,Wetland,Water
388,Water,Water,Water,Water,Water,NULL,Wetland,Forest
389,Water,Water,Water,Water,Water,NULL,Water,Water
390,Water,Water,Water,Water,Water,NULL,Water,Forest
391,Water,Water,Water,Water,Water,NULL,Forest,Water
392,Water,Water,Water,Water,Water,NULL,Forest,Forest
393,Water,Water,Water,Water,Water,Bareland,Wetland,Water
394,Water,Water,Water,Water,Water,Bareland,Water,Water
395,Water,Water,Water,Water,Water,Bareland,Water,Forest
396,Water,Water,Water,Water,Water,Water,Wetland,Water
397,Water,Water,Water,Water,Water,Water,Wetland,Forest
398,Water,Water,Water,Water,Water,Water,Water,Grassland
399,Water,Water,Water,Water,Water,Water,Water,Wetland
400,Water,Water,Water,Water,Water,Water,Water,Water
401,Water,Water,Water,Water,Water,Water,Water,Forest
402,Water,Water,Water,Water,Water,Water,Forest,Water
403,Water,Water,Water,Water,Water,Water,Forest,Forest
404,Water,Water,Water,Water,Water,Forest,Wetland,Water
405,Water,Water,Water,Water,Water,Forest,Wetland,Forest
406,Water,Water,Water,Water,Water,Forest,Water,Water
407,Water,Water,Water,Water,Water,Forest,Water,Forest
408,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
409,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
410,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
411,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
412,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
413,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
414,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
415,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
416,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
417,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
418,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
419,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
420,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
421,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
422,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
423,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
424,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
425,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
426,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
427,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
428,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
429,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
430,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
431,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
432,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
433,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
434,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
435,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
436,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
437,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
438,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
439,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
440,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
441,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
442,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
443,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
444,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
445,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
446,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Forest
447,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
448,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
449,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
450,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
451,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
452,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
453,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
454,Water,Forest,NULL,Water,Non_Wetland,Water,Water,Forest
455,Water,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
456,Water,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Forest
457,Water,Forest,Wetland,Water,Wetland,Bareland,Water,Water
458,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
459,Water,Forest,Water,Water,Water,Bareland,Water,Water
460,Water,Forest,Water,Water,Water,Bareland,Water,Forest
461,Water,Forest,Water,Water,Water,Water,Wetland,Water
462,Water,Forest,Water,Water,Water,Water,Water,Water
463,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
464,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water,Wetland,Water
465,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water,Water,Water
466,Permanent_ice_and_snow,Water,Water,Non_Water,Water,Bareland,Water,Grassland
467,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
468,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
469,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
470,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
471,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Grassland
472,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
473,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
474,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
475,Forest,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
476,Forest,NULL,Wetland,Water,Wetland,Bareland,Water,Water
477,Forest,NULL,Wetland,Water,Wetland,Water,Water,Water
478,Forest,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
479,Forest,NULL,Water,Non_Water,Water,Water,Water,Water
480,Forest,NULL,Water,Water,Water,Bareland,Water,Water
481,Forest,NULL,Water,Water,Water,Water,Water,Water
482,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
483,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
484,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
485,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
486,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
487,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
488,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
489,Forest,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
490,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
491,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Water
492,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
493,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
494,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
495,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
496,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Water
497,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
498,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Water,Forest
499,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
500,Forest,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Water
501,Forest,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
502,Forest,Wetland,Wetland,NULL,Wetland,Forest,Forest,Water
503,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
504,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
505,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
506,Forest,Wetland,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
507,Forest,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Forest
508,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
509,Forest,Wetland,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
510,Forest,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
511,Forest,Wetland,Water,NULL,Water,Bareland,Wetland,Grassland
512,Forest,Wetland,Water,NULL,Water,Bareland,Wetland,Forest
513,Forest,Wetland,Water,NULL,Water,Water,Wetland,Grassland
514,Forest,Wetland,Water,NULL,Water,Water,Wetland,Water
515,Forest,Wetland,Water,Water,Water,Bareland,Wetland,Forest
516,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
517,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
518,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
519,Forest,Wetland,Forest,NULL,Non_Wetland,Bareland,Water,Forest
520,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
521,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
522,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
523,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
524,Forest,Wetland,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
525,Forest,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
526,Forest,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
527,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
528,Forest,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
529,Forest,Bareland,Built-up,Water,Non_Wetland,Water,Water,Water
530,Forest,Bareland,Water,Water,Water,Water,Water,Water
531,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
532,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
533,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
534,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
535,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Water
536,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
537,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
538,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
539,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
540,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
541,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
542,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
543,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
544,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
545,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
546,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
547,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
548,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
549,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
550,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
551,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
552,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
553,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
554,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
555,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
556,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
557,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
558,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
559,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
560,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
561,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
562,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
563,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
564,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
565,Forest,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Water
566,Forest,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
567,Forest,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Water
568,Forest,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
569,Forest,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
570,Forest,Water,NULL,Water,Non_Wetland,Bareland,Water,Forest
571,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
572,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
573,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
574,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
575,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Water
576,Forest,Water,NULL,Water,Non_Wetland,Forest,Water,Water
577,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
578,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
579,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
580,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
581,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
582,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
583,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
584,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
585,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
586,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
587,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
588,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
589,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
590,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
591,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
592,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
593,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
594,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
595,Forest,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
596,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
597,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
598,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
599,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
600,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
601,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
602,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
603,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Water
604,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
605,Forest,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
606,Forest,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
607,Forest,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
608,Forest,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
609,Forest,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
610,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
611,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
612,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
613,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
614,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
615,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
616,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
617,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
618,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
619,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
620,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Grassland
621,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
622,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
623,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
624,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
625,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
626,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
627,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
628,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
629,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
630,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
631,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
632,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
633,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
634,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Water,Water
635,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
636,Forest,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
637,Forest,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
638,Forest,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
639,Forest,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
640,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
641,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
642,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
643,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
644,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
645,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
646,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
647,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
648,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
649,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
650,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
651,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
652,Forest,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
653,Forest,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
654,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
655,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Water
656,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
657,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Grassland
658,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
659,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
660,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
661,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
662,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
663,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
664,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
665,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
666,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
667,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
668,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
669,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
670,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
671,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
672,Forest,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
673,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
674,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Water
675,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
676,Forest,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
677,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
678,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
679,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
680,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
681,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
682,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
683,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
684,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
685,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
686,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
687,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
688,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
689,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
690,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
691,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
692,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
693,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
694,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
695,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
696,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
697,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
698,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
699,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
700,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
701,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
702,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
703,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
704,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
705,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
706,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
707,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
708,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
709,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
710,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
711,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Forest,Water
712,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Forest,Forest
713,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
714,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
715,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
716,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
717,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
718,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
719,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
720,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
721,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
722,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
723,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
724,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
725,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
726,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
727,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
728,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
729,Forest,Water,Wetland,Water,Wetland,NULL,Water,Grassland
730,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
731,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
732,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
733,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Forest
734,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
735,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
736,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
737,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
738,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Forest
739,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
740,Forest,Water,Wetland,Water,Wetland,Bareland,Wetland,Forest
741,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
742,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
743,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Forest
744,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
745,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
746,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
747,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
748,Forest,Water,Wetland,Water,Wetland,Water,Water,Wetland
749,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
750,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
751,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
752,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
753,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
754,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
755,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
756,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
757,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
758,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
759,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
