Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R
462,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
463,Water,Water,Forest,Non_Water,Non_Wetland,Built-up
464,Water,Water,Forest,Non_Water,Non_Wetland,Water
465,Water,Water,Forest,Non_Water,Non_Wetland,Forest
466,Water,Water,Forest,Water,Non_Wetland,Wetland
467,Water,Water,Forest,Water,Non_Wetland,Water
468,Water,Water,Forest,Water,Non_Wetland,Forest
469,Water,Forest,Grassland,Non_Water,Non_Wetland,Grassland
470,Water,Forest,Wetland,NULL,Wetland,Grassland
471,Water,Forest,Wetland,NULL,Wetland,Wetland
472,Water,Forest,Wetland,NULL,Wetland,Bareland
473,Water,Forest,Wetland,NULL,Wetland,Water
474,Water,Forest,Wetland,NULL,Wetland,Forest
475,Water,Forest,Wetland,Non_Water,NULL,Wetland
476,Water,Forest,Wetland,Non_Water,Wetland,Grassland
477,Water,Forest,Wetland,Non_Water,Wetland,Wetland
478,Water,Forest,Wetland,Non_Water,Wetland,Bareland
479,Water,Forest,Wetland,Non_Water,Wetland,Built-up
480,Water,Forest,Wetland,Non_Water,Wetland,Water
481,Water,Forest,Wetland,Non_Water,Wetland,Forest
482,Water,Forest,Wetland,Water,Wetland,Grassland
483,Water,Forest,Wetland,Water,Wetland,Wetland
484,Water,Forest,Wetland,Water,Wetland,Water
485,Water,Forest,Wetland,Water,Wetland,Forest
486,Water,Forest,Built-up,NULL,Non_Wetland,Built-up
487,Water,Forest,Built-up,NULL,Non_Wetland,Forest
488,Water,Forest,Built-up,Water,Non_Wetland,Forest
489,Water,Forest,Water,NULL,NULL,Forest
490,Water,Forest,Water,NULL,Water,Wetland
491,Water,Forest,Water,NULL,Water,Water
492,Water,Forest,Water,NULL,Water,Forest
493,Water,Forest,Water,Non_Water,Water,Wetland
494,Water,Forest,Water,Non_Water,Water,Water
495,Water,Forest,Water,Non_Water,Water,Forest
496,Water,Forest,Water,Water,Water,Wetland
497,Water,Forest,Water,Water,Water,Water
498,Water,Forest,Water,Water,Water,Forest
499,Water,Forest,Forest,NULL,Non_Wetland,Grassland
500,Water,Forest,Forest,NULL,Non_Wetland,Wetland
501,Water,Forest,Forest,NULL,Non_Wetland,Bareland
502,Water,Forest,Forest,NULL,Non_Wetland,Water
503,Water,Forest,Forest,NULL,Non_Wetland,Forest
504,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland
505,Water,Forest,Forest,Non_Water,Non_Wetland,Water
506,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
507,Water,Forest,Forest,Water,Non_Wetland,Water
508,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,Wetland
509,Permanent_ice_and_snow,Wetland,Wetland,Non_Water,Wetland,Wetland
510,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Grassland
511,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland
512,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water
513,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Forest
514,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water
515,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Forest
516,Permanent_ice_and_snow,Water,Water,NULL,Water,Water
517,Permanent_ice_and_snow,Water,Water,NULL,Water,Forest
518,Permanent_ice_and_snow,Water,Water,Non_Water,Water,Water
519,Permanent_ice_and_snow,Water,Water,Water,Water,Water
520,Permanent_ice_and_snow,Water,Water,Water,Water,Forest
521,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Forest
522,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,Forest
523,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Grassland
524,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Wetland
525,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Forest
526,Permanent_ice_and_snow,Forest,Wetland,Non_Water,Wetland,Wetland
527,Permanent_ice_and_snow,Forest,Wetland,Non_Water,Wetland,Forest
528,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Wetland
529,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest
530,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,Forest
531,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
532,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
533,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
534,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
535,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
536,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
537,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
538,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
539,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
540,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
541,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland
542,Forest,NULL,Grassland,Water,Non_Wetland,Grassland
543,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
544,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
545,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
546,Forest,NULL,Wetland,NULL,Wetland,NULL
547,Forest,NULL,Wetland,NULL,Wetland,Grassland
548,Forest,NULL,Wetland,NULL,Wetland,Wetland
549,Forest,NULL,Wetland,NULL,Wetland,Bareland
550,Forest,NULL,Wetland,NULL,Wetland,Water
551,Forest,NULL,Wetland,NULL,Wetland,Forest
552,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
553,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
554,Forest,NULL,Wetland,Non_Water,Wetland,Water
555,Forest,NULL,Wetland,Non_Water,Wetland,Forest
556,Forest,NULL,Wetland,Water,Wetland,Grassland
557,Forest,NULL,Wetland,Water,Wetland,Wetland
558,Forest,NULL,Wetland,Water,Wetland,Water
559,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
560,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland
561,Forest,NULL,Built-up,Non_Water,Non_Wetland,Grassland
562,Forest,NULL,Water,NULL,Water,Grassland
563,Forest,NULL,Water,NULL,Water,Wetland
564,Forest,NULL,Water,Non_Water,Water,Wetland
565,Forest,NULL,Water,Water,Water,Wetland
566,Forest,NULL,Water,Water,Water,Water
567,Forest,NULL,Forest,NULL,Non_Wetland,NULL
568,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
569,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
570,Forest,NULL,Forest,NULL,Non_Wetland,Forest
571,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
572,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
573,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
574,Forest,Wetland,Wetland,NULL,Wetland,Grassland
575,Forest,Wetland,Wetland,NULL,Wetland,Wetland
576,Forest,Wetland,Wetland,NULL,Wetland,Water
577,Forest,Wetland,Wetland,NULL,Wetland,Forest
578,Forest,Wetland,Wetland,Non_Water,Wetland,Grassland
579,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland
580,Forest,Wetland,Wetland,Non_Water,Wetland,Water
581,Forest,Wetland,Wetland,Non_Water,Wetland,Forest
582,Forest,Wetland,Wetland,Water,Wetland,Wetland
583,Forest,Wetland,Wetland,Water,Wetland,Water
584,Forest,Wetland,Water,NULL,Water,Forest
585,Forest,Wetland,Water,Water,Water,Wetland
586,Forest,Wetland,Water,Water,Water,Water
587,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
588,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
589,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
590,Forest,Wetland,Forest,Non_Water,Non_Wetland,Wetland
591,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest
592,Forest,Bareland,Wetland,Non_Water,Wetland,Water
593,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
594,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
595,Forest,Built-up,Wetland,NULL,Wetland,Built-up
596,Forest,Built-up,Wetland,NULL,Wetland,Forest
597,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
598,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
599,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
600,Forest,Water,NULL,Water,Non_Wetland,Grassland
601,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
602,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland
603,Forest,Water,Shrubland,NULL,Non_Wetland,Built-up
604,Forest,Water,Shrubland,NULL,Non_Wetland,Water
605,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
606,Forest,Water,Shrubland,Non_Water,Non_Wetland,Built-up
607,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
608,Forest,Water,Shrubland,Water,Non_Wetland,Water
609,Forest,Water,Cropland,NULL,Non_Wetland,Forest
610,Forest,Water,Cropland,Non_Water,Non_Wetland,Wetland
611,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
612,Forest,Water,Wetland,NULL,NULL,Wetland
613,Forest,Water,Wetland,NULL,NULL,Water
614,Forest,Water,Wetland,NULL,NULL,Forest
615,Forest,Water,Wetland,NULL,Wetland,Grassland
616,Forest,Water,Wetland,NULL,Wetland,Cropland
617,Forest,Water,Wetland,NULL,Wetland,Wetland
618,Forest,Water,Wetland,NULL,Wetland,Bareland
619,Forest,Water,Wetland,NULL,Wetland,Water
620,Forest,Water,Wetland,NULL,Wetland,Forest
621,Forest,Water,Wetland,Non_Water,NULL,Wetland
622,Forest,Water,Wetland,Non_Water,NULL,Water
623,Forest,Water,Wetland,Non_Water,NULL,Forest
624,Forest,Water,Wetland,Non_Water,Wetland,Grassland
625,Forest,Water,Wetland,Non_Water,Wetland,Cropland
626,Forest,Water,Wetland,Non_Water,Wetland,Wetland
627,Forest,Water,Wetland,Non_Water,Wetland,Bareland
628,Forest,Water,Wetland,Non_Water,Wetland,Built-up
629,Forest,Water,Wetland,Non_Water,Wetland,Water
630,Forest,Water,Wetland,Non_Water,Wetland,Forest
631,Forest,Water,Wetland,Water,NULL,Wetland
632,Forest,Water,Wetland,Water,NULL,Water
633,Forest,Water,Wetland,Water,Wetland,Grassland
634,Forest,Water,Wetland,Water,Wetland,Wetland
635,Forest,Water,Wetland,Water,Wetland,Bareland
636,Forest,Water,Wetland,Water,Wetland,Water
637,Forest,Water,Wetland,Water,Wetland,Forest
638,Forest,Water,Bareland,NULL,Non_Wetland,Water
639,Forest,Water,Bareland,NULL,Non_Wetland,Forest
640,Forest,Water,Bareland,Non_Water,Non_Wetland,Water
641,Forest,Water,Built-up,NULL,Non_Wetland,Grassland
642,Forest,Water,Built-up,NULL,Non_Wetland,Built-up
643,Forest,Water,Built-up,NULL,Non_Wetland,Water
644,Forest,Water,Built-up,NULL,Non_Wetland,Forest
645,Forest,Water,Built-up,Non_Water,Non_Wetland,Grassland
646,Forest,Water,Built-up,Non_Water,Non_Wetland,Wetland
647,Forest,Water,Built-up,Non_Water,Non_Wetland,Built-up
648,Forest,Water,Built-up,Water,Non_Wetland,Grassland
649,Forest,Water,Built-up,Water,Non_Wetland,Built-up
650,Forest,Water,Built-up,Water,Non_Wetland,Water
651,Forest,Water,Water,NULL,NULL,Wetland
652,Forest,Water,Water,NULL,NULL,Water
653,Forest,Water,Water,NULL,NULL,Forest
654,Forest,Water,Water,NULL,Water,Grassland
655,Forest,Water,Water,NULL,Water,Wetland
656,Forest,Water,Water,NULL,Water,Water
657,Forest,Water,Water,NULL,Water,Forest
658,Forest,Water,Water,Non_Water,NULL,Grassland
659,Forest,Water,Water,Non_Water,NULL,Wetland
660,Forest,Water,Water,Non_Water,NULL,Water
661,Forest,Water,Water,Non_Water,Water,Grassland
662,Forest,Water,Water,Non_Water,Water,Wetland
663,Forest,Water,Water,Non_Water,Water,Water
664,Forest,Water,Water,Non_Water,Water,Forest
665,Forest,Water,Water,Water,NULL,Wetland
666,Forest,Water,Water,Water,NULL,Water
667,Forest,Water,Water,Water,NULL,Forest
668,Forest,Water,Water,Water,Water,Grassland
669,Forest,Water,Water,Water,Water,Wetland
670,Forest,Water,Water,Water,Water,Bareland
671,Forest,Water,Water,Water,Water,Water
672,Forest,Water,Water,Water,Water,Forest
673,Forest,Water,Forest,NULL,Non_Wetland,Grassland
674,Forest,Water,Forest,NULL,Non_Wetland,Wetland
675,Forest,Water,Forest,NULL,Non_Wetland,Bareland
676,Forest,Water,Forest,NULL,Non_Wetland,Water
677,Forest,Water,Forest,NULL,Non_Wetland,Forest
678,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland
679,Forest,Water,Forest,Non_Water,Non_Wetland,Water
680,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
681,Forest,Water,Forest,Water,Non_Wetland,Wetland
682,Forest,Water,Forest,Water,Non_Wetland,Water
683,Forest,Water,Forest,Water,Non_Wetland,Forest
684,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
685,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
686,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
687,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
688,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
689,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
690,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Built-up
691,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
692,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
693,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
694,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
695,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
696,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland
697,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
698,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
699,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
700,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
701,Forest,Forest,Wetland,NULL,NULL,Wetland
702,Forest,Forest,Wetland,NULL,NULL,Water
703,Forest,Forest,Wetland,NULL,NULL,Forest
704,Forest,Forest,Wetland,NULL,Wetland,NULL
705,Forest,Forest,Wetland,NULL,Wetland,Grassland
706,Forest,Forest,Wetland,NULL,Wetland,Cropland
707,Forest,Forest,Wetland,NULL,Wetland,Wetland
708,Forest,Forest,Wetland,NULL,Wetland,Bareland
709,Forest,Forest,Wetland,NULL,Wetland,Built-up
710,Forest,Forest,Wetland,NULL,Wetland,Water
711,Forest,Forest,Wetland,NULL,Wetland,Forest
712,Forest,Forest,Wetland,Non_Water,NULL,Grassland
713,Forest,Forest,Wetland,Non_Water,NULL,Wetland
714,Forest,Forest,Wetland,Non_Water,NULL,Water
715,Forest,Forest,Wetland,Non_Water,NULL,Forest
716,Forest,Forest,Wetland,Non_Water,Wetland,NULL
717,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
718,Forest,Forest,Wetland,Non_Water,Wetland,Cropland
719,Forest,Forest,Wetland,Non_Water,Wetland,Wetland
720,Forest,Forest,Wetland,Non_Water,Wetland,Bareland
721,Forest,Forest,Wetland,Non_Water,Wetland,Built-up
722,Forest,Forest,Wetland,Non_Water,Wetland,Water
723,Forest,Forest,Wetland,Non_Water,Wetland,Forest
724,Forest,Forest,Wetland,Water,NULL,Water
725,Forest,Forest,Wetland,Water,Wetland,Grassland
726,Forest,Forest,Wetland,Water,Wetland,Wetland
727,Forest,Forest,Wetland,Water,Wetland,Bareland
728,Forest,Forest,Wetland,Water,Wetland,Water
729,Forest,Forest,Wetland,Water,Wetland,Forest
730,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
731,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
732,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
733,Forest,Forest,Built-up,NULL,Non_Wetland,Wetland
734,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
735,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
736,Forest,Forest,Built-up,Non_Water,Non_Wetland,Grassland
737,Forest,Forest,Built-up,Non_Water,Non_Wetland,Wetland
738,Forest,Forest,Built-up,Non_Water,Non_Wetland,Built-up
739,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
740,Forest,Forest,Built-up,Water,Non_Wetland,Wetland
741,Forest,Forest,Built-up,Water,Non_Wetland,Forest
742,Forest,Forest,Water,NULL,NULL,Wetland
743,Forest,Forest,Water,NULL,NULL,Water
744,Forest,Forest,Water,NULL,NULL,Forest
745,Forest,Forest,Water,NULL,Water,Grassland
746,Forest,Forest,Water,NULL,Water,Wetland
747,Forest,Forest,Water,NULL,Water,Bareland
748,Forest,Forest,Water,NULL,Water,Water
749,Forest,Forest,Water,NULL,Water,Forest
750,Forest,Forest,Water,Non_Water,NULL,Wetland
751,Forest,Forest,Water,Non_Water,NULL,Water
752,Forest,Forest,Water,Non_Water,NULL,Forest
753,Forest,Forest,Water,Non_Water,Water,Grassland
754,Forest,Forest,Water,Non_Water,Water,Wetland
755,Forest,Forest,Water,Non_Water,Water,Water
756,Forest,Forest,Water,Non_Water,Water,Forest
757,Forest,Forest,Water,Water,NULL,Wetland
758,Forest,Forest,Water,Water,NULL,Water
759,Forest,Forest,Water,Water,NULL,Forest
760,Forest,Forest,Water,Water,Water,Grassland
761,Forest,Forest,Water,Water,Water,Wetland
762,Forest,Forest,Water,Water,Water,Bareland
763,Forest,Forest,Water,Water,Water,Water
764,Forest,Forest,Water,Water,Water,Forest
765,Forest,Forest,Forest,NULL,Non_Wetland,NULL
766,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
767,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
768,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
769,Forest,Forest,Forest,NULL,Non_Wetland,Water
770,Forest,Forest,Forest,NULL,Non_Wetland,Forest
771,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
772,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland
773,Forest,Forest,Forest,Non_Water,Non_Wetland,Bareland
774,Forest,Forest,Forest,Non_Water,Non_Wetland,Built-up
775,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
776,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
777,Forest,Forest,Forest,Water,Non_Wetland,Wetland
778,Forest,Forest,Forest,Water,Non_Wetland,Water
779,Forest,Forest,Forest,Water,Non_Wetland,Forest
