Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R
441,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
442,Wetland,Water,Shrubland,Water,Non_Wetland,Water
443,Wetland,Water,Wetland,Water,Wetland,Bareland
444,Wetland,Water,Wetland,Water,Wetland,Water
445,Wetland,Water,Water,Water,Water,Grassland
446,Wetland,Water,Water,Water,Water,Water
447,Wetland,Water,Water,Water,Water,Forest
448,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
449,Wetland,Water,Forest,NULL,Non_Wetland,Forest
450,Wetland,Water,Forest,Non_Water,Non_Wetland,Water
451,Wetland,Water,Forest,Water,Non_Wetland,Forest
452,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
453,Wetland,Forest,Shrubland,Water,Non_Wetland,Forest
454,Wetland,Forest,Water,Water,Water,Water
455,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
456,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
457,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
458,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
459,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
460,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
461,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water
462,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
463,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
464,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
465,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
466,Bareland,NULL,Shrubland,Water,Non_Wetland,Forest
467,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
468,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
469,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water
470,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
471,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
472,Bareland,NULL,Grassland,Water,Non_Wetland,Water
473,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
474,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
475,Bareland,NULL,Wetland,NULL,Wetland,Grassland
476,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
477,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
478,Bareland,NULL,Wetland,Non_Water,Wetland,Water
479,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
480,Bareland,NULL,Wetland,Water,Wetland,Grassland
481,Bareland,NULL,Wetland,Water,Wetland,Bareland
482,Bareland,NULL,Wetland,Water,Wetland,Water
483,Bareland,NULL,Wetland,Water,Wetland,Forest
484,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
485,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Forest
486,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
487,Bareland,NULL,Bareland,Water,Non_Wetland,Water
488,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
489,Bareland,NULL,Water,NULL,Water,Grassland
490,Bareland,NULL,Water,NULL,Water,Bareland
491,Bareland,NULL,Water,NULL,Water,Water
492,Bareland,NULL,Water,NULL,Water,Forest
493,Bareland,NULL,Water,Non_Water,Water,Grassland
494,Bareland,NULL,Water,Non_Water,Water,Bareland
495,Bareland,NULL,Water,Non_Water,Water,Water
496,Bareland,NULL,Water,Non_Water,Water,Forest
497,Bareland,NULL,Water,Water,Water,Grassland
498,Bareland,NULL,Water,Water,Water,Bareland
499,Bareland,NULL,Water,Water,Water,Water
500,Bareland,NULL,Water,Water,Water,Forest
501,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
502,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
503,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up
504,Bareland,NULL,Forest,NULL,Non_Wetland,Water
505,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
506,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
507,Bareland,NULL,Forest,Non_Water,Non_Wetland,Water
508,Bareland,NULL,Forest,Non_Water,Non_Wetland,Forest
509,Bareland,NULL,Forest,Water,Non_Wetland,Bareland
510,Bareland,NULL,Forest,Water,Non_Wetland,Water
511,Bareland,NULL,Forest,Water,Non_Wetland,Forest
512,Bareland,Cropland,Wetland,Water,Wetland,Water
513,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
514,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
515,Bareland,Wetland,Wetland,Non_Water,Wetland,Forest
516,Bareland,Wetland,Wetland,Water,Wetland,Water
517,Bareland,Wetland,Water,Non_Water,Water,Bareland
518,Bareland,Wetland,Water,Water,Water,Water
519,Bareland,Wetland,Forest,Non_Water,Non_Wetland,Forest
520,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
521,Bareland,Bareland,NULL,Water,Non_Wetland,Water
522,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
523,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
524,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
525,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Forest
526,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
527,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
528,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
529,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
530,Bareland,Bareland,Shrubland,Water,Non_Wetland,Grassland
531,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
532,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
533,Bareland,Bareland,Shrubland,Water,Non_Wetland,Forest
534,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
535,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
536,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
537,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
538,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
539,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water
540,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Forest
541,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
542,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
543,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
544,Bareland,Bareland,Grassland,Water,Non_Wetland,Forest
545,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
546,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
547,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
548,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
549,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
550,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
551,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Forest
552,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
553,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
554,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
555,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
556,Bareland,Bareland,Wetland,NULL,Wetland,Water
557,Bareland,Bareland,Wetland,NULL,Wetland,Forest
558,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
559,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
560,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
561,Bareland,Bareland,Wetland,Non_Water,Wetland,Forest
562,Bareland,Bareland,Wetland,Water,Wetland,Grassland
563,Bareland,Bareland,Wetland,Water,Wetland,Bareland
564,Bareland,Bareland,Wetland,Water,Wetland,Water
565,Bareland,Bareland,Wetland,Water,Wetland,Forest
566,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
567,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
568,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
569,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
570,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
571,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
572,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
573,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Forest
574,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
575,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
576,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
577,Bareland,Bareland,Bareland,Water,Non_Wetland,Forest
578,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
579,Bareland,Bareland,Water,NULL,Water,Grassland
580,Bareland,Bareland,Water,NULL,Water,Bareland
581,Bareland,Bareland,Water,NULL,Water,Water
582,Bareland,Bareland,Water,NULL,Water,Forest
583,Bareland,Bareland,Water,Non_Water,Water,Grassland
584,Bareland,Bareland,Water,Non_Water,Water,Bareland
585,Bareland,Bareland,Water,Non_Water,Water,Water
586,Bareland,Bareland,Water,Non_Water,Water,Forest
587,Bareland,Bareland,Water,Water,Water,Grassland
588,Bareland,Bareland,Water,Water,Water,Bareland
589,Bareland,Bareland,Water,Water,Water,Water
590,Bareland,Bareland,Water,Water,Water,Forest
591,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
592,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
593,Bareland,Bareland,Forest,NULL,Non_Wetland,Water
594,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
595,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Grassland
596,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Bareland
597,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
598,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Forest
599,Bareland,Bareland,Forest,Water,Non_Wetland,Grassland
600,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland
601,Bareland,Bareland,Forest,Water,Non_Wetland,Water
602,Bareland,Bareland,Forest,Water,Non_Wetland,Forest
603,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
604,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
605,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Water
606,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Forest
607,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest
608,Bareland,Built-up,Wetland,Water,Wetland,Water
609,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
610,Bareland,Built-up,Water,Water,Water,Water
611,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
612,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
613,Bareland,Water,NULL,Non_Water,Non_Wetland,Water
614,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
615,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
616,Bareland,Water,Shrubland,NULL,Non_Wetland,Water
617,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
618,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
619,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
620,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
621,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Forest
622,Bareland,Water,Shrubland,Water,Non_Wetland,Grassland
623,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
624,Bareland,Water,Shrubland,Water,Non_Wetland,Water
625,Bareland,Water,Shrubland,Water,Non_Wetland,Forest
626,Bareland,Water,Grassland,NULL,Non_Wetland,Forest
627,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland
628,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
629,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water
630,Bareland,Water,Grassland,Non_Water,Non_Wetland,Forest
631,Bareland,Water,Grassland,Water,Non_Wetland,Grassland
632,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
633,Bareland,Water,Grassland,Water,Non_Wetland,Water
634,Bareland,Water,Grassland,Water,Non_Wetland,Forest
635,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
636,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
637,Bareland,Water,Cropland,NULL,Non_Wetland,Water
638,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
639,Bareland,Water,Cropland,Non_Water,Non_Wetland,Grassland
640,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland
641,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
642,Bareland,Water,Cropland,Non_Water,Non_Wetland,Forest
643,Bareland,Water,Cropland,Water,Non_Wetland,Water
644,Bareland,Water,Cropland,Water,Non_Wetland,Forest
645,Bareland,Water,Wetland,NULL,Wetland,Water
646,Bareland,Water,Wetland,NULL,Wetland,Forest
647,Bareland,Water,Wetland,Non_Water,Wetland,Grassland
648,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
649,Bareland,Water,Wetland,Non_Water,Wetland,Water
650,Bareland,Water,Wetland,Non_Water,Wetland,Forest
651,Bareland,Water,Wetland,Water,Wetland,Grassland
652,Bareland,Water,Wetland,Water,Wetland,Bareland
653,Bareland,Water,Wetland,Water,Wetland,Water
654,Bareland,Water,Wetland,Water,Wetland,Forest
655,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
656,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
657,Bareland,Water,Bareland,NULL,Non_Wetland,Water
658,Bareland,Water,Bareland,NULL,Non_Wetland,Forest
659,Bareland,Water,Bareland,Non_Water,Non_Wetland,Grassland
660,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
661,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
662,Bareland,Water,Bareland,Non_Water,Non_Wetland,Forest
663,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
664,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
665,Bareland,Water,Bareland,Water,Non_Wetland,Water
666,Bareland,Water,Bareland,Water,Non_Wetland,Forest
667,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
668,Bareland,Water,Built-up,Water,Non_Wetland,Grassland
669,Bareland,Water,Built-up,Water,Non_Wetland,Water
670,Bareland,Water,Water,NULL,Water,Grassland
671,Bareland,Water,Water,NULL,Water,Bareland
672,Bareland,Water,Water,NULL,Water,Water
673,Bareland,Water,Water,NULL,Water,Forest
674,Bareland,Water,Water,Non_Water,Water,Grassland
675,Bareland,Water,Water,Non_Water,Water,Bareland
676,Bareland,Water,Water,Non_Water,Water,Water
677,Bareland,Water,Water,Non_Water,Water,Forest
678,Bareland,Water,Water,Water,Water,Grassland
679,Bareland,Water,Water,Water,Water,Bareland
680,Bareland,Water,Water,Water,Water,Water
681,Bareland,Water,Water,Water,Water,Forest
682,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
683,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
684,Bareland,Water,Forest,NULL,Non_Wetland,Water
685,Bareland,Water,Forest,NULL,Non_Wetland,Forest
686,Bareland,Water,Forest,Non_Water,Non_Wetland,Grassland
687,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland
688,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
689,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
690,Bareland,Water,Forest,Water,Non_Wetland,Grassland
691,Bareland,Water,Forest,Water,Non_Wetland,Bareland
692,Bareland,Water,Forest,Water,Non_Wetland,Water
693,Bareland,Water,Forest,Water,Non_Wetland,Forest
694,Bareland,Forest,NULL,Non_Water,Non_Wetland,Forest
695,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
696,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
697,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
698,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
699,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
700,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Water
701,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
702,Bareland,Forest,Shrubland,Water,Non_Wetland,Grassland
703,Bareland,Forest,Shrubland,Water,Non_Wetland,Water
704,Bareland,Forest,Shrubland,Water,Non_Wetland,Forest
705,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
706,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Bareland
707,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Forest
708,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
709,Bareland,Forest,Cropland,NULL,Non_Wetland,Built-up
710,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
711,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
712,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Water
713,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Forest
714,Bareland,Forest,Wetland,Non_Water,Wetland,Grassland
715,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
716,Bareland,Forest,Wetland,Water,Wetland,Bareland
717,Bareland,Forest,Wetland,Water,Wetland,Water
718,Bareland,Forest,Wetland,Water,Wetland,Forest
719,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Bareland
720,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water
721,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Forest
722,Bareland,Forest,Bareland,Water,Non_Wetland,Water
723,Bareland,Forest,Bareland,Water,Non_Wetland,Forest
724,Bareland,Forest,Built-up,NULL,Non_Wetland,Forest
725,Bareland,Forest,Water,NULL,Water,Forest
726,Bareland,Forest,Water,Non_Water,Water,Grassland
727,Bareland,Forest,Water,Non_Water,Water,Bareland
728,Bareland,Forest,Water,Non_Water,Water,Forest
729,Bareland,Forest,Water,Water,Water,Grassland
730,Bareland,Forest,Water,Water,Water,Water
731,Bareland,Forest,Water,Water,Water,Forest
732,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
733,Bareland,Forest,Forest,NULL,Non_Wetland,Water
734,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
735,Bareland,Forest,Forest,Non_Water,Non_Wetland,Grassland
736,Bareland,Forest,Forest,Non_Water,Non_Wetland,Bareland
737,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water
738,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest
739,Bareland,Forest,Forest,Water,Non_Wetland,Bareland
740,Bareland,Forest,Forest,Water,Non_Wetland,Forest
741,Water,NULL,NULL,NULL,Non_Wetland,Forest
742,Water,NULL,NULL,Water,Non_Wetland,Forest
743,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
744,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
745,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
746,Water,NULL,Shrubland,NULL,Non_Wetland,Water
747,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
748,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
749,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
750,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
751,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
752,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
753,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
754,Water,NULL,Shrubland,Water,Non_Wetland,Water
755,Water,NULL,Shrubland,Water,Non_Wetland,Forest
756,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
757,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
758,Water,NULL,Grassland,NULL,Non_Wetland,Water
759,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
760,Water,NULL,Grassland,Water,Non_Wetland,Bareland
761,Water,NULL,Grassland,Water,Non_Wetland,Water
762,Water,NULL,Grassland,Water,Non_Wetland,Forest
763,Water,NULL,Cropland,NULL,Non_Wetland,Water
764,Water,NULL,Wetland,NULL,Wetland,Grassland
765,Water,NULL,Wetland,NULL,Wetland,Bareland
766,Water,NULL,Wetland,NULL,Wetland,Water
767,Water,NULL,Wetland,NULL,Wetland,Forest
768,Water,NULL,Wetland,Non_Water,Wetland,Bareland
769,Water,NULL,Wetland,Non_Water,Wetland,Water
770,Water,NULL,Wetland,Non_Water,Wetland,Forest
771,Water,NULL,Wetland,Water,Wetland,Bareland
772,Water,NULL,Wetland,Water,Wetland,Water
773,Water,NULL,Wetland,Water,Wetland,Forest
774,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
775,Water,NULL,Bareland,NULL,Non_Wetland,Water
776,Water,NULL,Bareland,Non_Water,Non_Wetland,Water
777,Water,NULL,Bareland,Non_Water,Non_Wetland,Forest
778,Water,NULL,Bareland,Water,Non_Wetland,Bareland
779,Water,NULL,Water,NULL,Water,Water
780,Water,NULL,Water,NULL,Water,Forest
781,Water,NULL,Water,Non_Water,Water,Grassland
782,Water,NULL,Water,Non_Water,Water,Bareland
783,Water,NULL,Water,Non_Water,Water,Water
784,Water,NULL,Water,Non_Water,Water,Forest
785,Water,NULL,Water,Water,Water,Grassland
786,Water,NULL,Water,Water,Water,Bareland
787,Water,NULL,Water,Water,Water,Water
788,Water,NULL,Water,Water,Water,Forest
789,Water,NULL,Forest,NULL,Non_Wetland,Grassland
790,Water,NULL,Forest,NULL,Non_Wetland,Bareland
791,Water,NULL,Forest,NULL,Non_Wetland,Water
792,Water,NULL,Forest,NULL,Non_Wetland,Forest
793,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
794,Water,NULL,Forest,Non_Water,Non_Wetland,Bareland
795,Water,NULL,Forest,Non_Water,Non_Wetland,Water
796,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
797,Water,NULL,Forest,Water,Non_Wetland,Grassland
798,Water,NULL,Forest,Water,Non_Wetland,Bareland
799,Water,NULL,Forest,Water,Non_Wetland,Water
800,Water,NULL,Forest,Water,Non_Wetland,Forest
801,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
802,Water,Cropland,Shrubland,NULL,Non_Wetland,Water
803,Water,Cropland,Shrubland,NULL,Non_Wetland,Forest
804,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Water
805,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
806,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water
807,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
808,Water,Wetland,Shrubland,Water,Non_Wetland,Water
809,Water,Wetland,Shrubland,Water,Non_Wetland,Forest
810,Water,Wetland,Grassland,Water,Non_Wetland,Water
811,Water,Wetland,Wetland,Non_Water,Wetland,Grassland
812,Water,Wetland,Wetland,Non_Water,Wetland,Water
813,Water,Wetland,Wetland,Non_Water,Wetland,Forest
814,Water,Wetland,Wetland,Water,Wetland,Bareland
815,Water,Wetland,Wetland,Water,Wetland,Water
816,Water,Wetland,Water,Non_Water,Water,Water
817,Water,Wetland,Water,Non_Water,Water,Forest
818,Water,Wetland,Water,Water,Water,Grassland
819,Water,Wetland,Water,Water,Water,Bareland
820,Water,Wetland,Water,Water,Water,Water
821,Water,Wetland,Water,Water,Water,Forest
822,Water,Wetland,Forest,NULL,Non_Wetland,Forest
823,Water,Wetland,Forest,Non_Water,Non_Wetland,Bareland
824,Water,Wetland,Forest,Non_Water,Non_Wetland,Water
825,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest
826,Water,Wetland,Forest,Water,Non_Wetland,Water
827,Water,Wetland,Forest,Water,Non_Wetland,Forest
828,Water,Bareland,NULL,NULL,Non_Wetland,Bareland
829,Water,Bareland,NULL,Non_Water,Non_Wetland,Forest
830,Water,Bareland,NULL,Water,Non_Wetland,Bareland
831,Water,Bareland,NULL,Water,Non_Wetland,Water
832,Water,Bareland,Shrubland,NULL,Non_Wetland,Grassland
833,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
834,Water,Bareland,Shrubland,NULL,Non_Wetland,Water
835,Water,Bareland,Shrubland,NULL,Non_Wetland,Forest
836,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
837,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
838,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Water
839,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
840,Water,Bareland,Shrubland,Water,Non_Wetland,Grassland
841,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland
842,Water,Bareland,Shrubland,Water,Non_Wetland,Water
843,Water,Bareland,Shrubland,Water,Non_Wetland,Forest
844,Water,Bareland,Grassland,NULL,Non_Wetland,Grassland
845,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
846,Water,Bareland,Grassland,NULL,Non_Wetland,Forest
847,Water,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
848,Water,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
849,Water,Bareland,Grassland,Non_Water,Non_Wetland,Water
850,Water,Bareland,Grassland,Non_Water,Non_Wetland,Forest
851,Water,Bareland,Grassland,Water,Non_Wetland,Grassland
852,Water,Bareland,Grassland,Water,Non_Wetland,Bareland
853,Water,Bareland,Grassland,Water,Non_Wetland,Water
854,Water,Bareland,Grassland,Water,Non_Wetland,Forest
855,Water,Bareland,Cropland,NULL,Non_Wetland,Grassland
856,Water,Bareland,Cropland,NULL,Non_Wetland,Bareland
857,Water,Bareland,Cropland,NULL,Non_Wetland,Water
858,Water,Bareland,Cropland,NULL,Non_Wetland,Forest
859,Water,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
860,Water,Bareland,Cropland,Non_Water,Non_Wetland,Water
861,Water,Bareland,Cropland,Non_Water,Non_Wetland,Forest
862,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
863,Water,Bareland,Cropland,Water,Non_Wetland,Water
864,Water,Bareland,Wetland,NULL,Wetland,Grassland
865,Water,Bareland,Wetland,NULL,Wetland,Bareland
866,Water,Bareland,Wetland,NULL,Wetland,Water
867,Water,Bareland,Wetland,NULL,Wetland,Forest
868,Water,Bareland,Wetland,Non_Water,Wetland,Grassland
869,Water,Bareland,Wetland,Non_Water,Wetland,Bareland
870,Water,Bareland,Wetland,Non_Water,Wetland,Water
871,Water,Bareland,Wetland,Non_Water,Wetland,Forest
872,Water,Bareland,Wetland,Water,Wetland,Grassland
873,Water,Bareland,Wetland,Water,Wetland,Bareland
874,Water,Bareland,Wetland,Water,Wetland,Water
875,Water,Bareland,Wetland,Water,Wetland,Forest
876,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
877,Water,Bareland,Bareland,NULL,Non_Wetland,Water
878,Water,Bareland,Bareland,NULL,Non_Wetland,Forest
879,Water,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
880,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
881,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water
882,Water,Bareland,Bareland,Non_Water,Non_Wetland,Forest
883,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
884,Water,Bareland,Bareland,Water,Non_Wetland,Water
885,Water,Bareland,Bareland,Water,Non_Wetland,Forest
886,Water,Bareland,Water,NULL,Water,Grassland
887,Water,Bareland,Water,NULL,Water,Bareland
888,Water,Bareland,Water,NULL,Water,Water
889,Water,Bareland,Water,NULL,Water,Forest
890,Water,Bareland,Water,Non_Water,Water,Grassland
891,Water,Bareland,Water,Non_Water,Water,Bareland
