Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R
2983,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2984,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
2985,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
2986,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2987,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2988,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
2989,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2990,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2991,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2992,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2993,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
2994,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
2995,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2996,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2997,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
2998,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2999,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
3000,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3001,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3002,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3003,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3004,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3005,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3006,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3007,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3008,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3009,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3010,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3011,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
3012,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3013,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3014,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3015,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3016,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3017,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
3018,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3019,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3020,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3021,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3022,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3023,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
3024,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3025,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3026,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3027,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
3028,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
3029,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3030,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3031,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3032,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3033,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3034,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3035,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3036,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
3037,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
3038,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3039,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3040,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
3041,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
3042,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3043,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
3044,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3045,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
3046,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
3047,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
3048,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
3049,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3050,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3051,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3052,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3053,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
3054,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
3055,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
3056,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3057,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3058,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3059,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3060,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3061,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
3062,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
3063,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3064,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
3065,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
3066,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3067,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3068,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3069,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
3070,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
3071,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
3072,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3073,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
3074,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
3075,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3076,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
3077,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
3078,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
3079,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
3080,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3081,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3082,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3083,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3084,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
3085,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3086,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
3087,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
3088,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3089,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3090,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
3091,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
3092,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
3093,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
3094,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3095,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
3096,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3097,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
3098,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3099,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3100,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
3101,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3102,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
3103,Cropland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
3104,Cropland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
3105,Cropland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
3106,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3107,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
3108,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3109,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
3110,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
3111,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
3112,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
3113,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
3114,Cropland,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Forest
3115,Cropland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
3116,Cropland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
3117,Cropland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Bareland
3118,Cropland,NULL,Wetland,NULL,Wetland,Cropland,Water,Bareland
3119,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
3120,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
3121,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
3122,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
3123,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3124,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
3125,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
3126,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
3127,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3128,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
3129,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
3130,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
3131,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
3132,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
3133,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
3134,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
3135,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
3136,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
3137,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
3138,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
3139,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
3140,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
3141,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
3142,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
3143,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
3144,Cropland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
3145,Cropland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
3146,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
3147,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
3148,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
3149,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
3150,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
3151,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
3152,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
3153,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
3154,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
3155,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
3156,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
3157,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3158,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
3159,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3160,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
3161,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
3162,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3163,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
3164,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3165,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3166,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
3167,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3168,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3169,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
3170,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
3171,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3172,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
3173,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
3174,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
3175,Cropland,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
3176,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3177,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3178,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3179,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
3180,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
3181,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
3182,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3183,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3184,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3185,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3186,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
3187,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
3188,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Bareland
3189,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
3190,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
3191,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
3192,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3193,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3194,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3195,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3196,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
3197,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3198,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3199,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3200,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3201,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3202,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
3203,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3204,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
3205,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
3206,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
3207,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3208,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
3209,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
3210,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
3211,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Built-up
3212,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
3213,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
3214,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
3215,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
3216,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
3217,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3218,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3219,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
3220,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3221,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3222,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3223,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
3224,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
3225,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3226,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3227,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3228,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3229,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3230,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3231,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3232,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3233,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3234,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3235,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3236,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3237,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3238,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3239,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3240,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3241,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3242,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3243,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3244,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3245,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
3246,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3247,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3248,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3249,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3250,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3251,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3252,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
3253,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
3254,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3255,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3256,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3257,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3258,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3259,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
3260,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
3261,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3262,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3263,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3264,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
3265,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
3266,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3267,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
3268,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3269,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
3270,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3271,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3272,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
3273,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3274,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
3275,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3276,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
3277,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
3278,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
3279,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3280,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
3281,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3282,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3283,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3284,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
3285,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
3286,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Forest,Forest
3287,Cropland,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
3288,Cropland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3289,Cropland,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
3290,Cropland,Cropland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
3291,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
3292,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
3293,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
3294,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
3295,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3296,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3297,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
3298,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
3299,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
3300,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3301,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
