Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R
441,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
442,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
443,Cropland,Built-up,Forest,Non_Water,Non_Wetland,Forest
444,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
445,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
446,Cropland,Water,Shrubland,NULL,Non_Wetland,Built-up
447,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
448,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
449,Cropland,Water,Shrubland,Water,Non_Wetland,Grassland
450,Cropland,Water,Grassland,Non_Water,Non_Wetland,Grassland
451,Cropland,Water,Cropland,Non_Water,Non_Wetland,Water
452,Cropland,Water,Cropland,Water,Non_Wetland,Bareland
453,Cropland,Water,Wetland,NULL,Wetland,Forest
454,Cropland,Water,Wetland,Non_Water,Wetland,Water
455,Cropland,Water,Wetland,Water,Wetland,Grassland
456,Cropland,Water,Wetland,Water,Wetland,Bareland
457,Cropland,Water,Wetland,Water,Wetland,Water
458,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
459,Cropland,Water,Bareland,Water,Non_Wetland,Water
460,Cropland,Water,Water,NULL,Water,Water
461,Cropland,Water,Water,Non_Water,Water,Water
462,Cropland,Water,Water,Non_Water,Water,Forest
463,Cropland,Water,Water,Water,Water,Water
464,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
465,Cropland,Water,Forest,NULL,Non_Wetland,Water
466,Cropland,Water,Forest,NULL,Non_Wetland,Forest
467,Cropland,Water,Forest,Non_Water,Non_Wetland,Forest
468,Cropland,Water,Forest,Water,Non_Wetland,Bareland
469,Cropland,Water,Forest,Water,Non_Wetland,Water
470,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
471,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
472,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
473,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
474,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
475,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
476,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Water
477,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
478,Cropland,Forest,Shrubland,Water,Non_Wetland,Water
479,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Water
480,Cropland,Forest,Grassland,Water,Non_Wetland,Water
481,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
482,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
483,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
484,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
485,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
486,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Water
487,Cropland,Forest,Cropland,Water,Non_Wetland,Bareland
488,Cropland,Forest,Cropland,Water,Non_Wetland,Water
489,Cropland,Forest,Wetland,Non_Water,Wetland,Water
490,Cropland,Forest,Wetland,Water,Wetland,Water
491,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
492,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Water
493,Cropland,Forest,Bareland,Water,Non_Wetland,Bareland
494,Cropland,Forest,Bareland,Water,Non_Wetland,Water
495,Cropland,Forest,Water,NULL,Water,Water
496,Cropland,Forest,Water,Non_Water,Water,Water
497,Cropland,Forest,Water,Water,Water,Water
498,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
499,Cropland,Forest,Forest,NULL,Non_Wetland,Water
500,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
501,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
502,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water
503,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
504,Cropland,Forest,Forest,Water,Non_Wetland,Grassland
505,Cropland,Forest,Forest,Water,Non_Wetland,Water
506,Cropland,Forest,Forest,Water,Non_Wetland,Forest
507,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
508,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water
509,Wetland,NULL,Grassland,Water,Non_Wetland,Water
510,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
511,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Water
512,Wetland,NULL,Cropland,Water,Non_Wetland,Bareland
513,Wetland,NULL,Wetland,Non_Water,Wetland,Water
514,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
515,Wetland,NULL,Wetland,Water,Wetland,Bareland
516,Wetland,NULL,Wetland,Water,Wetland,Water
517,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
518,Wetland,NULL,Bareland,Water,Non_Wetland,Water
519,Wetland,NULL,Built-up,Water,Non_Wetland,Water
520,Wetland,NULL,Water,Water,Water,Water
521,Wetland,NULL,Water,Water,Water,Forest
522,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
523,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
524,Wetland,NULL,Forest,Water,Non_Wetland,Forest
525,Wetland,Wetland,Wetland,NULL,Wetland,Forest
526,Wetland,Wetland,Wetland,Water,Wetland,Water
527,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
528,Wetland,Bareland,Grassland,Water,Non_Wetland,Water
529,Wetland,Bareland,Wetland,NULL,Wetland,Forest
530,Wetland,Bareland,Wetland,Water,Wetland,Bareland
531,Wetland,Bareland,Wetland,Water,Wetland,Water
532,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
533,Wetland,Bareland,Built-up,Water,Non_Wetland,Bareland
534,Wetland,Bareland,Built-up,Water,Non_Wetland,Water
535,Wetland,Bareland,Water,Water,Water,Water
536,Wetland,Bareland,Forest,Water,Non_Wetland,Forest
537,Wetland,Water,NULL,Non_Water,Non_Wetland,Water
538,Wetland,Water,Cropland,Water,Non_Wetland,Water
539,Wetland,Water,Wetland,NULL,Wetland,Water
540,Wetland,Water,Wetland,NULL,Wetland,Forest
541,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
542,Wetland,Water,Wetland,Non_Water,Wetland,Water
543,Wetland,Water,Wetland,Non_Water,Wetland,Forest
544,Wetland,Water,Wetland,Water,Wetland,Water
545,Wetland,Water,Wetland,Water,Wetland,Forest
546,Wetland,Water,Bareland,Non_Water,Non_Wetland,Bareland
547,Wetland,Water,Bareland,Water,Non_Wetland,Water
548,Wetland,Water,Water,NULL,Water,Water
549,Wetland,Water,Water,Non_Water,Water,Water
550,Wetland,Water,Water,Water,Water,Grassland
551,Wetland,Water,Water,Water,Water,Water
552,Wetland,Water,Water,Water,Water,Forest
553,Wetland,Water,Forest,NULL,Non_Wetland,Forest
554,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
555,Wetland,Water,Forest,Water,Non_Wetland,Water
556,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
557,Wetland,Forest,Shrubland,Water,Non_Wetland,Water
558,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
559,Wetland,Forest,Wetland,Non_Water,Wetland,Water
560,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
561,Wetland,Forest,Wetland,Water,Wetland,Grassland
562,Wetland,Forest,Wetland,Water,Wetland,Water
563,Wetland,Forest,Bareland,Water,Non_Wetland,Grassland
564,Wetland,Forest,Water,Non_Water,Water,Water
565,Wetland,Forest,Water,Water,Water,Water
566,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
567,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
568,Wetland,Forest,Forest,Non_Water,Non_Wetland,Water
569,Wetland,Forest,Forest,Water,Non_Wetland,Grassland
570,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
571,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
572,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
573,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
574,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
575,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water
576,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
577,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
578,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
579,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
580,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
581,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water
582,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
583,Bareland,NULL,Cropland,Water,Non_Wetland,Water
584,Bareland,NULL,Wetland,NULL,Wetland,Bareland
585,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
586,Bareland,NULL,Wetland,Non_Water,Wetland,Water
587,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
588,Bareland,NULL,Wetland,Water,Wetland,Bareland
589,Bareland,NULL,Wetland,Water,Wetland,Water
590,Bareland,NULL,Wetland,Water,Wetland,Forest
591,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
592,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
593,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
594,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
595,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
596,Bareland,NULL,Bareland,Water,Non_Wetland,Water
597,Bareland,NULL,Bareland,Water,Non_Wetland,Forest
598,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
599,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
600,Bareland,NULL,Built-up,Water,Non_Wetland,Water
601,Bareland,NULL,Water,NULL,Water,Grassland
602,Bareland,NULL,Water,Non_Water,Water,Bareland
603,Bareland,NULL,Water,Non_Water,Water,Water
604,Bareland,NULL,Water,Water,Water,Bareland
605,Bareland,NULL,Water,Water,Water,Water
606,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
607,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
608,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
609,Bareland,NULL,Forest,Non_Water,Non_Wetland,Forest
610,Bareland,NULL,Forest,Water,Non_Wetland,Grassland
611,Bareland,NULL,Forest,Water,Non_Wetland,Water
612,Bareland,Wetland,Wetland,Non_Water,Wetland,Water
613,Bareland,Wetland,Wetland,Non_Water,Wetland,Forest
614,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
615,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
616,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Forest
617,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
618,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
619,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
620,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
621,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
622,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
623,Bareland,Bareland,Shrubland,Water,Non_Wetland,Forest
624,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
625,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
626,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
627,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water
628,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
629,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
630,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
631,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
632,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
633,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
634,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
635,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
636,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
637,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
638,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Forest
639,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
640,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
641,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
642,Bareland,Bareland,Cropland,Water,Non_Wetland,Forest
643,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
644,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
645,Bareland,Bareland,Wetland,NULL,Wetland,Water
646,Bareland,Bareland,Wetland,NULL,Wetland,Forest
647,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
648,Bareland,Bareland,Wetland,Non_Water,Wetland,Cropland
649,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
650,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
651,Bareland,Bareland,Wetland,Non_Water,Wetland,Forest
652,Bareland,Bareland,Wetland,Water,Wetland,Grassland
653,Bareland,Bareland,Wetland,Water,Wetland,Bareland
654,Bareland,Bareland,Wetland,Water,Wetland,Water
655,Bareland,Bareland,Wetland,Water,Wetland,Forest
656,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
657,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
658,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
659,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
660,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
661,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
662,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
663,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Forest
664,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
665,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
666,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
667,Bareland,Bareland,Bareland,Water,Non_Wetland,Forest
668,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
669,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
670,Bareland,Bareland,Built-up,NULL,Non_Wetland,Forest
671,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
672,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
673,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
674,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
675,Bareland,Bareland,Built-up,Water,Non_Wetland,Forest
676,Bareland,Bareland,Water,NULL,Water,Bareland
677,Bareland,Bareland,Water,NULL,Water,Water
678,Bareland,Bareland,Water,NULL,Water,Forest
679,Bareland,Bareland,Water,Non_Water,Water,Bareland
680,Bareland,Bareland,Water,Non_Water,Water,Water
681,Bareland,Bareland,Water,Non_Water,Water,Forest
682,Bareland,Bareland,Water,Water,Water,Grassland
683,Bareland,Bareland,Water,Water,Water,Cropland
684,Bareland,Bareland,Water,Water,Water,Bareland
685,Bareland,Bareland,Water,Water,Water,Water
686,Bareland,Bareland,Water,Water,Water,Forest
687,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
688,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
689,Bareland,Bareland,Forest,NULL,Non_Wetland,Water
690,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
691,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Grassland
692,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Cropland
693,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Bareland
694,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
695,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Forest
696,Bareland,Bareland,Forest,Water,Non_Wetland,Grassland
697,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland
698,Bareland,Bareland,Forest,Water,Non_Wetland,Water
699,Bareland,Bareland,Forest,Water,Non_Wetland,Forest
700,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
701,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
702,Bareland,Built-up,Cropland,Water,Non_Wetland,Water
703,Bareland,Built-up,Wetland,Water,Wetland,Grassland
704,Bareland,Built-up,Wetland,Water,Wetland,Water
705,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
706,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
707,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
708,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
709,Bareland,Water,Shrubland,NULL,Non_Wetland,Water
710,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
711,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
712,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
713,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Built-up
714,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
715,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Forest
716,Bareland,Water,Shrubland,Water,Non_Wetland,Water
717,Bareland,Water,Shrubland,Water,Non_Wetland,Forest
718,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
719,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
720,Bareland,Water,Grassland,Water,Non_Wetland,Water
721,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
722,Bareland,Water,Cropland,NULL,Non_Wetland,Cropland
723,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
724,Bareland,Water,Cropland,NULL,Non_Wetland,Water
725,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
726,Bareland,Water,Cropland,Non_Water,Non_Wetland,Grassland
727,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland
728,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
729,Bareland,Water,Cropland,Non_Water,Non_Wetland,Forest
730,Bareland,Water,Cropland,Water,Non_Wetland,Grassland
731,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
732,Bareland,Water,Cropland,Water,Non_Wetland,Water
733,Bareland,Water,Wetland,NULL,Wetland,Bareland
734,Bareland,Water,Wetland,NULL,Wetland,Water
735,Bareland,Water,Wetland,NULL,Wetland,Forest
736,Bareland,Water,Wetland,Non_Water,Wetland,Grassland
737,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
738,Bareland,Water,Wetland,Non_Water,Wetland,Water
739,Bareland,Water,Wetland,Non_Water,Wetland,Forest
740,Bareland,Water,Wetland,Water,Wetland,Grassland
741,Bareland,Water,Wetland,Water,Wetland,Bareland
742,Bareland,Water,Wetland,Water,Wetland,Water
743,Bareland,Water,Wetland,Water,Wetland,Forest
744,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
745,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
746,Bareland,Water,Bareland,NULL,Non_Wetland,Water
747,Bareland,Water,Bareland,NULL,Non_Wetland,Forest
748,Bareland,Water,Bareland,Non_Water,Non_Wetland,Grassland
749,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
750,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
751,Bareland,Water,Bareland,Non_Water,Non_Wetland,Forest
752,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
753,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
754,Bareland,Water,Bareland,Water,Non_Wetland,Water
755,Bareland,Water,Bareland,Water,Non_Wetland,Forest
756,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
757,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
758,Bareland,Water,Built-up,NULL,Non_Wetland,Forest
759,Bareland,Water,Built-up,Water,Non_Wetland,Bareland
760,Bareland,Water,Built-up,Water,Non_Wetland,Water
761,Bareland,Water,Water,NULL,Water,Grassland
762,Bareland,Water,Water,NULL,Water,Bareland
763,Bareland,Water,Water,NULL,Water,Water
764,Bareland,Water,Water,NULL,Water,Forest
765,Bareland,Water,Water,Non_Water,Water,Bareland
766,Bareland,Water,Water,Non_Water,Water,Water
767,Bareland,Water,Water,Water,Water,Grassland
768,Bareland,Water,Water,Water,Water,Bareland
769,Bareland,Water,Water,Water,Water,Water
770,Bareland,Water,Water,Water,Water,Forest
771,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
772,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
773,Bareland,Water,Forest,NULL,Non_Wetland,Water
774,Bareland,Water,Forest,NULL,Non_Wetland,Forest
775,Bareland,Water,Forest,Non_Water,Non_Wetland,Grassland
776,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland
777,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
778,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
779,Bareland,Water,Forest,Water,Non_Wetland,Grassland
780,Bareland,Water,Forest,Water,Non_Wetland,Bareland
781,Bareland,Water,Forest,Water,Non_Wetland,Water
782,Bareland,Water,Forest,Water,Non_Wetland,Forest
783,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
784,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
785,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
786,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
787,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
788,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Water
789,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
790,Bareland,Forest,Shrubland,Water,Non_Wetland,Grassland
791,Bareland,Forest,Shrubland,Water,Non_Wetland,Water
792,Bareland,Forest,Shrubland,Water,Non_Wetland,Forest
793,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
794,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Forest
795,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
796,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
797,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
798,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
799,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
800,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Water
801,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Forest
802,Bareland,Forest,Cropland,Water,Non_Wetland,Grassland
803,Bareland,Forest,Cropland,Water,Non_Wetland,Bareland
804,Bareland,Forest,Cropland,Water,Non_Wetland,Water
805,Bareland,Forest,Wetland,NULL,Wetland,Forest
806,Bareland,Forest,Wetland,Non_Water,Wetland,Grassland
807,Bareland,Forest,Wetland,Non_Water,Wetland,Water
808,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
809,Bareland,Forest,Wetland,Water,Wetland,Bareland
810,Bareland,Forest,Wetland,Water,Wetland,Water
811,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
812,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
813,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water
814,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Forest
815,Bareland,Forest,Bareland,Water,Non_Wetland,Grassland
816,Bareland,Forest,Bareland,Water,Non_Wetland,Water
817,Bareland,Forest,Built-up,Water,Non_Wetland,Water
818,Bareland,Forest,Water,NULL,Water,Bareland
819,Bareland,Forest,Water,Non_Water,Water,Bareland
820,Bareland,Forest,Water,Non_Water,Water,Water
821,Bareland,Forest,Water,Non_Water,Water,Forest
822,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
823,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
824,Bareland,Forest,Forest,NULL,Non_Wetland,Water
825,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
826,Bareland,Forest,Forest,Non_Water,Non_Wetland,Grassland
827,Bareland,Forest,Forest,Non_Water,Non_Wetland,Bareland
828,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water
829,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest
830,Bareland,Forest,Forest,Water,Non_Wetland,Grassland
831,Bareland,Forest,Forest,Water,Non_Wetland,Bareland
832,Bareland,Forest,Forest,Water,Non_Wetland,Water
833,Water,NULL,NULL,NULL,Non_Wetland,Grassland
834,Water,NULL,NULL,NULL,Non_Wetland,Bareland
835,Water,NULL,NULL,NULL,Non_Wetland,Forest
836,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
837,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
838,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
839,Water,NULL,Shrubland,NULL,Non_Wetland,Water
840,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
841,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
842,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
843,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
844,Water,NULL,Grassland,NULL,Non_Wetland,Forest
845,Water,NULL,Grassland,Water,Non_Wetland,Water
846,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
847,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
848,Water,NULL,Cropland,NULL,Non_Wetland,Forest
849,Water,NULL,Wetland,NULL,Wetland,Forest
850,Water,NULL,Wetland,Non_Water,Wetland,Grassland
851,Water,NULL,Wetland,Non_Water,Wetland,Water
852,Water,NULL,Wetland,Non_Water,Wetland,Forest
853,Water,NULL,Wetland,Water,Wetland,Grassland
854,Water,NULL,Wetland,Water,Wetland,Water
855,Water,NULL,Bareland,NULL,Non_Wetland,NULL
856,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
857,Water,NULL,Bareland,NULL,Non_Wetland,Forest
858,Water,NULL,Bareland,Non_Water,Non_Wetland,Water
859,Water,NULL,Bareland,Water,Non_Wetland,Bareland
860,Water,NULL,Bareland,Water,Non_Wetland,Water
861,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
862,Water,NULL,Built-up,NULL,Non_Wetland,Forest
863,Water,NULL,Water,NULL,Water,Grassland
864,Water,NULL,Water,NULL,Water,Water
865,Water,NULL,Water,NULL,Water,Forest
866,Water,NULL,Water,Non_Water,Water,Bareland
867,Water,NULL,Water,Water,Water,Water
868,Water,NULL,Water,Water,Water,Forest
869,Water,NULL,Forest,NULL,Non_Wetland,NULL
870,Water,NULL,Forest,NULL,Non_Wetland,Grassland
871,Water,NULL,Forest,NULL,Non_Wetland,Bareland
872,Water,NULL,Forest,NULL,Non_Wetland,Water
873,Water,NULL,Forest,NULL,Non_Wetland,Forest
874,Water,NULL,Forest,Non_Water,Non_Wetland,Water
875,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
876,Water,NULL,Forest,Water,Non_Wetland,Water
877,Water,Wetland,Wetland,NULL,Wetland,Forest
878,Water,Wetland,Wetland,Non_Water,Wetland,Forest
879,Water,Wetland,Wetland,Water,Wetland,Water
880,Water,Wetland,Water,NULL,Water,Forest
881,Water,Wetland,Water,Water,Water,Water
882,Water,Wetland,Forest,NULL,Non_Wetland,Water
883,Water,Wetland,Forest,NULL,Non_Wetland,Forest
884,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest
885,Water,Wetland,Forest,Water,Non_Wetland,Water
886,Water,Bareland,NULL,NULL,Non_Wetland,Grassland
887,Water,Bareland,NULL,NULL,Non_Wetland,Forest
888,Water,Bareland,Shrubland,NULL,Non_Wetland,Grassland
