Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R
696,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
697,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
698,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
699,Grassland,Cropland,Forest,Water,Non_Wetland,Water,Wetland,Water
700,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
701,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
702,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
703,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
704,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
705,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
706,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
707,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
708,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
709,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
710,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
711,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
712,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
713,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
714,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
715,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
716,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
717,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
718,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
719,Grassland,Water,Wetland,NULL,Wetland,Grassland,Forest,Grassland
720,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
721,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
722,Grassland,Water,Water,NULL,Water,Grassland,Grassland,Forest
723,Grassland,Water,Water,Water,Water,Water,Water,Water
724,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
725,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
726,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
727,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
728,Grassland,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
729,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
730,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
731,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
732,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
733,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
734,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
735,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
736,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
737,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
738,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
739,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
740,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
741,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
742,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
743,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
744,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
745,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
746,Grassland,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
747,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
748,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
749,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
750,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
751,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
752,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
753,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
754,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
755,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
756,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
757,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
758,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
759,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
760,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
761,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
762,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
763,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
764,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
765,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
766,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
767,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
768,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
769,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
770,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
771,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
772,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
773,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
774,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
775,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
776,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
777,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
778,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
779,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
780,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
781,Cropland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
782,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
783,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
784,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
785,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
786,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
787,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
788,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
789,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
790,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
791,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
792,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
793,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
794,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
795,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
796,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
797,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
798,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
799,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
800,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
801,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
802,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
803,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
804,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
805,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
806,Cropland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
807,Cropland,Cropland,Water,Non_Water,Water,Grassland,Grassland,Grassland
808,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
809,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
810,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
811,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
812,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
813,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
814,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
815,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
816,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
817,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
818,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
819,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
820,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
821,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
822,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
823,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
824,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
825,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
826,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
827,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
828,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
829,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
830,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
831,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
832,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
833,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
834,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
835,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
836,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
837,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
838,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
839,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
840,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
841,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
842,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
843,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
844,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
845,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
846,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
847,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
848,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
849,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
850,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
851,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
852,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
853,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
854,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
855,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
856,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
857,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
858,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
859,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
860,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
861,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
862,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
863,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
864,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
865,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
866,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
867,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
868,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
869,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
870,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
871,Wetland,NULL,Water,NULL,Water,Water,Wetland,Wetland
872,Wetland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
873,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Water
874,Wetland,NULL,Water,Water,Water,Wetland,Water,Grassland
875,Wetland,NULL,Water,Water,Water,Water,Wetland,Water
876,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
877,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
878,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
879,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
880,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
881,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
882,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
883,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
884,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
885,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
886,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
887,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
888,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
889,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
890,Wetland,Cropland,Water,Non_Water,Water,Water,Wetland,Grassland
891,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
892,Wetland,Water,NULL,Water,Non_Wetland,Bareland,Water,Grassland
893,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
894,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
895,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
896,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
897,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
898,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
899,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
900,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Bareland
901,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
902,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
903,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
904,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
905,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
906,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
907,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
908,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
909,Wetland,Water,Water,NULL,Water,Wetland,NULL,Forest
910,Wetland,Water,Water,NULL,Water,Wetland,Wetland,Wetland
911,Wetland,Water,Water,NULL,Water,Wetland,Wetland,Forest
912,Wetland,Water,Water,NULL,Water,Wetland,Water,Grassland
913,Wetland,Water,Water,NULL,Water,Wetland,Water,Wetland
914,Wetland,Water,Water,NULL,Water,Wetland,Water,Forest
915,Wetland,Water,Water,NULL,Water,Water,Water,Grassland
916,Wetland,Water,Water,NULL,Water,Water,Water,Bareland
917,Wetland,Water,Water,NULL,Water,Water,Water,Water
918,Wetland,Water,Water,NULL,Water,Water,Water,Forest
919,Wetland,Water,Water,Non_Water,Water,Water,Water,Bareland
920,Wetland,Water,Water,Water,Water,Wetland,Wetland,Forest
921,Wetland,Water,Water,Water,Water,Wetland,Water,Grassland
922,Wetland,Water,Water,Water,Water,Wetland,Water,Water
923,Wetland,Water,Water,Water,Water,Wetland,Water,Forest
924,Wetland,Water,Water,Water,Water,Water,Water,Grassland
925,Wetland,Water,Water,Water,Water,Water,Water,Bareland
926,Wetland,Water,Water,Water,Water,Water,Water,Water
927,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
928,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
929,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
930,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
931,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
932,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
933,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
934,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
935,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
936,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
937,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
938,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
939,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
940,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
941,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
942,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
943,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
944,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
945,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
946,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
947,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
948,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
949,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
950,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
951,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
952,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
953,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
954,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
955,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
956,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
957,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
958,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
959,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
960,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
961,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
962,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
963,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
964,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
965,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
966,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
967,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
968,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
969,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
970,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
971,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
972,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
973,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
974,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
975,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
976,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
977,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
978,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
979,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
980,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
981,Bareland,Bareland,Water,Water,Water,Grassland,Water,Water
982,Bareland,Bareland,Water,Water,Water,Wetland,Wetland,Water
983,Bareland,Bareland,Water,Water,Water,Wetland,Water,Water
984,Bareland,Bareland,Water,Water,Water,Water,Water,Water
985,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
986,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
987,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
988,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
989,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
990,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
991,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
992,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
993,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
994,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
995,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
996,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
997,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
998,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
999,Bareland,Water,Water,Water,Water,Grassland,Wetland,Water
1000,Bareland,Water,Water,Water,Water,Wetland,Wetland,Water
1001,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
1002,Bareland,Water,Water,Water,Water,Bareland,Water,Water
1003,Bareland,Water,Water,Water,Water,Water,Water,Water
1004,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1005,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1006,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1007,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1008,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1009,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
1010,Bareland,Forest,Water,Water,Water,Grassland,Wetland,Water
1011,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1012,Bareland,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1013,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1014,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1015,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1016,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1017,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1018,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1019,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1020,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1021,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1022,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1023,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
1024,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
1025,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1026,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1027,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1028,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1029,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1030,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
1031,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1032,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
