Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R
382,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
383,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
384,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
385,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
386,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
387,Cropland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
388,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
389,Cropland,Wetland,Water,Water,Water,NULL,Water
390,Cropland,Wetland,Water,Water,Water,NULL,Forest
391,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
392,Cropland,Bareland,Water,Water,Water,NULL,Forest
393,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
394,Cropland,Water,Cropland,Water,Non_Wetland,NULL,Grassland
395,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Forest
396,Cropland,Water,Forest,Water,Non_Wetland,NULL,Bareland
397,Cropland,Water,Forest,Water,Non_Wetland,NULL,Water
398,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
399,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
400,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
401,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
402,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland
403,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
404,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
405,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
406,Cropland,Forest,Cropland,Water,Non_Wetland,NULL,Water
407,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
408,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Water
409,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
410,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
411,Cropland,Forest,Forest,Water,Non_Wetland,NULL,Grassland
412,Cropland,Forest,Forest,Water,Non_Wetland,NULL,Bareland
413,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
414,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
415,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
416,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
417,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland
418,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
419,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
420,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
421,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
422,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
423,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
424,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
425,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
426,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
427,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
428,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Water
429,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
430,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Water
431,Wetland,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
432,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
433,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Bareland
434,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water
435,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Forest
436,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
437,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
438,Wetland,Wetland,Wetland,Water,Wetland,NULL,Grassland
439,Wetland,Wetland,Wetland,Water,Wetland,NULL,Water
440,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
441,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
442,Wetland,Wetland,Water,NULL,Water,NULL,Water
443,Wetland,Wetland,Water,NULL,Water,NULL,Forest
444,Wetland,Wetland,Water,Non_Water,Water,NULL,Forest
445,Wetland,Wetland,Water,Water,Water,NULL,Water
446,Wetland,Wetland,Water,Water,Water,NULL,Forest
447,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
448,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
449,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
450,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,Forest
451,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,Water
452,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland
453,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,Forest
454,Wetland,Water,Cropland,Water,Non_Wetland,NULL,Grassland
455,Wetland,Water,Wetland,NULL,Wetland,NULL,Forest
456,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Forest
457,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
458,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest
459,Wetland,Water,Forest,Water,Non_Wetland,NULL,Grassland
460,Wetland,Water,Forest,Water,Non_Wetland,NULL,Bareland
461,Wetland,Water,Forest,Water,Non_Wetland,NULL,Water
462,Wetland,Water,Forest,Water,Non_Wetland,NULL,Forest
463,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
464,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
465,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
466,Wetland,Forest,Forest,Water,Non_Wetland,NULL,Bareland
467,Wetland,Forest,Forest,Water,Non_Wetland,NULL,Water
468,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
469,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
470,Bareland,NULL,NULL,Water,Non_Wetland,NULL,Bareland
471,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
472,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
473,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
474,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
475,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
476,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
477,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
478,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
479,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
480,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
481,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
482,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Water
483,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
484,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
485,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
486,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
487,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
488,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
489,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Water
490,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
491,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
492,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
493,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
494,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
495,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Water
496,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Forest
497,Bareland,NULL,Wetland,NULL,Wetland,NULL,Grassland
498,Bareland,NULL,Wetland,NULL,Wetland,NULL,Forest
499,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
500,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
501,Bareland,NULL,Wetland,Water,Wetland,NULL,Water
502,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
503,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
504,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
505,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
506,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
507,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
508,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
509,Bareland,NULL,Water,NULL,Water,NULL,Grassland
510,Bareland,NULL,Water,Non_Water,Water,NULL,Grassland
511,Bareland,NULL,Water,Non_Water,Water,NULL,Water
512,Bareland,NULL,Water,Water,Water,NULL,Water
513,Bareland,NULL,Water,Water,Water,NULL,Forest
514,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
515,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
516,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
517,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
518,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
519,Bareland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
520,Bareland,NULL,Forest,Water,Non_Wetland,NULL,Bareland
521,Bareland,NULL,Forest,Water,Non_Wetland,NULL,Forest
522,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,Bareland
523,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
524,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,Bareland
525,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
526,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
527,Bareland,Cropland,Forest,Water,Non_Wetland,NULL,Grassland
528,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
529,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL,Water
530,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
531,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
532,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
533,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
534,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
535,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
536,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
537,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
538,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
539,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
540,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
541,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
542,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
543,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
544,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
545,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
546,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
547,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
548,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
549,Bareland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
550,Bareland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
551,Bareland,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
552,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
553,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Water
554,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Forest
555,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
556,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
557,Bareland,Wetland,Wetland,Water,Wetland,NULL,Grassland
558,Bareland,Wetland,Wetland,Water,Wetland,NULL,Bareland
559,Bareland,Wetland,Wetland,Water,Wetland,NULL,Water
560,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
561,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
562,Bareland,Wetland,Water,NULL,Water,NULL,Grassland
563,Bareland,Wetland,Water,NULL,Water,NULL,Bareland
564,Bareland,Wetland,Water,NULL,Water,NULL,Forest
565,Bareland,Wetland,Water,Non_Water,Water,NULL,Grassland
566,Bareland,Wetland,Water,Non_Water,Water,NULL,Bareland
567,Bareland,Wetland,Water,Non_Water,Water,NULL,Water
568,Bareland,Wetland,Water,Non_Water,Water,NULL,Forest
569,Bareland,Wetland,Water,Water,Water,NULL,Bareland
570,Bareland,Wetland,Water,Water,Water,NULL,Water
571,Bareland,Wetland,Water,Water,Water,NULL,Forest
572,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
573,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
574,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Water
575,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
576,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
577,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Bareland
578,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
579,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
580,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,Bareland
581,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,Forest
582,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,Grassland
583,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,Bareland
584,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,Water
585,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
586,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
587,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
588,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
589,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
590,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
591,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
592,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
593,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
594,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
595,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland
596,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
597,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,Grassland
598,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,Forest
599,Bareland,Bareland,Wetland,NULL,Wetland,NULL,Grassland
600,Bareland,Bareland,Wetland,NULL,Wetland,NULL,Bareland
601,Bareland,Bareland,Wetland,NULL,Wetland,NULL,Forest
602,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,Water
603,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,Forest
604,Bareland,Bareland,Wetland,Water,Wetland,NULL,Bareland
605,Bareland,Bareland,Wetland,Water,Wetland,NULL,Water
606,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
607,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
608,Bareland,Bareland,Water,NULL,Water,NULL,Water
609,Bareland,Bareland,Water,NULL,Water,NULL,Forest
610,Bareland,Bareland,Water,Non_Water,Water,NULL,Water
611,Bareland,Bareland,Water,Water,Water,NULL,Water
612,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
613,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Bareland
614,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Water
615,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
616,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
617,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,Bareland
618,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,Water
619,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,Forest
620,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
621,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
622,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
623,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
624,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
625,Bareland,Built-up,Wetland,Non_Water,Wetland,NULL,Water
626,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
627,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
628,Bareland,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland
629,Bareland,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
630,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
631,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
632,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,Water
633,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,Forest
634,Bareland,Water,Grassland,Water,Non_Wetland,NULL,Forest
635,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,Bareland
636,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,Forest
637,Bareland,Water,Cropland,Water,Non_Wetland,NULL,Forest
638,Bareland,Water,Wetland,NULL,Wetland,NULL,Water
639,Bareland,Water,Wetland,NULL,Wetland,NULL,Forest
640,Bareland,Water,Wetland,Non_Water,Wetland,NULL,Grassland
641,Bareland,Water,Wetland,Water,Wetland,NULL,Water
642,Bareland,Water,Water,NULL,Water,NULL,Water
643,Bareland,Water,Water,Water,Water,NULL,Water
644,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Bareland
645,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Water
646,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Forest
647,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland
648,Bareland,Water,Forest,Water,Non_Wetland,NULL,Grassland
649,Bareland,Water,Forest,Water,Non_Wetland,NULL,Forest
650,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland
651,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,Bareland
652,Bareland,Forest,NULL,Non_Water,Non_Wetland,NULL,Grassland
653,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
654,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland
655,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
656,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
657,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
658,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
659,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland
660,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
661,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,Grassland
662,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
663,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland
664,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Water
665,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
666,Bareland,Forest,Cropland,Non_Water,Non_Wetland,NULL,Grassland
667,Bareland,Forest,Cropland,Non_Water,Non_Wetland,NULL,Forest
668,Bareland,Forest,Cropland,Water,Non_Wetland,NULL,Bareland
669,Bareland,Forest,Wetland,NULL,Wetland,NULL,Bareland
670,Bareland,Forest,Wetland,NULL,Wetland,NULL,Forest
671,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,Grassland
672,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,Forest
673,Bareland,Forest,Water,NULL,Water,NULL,Grassland
674,Bareland,Forest,Water,NULL,Water,NULL,Bareland
675,Bareland,Forest,Water,Non_Water,Water,NULL,Forest
676,Bareland,Forest,Water,Water,Water,NULL,Bareland
677,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
678,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
679,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Water
680,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
681,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
682,Bareland,Forest,Forest,Water,Non_Wetland,NULL,Water
683,Bareland,Forest,Forest,Water,Non_Wetland,NULL,Forest
684,Water,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
685,Water,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
686,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
687,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
688,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
689,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
690,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
691,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
692,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
693,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
694,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Water
695,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
696,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
697,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
698,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Water
699,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
700,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
701,Water,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
702,Water,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
703,Water,NULL,Grassland,Water,Non_Wetland,NULL,Forest
704,Water,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
705,Water,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
706,Water,NULL,Cropland,NULL,Non_Wetland,NULL,Water
707,Water,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
708,Water,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
709,Water,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
710,Water,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
711,Water,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
712,Water,NULL,Cropland,Water,Non_Wetland,NULL,Water
713,Water,NULL,Cropland,Water,Non_Wetland,NULL,Forest
714,Water,NULL,Wetland,NULL,Wetland,NULL,Grassland
715,Water,NULL,Wetland,NULL,Wetland,NULL,Water
716,Water,NULL,Wetland,NULL,Wetland,NULL,Forest
717,Water,NULL,Wetland,Non_Water,Wetland,NULL,Water
718,Water,NULL,Wetland,Water,Wetland,NULL,Bareland
719,Water,NULL,Wetland,Water,Wetland,NULL,Water
720,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
721,Water,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
722,Water,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
723,Water,NULL,Water,NULL,Water,NULL,Grassland
724,Water,NULL,Water,NULL,Water,NULL,Bareland
725,Water,NULL,Water,NULL,Water,NULL,Water
726,Water,NULL,Water,Non_Water,Water,NULL,Water
727,Water,NULL,Water,Water,Water,NULL,Water
728,Water,NULL,Water,Water,Water,NULL,Forest
729,Water,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
730,Water,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
731,Water,NULL,Forest,NULL,Non_Wetland,NULL,Water
732,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest
733,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
734,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
735,Water,NULL,Forest,Water,Non_Wetland,NULL,Grassland
736,Water,NULL,Forest,Water,Non_Wetland,NULL,Bareland
737,Water,NULL,Forest,Water,Non_Wetland,NULL,Water
738,Water,NULL,Forest,Water,Non_Wetland,NULL,Forest
739,Water,Cropland,Water,Water,Water,NULL,Water
740,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
741,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland
742,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Water
743,Water,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
744,Water,Wetland,NULL,Water,Non_Wetland,NULL,Bareland
745,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
746,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
747,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
748,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
749,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
750,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
751,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Water
752,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
753,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
754,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
755,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
756,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
757,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
758,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
759,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
760,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
761,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
762,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Water
763,Water,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
764,Water,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
765,Water,Wetland,Grassland,Water,Non_Wetland,NULL,Water
766,Water,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
767,Water,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
768,Water,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
769,Water,Wetland,Cropland,NULL,Non_Wetland,NULL,Water
770,Water,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
