Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPR_M_R
8775,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
8776,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
8777,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
8778,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
8779,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
8780,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
8781,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
8782,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
8783,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
8784,Bareland,NULL,Water,NULL,Water,Grassland,Water,Bareland
8785,Bareland,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
8786,Bareland,NULL,Water,NULL,Water,Bareland,Grassland,Water
8787,Bareland,NULL,Water,Water,Water,Bareland,Grassland,Grassland
8788,Bareland,NULL,Water,Water,Water,Bareland,Grassland,Water
8789,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
8790,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
8791,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
8792,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
8793,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
8794,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
8795,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
8796,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
8797,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
8798,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
8799,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
8800,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
8801,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
8802,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Bareland
8803,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
8804,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
8805,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Water,NULL
8806,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Water,Water
8807,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
8808,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
8809,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
8810,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
8811,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
8812,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
8813,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
8814,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
8815,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8816,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8817,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
8818,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
8819,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
8820,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
8821,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
8822,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
8823,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Bareland
8824,Bareland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
8825,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
8826,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
8827,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
8828,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
8829,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
8830,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8831,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
8832,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
8833,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
8834,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
8835,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
8836,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
8837,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
8838,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
8839,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
8840,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
8841,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
8842,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
8843,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
8844,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
8845,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
8846,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Wetland
8847,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
8848,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
8849,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
8850,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
8851,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
8852,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
8853,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
8854,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
8855,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
8856,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
8857,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
8858,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
8859,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
8860,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
8861,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
8862,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
8863,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
8864,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
8865,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
8866,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
8867,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Cropland
8868,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Bareland
8869,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
8870,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
8871,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
8872,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
8873,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
8874,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
8875,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
8876,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
8877,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
8878,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
8879,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
8880,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
8881,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
8882,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
8883,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Cropland
8884,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
8885,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
8886,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
8887,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
8888,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
8889,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
8890,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
8891,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
8892,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
8893,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
8894,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
8895,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
8896,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
8897,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
8898,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
8899,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
8900,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
8901,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
8902,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
8903,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
8904,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Wetland
8905,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
8906,Bareland,NULL,Forest,Water,Non_Wetland,NULL,Bareland,Water
8907,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
8908,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
8909,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
8910,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
8911,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
8912,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8913,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
8914,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
8915,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
8916,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8917,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
8918,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8919,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
8920,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
8921,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
8922,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
8923,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
8924,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
8925,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
8926,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
8927,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8928,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8929,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
8930,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8931,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8932,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
8933,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
8934,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
8935,Bareland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
8936,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
8937,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8938,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
8939,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8940,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
8941,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8942,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
8943,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
8944,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
8945,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8946,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8947,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8948,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8949,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8950,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
8951,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8952,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
8953,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
8954,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
8955,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
8956,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
8957,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
8958,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
8959,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
8960,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
8961,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
8962,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
8963,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
8964,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
8965,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
8966,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
8967,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
8968,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
8969,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
8970,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
8971,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
8972,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
8973,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
8974,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
8975,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
8976,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
8977,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
8978,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
8979,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
8980,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
8981,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
8982,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
8983,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
8984,Bareland,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
8985,Bareland,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
8986,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
8987,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
8988,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
8989,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
8990,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
8991,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
8992,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
8993,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
8994,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
8995,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
8996,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
8997,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
8998,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
8999,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9000,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
9001,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9002,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
9003,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
9004,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
9005,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
9006,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
9007,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
9008,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
9009,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
9010,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
9011,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
9012,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
9013,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
9014,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9015,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
9016,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9017,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9018,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9019,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
9020,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9021,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
9022,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
9023,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
9024,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
9025,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
9026,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
9027,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
9028,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9029,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9030,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
9031,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
9032,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9033,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
9034,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
9035,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
9036,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
9037,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
9038,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
9039,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
9040,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
9041,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
9042,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
9043,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
9044,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
9045,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
9046,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
9047,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
9048,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
9049,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
9050,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
9051,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
9052,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
9053,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
9054,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
9055,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
9056,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
9057,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
9058,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
9059,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
9060,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
9061,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
9062,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
9063,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9064,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
9065,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
9066,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
9067,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
9068,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
9069,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
9070,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
9071,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
9072,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
9073,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
9074,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
9075,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
9076,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
9077,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
9078,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
9079,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
9080,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9081,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
9082,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
9083,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
9084,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
9085,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
9086,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
9087,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9088,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
9089,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
9090,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9091,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
