Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPM_M_R
5551,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5552,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5553,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
5554,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
5555,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5556,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
5557,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5558,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
5559,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
5560,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
5561,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5562,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5563,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
5564,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5565,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
5566,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
5567,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
5568,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
5569,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
5570,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5571,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5572,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
5573,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
5574,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5575,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5576,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5577,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5578,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5579,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5580,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5581,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5582,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
5583,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
5584,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Cropland
5585,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
5586,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
5587,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5588,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5589,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
5590,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5591,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5592,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5593,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5594,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
5595,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5596,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
5597,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
5598,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
5599,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
5600,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
5601,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5602,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5603,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
5604,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5605,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5606,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Wetland
5607,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
5608,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,NULL
5609,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
5610,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
5611,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5612,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
5613,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
5614,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5615,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5616,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
5617,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
5618,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
5619,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
5620,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
5621,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
5622,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Wetland
5623,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
5624,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5625,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
5626,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5627,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Forest,Grassland
5628,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Wetland
5629,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
5630,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
5631,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
5632,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
5633,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Shrubland,Forest
5634,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
5635,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Wetland
5636,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Forest
5637,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Cropland
5638,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
5639,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
5640,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
5641,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
5642,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
5643,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
5644,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
5645,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
5646,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Shrubland,Wetland
5647,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
5648,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
5649,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
5650,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
5651,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Shrubland,Wetland
5652,Grassland,Cropland,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
5653,Grassland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5654,Grassland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5655,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
5656,Grassland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
5657,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
5658,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
5659,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
5660,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
5661,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
5662,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5663,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
5664,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
5665,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
5666,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
5667,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
5668,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
5669,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
5670,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
5671,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
5672,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
5673,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
5674,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
5675,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
5676,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
5677,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
5678,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
5679,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
5680,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
5681,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5682,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5683,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5684,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5685,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
5686,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5687,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5688,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5689,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
5690,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
5691,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
5692,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
5693,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
5694,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
5695,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
5696,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
5697,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
5698,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5699,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
5700,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
5701,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
5702,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
5703,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
5704,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
5705,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
5706,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
5707,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
5708,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
5709,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5710,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
5711,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
5712,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
5713,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
5714,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Wetland
5715,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
5716,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
5717,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
5718,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
5719,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
5720,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
5721,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
5722,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5723,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
5724,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
5725,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
5726,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
5727,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
5728,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
5729,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
5730,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
5731,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
5732,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
5733,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
5734,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
5735,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
5736,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
5737,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Forest
5738,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
5739,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
5740,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
5741,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
5742,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
5743,Grassland,Cropland,Forest,Water,Non_Wetland,Shrubland,Shrubland,Wetland
5744,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
5745,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5746,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
5747,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
5748,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
5749,Grassland,Wetland,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
5750,Grassland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
5751,Grassland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5752,Grassland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
5753,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
5754,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
5755,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
5756,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
5757,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
5758,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5759,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
5760,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
5761,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5762,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
5763,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
5764,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
5765,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
5766,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
5767,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Wetland
5768,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
5769,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
5770,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
5771,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
5772,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
5773,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
5774,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
5775,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
5776,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5777,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5778,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Water,Wetland
5779,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
5780,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
5781,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Wetland
5782,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
5783,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
5784,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
5785,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
5786,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
5787,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
5788,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
5789,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
5790,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Forest
5791,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Water,Wetland
5792,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
5793,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,NULL,Forest
5794,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
5795,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
5796,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Water,Wetland
5797,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Water,Forest
5798,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
5799,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
5800,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
5801,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
5802,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
5803,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
5804,Grassland,Wetland,Wetland,NULL,Wetland,Water,Shrubland,Wetland
5805,Grassland,Wetland,Wetland,NULL,Wetland,Forest,NULL,Wetland
5806,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
5807,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
5808,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Forest
5809,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
5810,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
5811,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
5812,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
5813,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Shrubland,Wetland
5814,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Shrubland,Forest
5815,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,NULL,Wetland
5816,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
5817,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Shrubland,Wetland
5818,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
5819,Grassland,Wetland,Wetland,Water,Wetland,Water,Shrubland,Wetland
5820,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
5821,Grassland,Wetland,Wetland,Water,Wetland,Forest,NULL,Water
5822,Grassland,Wetland,Wetland,Water,Wetland,Forest,Shrubland,Wetland
5823,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
5824,Grassland,Wetland,Water,Water,Water,Wetland,Water,Wetland
5825,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
5826,Grassland,Wetland,Water,Water,Water,Water,Shrubland,Wetland
5827,Grassland,Wetland,Water,Water,Water,Water,Water,Water
5828,Grassland,Wetland,Water,Water,Water,Forest,Shrubland,Wetland
5829,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
5830,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5831,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
5832,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
5833,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
5834,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
5835,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
5836,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
5837,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
5838,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5839,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5840,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,Wetland
5841,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
5842,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5843,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
5844,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
5845,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
5846,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5847,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
5848,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,NULL
5849,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
5850,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
5851,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
5852,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
5853,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
5854,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Forest
5855,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
5856,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Water,Forest
5857,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
5858,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
5859,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Shrubland,Wetland
5860,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
5861,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5862,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5863,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5864,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5865,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
