Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXP_M_R
1395,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1396,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1397,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1398,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1399,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1400,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1401,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1402,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1403,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1404,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1405,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1406,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1407,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1408,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1409,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
1410,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1411,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1412,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1413,Grassland,Cropland,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
1414,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1415,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1416,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1417,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1418,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1419,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1420,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1421,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1422,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1423,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1424,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1425,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1426,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1427,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1428,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1429,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1430,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1431,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1432,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1433,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1434,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1435,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1436,Grassland,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1437,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1438,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1439,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1440,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1441,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1442,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1443,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1444,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1445,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1446,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1447,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1448,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1449,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1450,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1451,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1452,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1453,Grassland,Cropland,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1454,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1455,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1456,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1457,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
1458,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
1459,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1460,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1461,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1462,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1463,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1464,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1465,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1466,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1467,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1468,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1469,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1470,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1471,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1472,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1473,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1474,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1475,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1476,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1477,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1478,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1479,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1480,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1481,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1482,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1483,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1484,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1485,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
1486,Grassland,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1487,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1488,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1489,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1490,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1491,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1492,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1493,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1494,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1495,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1496,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1497,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1498,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1499,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1500,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1501,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1502,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1503,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1504,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1505,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1506,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1507,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1508,Grassland,Water,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1509,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1510,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1511,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1512,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1513,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1514,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1515,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1516,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1517,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1518,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1519,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1520,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1521,Grassland,Water,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1522,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1523,Grassland,Water,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
1524,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1525,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1526,Grassland,Water,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1527,Grassland,Water,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
1528,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1529,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1530,Grassland,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1531,Grassland,Water,Water,NULL,Water,Grassland,Water,Grassland
1532,Grassland,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1533,Grassland,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1534,Grassland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1535,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1536,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1537,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1538,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1539,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1540,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1541,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1542,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1543,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1544,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1545,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1546,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1547,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1548,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1549,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1550,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1551,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1552,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1553,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1554,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1555,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1556,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1557,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1558,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1559,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1560,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1561,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1562,Grassland,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1563,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1564,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1565,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1566,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1567,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1568,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1569,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1570,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1571,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1572,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1573,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1574,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1575,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1576,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1577,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1578,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1579,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1580,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1581,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1582,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1583,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
1584,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1585,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1586,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1587,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1588,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1589,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1590,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1591,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1592,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
1593,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
1594,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1595,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1596,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1597,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1598,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1599,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1600,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1601,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1602,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1603,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1604,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
1605,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
1606,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
1607,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1608,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1609,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1610,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1611,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1612,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1613,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1614,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1615,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1616,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1617,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1618,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1619,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1620,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1621,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
1622,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1623,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1624,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1625,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1626,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1627,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1628,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1629,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1630,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1631,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1632,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1633,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1634,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1635,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1636,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1637,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1638,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
1639,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
1640,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1641,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1642,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1643,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1644,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1645,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1646,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
1647,Cropland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
1648,Cropland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
1649,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1650,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
1651,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1652,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1653,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
1654,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1655,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1656,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
1657,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
1658,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
1659,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1660,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1661,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1662,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1663,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1664,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1665,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1666,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1667,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
1668,Cropland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1669,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1670,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1671,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1672,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1673,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1674,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1675,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1676,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1677,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1678,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1679,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
1680,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1681,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1682,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1683,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1684,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1685,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1686,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1687,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1688,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1689,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1690,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1691,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1692,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1693,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1694,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1695,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1696,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1697,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1698,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1699,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1700,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1701,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1702,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1703,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1704,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1705,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1706,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1707,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1708,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1709,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1710,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
