Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R
816,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
817,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
818,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
819,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
820,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
821,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Water,Water
822,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
823,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
824,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
825,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
826,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
827,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
828,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
829,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
830,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
831,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
832,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
833,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
834,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
835,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
836,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
837,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
838,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
839,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
840,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
841,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
842,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Water,Forest
843,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
844,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
845,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
846,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Water
847,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
848,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
849,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
850,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
851,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
852,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Water
853,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
854,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
855,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
856,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
857,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Forest
858,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
859,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
860,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
861,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
862,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
863,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
864,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
865,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
866,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
867,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
868,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
869,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
870,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
871,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
872,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Wetland
873,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Water
874,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
875,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
876,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
877,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
878,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
879,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
880,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
881,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
882,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
883,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
884,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
885,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
886,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Water,Wetland
887,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Water,Water
888,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
889,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
890,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
891,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
892,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
893,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
894,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
895,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
896,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
897,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
898,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
899,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
900,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
901,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
902,Grassland,Wetland,Water,NULL,Water,Grassland,Wetland,Water
903,Grassland,Wetland,Water,NULL,Water,Grassland,Wetland,Forest
904,Grassland,Wetland,Water,NULL,Water,Water,Wetland,Water
905,Grassland,Wetland,Water,Non_Water,Water,Grassland,Wetland,Water
906,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
907,Grassland,Wetland,Water,Water,Water,NULL,Wetland,Grassland
908,Grassland,Wetland,Water,Water,Water,NULL,Wetland,Water
909,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Grassland
910,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Wetland
911,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Water
912,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Forest
913,Grassland,Wetland,Water,Water,Water,Grassland,Water,Grassland
914,Grassland,Wetland,Water,Water,Water,Grassland,Water,Wetland
915,Grassland,Wetland,Water,Water,Water,Grassland,Water,Water
916,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
917,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
918,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
919,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
920,Grassland,Wetland,Water,Water,Water,Wetland,Water,Forest
921,Grassland,Wetland,Water,Water,Water,Bareland,Wetland,Water
922,Grassland,Wetland,Water,Water,Water,Bareland,Water,Grassland
923,Grassland,Wetland,Water,Water,Water,Water,Wetland,Grassland
924,Grassland,Wetland,Water,Water,Water,Water,Wetland,Wetland
925,Grassland,Wetland,Water,Water,Water,Water,Wetland,Water
926,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
927,Grassland,Wetland,Water,Water,Water,Water,Water,Wetland
928,Grassland,Wetland,Water,Water,Water,Water,Water,Water
929,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
930,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
931,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
932,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
933,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
934,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
935,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
936,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
937,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
938,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
939,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
940,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
941,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
942,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
943,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
944,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Water
945,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
946,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
947,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
948,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
949,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Wetland
950,Grassland,Bareland,Water,Water,Water,Water,Water,Water
951,Grassland,Water,Wetland,NULL,Wetland,NULL,Wetland,Grassland
952,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
953,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
954,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
955,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
956,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
957,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
958,Grassland,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
959,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
960,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
961,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
962,Grassland,Water,Wetland,Water,Wetland,NULL,Wetland,Grassland
963,Grassland,Water,Wetland,Water,Wetland,NULL,Water,Water
964,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
965,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
966,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
967,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
968,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
969,Grassland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
970,Grassland,Water,Wetland,Water,Wetland,Bareland,Water,Water
971,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
972,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
973,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
974,Grassland,Water,Water,NULL,Water,Wetland,Wetland,Grassland
975,Grassland,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
976,Grassland,Water,Water,Water,Water,NULL,Wetland,Grassland
977,Grassland,Water,Water,Water,Water,NULL,Wetland,Water
978,Grassland,Water,Water,Water,Water,NULL,Water,Water
979,Grassland,Water,Water,Water,Water,Grassland,Water,Water
980,Grassland,Water,Water,Water,Water,Wetland,Wetland,Grassland
981,Grassland,Water,Water,Water,Water,Wetland,Wetland,Water
982,Grassland,Water,Water,Water,Water,Wetland,Wetland,Forest
983,Grassland,Water,Water,Water,Water,Wetland,Water,Water
984,Grassland,Water,Water,Water,Water,Water,Wetland,Grassland
985,Grassland,Water,Water,Water,Water,Water,Wetland,Wetland
986,Grassland,Water,Water,Water,Water,Water,Wetland,Water
987,Grassland,Water,Water,Water,Water,Water,Water,Water
988,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
989,Grassland,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
990,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
991,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
992,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
993,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
994,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
995,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
996,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
997,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
998,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
999,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1000,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1001,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1002,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
1003,Grassland,Forest,Wetland,Water,Wetland,NULL,Wetland,Grassland
1004,Grassland,Forest,Wetland,Water,Wetland,Grassland,Bareland,Grassland
1005,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1006,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
1007,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1008,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
1009,Grassland,Forest,Wetland,Water,Wetland,Bareland,Water,Forest
1010,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1011,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1012,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
1013,Grassland,Forest,Water,NULL,Water,Wetland,Wetland,Grassland
1014,Grassland,Forest,Water,NULL,Water,Water,Water,Water
1015,Grassland,Forest,Water,Water,Water,Grassland,Water,Water
1016,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Grassland
1017,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Water
1018,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Forest
1019,Grassland,Forest,Water,Water,Water,Water,Wetland,Grassland
1020,Grassland,Forest,Water,Water,Water,Water,Wetland,Water
1021,Grassland,Forest,Water,Water,Water,Water,Water,Water
1022,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1023,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1024,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1025,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1026,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1027,Grassland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1028,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1029,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1030,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
1031,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1032,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1033,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
1034,Cropland,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Water
1035,Cropland,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
1036,Cropland,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
1037,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1038,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1039,Cropland,NULL,Wetland,NULL,Wetland,Water,Water,Water
1040,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1041,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1042,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1043,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1044,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1045,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
1046,Cropland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1047,Cropland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
1048,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1049,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
1050,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1051,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1052,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
1053,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1054,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1055,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1056,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
1057,Cropland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
1058,Cropland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1059,Cropland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
1060,Cropland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
1061,Cropland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
1062,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
1063,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
1064,Cropland,NULL,Wetland,Water,Wetland,Water,Grassland,Water
1065,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1066,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1067,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1068,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1069,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
1070,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland,Bareland,Grassland
1071,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1072,Cropland,NULL,Water,Water,Water,Grassland,Water,Water
1073,Cropland,NULL,Water,Water,Water,Bareland,Grassland,Water
1074,Cropland,NULL,Water,Water,Water,Bareland,Wetland,Water
1075,Cropland,NULL,Water,Water,Water,Water,Water,Water
1076,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1077,Cropland,Bareland,NULL,Water,Non_Wetland,Bareland,Water,Water
1078,Cropland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
1079,Cropland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1080,Cropland,Bareland,Wetland,Water,Wetland,Water,Grassland,Water
1081,Cropland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1082,Cropland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
1083,Cropland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
1084,Cropland,Bareland,Wetland,Water,Wetland,Water,Water,Water
1085,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
1086,Cropland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
1087,Cropland,Bareland,Water,Water,Water,Grassland,Water,Water
1088,Cropland,Bareland,Water,Water,Water,Water,Wetland,Water
1089,Cropland,Bareland,Water,Water,Water,Water,Water,Water
1090,Cropland,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1091,Cropland,Built-up,Wetland,Water,Wetland,Bareland,Water,Grassland
1092,Cropland,Built-up,Wetland,Water,Wetland,Bareland,Water,Water
1093,Cropland,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
1094,Cropland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
1095,Cropland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1096,Cropland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1097,Cropland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
1098,Cropland,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1099,Cropland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1100,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
1101,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
1102,Cropland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1103,Cropland,Water,Wetland,Water,Wetland,Grassland,Water,Water
1104,Cropland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1105,Cropland,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
1106,Cropland,Water,Wetland,Water,Wetland,Wetland,Bareland,Grassland
1107,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1108,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Water
1109,Cropland,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1110,Cropland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
1111,Cropland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
1112,Cropland,Water,Wetland,Water,Wetland,Bareland,Water,Water
1113,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1114,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
1115,Cropland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1116,Cropland,Water,Wetland,Water,Wetland,Water,Water,Wetland
1117,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
1118,Cropland,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1119,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1120,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
1121,Cropland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1122,Cropland,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
1123,Cropland,Water,Water,NULL,Water,Wetland,Wetland,Grassland
1124,Cropland,Water,Water,NULL,Water,Water,Wetland,Grassland
1125,Cropland,Water,Water,Water,Water,Water,Wetland,Water
1126,Cropland,Water,Water,Water,Water,Water,Water,Grassland
1127,Cropland,Water,Water,Water,Water,Water,Water,Water
1128,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1129,Cropland,Forest,Cropland,Water,Non_Wetland,Wetland,Bareland,Grassland
1130,Cropland,Forest,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
1131,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1132,Cropland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1133,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
1134,Cropland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1135,Cropland,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
1136,Cropland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1137,Cropland,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
1138,Cropland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1139,Cropland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
1140,Cropland,Forest,Wetland,Water,Wetland,Wetland,Bareland,Grassland
1141,Cropland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1142,Cropland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
1143,Cropland,Forest,Wetland,Water,Wetland,Bareland,Grassland,Water
1144,Cropland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1145,Cropland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
1146,Cropland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
1147,Cropland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
1148,Cropland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1149,Cropland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
1150,Cropland,Forest,Wetland,Water,Wetland,Water,Bareland,Grassland
1151,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1152,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Wetland
1153,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Water
1154,Cropland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
1155,Cropland,Forest,Water,Water,Water,Wetland,Water,Grassland
1156,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1157,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1158,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1159,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1160,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1161,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1162,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1163,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1164,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
1165,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Water
1166,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1167,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1168,Wetland,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
1169,Wetland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1170,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1171,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
