Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R
989,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
990,Wetland,NULL,Water,Water,Water,Wetland,NULL,Wetland
991,Wetland,NULL,Water,Water,Water,Wetland,NULL,Water
992,Wetland,NULL,Water,Water,Water,Water,NULL,Wetland
993,Wetland,NULL,Water,Water,Water,Water,NULL,Water
994,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
995,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
996,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
997,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
998,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
999,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Water
1000,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Forest
1001,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1002,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1003,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1004,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
1005,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
1006,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
1007,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1008,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1009,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
1010,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,NULL,Water
1011,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1012,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1013,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1014,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
1015,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
1016,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Grassland
1017,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Wetland
1018,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Water
1019,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Forest
1020,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1021,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1022,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1023,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
1024,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1025,Wetland,Wetland,Wetland,NULL,Wetland,Water,NULL,Grassland
1026,Wetland,Wetland,Wetland,NULL,Wetland,Water,NULL,Water
1027,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1028,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
1029,Wetland,Wetland,Wetland,NULL,Wetland,Forest,NULL,Forest
1030,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1031,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1032,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1033,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1034,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
1035,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,NULL,Water
1036,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
1037,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
1038,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
1039,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
1040,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
1041,Wetland,Wetland,Wetland,Water,Wetland,Wetland,NULL,Wetland
1042,Wetland,Wetland,Wetland,Water,Wetland,Wetland,NULL,Water
1043,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1044,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1045,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Bareland
1046,Wetland,Wetland,Wetland,Water,Wetland,Bareland,NULL,Water
1047,Wetland,Wetland,Wetland,Water,Wetland,Water,NULL,Wetland
1048,Wetland,Wetland,Wetland,Water,Wetland,Water,NULL,Bareland
1049,Wetland,Wetland,Wetland,Water,Wetland,Water,NULL,Water
1050,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1051,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
1052,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
1053,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
1054,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
1055,Wetland,Wetland,Wetland,Water,Wetland,Forest,NULL,Forest
1056,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
1057,Wetland,Wetland,Water,NULL,Water,Wetland,NULL,Water
1058,Wetland,Wetland,Water,NULL,Water,Wetland,NULL,Forest
1059,Wetland,Wetland,Water,NULL,Water,Water,NULL,Water
1060,Wetland,Wetland,Water,NULL,Water,Water,NULL,Forest
1061,Wetland,Wetland,Water,NULL,Water,Water,Water,Grassland
1062,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
1063,Wetland,Wetland,Water,Non_Water,Water,Water,NULL,Bareland
1064,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
1065,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
1066,Wetland,Wetland,Water,Water,Water,Wetland,NULL,Wetland
1067,Wetland,Wetland,Water,Water,Water,Wetland,NULL,Water
1068,Wetland,Wetland,Water,Water,Water,Wetland,NULL,Forest
1069,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
1070,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
1071,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
1072,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
1073,Wetland,Wetland,Water,Water,Water,Bareland,NULL,Water
1074,Wetland,Wetland,Water,Water,Water,Water,NULL,Wetland
1075,Wetland,Wetland,Water,Water,Water,Water,NULL,Water
1076,Wetland,Wetland,Water,Water,Water,Water,NULL,Forest
1077,Wetland,Wetland,Water,Water,Water,Water,Wetland,Wetland
1078,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
1079,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
1080,Wetland,Wetland,Water,Water,Water,Water,Water,Bareland
1081,Wetland,Wetland,Water,Water,Water,Water,Water,Water
1082,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
1083,Wetland,Wetland,Water,Water,Water,Forest,NULL,Forest
1084,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1085,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1086,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1087,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1088,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1089,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1090,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1091,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1092,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1093,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1094,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1095,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1096,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Forest
1097,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
1098,Wetland,Built-up,Wetland,NULL,Wetland,Wetland,NULL,Forest
1099,Wetland,Built-up,Wetland,NULL,Wetland,Water,NULL,Forest
1100,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
1101,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
1102,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1103,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
1104,Wetland,Water,Shrubland,Water,Non_Wetland,Water,NULL,Water
1105,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
1106,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
1107,Wetland,Water,Wetland,NULL,Wetland,Wetland,NULL,Grassland
1108,Wetland,Water,Wetland,NULL,Wetland,Wetland,NULL,Wetland
1109,Wetland,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
1110,Wetland,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
1111,Wetland,Water,Wetland,NULL,Wetland,Water,NULL,Water
1112,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
1113,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
1114,Wetland,Water,Wetland,NULL,Wetland,Water,Forest,Water
1115,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1116,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
1117,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1118,Wetland,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
1119,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1120,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1121,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
1122,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
1123,Wetland,Water,Wetland,Water,Wetland,Wetland,NULL,Wetland
1124,Wetland,Water,Wetland,Water,Wetland,Wetland,NULL,Water
1125,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
1126,Wetland,Water,Wetland,Water,Wetland,Bareland,NULL,Grassland
1127,Wetland,Water,Wetland,Water,Wetland,Water,NULL,Wetland
1128,Wetland,Water,Wetland,Water,Wetland,Water,NULL,Water
1129,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
1130,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
1131,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
1132,Wetland,Water,Water,NULL,Water,Wetland,NULL,Wetland
1133,Wetland,Water,Water,NULL,Water,Water,NULL,Water
1134,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
1135,Wetland,Water,Water,Non_Water,Water,Water,NULL,Water
1136,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
1137,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
1138,Wetland,Water,Water,Water,Water,NULL,NULL,Water
1139,Wetland,Water,Water,Water,Water,NULL,Wetland,Forest
1140,Wetland,Water,Water,Water,Water,NULL,Water,Water
1141,Wetland,Water,Water,Water,Water,Wetland,NULL,Water
1142,Wetland,Water,Water,Water,Water,Wetland,Wetland,Forest
1143,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
1144,Wetland,Water,Water,Water,Water,Wetland,Water,Water
1145,Wetland,Water,Water,Water,Water,Bareland,NULL,Water
1146,Wetland,Water,Water,Water,Water,Water,NULL,Water
1147,Wetland,Water,Water,Water,Water,Water,Wetland,Water
1148,Wetland,Water,Water,Water,Water,Water,Water,Wetland
1149,Wetland,Water,Water,Water,Water,Water,Water,Bareland
1150,Wetland,Water,Water,Water,Water,Water,Water,Water
1151,Wetland,Water,Water,Water,Water,Water,Water,Forest
1152,Wetland,Water,Water,Water,Water,Forest,NULL,Water
1153,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1154,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1155,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1156,Wetland,Water,Forest,NULL,Non_Wetland,Bareland,NULL,Wetland
1157,Wetland,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
1158,Wetland,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
1159,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1160,Wetland,Water,Forest,Water,Non_Wetland,Water,Water,Water
1161,Wetland,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1162,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1163,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1164,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1165,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1166,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1167,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
1168,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
1169,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
1170,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1171,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1172,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1173,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1174,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1175,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1176,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1177,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1178,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1179,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1180,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1181,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1182,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
1183,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1184,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1185,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1186,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1187,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1188,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1189,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1190,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1191,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1192,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1193,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1194,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Bareland
1195,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1196,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1197,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1198,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1199,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1200,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1201,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
1202,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
1203,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1204,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
1205,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
1206,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1207,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1208,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1209,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1210,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1211,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1212,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1213,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1214,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1215,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1216,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1217,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1218,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1219,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1220,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1221,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
1222,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
1223,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
1224,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
1225,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
1226,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
1227,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
1228,Bareland,Bareland,Water,Water,Water,Water,Water,Water
1229,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1230,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Wetland,Forest
1231,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Water
1232,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
1233,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1234,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1235,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Bareland
1236,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1237,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
1238,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
1239,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
1240,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
1241,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
1242,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
1243,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1244,Bareland,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
1245,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1246,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
1247,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
1248,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
1249,Bareland,Water,Water,NULL,Water,NULL,NULL,Wetland
1250,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
1251,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
1252,Bareland,Water,Water,Non_Water,Water,Water,NULL,Water
1253,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
1254,Bareland,Water,Water,Water,NULL,NULL,NULL,Water
1255,Bareland,Water,Water,Water,Water,NULL,NULL,Water
1256,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
1257,Bareland,Water,Water,Water,Water,Water,NULL,Water
1258,Bareland,Water,Water,Water,Water,Water,Wetland,Forest
1259,Bareland,Water,Water,Water,Water,Water,Water,Water
1260,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
1261,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1262,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Water
1263,Bareland,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
1264,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
1265,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1266,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
1267,Bareland,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1268,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1269,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
1270,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1271,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1272,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1273,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1274,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1275,Bareland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1276,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1277,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
1278,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
1279,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
1280,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1281,Bareland,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1282,Bareland,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1283,Bareland,Forest,Water,NULL,Water,NULL,NULL,Forest
1284,Bareland,Forest,Water,Water,Water,NULL,NULL,Forest
1285,Bareland,Forest,Water,Water,Water,Forest,Forest,Forest
1286,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1287,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1288,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1289,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1290,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1291,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1292,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1293,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1294,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1295,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1296,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1297,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1298,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1299,Bareland,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
1300,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1301,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1302,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1303,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1304,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1305,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1306,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1307,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1308,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1309,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1310,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1311,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1312,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1313,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1314,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1315,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1316,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1317,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1318,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
1319,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1320,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1321,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1322,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1323,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1324,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1325,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1326,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1327,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1328,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1329,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1330,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1331,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1332,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1333,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1334,Water,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
1335,Water,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
1336,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1337,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1338,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1339,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
1340,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1341,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
