Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R
338,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
339,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
340,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
341,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
342,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
343,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
344,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
345,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
346,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
347,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
348,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
349,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
350,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
351,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
352,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
353,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
354,Water,Water,Wetland,Water,Wetland,Water,Grassland,Water
355,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
356,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
357,Water,Water,Wetland,Water,Wetland,Water,Water,Water
358,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
359,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
360,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
361,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
362,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
363,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
364,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
365,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
366,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
367,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
368,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
369,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
370,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
371,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
372,Water,Water,Water,NULL,Water,NULL,NULL,Water
373,Water,Water,Water,NULL,Water,NULL,NULL,Forest
374,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
375,Water,Water,Water,NULL,Water,Water,NULL,Grassland
376,Water,Water,Water,NULL,Water,Water,NULL,Water
377,Water,Water,Water,NULL,Water,Water,NULL,Forest
378,Water,Water,Water,NULL,Water,Water,Grassland,Water
379,Water,Water,Water,NULL,Water,Water,Wetland,Grassland
380,Water,Water,Water,NULL,Water,Water,Wetland,Water
381,Water,Water,Water,NULL,Water,Water,Wetland,Forest
382,Water,Water,Water,NULL,Water,Water,Water,Water
383,Water,Water,Water,NULL,Water,Water,Water,Forest
384,Water,Water,Water,NULL,Water,Water,Forest,Water
385,Water,Water,Water,NULL,Water,Water,Forest,Forest
386,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
387,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
388,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
389,Water,Water,Water,Non_Water,Water,Water,NULL,Water
390,Water,Water,Water,Non_Water,Water,Water,NULL,Forest
391,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
392,Water,Water,Water,Non_Water,Water,Water,Water,Water
393,Water,Water,Water,Non_Water,Water,Water,Forest,Water
394,Water,Water,Water,Water,Water,NULL,NULL,Water
395,Water,Water,Water,Water,Water,NULL,NULL,Forest
396,Water,Water,Water,Water,Water,Water,NULL,Grassland
397,Water,Water,Water,Water,Water,Water,NULL,Water
398,Water,Water,Water,Water,Water,Water,NULL,Forest
399,Water,Water,Water,Water,Water,Water,Grassland,Water
400,Water,Water,Water,Water,Water,Water,Grassland,Forest
401,Water,Water,Water,Water,Water,Water,Wetland,Water
402,Water,Water,Water,Water,Water,Water,Wetland,Forest
403,Water,Water,Water,Water,Water,Water,Water,Water
404,Water,Water,Water,Water,Water,Water,Water,Forest
405,Water,Water,Water,Water,Water,Water,Forest,Grassland
406,Water,Water,Water,Water,Water,Water,Forest,Water
407,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
408,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
409,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
410,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
411,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
412,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
413,Water,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
414,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
415,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
416,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
417,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
418,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
419,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
420,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
421,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
422,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
423,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
424,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
425,Water,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Water
426,Water,Water,Forest,Non_Water,Non_Wetland,Water,Grassland,Water
427,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
428,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
429,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
430,Water,Water,Forest,Water,Non_Wetland,Water,NULL,Water
431,Water,Water,Forest,Water,Non_Wetland,Water,Grassland,Water
432,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
433,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
434,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
435,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
436,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
437,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
438,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
439,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
440,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
441,Permanent_ice_and_snow,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
442,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
443,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
444,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
445,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
446,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
447,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
448,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
449,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
450,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
451,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
452,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
453,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
454,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
455,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
456,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
457,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
458,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
459,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
460,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
461,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
462,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
463,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
464,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
465,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
466,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
467,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
468,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
469,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
470,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
471,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
472,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
473,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
474,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
475,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
476,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
477,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
478,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
479,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
480,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
481,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
482,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
483,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
484,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
485,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
486,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
487,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
488,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
489,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
490,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
491,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
492,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
493,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
494,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
495,Forest,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
496,Forest,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
497,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
498,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
499,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
500,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
501,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
502,Forest,NULL,Water,NULL,Water,Water,Grassland,Forest
503,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
504,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
505,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
506,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
507,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
508,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
509,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
510,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
511,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
512,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
513,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
514,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
515,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
516,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
517,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
518,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
519,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
520,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
521,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
522,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
523,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
524,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
525,Forest,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
526,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
527,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
528,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
529,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
530,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
531,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
532,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
533,Forest,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Forest
534,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
535,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
536,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
537,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
538,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
539,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
540,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
541,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
542,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
543,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
544,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
545,Forest,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
546,Forest,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
547,Forest,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
548,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
549,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
550,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
551,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
552,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
553,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
554,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
555,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
556,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
557,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
558,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
559,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
560,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
561,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
562,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
563,Forest,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
564,Forest,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
565,Forest,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
566,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
567,Forest,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
568,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
569,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
570,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
571,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
572,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
573,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
574,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
575,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
576,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Water
577,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
578,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
579,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Water
580,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
581,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
582,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
583,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
584,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
585,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
586,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
587,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
588,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
589,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
590,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
591,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
592,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
593,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,NULL,Water
594,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
595,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
596,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
597,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
598,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
599,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
600,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
601,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
602,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
603,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
604,Forest,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
605,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
606,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
607,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
608,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
609,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
610,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
611,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
612,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
613,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
614,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
615,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Grassland
616,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Water
617,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Forest
618,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
619,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
620,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
621,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
622,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
623,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
624,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
625,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
626,Forest,Water,Wetland,NULL,Wetland,Forest,NULL,Water
627,Forest,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
628,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
629,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
630,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
631,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
632,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
633,Forest,Water,Wetland,Non_Water,Wetland,Water,NULL,Grassland
634,Forest,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
635,Forest,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
636,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
637,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
638,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
639,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
640,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
641,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
642,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
643,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
644,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
645,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
646,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
647,Forest,Water,Wetland,Water,Wetland,Wetland,Forest,Water
648,Forest,Water,Wetland,Water,Wetland,Water,NULL,Water
649,Forest,Water,Wetland,Water,Wetland,Water,NULL,Forest
650,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
651,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
652,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
653,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
654,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
655,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
656,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
657,Forest,Water,Wetland,Water,Wetland,Forest,NULL,Forest
658,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
659,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
660,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
661,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
662,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
663,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
664,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
665,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
666,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
667,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
668,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
669,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
670,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
671,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
672,Forest,Water,Water,NULL,Water,NULL,NULL,Water
673,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
674,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
675,Forest,Water,Water,NULL,Water,NULL,Forest,Water
676,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
677,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
678,Forest,Water,Water,NULL,Water,Wetland,Forest,Forest
679,Forest,Water,Water,NULL,Water,Water,NULL,Grassland
680,Forest,Water,Water,NULL,Water,Water,NULL,Water
681,Forest,Water,Water,NULL,Water,Water,NULL,Forest
682,Forest,Water,Water,NULL,Water,Water,Wetland,Grassland
683,Forest,Water,Water,NULL,Water,Water,Wetland,Water
684,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
685,Forest,Water,Water,NULL,Water,Water,Water,Grassland
686,Forest,Water,Water,NULL,Water,Water,Water,Water
687,Forest,Water,Water,NULL,Water,Water,Water,Forest
688,Forest,Water,Water,NULL,Water,Water,Forest,Grassland
689,Forest,Water,Water,NULL,Water,Water,Forest,Water
690,Forest,Water,Water,NULL,Water,Water,Forest,Forest
691,Forest,Water,Water,NULL,Water,Forest,NULL,Forest
692,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
693,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
694,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
695,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
696,Forest,Water,Water,Non_Water,Water,Water,NULL,Water
697,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
698,Forest,Water,Water,Non_Water,Water,Water,Water,Water
699,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
700,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
701,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
702,Forest,Water,Water,Non_Water,Water,Forest,Forest,Water
703,Forest,Water,Water,Non_Water,Water,Forest,Forest,Forest
704,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
705,Forest,Water,Water,Water,Water,NULL,NULL,Water
706,Forest,Water,Water,Water,Water,NULL,NULL,Forest
707,Forest,Water,Water,Water,Water,NULL,Wetland,Water
708,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
709,Forest,Water,Water,Water,Water,NULL,Forest,Water
710,Forest,Water,Water,Water,Water,Water,NULL,Grassland
711,Forest,Water,Water,Water,Water,Water,NULL,Water
712,Forest,Water,Water,Water,Water,Water,NULL,Forest
713,Forest,Water,Water,Water,Water,Water,Wetland,Water
714,Forest,Water,Water,Water,Water,Water,Wetland,Forest
715,Forest,Water,Water,Water,Water,Water,Water,Grassland
716,Forest,Water,Water,Water,Water,Water,Water,Water
