Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R
722,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
723,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
724,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
725,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
726,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
727,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
728,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
729,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
730,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
731,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
732,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
733,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
734,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
735,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
736,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
737,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
738,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
739,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
740,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
741,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
742,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
743,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
744,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
745,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
746,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
747,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
748,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
749,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
750,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
751,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
752,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
753,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
754,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
755,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
756,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
757,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Forest
758,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
759,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Forest
760,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
761,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
762,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
763,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
764,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
765,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
766,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
767,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
768,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
769,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
770,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
771,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
772,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
773,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
774,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
775,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Forest
776,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
777,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
778,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
779,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
780,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
781,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
782,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
783,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
784,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
785,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
786,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
787,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
788,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
789,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
790,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
791,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
792,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
793,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
794,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
795,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
796,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
797,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
798,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
799,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
800,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
801,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
802,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
803,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Bareland
804,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
805,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
806,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
807,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
808,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
809,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
810,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
811,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
812,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
813,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
814,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
815,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
816,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
817,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
818,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
819,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
820,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
821,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
822,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
823,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
824,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
825,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
826,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
827,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
828,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
829,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
830,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
831,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
832,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
833,NULL,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
834,NULL,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
835,NULL,Water,NULL,Water,Non_Wetland,Water,Grassland,Forest
836,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
837,NULL,Water,NULL,Water,Non_Wetland,Water,Forest,Grassland
838,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
839,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
840,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
841,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
842,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
843,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
844,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
845,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
846,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
847,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
848,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
849,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
850,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
851,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
852,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
853,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
854,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
855,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
856,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
857,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
858,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
859,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
860,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
861,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
862,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
863,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
864,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
865,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
866,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
867,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
868,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
869,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
870,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
871,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Bareland
872,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
873,NULL,Water,Wetland,NULL,Wetland,Water,Grassland,Forest
874,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
875,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
876,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
877,NULL,Water,Wetland,NULL,Wetland,Water,Water,Bareland
878,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
879,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
880,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
881,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
882,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
883,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
884,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
885,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
886,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
887,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
888,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
889,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
890,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
891,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
892,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
893,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
894,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
895,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
896,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
897,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
898,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
899,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
900,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
901,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
902,NULL,Water,Water,Water,Water,Water,Water,Water
903,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
904,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
905,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
906,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
907,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
908,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
909,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
910,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
911,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
912,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
913,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
914,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
915,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
916,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
917,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
918,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
919,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
920,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
921,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
922,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
923,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
924,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
925,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
926,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
927,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
928,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
929,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
930,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
931,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
932,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
933,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
934,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
935,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
936,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
937,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
938,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
939,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
940,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
941,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
942,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
943,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
944,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
945,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
946,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
947,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
948,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
949,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
950,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
951,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
952,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
953,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
954,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
955,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
956,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
957,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
958,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
959,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
960,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
961,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
962,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
963,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
964,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
965,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
966,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
967,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
968,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
969,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
970,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
971,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
972,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
973,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
974,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
975,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
976,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
977,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
978,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
979,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
980,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
981,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
982,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
983,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
984,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
985,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
986,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
987,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
988,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
989,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
990,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
991,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
992,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
993,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
994,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
995,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
996,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
997,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
998,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
999,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1000,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1001,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1002,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1003,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1004,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
1005,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1006,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1007,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1008,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1009,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
1010,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1011,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
1012,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1013,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
1014,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
1015,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1016,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1017,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1018,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1019,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1020,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
1021,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1022,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1023,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1024,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1025,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
1026,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1027,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1028,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1029,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1030,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1031,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1032,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1033,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1034,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1035,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1036,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1037,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1038,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1039,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1040,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1041,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1042,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1043,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1044,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1045,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1046,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1047,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
1048,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
1049,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1050,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1051,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1052,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1053,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1054,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1055,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1056,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
