Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KVD_M_R
882,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
883,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
884,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
885,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
886,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
887,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
888,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
889,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,NULL
890,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,NULL
891,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
892,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
893,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
894,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
895,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
896,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
897,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
898,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
899,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
900,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
901,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
902,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
903,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
904,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
905,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,NULL
906,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
907,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
908,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,NULL
909,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
910,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
911,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
912,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Built-up,NULL
913,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
914,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
915,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Built-up,NULL
916,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
917,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up,Built-up,NULL
918,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,NULL
919,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Wetland,NULL
920,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Built-up,NULL
921,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
922,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
923,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
924,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
925,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
926,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
927,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
928,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
929,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
930,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
931,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
932,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
933,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
934,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
935,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
936,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
937,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
938,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
939,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
940,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
941,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
942,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
943,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
944,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Water,NULL
945,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
946,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,NULL
947,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
948,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
949,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,NULL
950,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
951,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
952,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water,NULL
953,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,NULL,NULL
954,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
955,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
956,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
957,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
958,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
959,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
960,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
961,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
962,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
963,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
964,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
965,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
966,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
967,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
968,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
969,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
970,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
971,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
972,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
973,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
974,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
975,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
976,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Wetland,NULL
977,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Built-up,NULL
978,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,NULL,NULL
979,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
980,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Built-up,NULL
981,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,NULL
982,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,NULL
983,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Built-up,NULL
984,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,NULL,NULL
985,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,Built-up,NULL
986,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
987,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
988,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
989,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
990,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
991,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water,NULL
992,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
993,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
994,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
995,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
996,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
997,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
998,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
999,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
1000,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
1001,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
1002,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
1003,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
1004,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
1005,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
1006,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
1007,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
1008,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
1009,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
1010,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Wetland,NULL
1011,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
1012,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
1013,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
1014,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Wetland,NULL
1015,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,NULL
1016,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
1017,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
1018,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
1019,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Wetland,NULL
1020,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Built-up,NULL
1021,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
1022,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
1023,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1024,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,NULL
1025,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
1026,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
1027,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,NULL
1028,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,NULL,NULL
1029,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Wetland,NULL
1030,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,NULL
1031,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,NULL
1032,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Built-up,NULL
1033,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,NULL,NULL
1034,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Built-up,NULL
1035,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
1036,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,NULL
1037,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
1038,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland,NULL
1039,NULL,Built-up,Wetland,NULL,Wetland,NULL,Built-up,NULL
1040,NULL,Built-up,Wetland,NULL,Wetland,NULL,Water,NULL
1041,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,NULL
1042,NULL,Built-up,Wetland,NULL,Wetland,Wetland,NULL,NULL
1043,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1044,NULL,Built-up,Wetland,NULL,Wetland,Bareland,NULL,NULL
1045,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,NULL
1046,NULL,Built-up,Wetland,NULL,Wetland,Forest,NULL,NULL
1047,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1048,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
1049,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Built-up,NULL
1050,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Water,NULL
1051,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,NULL,NULL
1052,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Built-up,NULL
1053,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland,Built-up,NULL
1054,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,NULL
1055,NULL,Built-up,Wetland,Water,Wetland,NULL,Wetland,NULL
1056,NULL,Built-up,Wetland,Water,Wetland,NULL,Water,NULL
1057,NULL,Built-up,Wetland,Water,Wetland,Bareland,Built-up,NULL
1058,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,NULL
1059,NULL,Built-up,Wetland,Water,Wetland,Water,Water,NULL
1060,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
1061,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up,NULL
1062,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,NULL
1063,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Built-up,NULL
1064,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,NULL
1065,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1066,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1067,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,NULL
1068,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
1069,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
1070,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,NULL
1071,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,NULL
1072,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1073,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1074,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
1075,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1076,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
1077,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1078,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1079,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
1080,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1081,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
1082,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
1083,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
1084,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
1085,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
1086,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
1087,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
1088,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,NULL
1089,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,NULL
1090,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,NULL,NULL
1091,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Grassland,NULL
1092,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,NULL
1093,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
1094,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland,NULL
1095,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Wetland,NULL
1096,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Bareland,NULL
1097,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up,NULL
1098,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Water,NULL
1099,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,NULL,NULL
1100,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1101,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,NULL
1102,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
1103,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,NULL
1104,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,NULL
1105,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,NULL
1106,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up,NULL
1107,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Water,NULL
1108,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Built-up,NULL
1109,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,NULL,NULL
1110,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Grassland,NULL
1111,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,NULL
1112,NULL,Built-up,Water,NULL,Water,NULL,Water,NULL
1113,NULL,Built-up,Water,Non_Water,Water,NULL,Grassland,NULL
1114,NULL,Built-up,Water,Water,Water,NULL,NULL,NULL
1115,NULL,Built-up,Water,Water,Water,NULL,Water,NULL
1116,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1117,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
1118,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1119,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
1120,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,NULL
1121,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,NULL
1122,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1123,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1124,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1125,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1126,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
1127,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
1128,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
1129,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
1130,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
1131,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
1132,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,NULL
1133,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
1134,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
1135,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,NULL
1136,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1137,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Wetland,NULL
1138,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,NULL,NULL
1139,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Wetland,NULL
1140,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,Wetland,NULL
1141,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,NULL
1142,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1143,NULL,Water,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1144,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,NULL
1145,NULL,Water,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1146,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
1147,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
1148,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
1149,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
1150,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
1151,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1152,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
1153,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
1154,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
1155,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1156,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
1157,NULL,Water,Grassland,Water,Non_Wetland,NULL,Built-up,NULL
1158,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1159,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
1160,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
1161,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,NULL
1162,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
1163,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,NULL
1164,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
1165,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
1166,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,NULL
1167,NULL,Water,Cropland,Water,Non_Wetland,NULL,Water,NULL
1168,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
1169,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1170,NULL,Water,Wetland,Non_Water,Wetland,Water,NULL,NULL
1171,NULL,Water,Wetland,Water,Wetland,NULL,NULL,NULL
1172,NULL,Water,Wetland,Water,Wetland,NULL,Water,NULL
1173,NULL,Water,Wetland,Water,Wetland,Bareland,Water,NULL
1174,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1175,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1176,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Water,NULL
1177,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1178,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
1179,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
1180,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,NULL
1181,NULL,Water,Water,Non_Water,Water,Water,Water,NULL
1182,NULL,Water,Water,Water,Water,Bareland,Water,NULL
1183,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1184,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1185,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,NULL
1186,NULL,Water,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1187,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1188,NULL,Water,Forest,NULL,Non_Wetland,Forest,Water,NULL
1189,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1190,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1191,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1192,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1193,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1194,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1195,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
1196,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
1197,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1198,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
1199,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
1200,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,NULL
1201,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
1202,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
1203,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
1204,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
1205,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
1206,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,NULL
1207,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1208,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1209,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
1210,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1211,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1212,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1213,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
1214,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
