Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R
8712,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
8713,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Shrubland,NULL
8714,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
8715,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Water,Grassland
8716,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Water,Wetland
8717,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Grassland
8718,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Wetland
8719,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
8720,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,Shrubland,NULL
8721,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,Shrubland,Forest
8722,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Forest,Wetland
8723,Wetland,Wetland,Forest,Water,Non_Wetland,Forest,Water,Wetland
8724,Wetland,Water,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
8725,Wetland,Water,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
8726,Wetland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8727,Wetland,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Water
8728,Wetland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
8729,Wetland,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
8730,Wetland,Water,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
8731,Wetland,Water,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
8732,Wetland,Water,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
8733,Wetland,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
8734,Wetland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
8735,Wetland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
8736,Wetland,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Wetland
8737,Wetland,Water,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
8738,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
8739,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
8740,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
8741,Wetland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
8742,Wetland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
8743,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
8744,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Cropland
8745,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
8746,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8747,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
8748,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
8749,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
8750,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
8751,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
8752,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
8753,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
8754,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
8755,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
8756,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
8757,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Cropland
8758,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
8759,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,NULL
8760,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Wetland
8761,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest,Water,Wetland
8762,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
8763,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
8764,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
8765,Wetland,Water,Grassland,Non_Water,Non_Wetland,Forest,NULL,Wetland
8766,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
8767,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
8768,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
8769,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
8770,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,Built-up,Water
8771,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Wetland
8772,Wetland,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
8773,Wetland,Water,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
8774,Wetland,Water,Cropland,NULL,Non_Wetland,Shrubland,Forest,Cropland
8775,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8776,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
8777,Wetland,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
8778,Wetland,Water,Cropland,NULL,Non_Wetland,Forest,Forest,Wetland
8779,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8780,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
8781,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
8782,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
8783,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Cropland
8784,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Wetland
8785,Wetland,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
8786,Wetland,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Cropland
8787,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
8788,Wetland,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Wetland
8789,Wetland,Water,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
8790,Wetland,Water,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
8791,Wetland,Water,Cropland,Non_Water,Non_Wetland,Water,Grassland,Water
8792,Wetland,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Wetland
8793,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest,NULL,Wetland
8794,Wetland,Water,Cropland,Water,Non_Wetland,Water,Grassland,Cropland
8795,Wetland,Water,Cropland,Water,Non_Wetland,Water,Water,Wetland
8796,Wetland,Water,Cropland,Water,Non_Wetland,Water,Water,Water
8797,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
8798,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
8799,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Wetland
8800,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Forest,Wetland
8801,Wetland,Water,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
8802,Wetland,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
8803,Wetland,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
8804,Wetland,Water,Wetland,Non_Water,Wetland,Shrubland,Forest,NULL
8805,Wetland,Water,Wetland,Non_Water,Wetland,Bareland,NULL,Wetland
8806,Wetland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
8807,Wetland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
8808,Wetland,Water,Wetland,Non_Water,Wetland,Water,NULL,Grassland
8809,Wetland,Water,Wetland,Non_Water,Wetland,Water,NULL,Wetland
8810,Wetland,Water,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
8811,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,NULL
8812,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
8813,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Cropland
8814,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
8815,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
8816,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
8817,Wetland,Water,Wetland,Non_Water,Wetland,Water,Forest,NULL
8818,Wetland,Water,Wetland,Non_Water,Wetland,Water,Forest,Wetland
8819,Wetland,Water,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
8820,Wetland,Water,Wetland,Non_Water,Wetland,Forest,Water,Wetland
8821,Wetland,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
8822,Wetland,Water,Wetland,Non_Water,Wetland,Forest,Forest,Wetland
8823,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
8824,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Water
8825,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
8826,Wetland,Water,Water,NULL,Water,Water,Water,Water
8827,Wetland,Water,Water,Non_Water,Water,Water,Water,Wetland
8828,Wetland,Water,Water,Water,Water,Water,Water,Water
8829,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
8830,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
8831,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Wetland
8832,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
8833,Wetland,Water,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
8834,Wetland,Water,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
8835,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
8836,Wetland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
8837,Wetland,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
8838,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Water,NULL
8839,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Wetland
8840,Wetland,Water,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
8841,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Shrubland,NULL
8842,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
8843,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
8844,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Cropland
8845,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Wetland
8846,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Wetland
8847,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
8848,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8849,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
8850,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
8851,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
8852,Wetland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8853,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
8854,Wetland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
8855,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
8856,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
8857,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
8858,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
8859,Wetland,Forest,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
8860,Wetland,Forest,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Cropland
8861,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
8862,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
8863,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
8864,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
8865,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
8866,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
8867,Wetland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
8868,Wetland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
8869,Wetland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8870,Wetland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
8871,Wetland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
8872,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
8873,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
8874,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
8875,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
8876,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest,NULL
8877,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
8878,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
8879,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
8880,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Cropland
8881,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
8882,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
8883,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
8884,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Wetland
8885,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
8886,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
8887,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
8888,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
8889,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
8890,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
8891,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
8892,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8893,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8894,Wetland,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
8895,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
8896,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
8897,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
8898,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
8899,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
8900,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
8901,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
8902,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
8903,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
8904,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
8905,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Forest,NULL,Wetland
8906,Wetland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
8907,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
8908,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Shrubland,NULL
8909,Wetland,Forest,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
8910,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Shrubland,Grassland
8911,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Shrubland,Cropland
8912,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Shrubland,Wetland
8913,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
8914,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Forest,Cropland
8915,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Forest,Wetland
8916,Wetland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
8917,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
8918,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
8919,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
8920,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
8921,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
8922,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
8923,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
8924,Wetland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8925,Wetland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8926,Wetland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
8927,Wetland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
8928,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
8929,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
8930,Wetland,Forest,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
8931,Wetland,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
8932,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
8933,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
8934,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
8935,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
8936,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
8937,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
8938,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland,NULL
8939,Wetland,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
8940,Wetland,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
8941,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland,NULL,NULL
8942,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
8943,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Water,Wetland
8944,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Forest,NULL
8945,Wetland,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
8946,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest,NULL,Wetland
8947,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
8948,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
8949,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
8950,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
8951,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
8952,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8953,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
8954,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
8955,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
8956,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
8957,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
8958,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
8959,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8960,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
8961,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
8962,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8963,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
8964,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
8965,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
8966,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
8967,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
8968,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
8969,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
8970,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
8971,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
8972,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8973,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
8974,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
8975,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8976,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
8977,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8978,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
8979,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
8980,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8981,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
8982,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
8983,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
8984,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
8985,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
8986,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8987,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
8988,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
8989,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8990,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
8991,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8992,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
8993,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
8994,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8995,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8996,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8997,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
8998,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
8999,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
9000,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9001,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9002,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
9003,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
9004,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
9005,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
9006,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
9007,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
9008,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
9009,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
9010,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
9011,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
9012,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
9013,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
9014,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
9015,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
9016,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
9017,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
9018,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9019,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
9020,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
9021,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
9022,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
9023,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
9024,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
9025,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
9026,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
9027,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
9028,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
9029,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
9030,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
9031,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
9032,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
9033,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
9034,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
9035,Bareland,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
