Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R
729,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
730,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
731,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
732,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
733,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
734,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
735,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
736,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
737,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
738,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
739,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
740,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
741,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
742,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
743,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
744,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
745,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
746,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
747,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
748,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
749,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
750,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Bareland
751,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
752,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
753,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
754,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
755,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
756,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Bareland
757,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
758,Water,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
759,Water,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
760,Water,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
761,Water,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
762,Water,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
763,Water,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
764,Water,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
765,Water,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
766,Water,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
767,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
768,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Bareland
769,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
770,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
771,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
772,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Bareland
773,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
774,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
775,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
776,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
777,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
778,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
779,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
780,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
781,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
782,Water,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
783,Water,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
784,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
785,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
786,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
787,Water,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
788,Water,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
789,Water,NULL,Wetland,NULL,Wetland,Grassland,NULL,Bareland
790,Water,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
791,Water,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
792,Water,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
793,Water,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
794,Water,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
795,Water,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
796,Water,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
797,Water,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
798,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
799,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
800,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,Bareland
801,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,Water
802,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
803,Water,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
804,Water,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
805,Water,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
806,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
807,Water,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
808,Water,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
809,Water,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
810,Water,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
811,Water,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
812,Water,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
813,Water,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
814,Water,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
815,Water,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
816,Water,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
817,Water,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
818,Water,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
819,Water,NULL,Wetland,NULL,Wetland,Forest,Water,Grassland
820,Water,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
821,Water,NULL,Wetland,NULL,Wetland,Forest,Forest,Bareland
822,Water,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
823,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Bareland
824,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
825,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Forest
826,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
827,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
828,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
829,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
830,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
831,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
832,Water,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
833,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
834,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
835,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
836,Water,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
837,Water,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Grassland
838,Water,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
839,Water,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
840,Water,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
841,Water,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
842,Water,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Grassland
843,Water,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
844,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
845,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
846,Water,NULL,Water,NULL,Water,NULL,NULL,Water
847,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
848,Water,NULL,Water,NULL,Water,NULL,Grassland,Forest
849,Water,NULL,Water,NULL,Water,NULL,Forest,Grassland
850,Water,NULL,Water,NULL,Water,NULL,Forest,Forest
851,Water,NULL,Water,NULL,Water,Grassland,NULL,NULL
852,Water,NULL,Water,NULL,Water,Grassland,NULL,Grassland
853,Water,NULL,Water,NULL,Water,Grassland,NULL,Bareland
854,Water,NULL,Water,NULL,Water,Grassland,NULL,Forest
855,Water,NULL,Water,NULL,Water,Grassland,Grassland,NULL
856,Water,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
857,Water,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
858,Water,NULL,Water,NULL,Water,Grassland,Grassland,Water
859,Water,NULL,Water,NULL,Water,Grassland,Grassland,Forest
860,Water,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
861,Water,NULL,Water,NULL,Water,Grassland,Wetland,Water
862,Water,NULL,Water,NULL,Water,Grassland,Wetland,Forest
863,Water,NULL,Water,NULL,Water,Grassland,Water,NULL
864,Water,NULL,Water,NULL,Water,Grassland,Water,Grassland
865,Water,NULL,Water,NULL,Water,Grassland,Water,Bareland
866,Water,NULL,Water,NULL,Water,Grassland,Water,Water
867,Water,NULL,Water,NULL,Water,Grassland,Water,Forest
868,Water,NULL,Water,NULL,Water,Grassland,Forest,NULL
869,Water,NULL,Water,NULL,Water,Grassland,Forest,Grassland
870,Water,NULL,Water,NULL,Water,Grassland,Forest,Bareland
871,Water,NULL,Water,NULL,Water,Grassland,Forest,Water
872,Water,NULL,Water,NULL,Water,Grassland,Forest,Forest
873,Water,NULL,Water,NULL,Water,Wetland,NULL,Grassland
874,Water,NULL,Water,NULL,Water,Wetland,NULL,Forest
875,Water,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
876,Water,NULL,Water,NULL,Water,Wetland,Grassland,Bareland
877,Water,NULL,Water,NULL,Water,Wetland,Grassland,Forest
878,Water,NULL,Water,NULL,Water,Wetland,Water,Forest
879,Water,NULL,Water,NULL,Water,Wetland,Forest,Grassland
880,Water,NULL,Water,NULL,Water,Wetland,Forest,Bareland
881,Water,NULL,Water,NULL,Water,Wetland,Forest,Forest
882,Water,NULL,Water,NULL,Water,Water,NULL,Grassland
883,Water,NULL,Water,NULL,Water,Water,NULL,Bareland
884,Water,NULL,Water,NULL,Water,Water,NULL,Forest
885,Water,NULL,Water,NULL,Water,Water,Grassland,Grassland
886,Water,NULL,Water,NULL,Water,Water,Grassland,Bareland
887,Water,NULL,Water,NULL,Water,Water,Grassland,Forest
888,Water,NULL,Water,NULL,Water,Water,Wetland,Forest
889,Water,NULL,Water,NULL,Water,Water,Water,Grassland
890,Water,NULL,Water,NULL,Water,Water,Water,Bareland
891,Water,NULL,Water,NULL,Water,Water,Water,Forest
892,Water,NULL,Water,NULL,Water,Water,Forest,Grassland
893,Water,NULL,Water,NULL,Water,Water,Forest,Bareland
894,Water,NULL,Water,NULL,Water,Water,Forest,Water
895,Water,NULL,Water,NULL,Water,Water,Forest,Forest
896,Water,NULL,Water,NULL,Water,Forest,NULL,NULL
897,Water,NULL,Water,NULL,Water,Forest,NULL,Grassland
898,Water,NULL,Water,NULL,Water,Forest,NULL,Bareland
899,Water,NULL,Water,NULL,Water,Forest,NULL,Forest
900,Water,NULL,Water,NULL,Water,Forest,Grassland,Grassland
901,Water,NULL,Water,NULL,Water,Forest,Grassland,Bareland
902,Water,NULL,Water,NULL,Water,Forest,Grassland,Forest
903,Water,NULL,Water,NULL,Water,Forest,Water,Grassland
904,Water,NULL,Water,NULL,Water,Forest,Water,Water
905,Water,NULL,Water,NULL,Water,Forest,Water,Forest
906,Water,NULL,Water,NULL,Water,Forest,Forest,NULL
907,Water,NULL,Water,NULL,Water,Forest,Forest,Grassland
908,Water,NULL,Water,NULL,Water,Forest,Forest,Bareland
909,Water,NULL,Water,NULL,Water,Forest,Forest,Water
910,Water,NULL,Water,NULL,Water,Forest,Forest,Forest
911,Water,NULL,Water,Water,Water,Grassland,Grassland,Forest
912,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
913,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
914,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
915,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
916,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
917,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
918,Water,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
919,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
920,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Bareland
921,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
922,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
923,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
924,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
925,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Water
926,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
927,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
928,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
929,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
930,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
931,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
932,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
933,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
934,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
935,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Water,NULL
936,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
937,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Bareland
938,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Water
939,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
940,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
941,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
942,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
943,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Water
944,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
945,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
946,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
947,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Bareland
948,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Water
949,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
950,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
951,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
952,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Bareland
953,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
954,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
955,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
956,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
957,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
958,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
959,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
960,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
961,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Bareland
962,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Water
963,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
964,Water,NULL,Forest,NULL,Non_Wetland,Water,NULL,NULL
965,Water,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
966,Water,NULL,Forest,NULL,Non_Wetland,Water,NULL,Bareland
967,Water,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
968,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
969,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
970,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
971,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
972,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
973,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Bareland
974,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
975,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
976,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
977,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
978,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Bareland
979,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Water
980,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
981,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
982,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
983,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Bareland
984,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
985,Water,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
986,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
987,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
988,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Bareland
989,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Water
990,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
991,Water,NULL,Forest,NULL,Non_Wetland,Forest,Water,Grassland
992,Water,NULL,Forest,NULL,Non_Wetland,Forest,Water,Bareland
993,Water,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
994,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
995,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
996,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Bareland
997,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Water
998,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
999,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1000,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
1001,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
1002,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1003,Water,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1004,Water,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1005,Water,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1006,Water,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
1007,Water,Bareland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1008,Water,Bareland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1009,Water,Bareland,Water,NULL,Water,NULL,NULL,Bareland
1010,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1011,Water,Bareland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
1012,Water,Bareland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1013,Water,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1014,Water,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Water
1015,Water,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1016,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
1017,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1018,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
1019,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
1020,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1021,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
1022,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
1023,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
1024,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1025,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1026,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
1027,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
1028,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
1029,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
1030,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
1031,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
1032,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
1033,Water,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
1034,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
1035,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Water
1036,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
1037,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1038,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1039,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Water
1040,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
1041,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
1042,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
1043,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
1044,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
1045,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1046,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
1047,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
1048,Water,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
1049,Water,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
1050,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
1051,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
1052,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
1053,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
1054,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
1055,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
1056,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
1057,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
1058,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1059,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Wetland
1060,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
1061,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
1062,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
1063,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
1064,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1065,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
1066,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1067,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
1068,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
1069,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
1070,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
1071,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1072,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
1073,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
1074,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
1075,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
1076,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
1077,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
1078,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
1079,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
1080,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
1081,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
1082,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1083,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
1084,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
1085,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1086,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
1087,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1088,Water,Water,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
1089,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1090,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1091,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1092,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
1093,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1094,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
1095,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1096,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
1097,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1098,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
1099,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1100,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
1101,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
1102,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
1103,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
