Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R
361,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
362,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
363,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
364,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
365,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
366,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
367,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
368,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
369,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
370,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
371,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
372,Water,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
373,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
374,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
375,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
376,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
377,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
378,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
379,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
380,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
381,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
382,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
383,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
384,Water,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
385,Water,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
386,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
387,Water,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
388,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
389,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
390,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
391,Water,Forest,Water,Water,Water,NULL,NULL,Water
392,Water,Forest,Water,Water,Water,NULL,NULL,Forest
393,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
394,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
395,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
396,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
397,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
398,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
399,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
400,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
401,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
402,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
403,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
404,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
405,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
406,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
407,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
408,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
409,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
410,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
411,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
412,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
413,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
414,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
415,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
416,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
417,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
418,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
419,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
420,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
421,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
422,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
423,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
424,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
425,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
426,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
427,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
428,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
429,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
430,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
431,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
432,Forest,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
433,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
434,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
435,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
436,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
437,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
438,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
439,Forest,NULL,Water,Water,Water,NULL,NULL,Water
440,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
441,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
442,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
443,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
444,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
445,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
446,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
447,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
448,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
449,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
450,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
451,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
452,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
453,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
454,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
455,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
456,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
457,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
458,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
459,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
460,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
461,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
462,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
463,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
464,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
465,Forest,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
466,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
467,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
468,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
469,Forest,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
470,Forest,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
471,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
472,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
473,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
474,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
475,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
476,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
477,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
478,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
479,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
480,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
481,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
482,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
483,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
484,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
485,Forest,Bareland,Water,Non_Water,Water,NULL,NULL,Water
486,Forest,Bareland,Water,Water,Water,NULL,NULL,Water
487,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
488,Forest,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
489,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
490,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
491,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
492,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
493,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
494,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
495,Forest,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
496,Forest,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
497,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
498,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
499,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
500,Forest,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
501,Forest,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
502,Forest,Built-up,Water,NULL,Water,NULL,NULL,Grassland
503,Forest,Built-up,Water,Water,Water,NULL,NULL,Grassland
504,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
505,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
506,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
507,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
508,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
509,Forest,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
510,Forest,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
511,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
512,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
513,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
514,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
515,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
516,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
517,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
518,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
519,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
520,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
521,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
522,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
523,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
524,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
525,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
526,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
527,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
528,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
529,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
530,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
531,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
532,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
533,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
534,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
535,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
536,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
537,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
538,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
539,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
540,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
541,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
542,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
543,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
544,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
545,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
546,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
547,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
548,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
549,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
550,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
551,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
552,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
553,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
554,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
555,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
556,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
557,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
558,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
559,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
560,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
561,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
562,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
563,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
564,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
565,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
566,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
567,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
568,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
569,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
570,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
571,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
572,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
573,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
574,Forest,Water,Water,NULL,Water,NULL,NULL,Water
575,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
576,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
577,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
578,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
579,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
580,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
581,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
582,Forest,Water,Water,Water,Water,NULL,NULL,Water
583,Forest,Water,Water,Water,Water,NULL,NULL,Forest
584,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
585,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
586,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
587,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
588,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
589,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
590,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
591,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
592,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
593,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
594,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
595,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
596,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
597,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
598,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
599,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
600,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
601,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
602,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
603,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
604,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
605,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
606,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
607,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
608,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
609,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
610,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
611,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
612,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
613,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
614,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
615,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
616,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
617,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
618,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
619,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
620,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
621,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
622,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
623,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
624,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
625,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
626,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
627,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
628,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
629,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
630,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
631,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
632,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
633,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
634,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
635,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
636,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
637,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
638,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
639,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
640,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
641,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
642,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
643,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
644,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
645,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
646,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
647,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
648,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
649,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
650,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
651,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
652,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
653,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
654,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
655,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
656,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
657,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
658,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
659,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
660,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
661,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
662,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
663,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
664,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
665,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
666,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
667,Forest,Forest,Water,NULL,Water,NULL,NULL,NULL
668,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
669,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
670,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
671,Forest,Forest,Water,Non_Water,Water,NULL,NULL,NULL
672,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
673,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
674,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
675,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
676,Forest,Forest,Water,Water,Water,NULL,NULL,NULL
677,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
678,Forest,Forest,Water,Water,Water,NULL,NULL,Water
679,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
680,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
681,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
682,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
683,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
684,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
685,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
686,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
687,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
688,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
689,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
690,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
691,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
