Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUR_M_R
2319,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Wetland
2320,Grassland,Wetland,Wetland,Water,Wetland,Water,NULL,Grassland
2321,Grassland,Wetland,Wetland,Water,Wetland,Water,NULL,Wetland
2322,Grassland,Wetland,Wetland,Water,Wetland,Water,NULL,Water
2323,Grassland,Wetland,Wetland,Water,Wetland,Water,Grassland,Wetland
2324,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,NULL
2325,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
2326,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
2327,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
2328,Grassland,Wetland,Water,Water,Water,Wetland,Grassland,Wetland
2329,Grassland,Wetland,Water,Water,Water,Water,Grassland,Wetland
2330,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2331,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2332,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
2333,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2334,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2335,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2336,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2337,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2338,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
2339,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
2340,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2341,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
2342,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
2343,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
2344,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
2345,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
2346,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
2347,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2348,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
2349,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2350,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
2351,Grassland,Wetland,Forest,Water,Non_Wetland,Shrubland,Grassland,Wetland
2352,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2353,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2354,Grassland,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
2355,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2356,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2357,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2358,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2359,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
2360,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2361,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2362,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2363,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
2364,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2365,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
2366,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
2367,Grassland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
2368,Grassland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
2369,Grassland,Built-up,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
2370,Grassland,Built-up,Wetland,Non_Water,Wetland,Water,NULL,Wetland
2371,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2372,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
2373,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
2374,Grassland,Built-up,Water,NULL,Water,NULL,NULL,Built-up
2375,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2376,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2377,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
2378,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2379,Grassland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
2380,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2381,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2382,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
2383,Grassland,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2384,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
2385,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
2386,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
2387,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
2388,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
2389,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
2390,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
2391,Grassland,Water,Wetland,Non_Water,Wetland,Water,NULL,Wetland
2392,Grassland,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
2393,Grassland,Water,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
2394,Grassland,Water,Wetland,Non_Water,Wetland,Water,Grassland,Forest
2395,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
2396,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
2397,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
2398,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
2399,Grassland,Water,Wetland,Water,Wetland,Water,NULL,Wetland
2400,Grassland,Water,Wetland,Water,Wetland,Water,NULL,Forest
2401,Grassland,Water,Wetland,Water,Wetland,Water,Grassland,Wetland
2402,Grassland,Water,Wetland,Water,Wetland,Water,Water,Wetland
2403,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
2404,Grassland,Water,Water,NULL,Water,NULL,NULL,Wetland
2405,Grassland,Water,Water,Non_Water,Water,Wetland,NULL,Wetland
2406,Grassland,Water,Water,Water,Water,Water,NULL,Wetland
2407,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2408,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2409,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
2410,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2411,Grassland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
2412,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
2413,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
2414,Grassland,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
2415,Grassland,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
2416,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2417,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2418,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2419,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2420,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
2421,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2422,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2423,Grassland,Forest,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
2424,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
2425,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
2426,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
2427,Grassland,Forest,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
2428,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2429,Grassland,Forest,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
2430,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2431,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2432,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
2433,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2434,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2435,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2436,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2437,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
2438,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2439,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2440,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
2441,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
2442,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2443,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2444,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2445,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
2446,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2447,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
2448,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
2449,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2450,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2451,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2452,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
2453,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2454,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2455,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2456,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
2457,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2458,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2459,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2460,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2461,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
2462,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
2463,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
2464,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
2465,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
2466,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
2467,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
2468,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
2469,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
2470,Grassland,Forest,Wetland,NULL,Wetland,Grassland,NULL,Wetland
2471,Grassland,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
2472,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
2473,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
2474,Grassland,Forest,Wetland,NULL,Wetland,Water,NULL,Wetland
2475,Grassland,Forest,Wetland,NULL,Wetland,Water,Shrubland,Forest
2476,Grassland,Forest,Wetland,NULL,Wetland,Water,Grassland,Wetland
2477,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
2478,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
2479,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
2480,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
2481,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
2482,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
2483,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
2484,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
2485,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
2486,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
2487,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
2488,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
2489,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
2490,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
2491,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
2492,Grassland,Forest,Wetland,Non_Water,Wetland,Water,NULL,Grassland
2493,Grassland,Forest,Wetland,Non_Water,Wetland,Water,NULL,Cropland
2494,Grassland,Forest,Wetland,Non_Water,Wetland,Water,NULL,Wetland
2495,Grassland,Forest,Wetland,Non_Water,Wetland,Water,NULL,Forest
2496,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
2497,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
2498,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Grassland,Forest
2499,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
2500,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Wetland
2501,Grassland,Forest,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
2502,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
2503,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
2504,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
2505,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
2506,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Grassland,Wetland
2507,Grassland,Forest,Wetland,Water,Wetland,Grassland,Grassland,Wetland
2508,Grassland,Forest,Wetland,Water,Wetland,Wetland,NULL,Wetland
2509,Grassland,Forest,Wetland,Water,Wetland,Wetland,Grassland,Wetland
2510,Grassland,Forest,Wetland,Water,Wetland,Water,NULL,Cropland
2511,Grassland,Forest,Wetland,Water,Wetland,Water,NULL,Wetland
2512,Grassland,Forest,Wetland,Water,Wetland,Water,NULL,Forest
2513,Grassland,Forest,Wetland,Water,Wetland,Water,Grassland,Wetland
2514,Grassland,Forest,Wetland,Water,Wetland,Water,Grassland,Water
2515,Grassland,Forest,Wetland,Water,Wetland,Water,Grassland,Forest
2516,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Wetland
2517,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Wetland
2518,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2519,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2520,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
2521,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
2522,Grassland,Forest,Water,NULL,Water,NULL,NULL,NULL
2523,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
2524,Grassland,Forest,Water,NULL,Water,NULL,NULL,Water
2525,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
2526,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
2527,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
2528,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
2529,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
2530,Grassland,Forest,Water,Non_Water,Water,Grassland,Grassland,Wetland
2531,Grassland,Forest,Water,Non_Water,Water,Water,NULL,Grassland
2532,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
2533,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
2534,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
2535,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
2536,Grassland,Forest,Water,Water,Water,Wetland,NULL,Wetland
2537,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2538,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2539,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
2540,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
2541,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
2542,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
2543,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
2544,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2545,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2546,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2547,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2548,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2549,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
2550,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2551,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
2552,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
2553,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2554,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
2555,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
2556,Grassland,Forest,Forest,NULL,Non_Wetland,Water,NULL,Wetland
2557,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
2558,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
2559,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
2560,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
2561,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
2562,Grassland,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
2563,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
2564,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2565,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2566,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
2567,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2568,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
2569,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
2570,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
2571,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,Grassland,Wetland
2572,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
2573,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest,Grassland,Wetland
2574,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
2575,Grassland,Forest,Forest,Water,Non_Wetland,Shrubland,Grassland,Wetland
2576,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2577,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2578,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2579,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2580,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2581,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
2582,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
2583,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2584,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
2585,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2586,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2587,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2588,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2589,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2590,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2591,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
2592,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2593,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2594,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2595,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
2596,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2597,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
2598,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
2599,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2600,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
2601,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
2602,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
2603,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
2604,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
2605,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2606,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
2607,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
2608,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
2609,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
2610,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2611,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2612,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2613,Cropland,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
2614,Cropland,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
2615,Cropland,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
2616,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2617,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2618,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2619,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
2620,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
2621,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2622,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2623,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2624,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2625,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2626,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2627,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
2628,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2629,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2630,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2631,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2632,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2633,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2634,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2635,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2636,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2637,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2638,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2639,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
2640,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2641,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
2642,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
2643,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
2644,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2645,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2646,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2647,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2648,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
