Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R
1167,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
1168,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1169,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
1170,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1171,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
1172,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
1173,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
1174,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Forest,Grassland
1175,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,Built-up
1176,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
1177,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Forest
1178,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Water,Bareland
1179,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
1180,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Water,Bareland
1181,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
1182,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
1183,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
1184,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Bareland,Grassland
1185,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
1186,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
1187,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Water,Built-up
1188,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
1189,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
1190,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Water,Water
1191,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Forest
1192,NULL,Built-up,Water,NULL,Water,Grassland,Built-up,Grassland
1193,NULL,Built-up,Water,NULL,Water,Wetland,Wetland,Grassland
1194,NULL,Built-up,Water,NULL,Water,Wetland,Bareland,Grassland
1195,NULL,Built-up,Water,NULL,Water,Wetland,Built-up,Forest
1196,NULL,Built-up,Water,NULL,Water,Bareland,NULL,Grassland
1197,NULL,Built-up,Water,NULL,Water,Bareland,NULL,Forest
1198,NULL,Built-up,Water,NULL,Water,Bareland,Wetland,Grassland
1199,NULL,Built-up,Water,NULL,Water,Bareland,Wetland,Forest
1200,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Grassland
1201,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Forest
1202,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
1203,NULL,Built-up,Water,NULL,Water,Bareland,Water,Forest
1204,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
1205,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Water
1206,NULL,Built-up,Water,NULL,Water,Water,Wetland,Grassland
1207,NULL,Built-up,Water,NULL,Water,Water,Bareland,Grassland
1208,NULL,Built-up,Water,NULL,Water,Water,Built-up,Bareland
1209,NULL,Built-up,Water,NULL,Water,Water,Water,Grassland
1210,NULL,Built-up,Water,Non_Water,Water,Wetland,Wetland,Grassland
1211,NULL,Built-up,Water,Non_Water,Water,Built-up,Water,Water
1212,NULL,Built-up,Water,Non_Water,Water,Built-up,Water,Forest
1213,NULL,Built-up,Water,Non_Water,Water,Water,Bareland,Grassland
1214,NULL,Built-up,Water,Non_Water,Water,Water,Built-up,Water
1215,NULL,Built-up,Water,Non_Water,Water,Water,Water,Bareland
1216,NULL,Built-up,Water,Non_Water,Water,Water,Water,Water
1217,NULL,Built-up,Water,Non_Water,Water,Water,Water,Forest
1218,NULL,Built-up,Water,Water,Water,Built-up,Built-up,Bareland
1219,NULL,Built-up,Water,Water,Water,Water,Built-up,Grassland
1220,NULL,Built-up,Water,Water,Water,Water,Built-up,Water
1221,NULL,Built-up,Water,Water,Water,Water,Water,Water
1222,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1223,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1224,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1225,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1226,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1227,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1228,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1229,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
1230,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1231,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1232,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
1233,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
1234,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1235,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1236,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1237,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1238,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1239,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1240,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1241,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1242,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1243,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
1244,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
1245,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
1246,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1247,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1248,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1249,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1250,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
1251,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1252,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1253,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Built-up
1254,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1255,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1256,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
1257,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1258,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
1259,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
1260,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
1261,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Water
1262,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1263,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1264,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
1265,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1266,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
1267,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
1268,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1269,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
1270,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1271,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1272,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Bareland
1273,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
1274,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1275,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
1276,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
1277,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
1278,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1279,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1280,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1281,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
1282,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1283,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Forest
1284,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Built-up,Forest
1285,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1286,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1287,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1288,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1289,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1290,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1291,NULL,Water,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
1292,NULL,Water,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1293,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Water
1294,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1295,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1296,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1297,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1298,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1299,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1300,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1301,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
1302,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1303,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1304,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
1305,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
1306,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
1307,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1308,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1309,NULL,Water,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Forest
1310,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1311,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
1312,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
1313,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
1314,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
1315,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
1316,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1317,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
1318,NULL,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1319,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Water,Wetland
1320,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
1321,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1322,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1323,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
1324,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
1325,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
1326,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
1327,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
1328,NULL,Water,Wetland,NULL,Wetland,Water,Water,Wetland
1329,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
1330,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1331,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1332,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1333,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1334,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
1335,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1336,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1337,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
1338,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1339,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
1340,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1341,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
1342,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1343,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
1344,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
1345,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Forest
1346,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1347,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
1348,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
1349,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
1350,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
1351,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
1352,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1353,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1354,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
1355,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
1356,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1357,NULL,Water,Bareland,NULL,Non_Wetland,Water,Built-up,Grassland
1358,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
1359,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
1360,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
1361,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1362,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1363,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
1364,NULL,Water,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
1365,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1366,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Built-up,Wetland
1367,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
1368,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1369,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1370,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
1371,NULL,Water,Built-up,Non_Water,Non_Wetland,Wetland,Water,Water
1372,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
1373,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
1374,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Forest
1375,NULL,Water,Water,NULL,Water,Water,Wetland,Grassland
1376,NULL,Water,Water,NULL,Water,Water,Built-up,Water
1377,NULL,Water,Water,NULL,Water,Water,Water,Grassland
1378,NULL,Water,Water,NULL,Water,Water,Water,Wetland
1379,NULL,Water,Water,Non_Water,Water,Water,Water,Grassland
1380,NULL,Water,Water,Non_Water,Water,Water,Water,Bareland
1381,NULL,Water,Water,Water,Water,Bareland,Built-up,Wetland
1382,NULL,Water,Water,Water,Water,Bareland,Water,Water
1383,NULL,Water,Water,Water,Water,Water,Water,Grassland
1384,NULL,Water,Water,Water,Water,Water,Water,Wetland
1385,NULL,Water,Water,Water,Water,Water,Water,Water
1386,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1387,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1388,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Bareland,Water
1389,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
1390,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1391,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
1392,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1393,NULL,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1394,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1395,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
1396,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1397,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1398,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1399,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1400,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1401,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1402,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1403,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1404,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1405,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1406,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1407,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1408,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1409,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1410,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
1411,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1412,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1413,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1414,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1415,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1416,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1417,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1418,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1419,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1420,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1421,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1422,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1423,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
1424,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1425,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1426,NULL,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
1427,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1428,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1429,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
1430,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
1431,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1432,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1433,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1434,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1435,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1436,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1437,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1438,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1439,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1440,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1441,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1442,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1443,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1444,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1445,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1446,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1447,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1448,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1449,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1450,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1451,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1452,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1453,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1454,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1455,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1456,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1457,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1458,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1459,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1460,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1461,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1462,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1463,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1464,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
1465,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1466,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
1467,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1468,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1469,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1470,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1471,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1472,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1473,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1474,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1475,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
1476,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
1477,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1478,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Built-up
1479,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1480,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1481,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1482,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1483,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1484,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1485,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1486,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1487,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1488,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1489,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1490,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1491,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
1492,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1493,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
1494,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1495,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1496,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1497,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1498,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1499,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1500,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1501,NULL,Forest,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1502,NULL,Forest,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
1503,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1504,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1505,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
