Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R
682,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
683,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Water,Water
684,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
685,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Bareland,Grassland
686,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Bareland,Water
687,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Built-up,Grassland
688,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Built-up,Water
689,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Water,Grassland
690,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Water,Water
691,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Grassland
692,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Built-up
693,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Forest
694,NULL,Built-up,Water,NULL,Water,Grassland,Built-up,Grassland
695,NULL,Built-up,Water,NULL,Water,Wetland,Built-up,Forest
696,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Grassland
697,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Forest
698,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
699,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
700,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
701,NULL,Built-up,Water,Non_Water,Water,Bareland,Water,Water
702,NULL,Built-up,Water,Non_Water,Water,Water,Water,Water
703,NULL,Built-up,Water,Water,Water,Wetland,Wetland,Grassland
704,NULL,Built-up,Water,Water,Water,Wetland,Bareland,Grassland
705,NULL,Built-up,Water,Water,Water,Wetland,Bareland,Forest
706,NULL,Built-up,Water,Water,Water,Wetland,Built-up,Grassland
707,NULL,Built-up,Water,Water,Water,Bareland,Grassland,Grassland
708,NULL,Built-up,Water,Water,Water,Bareland,Built-up,Grassland
709,NULL,Built-up,Water,Water,Water,Bareland,Water,Grassland
710,NULL,Built-up,Water,Water,Water,Bareland,Water,Bareland
711,NULL,Built-up,Water,Water,Water,Bareland,Water,Water
712,NULL,Built-up,Water,Water,Water,Built-up,Built-up,Grassland
713,NULL,Built-up,Water,Water,Water,Built-up,Built-up,Water
714,NULL,Built-up,Water,Water,Water,Built-up,Built-up,Forest
715,NULL,Built-up,Water,Water,Water,Built-up,Water,Water
716,NULL,Built-up,Water,Water,Water,Water,Bareland,Grassland
717,NULL,Built-up,Water,Water,Water,Water,Bareland,Water
718,NULL,Built-up,Water,Water,Water,Water,Built-up,Grassland
719,NULL,Built-up,Water,Water,Water,Water,Water,Grassland
720,NULL,Built-up,Water,Water,Water,Water,Water,Water
721,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
722,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
723,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
724,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
725,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
726,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
727,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
728,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
729,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
730,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
731,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
732,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
733,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
734,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
735,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
736,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
737,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
738,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
739,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
740,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
741,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
742,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
743,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
744,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
745,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
746,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
747,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
748,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
749,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
750,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
751,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
752,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
753,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
754,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
755,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
756,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
757,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
758,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
759,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
760,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
761,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Forest
762,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Forest
763,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Forest,Forest
764,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
765,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
766,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
767,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
768,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
769,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
770,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
771,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
772,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
773,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
774,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Bareland,Forest
775,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Water,Grassland
776,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
777,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Wetland,Water
778,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
779,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Built-up,Grassland
780,NULL,Built-up,Forest,Water,Non_Wetland,Built-up,Built-up,Grassland
781,NULL,Built-up,Forest,Water,Non_Wetland,Water,Wetland,Water
782,NULL,Built-up,Forest,Water,Non_Wetland,Water,Built-up,Water
783,NULL,Built-up,Forest,Water,Non_Wetland,Water,Water,Grassland
784,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
785,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Water
786,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Forest
787,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
788,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
789,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
790,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
791,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
792,NULL,Water,Shrubland,Water,Non_Wetland,Water,Bareland,Water
793,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
794,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
795,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
796,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
797,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
798,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
799,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
800,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
801,NULL,Water,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
802,NULL,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
803,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
804,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
805,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
806,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
807,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
808,NULL,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
809,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
810,NULL,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
811,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
812,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
813,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
814,NULL,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
815,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
816,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
817,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
818,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
819,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
820,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
821,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Forest
822,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
823,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
824,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
825,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
826,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
827,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
828,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
829,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
830,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
831,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Forest
832,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
833,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
834,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
835,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
836,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
837,NULL,Water,Built-up,NULL,Non_Wetland,Water,Bareland,Water
838,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
839,NULL,Water,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
840,NULL,Water,Built-up,Water,Non_Wetland,Grassland,Wetland,Water
841,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Water,Water
842,NULL,Water,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
843,NULL,Water,Built-up,Water,Non_Wetland,Water,Built-up,Water
844,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
845,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
846,NULL,Water,Water,NULL,Water,Water,Wetland,Water
847,NULL,Water,Water,NULL,Water,Water,Bareland,Forest
848,NULL,Water,Water,NULL,Water,Water,Water,Grassland
849,NULL,Water,Water,NULL,Water,Water,Water,Forest
850,NULL,Water,Water,Water,Water,Grassland,Water,Forest
851,NULL,Water,Water,Water,Water,Wetland,Water,Forest
852,NULL,Water,Water,Water,Water,Bareland,Water,Water
853,NULL,Water,Water,Water,Water,Water,Wetland,Water
854,NULL,Water,Water,Water,Water,Water,Water,Grassland
855,NULL,Water,Water,Water,Water,Water,Water,Water
856,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
857,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
858,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
859,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
860,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
861,NULL,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
862,NULL,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
863,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
864,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
865,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
866,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Forest
867,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
868,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
869,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
870,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
871,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
872,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
873,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
874,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
875,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
876,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
877,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
878,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
879,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
880,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
881,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
882,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
883,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
884,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
885,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
886,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
887,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
888,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
889,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
890,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
891,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
892,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
893,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
894,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
895,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
896,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
897,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
898,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
899,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
900,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
901,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
902,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
903,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
904,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
905,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
906,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
907,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
908,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
909,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
910,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
911,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
912,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
913,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
914,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
915,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
916,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
917,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
918,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
919,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
920,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
921,NULL,Forest,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
922,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
923,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
924,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
925,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
926,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
927,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
928,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
929,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
930,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
931,NULL,Forest,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
932,NULL,Forest,Water,NULL,Water,Bareland,Wetland,Grassland
933,NULL,Forest,Water,NULL,Water,Bareland,Wetland,Forest
934,NULL,Forest,Water,NULL,Water,Water,Water,Grassland
935,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
936,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
937,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
938,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
939,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
940,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
941,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
942,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
943,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
944,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
945,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
946,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
947,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
948,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
949,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
950,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
951,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
952,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
953,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
954,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
955,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
956,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
957,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
958,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
959,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
960,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
961,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
962,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
963,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
964,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
965,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
966,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
967,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
968,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
969,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
970,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
971,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
972,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
973,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
974,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
975,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
976,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
977,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
978,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
979,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
980,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
981,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
982,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
983,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
984,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
985,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
986,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
987,Grassland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
988,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
989,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
990,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
991,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
992,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
993,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
994,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
995,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
996,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
997,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
998,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
999,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1000,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1001,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1002,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1003,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1004,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1005,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1006,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1007,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1008,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1009,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1010,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1011,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1012,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1013,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1014,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1015,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1016,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1017,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1018,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1019,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1020,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1021,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1022,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1023,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1024,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1025,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
1026,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1027,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1028,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1029,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1030,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
