Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R
2413,Grassland,Water,Water,Non_Water,Water,Grassland,Wetland,Grassland
2414,Grassland,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
2415,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2416,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2417,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2418,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2419,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2420,Grassland,Forest,NULL,Water,Non_Wetland,Grassland,NULL,Forest
2421,Grassland,Forest,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
2422,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2423,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2424,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2425,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2426,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2427,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2428,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2429,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2430,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2431,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2432,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2433,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2434,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2435,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2436,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2437,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2438,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2439,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2440,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2441,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2442,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2443,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2444,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2445,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2446,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2447,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2448,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2449,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
2450,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2451,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2452,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
2453,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
2454,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2455,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2456,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2457,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2458,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2459,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2460,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2461,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
2462,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2463,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2464,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2465,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2466,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2467,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2468,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2469,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2470,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2471,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2472,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2473,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
2474,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2475,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2476,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2477,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2478,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
2479,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2480,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2481,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
2482,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2483,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2484,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2485,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
2486,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
2487,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2488,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2489,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2490,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
2491,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
2492,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2493,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
2494,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
2495,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
2496,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
2497,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
2498,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
2499,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Bareland
2500,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
2501,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2502,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2503,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
2504,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
2505,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
2506,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2507,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2508,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
2509,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
2510,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
2511,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2512,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2513,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
2514,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
2515,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
2516,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
2517,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
2518,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2519,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
2520,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2521,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
2522,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2523,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2524,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2525,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
2526,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2527,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2528,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2529,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2530,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2531,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2532,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2533,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2534,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2535,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2536,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2537,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2538,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2539,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2540,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
2541,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
2542,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2543,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2544,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
2545,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
2546,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
2547,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
2548,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2549,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2550,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
2551,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
2552,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
2553,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
2554,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
2555,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
2556,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
2557,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2558,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
2559,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
2560,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2561,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2562,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2563,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2564,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2565,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2566,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2567,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2568,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2569,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
2570,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2571,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2572,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2573,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
2574,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2575,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
2576,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2577,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2578,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2579,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2580,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2581,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2582,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2583,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2584,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2585,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2586,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2587,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2588,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
2589,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2590,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
2591,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2592,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2593,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
2594,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
2595,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2596,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2597,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
2598,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
2599,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
2600,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
2601,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
2602,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2603,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2604,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2605,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2606,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2607,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2608,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
2609,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
2610,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2611,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2612,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2613,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2614,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2615,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2616,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2617,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2618,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
2619,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2620,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2621,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2622,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2623,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
2624,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
2625,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2626,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2627,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2628,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
2629,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
2630,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
2631,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
2632,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2633,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2634,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
2635,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
2636,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
2637,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2638,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
2639,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
2640,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
2641,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
2642,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2643,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
2644,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2645,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
2646,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
2647,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2648,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2649,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2650,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2651,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2652,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2653,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
2654,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2655,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
2656,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2657,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
2658,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
2659,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
2660,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
2661,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
2662,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
2663,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
2664,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2665,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2666,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
2667,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
2668,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2669,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
2670,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2671,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2672,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2673,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2674,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2675,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2676,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2677,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2678,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2679,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2680,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2681,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
2682,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2683,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2684,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
2685,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2686,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
2687,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2688,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2689,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
2690,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
2691,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2692,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
2693,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
2694,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
2695,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
2696,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
2697,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
2698,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Bareland
2699,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
2700,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
2701,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Cropland
2702,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
2703,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
2704,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
2705,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
2706,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2707,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2708,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2709,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2710,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2711,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
2712,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2713,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2714,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
2715,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
2716,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
2717,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2718,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2719,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2720,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2721,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
2722,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2723,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
2724,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
2725,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2726,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2727,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2728,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2729,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2730,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2731,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
