Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDM_M_R
354,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
355,Water,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
356,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
357,Water,Water,Built-up,Water,Non_Wetland,Grassland,Water,Water
358,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
359,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
360,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
361,Water,Water,Water,NULL,Water,NULL,Water,Water
362,Water,Water,Water,NULL,Water,NULL,Water,Forest
363,Water,Water,Water,NULL,Water,Grassland,Water,Forest
364,Water,Water,Water,NULL,Water,Water,Grassland,Water
365,Water,Water,Water,NULL,Water,Water,Wetland,Bareland
366,Water,Water,Water,NULL,Water,Water,Wetland,Water
367,Water,Water,Water,NULL,Water,Water,Wetland,Forest
368,Water,Water,Water,NULL,Water,Water,Water,Grassland
369,Water,Water,Water,NULL,Water,Water,Water,Water
370,Water,Water,Water,NULL,Water,Water,Water,Forest
371,Water,Water,Water,NULL,Water,Water,Forest,Water
372,Water,Water,Water,NULL,Water,Water,Forest,Forest
373,Water,Water,Water,NULL,Water,Forest,Forest,Forest
374,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
375,Water,Water,Water,Non_Water,Water,Bareland,Water,Forest
376,Water,Water,Water,Non_Water,Water,Water,Wetland,Grassland
377,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
378,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
379,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
380,Water,Water,Water,Non_Water,Water,Water,Water,Bareland
381,Water,Water,Water,Non_Water,Water,Water,Water,Water
382,Water,Water,Water,Non_Water,Water,Water,Water,Forest
383,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
384,Water,Water,Water,Water,Water,NULL,Wetland,Water
385,Water,Water,Water,Water,Water,NULL,Water,Grassland
386,Water,Water,Water,Water,Water,NULL,Water,Water
387,Water,Water,Water,Water,Water,NULL,Water,Forest
388,Water,Water,Water,Water,Water,Grassland,Wetland,Water
389,Water,Water,Water,Water,Water,Grassland,Water,Water
390,Water,Water,Water,Water,Water,Grassland,Water,Forest
391,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
392,Water,Water,Water,Water,Water,Bareland,Water,Water
393,Water,Water,Water,Water,Water,Bareland,Water,Forest
394,Water,Water,Water,Water,Water,Water,Wetland,Water
395,Water,Water,Water,Water,Water,Water,Wetland,Forest
396,Water,Water,Water,Water,Water,Water,Water,Grassland
397,Water,Water,Water,Water,Water,Water,Water,Bareland
398,Water,Water,Water,Water,Water,Water,Water,Water
399,Water,Water,Water,Water,Water,Water,Water,Forest
400,Water,Water,Water,Water,Water,Water,Forest,Water
401,Water,Water,Water,Water,Water,Water,Forest,Forest
402,Water,Water,Water,Water,Water,Forest,Wetland,Water
403,Water,Water,Water,Water,Water,Forest,Water,Water
404,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
405,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
406,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
407,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
408,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
409,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
410,Water,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
411,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
412,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
413,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Water
414,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
415,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
416,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
417,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
418,Water,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
419,Water,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
420,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
421,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
422,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
423,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
424,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
425,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
426,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
427,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
428,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
429,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
430,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
431,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
432,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
433,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
434,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
435,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
436,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
437,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Forest
438,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
439,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
440,Water,Water,Forest,Water,Non_Wetland,Water,Grassland,Water
441,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
442,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
443,Water,Water,Forest,Water,Non_Wetland,Water,Bareland,Water
444,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
445,Water,Water,Forest,Water,Non_Wetland,Water,Water,Bareland
446,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
447,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
448,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
449,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
450,Water,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
451,Water,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Water
452,Water,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
453,Water,Forest,Water,NULL,Water,Water,Wetland,Water
454,Water,Forest,Water,NULL,Water,Water,Water,Forest
455,Water,Forest,Water,Water,Water,Water,Wetland,Water
456,Water,Forest,Water,Water,Water,Water,Wetland,Forest
457,Water,Forest,Water,Water,Water,Water,Water,Water
458,Water,Forest,Water,Water,Water,Water,Water,Forest
459,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
460,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
461,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
462,Water,Forest,Forest,Water,Non_Wetland,Water,Water,Water
463,Water,Forest,Forest,Water,Non_Wetland,Water,Water,Forest
464,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
465,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
466,Permanent_ice_and_snow,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
467,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
468,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
469,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
470,Permanent_ice_and_snow,Water,Cropland,NULL,Non_Wetland,Water,Water,Grassland
471,Permanent_ice_and_snow,Water,Water,NULL,Water,Bareland,Wetland,Forest
472,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Water,Water,Water
473,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
474,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
475,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
476,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
477,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
478,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
479,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
480,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
481,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
482,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
483,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
484,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
485,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
486,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
487,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
488,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
489,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
490,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
491,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
492,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
493,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
494,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
495,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
496,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
497,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
498,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
499,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
500,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
501,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
502,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
503,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
504,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
505,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
506,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
507,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
508,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
509,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
510,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
511,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
512,Forest,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
513,Forest,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
514,Forest,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
515,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
516,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
517,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
518,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
519,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
520,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
521,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
522,Forest,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
523,Forest,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
524,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
525,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
526,Forest,NULL,Wetland,Water,Wetland,Water,Water,Water
527,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
528,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
529,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
530,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
531,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
532,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
533,Forest,NULL,Water,Water,Water,Grassland,Wetland,Water
534,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
535,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
536,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
537,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
538,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
539,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
540,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
541,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
542,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
543,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
544,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
545,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
546,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
547,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
548,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
549,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
550,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
551,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
552,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
553,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
554,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
555,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
556,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
557,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
558,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
559,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
560,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
561,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
562,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
563,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
564,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
565,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
566,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
567,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Water,Forest
568,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
569,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
570,Forest,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
571,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
572,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
573,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
574,Forest,Bareland,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
575,Forest,Bareland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
576,Forest,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
577,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
578,Forest,Bareland,Water,Water,Water,Water,Wetland,Water
579,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
580,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
581,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
582,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
583,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
584,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
585,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
586,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
587,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
588,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
589,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Water
590,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
591,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
592,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
593,Forest,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
594,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
595,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
596,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
597,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
598,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
599,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Bareland
600,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
601,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
602,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
603,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
604,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Forest,Water
605,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
606,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
607,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
608,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
609,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
610,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
611,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
612,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
613,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Water
614,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
615,Forest,Water,NULL,Water,Non_Wetland,Grassland,Water,Grassland
616,Forest,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
617,Forest,Water,NULL,Water,Non_Wetland,Grassland,Water,Forest
618,Forest,Water,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
619,Forest,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
620,Forest,Water,NULL,Water,Non_Wetland,Water,Grassland,Water
621,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Bareland
622,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
623,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
624,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
625,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Bareland
626,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
627,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
628,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Water
629,Forest,Water,NULL,Water,Non_Wetland,Forest,Water,Water
630,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
631,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
632,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
633,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
634,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
635,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
636,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
637,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
638,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
639,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
640,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
641,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
642,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
643,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
644,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
645,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Water
646,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
647,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
648,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
649,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
650,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
651,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
652,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
653,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
654,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
655,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
656,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
657,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
658,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
659,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
660,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
661,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
662,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Forest
663,Forest,Water,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
664,Forest,Water,Grassland,Water,Non_Wetland,Grassland,Water,Water
665,Forest,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
666,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
667,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
668,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
669,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Bareland
670,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
671,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
672,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
673,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
674,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
675,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
676,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
677,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Forest,Water
678,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
679,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
680,Forest,Water,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
681,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Grassland
682,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
683,Forest,Water,Cropland,NULL,Non_Wetland,Water,Forest,Forest
684,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Water
685,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
686,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
687,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
688,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
689,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
690,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Forest,Forest
691,Forest,Water,Cropland,Water,Non_Wetland,Grassland,Bareland,Water
692,Forest,Water,Cropland,Water,Non_Wetland,Grassland,Water,Water
693,Forest,Water,Cropland,Water,Non_Wetland,Grassland,Water,Forest
694,Forest,Water,Cropland,Water,Non_Wetland,Grassland,Forest,Grassland
695,Forest,Water,Cropland,Water,Non_Wetland,Grassland,Forest,Water
696,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
697,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
698,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
699,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Bareland
700,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Water
701,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
702,Forest,Water,Cropland,Water,Non_Wetland,Water,Forest,Water
703,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
704,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
705,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Grassland
706,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
707,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
708,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
709,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
710,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
711,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
712,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
713,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Bareland
714,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Water
715,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
716,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
717,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
718,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
719,Forest,Water,Wetland,NULL,Wetland,Bareland,Grassland,Forest
720,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
721,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
722,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
723,Forest,Water,Wetland,NULL,Wetland,Water,Grassland,Water
724,Forest,Water,Wetland,NULL,Wetland,Water,Grassland,Forest
725,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
726,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
