Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R
3770,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3771,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3772,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3773,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3774,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3775,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3776,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3777,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
3778,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3779,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3780,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3781,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3782,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3783,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3784,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3785,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3786,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3787,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3788,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3789,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3790,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
3791,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3792,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
3793,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3794,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3795,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
3796,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3797,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3798,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3799,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3800,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
3801,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3802,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3803,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3804,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
3805,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3806,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3807,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
3808,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
3809,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3810,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
3811,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3812,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3813,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
3814,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
3815,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3816,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3817,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
3818,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
3819,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3820,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3821,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,NULL
3822,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
3823,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
3824,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
3825,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
3826,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
3827,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
3828,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
3829,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3830,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
3831,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3832,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3833,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3834,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
3835,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
3836,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
3837,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
3838,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
3839,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
3840,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3841,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3842,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3843,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3844,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3845,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3846,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
3847,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3848,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
3849,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
3850,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3851,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3852,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3853,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
3854,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Water
3855,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
3856,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Water
3857,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3858,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
3859,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
3860,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
3861,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
3862,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
3863,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3864,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3865,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3866,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3867,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
3868,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
3869,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
3870,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3871,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
3872,Grassland,Cropland,Cropland,Water,Non_Wetland,Shrubland,NULL,Cropland
3873,Grassland,Cropland,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
3874,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
3875,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
3876,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
3877,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Water
3878,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
3879,Grassland,Cropland,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
3880,Grassland,Cropland,Wetland,Water,Wetland,Grassland,Water,Grassland
3881,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
3882,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3883,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3884,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3885,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
3886,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3887,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3888,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3889,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3890,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
3891,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
3892,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
3893,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3894,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
3895,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
3896,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
3897,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
3898,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
3899,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
3900,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
3901,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
3902,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3903,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
3904,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
3905,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
3906,Grassland,Cropland,Water,NULL,Water,Shrubland,Shrubland,Grassland
3907,Grassland,Cropland,Water,NULL,Water,Shrubland,Grassland,Wetland
3908,Grassland,Cropland,Water,NULL,Water,Grassland,NULL,Water
3909,Grassland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
3910,Grassland,Cropland,Water,NULL,Water,Wetland,NULL,Grassland
3911,Grassland,Cropland,Water,NULL,Water,Wetland,Shrubland,Grassland
3912,Grassland,Cropland,Water,NULL,Water,Wetland,Shrubland,Wetland
3913,Grassland,Cropland,Water,NULL,Water,Wetland,Grassland,Wetland
3914,Grassland,Cropland,Water,NULL,Water,Bareland,Water,Grassland
3915,Grassland,Cropland,Water,NULL,Water,Water,Grassland,Grassland
3916,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3917,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3918,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
3919,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
3920,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3921,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3922,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3923,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
3924,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3925,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3926,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3927,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
3928,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3929,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
3930,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Water,Grassland
3931,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
3932,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
3933,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
3934,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
3935,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3936,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3937,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3938,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3939,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3940,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
3941,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3942,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
3943,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
3944,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3945,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
3946,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
3947,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
3948,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
3949,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3950,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3951,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3952,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3953,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3954,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
3955,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3956,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3957,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
3958,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3959,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3960,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3961,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3962,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
3963,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
3964,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3965,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3966,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3967,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
3968,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3969,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3970,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3971,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
3972,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3973,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3974,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
3975,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3976,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
3977,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3978,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
3979,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
3980,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3981,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
3982,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3983,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
3984,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3985,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3986,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
3987,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
3988,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3989,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
3990,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
3991,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3992,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3993,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
3994,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3995,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3996,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Wetland
3997,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
3998,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3999,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
4000,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
4001,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4002,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4003,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
4004,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4005,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4006,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
4007,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4008,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
4009,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4010,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4011,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4012,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4013,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4014,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4015,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4016,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4017,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Water
4018,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Water,Grassland
4019,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4020,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Water
4021,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4022,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4023,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4024,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4025,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
4026,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,Shrubland,Water
4027,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
4028,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4029,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4030,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
4031,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4032,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
4033,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4034,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
4035,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4036,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
4037,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4038,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4039,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4040,Grassland,Water,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
4041,Grassland,Water,Cropland,NULL,Non_Wetland,Water,Shrubland,Grassland
4042,Grassland,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
4043,Grassland,Water,Water,NULL,Water,NULL,Shrubland,Forest
4044,Grassland,Water,Water,NULL,Water,Grassland,Grassland,Grassland
4045,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4046,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
4047,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
4048,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
4049,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Water
4050,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4051,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
4052,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4053,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4054,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4055,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4056,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
4057,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4058,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4059,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4060,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
4061,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4062,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
4063,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4064,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4065,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4066,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4067,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4068,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
4069,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4070,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
4071,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4072,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4073,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4074,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4075,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
4076,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4077,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4078,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4079,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4080,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4081,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4082,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4083,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4084,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4085,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4086,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
