Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R
380,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
381,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
382,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
383,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
384,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
385,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
386,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
387,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
388,Forest,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
389,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
390,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
391,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
392,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
393,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
394,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
395,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
396,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
397,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
398,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
399,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
400,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
401,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
402,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
403,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
404,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
405,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
406,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
407,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
408,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
409,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
410,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
411,Forest,Wetland,Water,Water,Water,NULL,Wetland,Water
412,Forest,Wetland,Water,Water,Water,Water,Water,Water
413,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
414,Forest,Bareland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
415,Forest,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
416,Forest,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
417,Forest,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
418,Forest,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
419,Forest,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
420,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
421,Forest,Bareland,Water,Non_Water,Water,Wetland,Water,Grassland
422,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
423,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
424,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
425,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
426,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
427,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
428,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Water
429,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
430,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
431,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
432,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
433,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
434,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
435,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
436,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
437,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
438,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
439,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
440,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
441,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
442,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
443,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
444,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
445,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
446,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
447,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
448,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
449,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
450,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
451,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
452,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
453,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
454,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
455,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
456,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
457,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
458,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
459,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
460,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
461,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
462,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
463,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
464,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
465,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
466,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
467,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
468,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
469,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
470,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
471,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
472,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
473,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Water,Water
474,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Water,Forest
475,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Water
476,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
477,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
478,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
479,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
480,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Forest
481,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
482,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
483,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
484,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
485,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
486,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
487,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
488,Forest,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
489,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
490,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
491,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
492,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
493,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
494,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
495,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
496,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
497,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Grassland
498,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Wetland
499,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
500,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
501,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
502,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
503,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
504,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
505,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
506,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
507,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
508,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
509,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
510,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
511,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
512,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
513,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
514,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
515,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
516,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
517,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
518,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
519,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
520,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
521,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
522,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
523,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
524,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
525,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
526,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
527,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
528,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
529,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
530,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
531,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
532,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
533,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
534,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
535,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
536,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
537,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
538,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
539,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
540,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
541,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
542,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
543,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
544,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
545,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
546,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
547,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
548,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
549,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
550,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
551,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
552,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
553,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
554,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
555,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
556,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
557,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
558,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
559,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
560,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
561,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
562,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
563,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
564,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
565,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
566,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
567,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
568,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Water
569,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Forest
570,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
571,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
572,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
573,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
574,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
575,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Forest
576,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
577,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
578,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
579,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
580,Forest,Water,Wetland,Water,Wetland,Water,Water,Wetland
581,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
582,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
583,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
584,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
585,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
586,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
587,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
588,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
589,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
590,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
591,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
592,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
593,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
594,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Water
595,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
596,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
597,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
598,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
599,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
600,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
601,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
602,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
603,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
604,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
605,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
606,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
607,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
608,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
609,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Water
610,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
611,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
612,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
613,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
614,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
615,Forest,Water,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Water
616,Forest,Water,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
617,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
618,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
619,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
620,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
621,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
622,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
623,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
624,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
625,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
626,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
627,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
628,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Water
629,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
630,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
631,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
632,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
633,Forest,Water,Bareland,Water,Non_Wetland,NULL,Forest,Water
634,Forest,Water,Bareland,Water,Non_Wetland,NULL,Forest,Forest
635,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
636,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
637,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
638,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
639,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
640,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
641,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
642,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
643,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
644,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
645,Forest,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Forest
646,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
647,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Forest
648,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
649,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
650,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
651,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
652,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
653,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
654,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
655,Forest,Water,Water,NULL,Water,NULL,Water,Water
656,Forest,Water,Water,NULL,Water,NULL,Water,Forest
657,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
658,Forest,Water,Water,NULL,Water,Grassland,Water,Forest
659,Forest,Water,Water,NULL,Water,Wetland,Wetland,Water
660,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
661,Forest,Water,Water,NULL,Water,Wetland,Water,Water
662,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
663,Forest,Water,Water,NULL,Water,Wetland,Forest,Forest
664,Forest,Water,Water,NULL,Water,Water,Wetland,Water
665,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
666,Forest,Water,Water,NULL,Water,Water,Water,Water
667,Forest,Water,Water,NULL,Water,Water,Water,Forest
668,Forest,Water,Water,NULL,Water,Water,Forest,Water
669,Forest,Water,Water,NULL,Water,Water,Forest,Forest
670,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
671,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
672,Forest,Water,Water,NULL,Water,Forest,Water,Water
673,Forest,Water,Water,NULL,Water,Forest,Water,Forest
674,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
675,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
676,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
677,Forest,Water,Water,Non_Water,Water,NULL,Water,Grassland
678,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
679,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
680,Forest,Water,Water,Non_Water,Water,Grassland,Wetland,Water
681,Forest,Water,Water,Non_Water,Water,Grassland,Wetland,Forest
682,Forest,Water,Water,Non_Water,Water,Grassland,Water,Forest
683,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
684,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Water
685,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
686,Forest,Water,Water,Non_Water,Water,Wetland,Water,Grassland
687,Forest,Water,Water,Non_Water,Water,Wetland,Water,Water
688,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
689,Forest,Water,Water,Non_Water,Water,Wetland,Forest,Forest
690,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
691,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
692,Forest,Water,Water,Non_Water,Water,Water,Water,Water
693,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
694,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
695,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
696,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Forest
697,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
698,Forest,Water,Water,Non_Water,Water,Forest,Forest,Water
699,Forest,Water,Water,Water,Water,NULL,Wetland,Water
700,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
701,Forest,Water,Water,Water,Water,NULL,Water,Water
702,Forest,Water,Water,Water,Water,NULL,Water,Forest
703,Forest,Water,Water,Water,Water,Grassland,Wetland,Water
704,Forest,Water,Water,Water,Water,Grassland,Wetland,Forest
705,Forest,Water,Water,Water,Water,Grassland,Water,Forest
706,Forest,Water,Water,Water,Water,Wetland,Wetland,Grassland
707,Forest,Water,Water,Water,Water,Wetland,Wetland,Water
708,Forest,Water,Water,Water,Water,Wetland,Wetland,Forest
709,Forest,Water,Water,Water,Water,Wetland,Water,Grassland
710,Forest,Water,Water,Water,Water,Wetland,Water,Wetland
711,Forest,Water,Water,Water,Water,Wetland,Water,Water
712,Forest,Water,Water,Water,Water,Wetland,Water,Forest
713,Forest,Water,Water,Water,Water,Wetland,Forest,Forest
714,Forest,Water,Water,Water,Water,Water,Wetland,Grassland
715,Forest,Water,Water,Water,Water,Water,Wetland,Water
716,Forest,Water,Water,Water,Water,Water,Wetland,Forest
717,Forest,Water,Water,Water,Water,Water,Water,Grassland
718,Forest,Water,Water,Water,Water,Water,Water,Wetland
719,Forest,Water,Water,Water,Water,Water,Water,Water
720,Forest,Water,Water,Water,Water,Water,Water,Forest
721,Forest,Water,Water,Water,Water,Water,Forest,Water
722,Forest,Water,Water,Water,Water,Water,Forest,Forest
723,Forest,Water,Water,Water,Water,Forest,Wetland,Water
724,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
725,Forest,Water,Water,Water,Water,Forest,Water,Water
726,Forest,Water,Water,Water,Water,Forest,Water,Forest
727,Forest,Water,Water,Water,Water,Forest,Forest,Forest
728,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
729,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
730,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
731,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
732,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
733,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
734,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
735,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
736,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
737,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
738,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
739,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
740,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
741,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
742,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
743,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
744,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
745,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
746,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
747,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Wetland
748,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
749,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
750,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
751,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
752,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
753,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
754,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
755,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
756,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
757,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
758,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
759,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
760,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
761,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
