Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKQ_M_R
4650,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Forest,Forest
4651,Grassland,Wetland,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
4652,Grassland,Wetland,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
4653,Grassland,Wetland,NULL,Water,Non_Wetland,Water,Grassland,Grassland
4654,Grassland,Wetland,NULL,Water,Non_Wetland,Water,Forest,Grassland
4655,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4656,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4657,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4658,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4659,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4660,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4661,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4662,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4663,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4664,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4665,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4666,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4667,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4668,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
4669,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4670,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4671,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
4672,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4673,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4674,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Water
4675,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
4676,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4677,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
4678,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4679,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
4680,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
4681,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
4682,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
4683,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
4684,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
4685,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
4686,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Forest,Water
4687,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
4688,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
4689,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
4690,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Forest,Water
4691,Grassland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
4692,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
4693,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
4694,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
4695,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4696,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
4697,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4698,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4699,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
4700,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
4701,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
4702,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
4703,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4704,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Water
4705,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
4706,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4707,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
4708,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
4709,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Water
4710,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
4711,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4712,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4713,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
4714,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
4715,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
4716,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Grassland
4717,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
4718,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,Forest,Forest
4719,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4720,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4721,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Water
4722,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4723,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4724,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
4725,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4726,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4727,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
4728,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4729,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
4730,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4731,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4732,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4733,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
4734,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Water
4735,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Forest
4736,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4737,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
4738,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
4739,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
4740,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
4741,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
4742,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Forest
4743,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
4744,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
4745,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
4746,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Water
4747,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
4748,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Forest,Grassland
4749,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
4750,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
4751,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
4752,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
4753,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Forest,Wetland
4754,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Forest,Water
4755,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Forest,Forest
4756,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
4757,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Grassland,Water
4758,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
4759,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
4760,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
4761,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Forest,Wetland
4762,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Forest,Water
4763,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Forest,Forest
4764,Grassland,Wetland,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
4765,Grassland,Wetland,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
4766,Grassland,Wetland,Grassland,Water,Non_Wetland,Bareland,Forest,Grassland
4767,Grassland,Wetland,Grassland,Water,Non_Wetland,Bareland,Forest,Water
4768,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
4769,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
4770,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Forest,Grassland
4771,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Forest,Water
4772,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4773,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4774,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
4775,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4776,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4777,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4778,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
4779,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4780,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
4781,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
4782,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
4783,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4784,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
4785,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4786,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
4787,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
4788,Grassland,Wetland,Cropland,NULL,Non_Wetland,Water,Forest,Grassland
4789,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4790,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4791,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4792,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
4793,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4794,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4795,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Forest
4796,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4797,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4798,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4799,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
4800,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Forest,Forest
4801,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4802,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
4803,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
4804,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
4805,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
4806,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
4807,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
4808,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water,Forest,Grassland
4809,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water,Forest,Forest
4810,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
4811,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland,Forest,Grassland
4812,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
4813,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
4814,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland,Forest,Grassland
4815,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland,Forest,Forest
4816,Grassland,Wetland,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
4817,Grassland,Wetland,Cropland,Water,Non_Wetland,Bareland,Forest,Grassland
4818,Grassland,Wetland,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
4819,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,NULL
4820,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
4821,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Water
4822,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
4823,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
4824,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
4825,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Grassland
4826,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Forest
4827,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
4828,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Water
4829,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
4830,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
4831,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
4832,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
4833,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
4834,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Water
4835,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
4836,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Forest,Grassland
4837,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Forest,Forest
4838,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
4839,Grassland,Wetland,Wetland,NULL,Wetland,Water,Forest,Grassland
4840,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
4841,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
4842,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
4843,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
4844,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,NULL
4845,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
4846,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Forest
4847,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
4848,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Forest,Water
4849,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
4850,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
4851,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
4852,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
4853,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
4854,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
4855,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
4856,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
4857,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
4858,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Forest,Water
4859,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
4860,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
4861,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
4862,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
4863,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
4864,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
4865,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Forest
4866,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Forest,Grassland
4867,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Forest,Forest
4868,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
4869,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,NULL
4870,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
4871,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
4872,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
4873,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Forest,Grassland
4874,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Forest,Forest
4875,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Grassland,Grassland
4876,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Grassland,Water
4877,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
4878,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
4879,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
4880,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
4881,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
4882,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Forest
4883,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Forest,Grassland
4884,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Forest,Wetland
4885,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Forest,Water
4886,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Forest,Forest
4887,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Grassland
4888,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Water
4889,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
4890,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
4891,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
4892,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
4893,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
4894,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Forest,Grassland
4895,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Forest,Wetland
4896,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Forest,Bareland
4897,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Forest,Water
4898,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Grassland,Grassland
4899,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Wetland,Grassland
4900,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Water,Grassland
4901,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Water,Wetland
4902,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Water,Water
4903,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Water,Forest
4904,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Forest,Grassland
4905,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Forest,Forest
4906,Grassland,Wetland,Wetland,Water,Wetland,Water,Grassland,Grassland
4907,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
4908,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
4909,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
4910,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
4911,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
4912,Grassland,Wetland,Wetland,Water,Wetland,Water,Forest,Grassland
4913,Grassland,Wetland,Wetland,Water,Wetland,Water,Forest,Water
4914,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4915,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Water
4916,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
4917,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4918,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
4919,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Forest,Water
4920,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
4921,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
4922,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4923,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Water
4924,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
4925,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4926,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
4927,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
4928,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
4929,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
4930,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Forest,Water
4931,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
4932,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
4933,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4934,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
4935,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
4936,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
4937,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4938,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4939,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4940,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
4941,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
4942,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4943,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Forest,Water
4944,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Forest,Forest
4945,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4946,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4947,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
4948,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4949,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4950,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4951,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
4952,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
4953,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
4954,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Forest,Water
4955,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Forest,Forest
4956,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
4957,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
4958,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
4959,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Forest,Forest
4960,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Grassland,Grassland
4961,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
4962,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
4963,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Forest,Grassland
4964,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
4965,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Forest,Grassland,Forest
4966,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
