Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NZH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R
348,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
349,Water,Forest,Water,NULL,Water,NULL,NULL,Water
350,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
351,Water,Forest,Water,Water,Water,NULL,NULL,Water
352,Water,Forest,Water,Water,Water,NULL,NULL,Forest
353,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
354,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
355,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
356,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
357,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
358,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
359,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
360,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
361,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
362,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
363,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
364,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
365,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
366,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
367,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
368,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
369,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
370,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
371,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
372,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
373,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
374,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
375,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
376,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
377,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
378,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
379,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
380,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
381,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
382,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
383,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
384,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
385,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
386,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
387,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
388,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
389,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
390,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
391,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
392,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
393,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
394,Forest,NULL,Water,Water,Water,NULL,NULL,Water
395,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
396,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
397,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
398,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
399,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
400,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
401,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
402,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
403,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
404,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
405,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
406,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
407,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
408,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
409,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
410,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
411,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
412,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
413,Forest,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
414,Forest,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
415,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
416,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
417,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
418,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
419,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
420,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
421,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
422,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
423,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
424,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
425,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
426,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
427,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
428,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
429,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
430,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
431,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
432,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
433,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
434,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
435,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
436,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
437,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
438,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
439,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
440,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
441,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
442,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
443,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
444,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
445,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
446,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
447,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
448,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
449,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
450,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
451,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
452,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
453,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
454,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
455,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
456,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
457,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
458,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
459,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
460,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
461,Forest,Water,Water,NULL,Water,NULL,NULL,Water
462,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
463,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
464,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
465,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
466,Forest,Water,Water,Water,Water,NULL,NULL,Water
467,Forest,Water,Water,Water,Water,NULL,NULL,Forest
468,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
469,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
470,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
471,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
472,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
473,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
474,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
475,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
476,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
477,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
478,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
479,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
480,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
481,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
482,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
483,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
484,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
485,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
486,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
487,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
488,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
489,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
490,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
491,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
492,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
493,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
494,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
495,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
496,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
497,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
498,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
499,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
500,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
501,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
502,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
503,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
504,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
505,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
506,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
507,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
508,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
509,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
510,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
511,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
512,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
513,Forest,Forest,Water,NULL,Water,NULL,NULL,Wetland
514,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
515,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
516,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
517,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
518,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
519,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
520,Forest,Forest,Water,Water,Water,NULL,NULL,Water
521,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
522,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
523,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
524,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
525,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
526,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
527,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
528,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
529,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
530,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
531,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
532,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
533,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
