Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R
714,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
715,Grassland,Cropland,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
716,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
717,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
718,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
719,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
720,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
721,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
722,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
723,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
724,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
725,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
726,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
727,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
728,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
729,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
730,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
731,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
732,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
733,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
734,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
735,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
736,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
737,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
738,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
739,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
740,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
741,Grassland,Cropland,Wetland,Water,Wetland,Bareland,Grassland,Grassland
742,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
743,Grassland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
744,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
745,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
746,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
747,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
748,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
749,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
750,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
751,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
752,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
753,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
754,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
755,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
756,Grassland,Water,Wetland,NULL,Wetland,Bareland,Grassland,Forest
757,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
758,Grassland,Water,Wetland,Water,Wetland,Grassland,Grassland,Grassland
759,Grassland,Water,Water,NULL,Water,Grassland,Grassland,Forest
760,Grassland,Water,Water,Water,Water,Grassland,Water,Grassland
761,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
762,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
763,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
764,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
765,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
766,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
767,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
768,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
769,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
770,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
771,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
772,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Forest,Grassland
773,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
774,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
775,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
776,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
777,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
778,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
779,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
780,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
781,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
782,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
783,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
784,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
785,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
786,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
787,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
788,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
789,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
790,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
791,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
792,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
793,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
794,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
795,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
796,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
797,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
798,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
799,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
800,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
801,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
802,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
803,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
804,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
805,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
806,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
807,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
808,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
809,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
810,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
811,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
812,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
813,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
814,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
815,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
816,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
817,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
818,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
819,Cropland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Forest
820,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
821,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
822,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
823,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
824,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
825,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
826,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
827,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
828,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
829,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
830,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
831,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
832,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
833,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
834,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
835,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
836,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
837,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
838,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
839,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
840,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
841,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
842,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
843,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
844,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
845,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
846,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
847,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
848,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
849,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
850,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
851,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water,Forest,Forest
852,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
853,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
854,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
855,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
856,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
857,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
858,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
859,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
860,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
861,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
862,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
863,Cropland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
864,Cropland,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
865,Cropland,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
866,Cropland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
867,Cropland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
868,Cropland,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
869,Cropland,Water,Wetland,Water,Wetland,Grassland,Water,Forest
870,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
871,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Water
872,Cropland,Water,Wetland,Water,Wetland,Water,Water,Bareland
873,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
874,Cropland,Water,Water,Water,Water,Wetland,Wetland,Water
875,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
876,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
877,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
878,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
879,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
880,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
881,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
882,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
883,Cropland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
884,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
885,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
886,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
887,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
888,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
889,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
890,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
891,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
892,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
893,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
894,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
895,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
896,Wetland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
897,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
898,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
899,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
900,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
901,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
902,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
903,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
904,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Forest
905,Wetland,NULL,Wetland,Water,Wetland,Forest,Wetland,Grassland
906,Wetland,NULL,Water,Water,Water,Water,Water,Water
907,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
908,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
909,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
910,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
911,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
912,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
913,Wetland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
914,Wetland,Cropland,NULL,NULL,Non_Wetland,Water,Forest,Forest
915,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
916,Wetland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
917,Wetland,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
918,Wetland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
919,Wetland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
920,Wetland,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
921,Wetland,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Forest
922,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Forest,Forest
923,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
924,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
925,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Forest,Forest
926,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
927,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
928,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
929,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
930,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
931,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
932,Wetland,Wetland,Wetland,Water,Wetland,Bareland,Wetland,Water
933,Wetland,Wetland,Wetland,Water,Wetland,Bareland,Wetland,Forest
934,Wetland,Wetland,Wetland,Water,Wetland,Bareland,Water,Water
935,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
936,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
937,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
938,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
939,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
940,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
941,Wetland,Wetland,Water,Water,Water,Water,Wetland,Forest
942,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
943,Wetland,Wetland,Water,Water,Water,Water,Water,Water
944,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
945,Wetland,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
946,Wetland,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
947,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
948,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
949,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
950,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Water
951,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
952,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Wetland
953,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
954,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
955,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
956,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
957,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
958,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Grassland
959,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
960,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
961,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
962,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Water
963,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
964,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
965,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
966,Wetland,Water,Wetland,Water,Wetland,Water,Water,Forest
967,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
968,Wetland,Water,Water,Water,Water,Water,Water,Water
969,Wetland,Water,Water,Water,Water,Forest,Water,Forest
970,Wetland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
971,Wetland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
972,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
973,Wetland,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
974,Wetland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
975,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
976,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
977,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
978,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
979,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
980,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
981,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
982,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
983,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
984,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
985,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
986,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
987,Bareland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
988,Bareland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
989,Bareland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
990,Bareland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
991,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
992,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
993,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
994,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Water
995,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
996,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
997,Bareland,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,Water
998,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
999,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
1000,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
1001,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
1002,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1003,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1004,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
1005,Bareland,Bareland,Water,Water,Water,Bareland,Wetland,Water
1006,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
1007,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1008,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1009,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1010,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
1011,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
1012,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
1013,Bareland,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Bareland
1014,Bareland,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
1015,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
1016,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
1017,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Water
1018,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
1019,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
1020,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
1021,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1022,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1023,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
1024,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
1025,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1026,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1027,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1028,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1029,Water,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1030,Water,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
1031,Water,NULL,NULL,Water,Non_Wetland,Water,Water,Water
1032,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1033,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1034,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1035,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1036,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1037,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1038,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
1039,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1040,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
1041,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1042,Water,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1043,Water,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
1044,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1045,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1046,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1047,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1048,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1049,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1050,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1051,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1052,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
1053,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
