Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R
343,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Water
344,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
345,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
346,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
347,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
348,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
349,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
350,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
351,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
352,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
353,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Water
354,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Water,Water
355,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
356,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
357,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
358,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
359,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
360,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
361,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland,Forest
362,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Water
363,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
364,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
365,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Water
366,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
367,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Grassland
368,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Grassland
369,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Grassland
370,NULL,Built-up,Wetland,NULL,Wetland,Forest,Wetland,Forest
371,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
372,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
373,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Water
374,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Water
375,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
376,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Bareland
377,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
378,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
379,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Bareland
380,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Built-up
381,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
382,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Bareland
383,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
384,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
385,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
386,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
387,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
388,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Bareland
389,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
390,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
391,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
392,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
393,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Bareland
394,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
395,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
396,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
397,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
398,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
399,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
400,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
401,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Bareland
402,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Built-up
403,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
404,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Bareland
405,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Built-up
406,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
407,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
408,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
409,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
410,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
411,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
412,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
413,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
414,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
415,NULL,Built-up,Water,NULL,Water,Wetland,Wetland,Grassland
416,NULL,Built-up,Water,NULL,Water,Wetland,Water,Water
417,NULL,Built-up,Water,Water,Water,Wetland,Wetland,Grassland
418,NULL,Built-up,Water,Water,Water,Water,Water,Grassland
419,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
420,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
421,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
422,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
423,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Forest
424,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Forest
425,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
426,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
427,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
428,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
429,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
430,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
431,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
432,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Built-up
433,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
434,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
435,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
436,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
437,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
438,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
439,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Forest
440,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
441,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
442,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
443,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
444,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Built-up
445,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
446,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
447,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
448,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
449,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
450,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
451,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
452,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
453,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
454,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
455,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
456,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
457,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
458,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
459,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
460,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
461,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
462,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
463,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
464,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
465,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
466,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
467,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
468,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
469,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
470,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
471,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
472,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
473,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
474,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
475,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
476,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
477,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
478,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
479,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
480,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
481,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
482,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
483,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
484,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
485,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
486,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
487,NULL,Water,Water,NULL,Water,Grassland,Wetland,Water
488,NULL,Water,Water,NULL,Water,Wetland,Water,Forest
489,NULL,Water,Water,NULL,Water,Bareland,Water,Water
490,NULL,Water,Water,NULL,Water,Water,Water,Water
491,NULL,Water,Water,Non_Water,Water,Wetland,Water,Water
492,NULL,Water,Water,Non_Water,Water,Bareland,Wetland,Water
493,NULL,Water,Water,Water,Water,Wetland,Water,Water
494,NULL,Water,Water,Water,Water,Wetland,Water,Forest
495,NULL,Water,Water,Water,Water,Bareland,Water,Water
496,NULL,Water,Water,Water,Water,Water,Wetland,Water
497,NULL,Water,Water,Water,Water,Water,Water,Water
498,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
499,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
500,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
501,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
502,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
503,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
504,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
505,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
506,NULL,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
507,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
508,NULL,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
509,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
510,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
511,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
512,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
513,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
514,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
515,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
516,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
517,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
518,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
519,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
520,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
521,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
522,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
523,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
524,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
525,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
526,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
527,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
528,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
529,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
530,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
531,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
532,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
533,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
534,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
535,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
536,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
537,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
538,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
539,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
540,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
541,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
542,NULL,Forest,Water,Non_Water,Water,Wetland,Water,Grassland
543,NULL,Forest,Water,Water,Water,Wetland,Wetland,Grassland
544,NULL,Forest,Water,Water,Water,Wetland,Wetland,Wetland
545,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
546,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
547,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
548,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
549,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
550,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
551,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
552,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
553,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
554,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
555,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
556,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
557,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
558,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
559,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
560,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
561,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
562,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
563,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
564,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
565,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
566,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
567,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
568,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
569,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
570,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
571,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
572,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
573,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
574,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
575,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
576,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
577,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
578,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
579,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
580,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
581,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
582,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
583,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
584,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
585,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
586,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
587,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
588,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
589,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
590,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
591,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
592,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
593,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
594,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
595,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
596,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
597,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
598,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
599,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
600,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
601,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
602,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
603,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
604,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
605,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
606,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
607,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
608,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
609,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
610,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
611,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
612,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
613,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
614,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
615,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
616,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
617,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
618,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
619,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
620,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
621,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
622,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
623,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
624,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
625,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
626,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
627,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
628,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
629,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
630,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
631,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
632,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
633,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
634,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
635,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
636,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
637,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
638,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
639,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
640,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
641,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
642,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
643,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
644,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
645,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
646,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
647,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
648,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
649,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
650,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
651,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
652,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
653,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
654,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
655,Cropland,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
656,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
657,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
658,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
659,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
660,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
661,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
662,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
663,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
664,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
665,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
666,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
667,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
668,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
669,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
670,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
671,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
672,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
673,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
674,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
675,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
676,Wetland,NULL,Water,Water,Water,Wetland,Water,Water
677,Wetland,NULL,Water,Water,Water,Water,Water,Water
678,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
679,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
680,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
681,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
682,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
683,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
684,Wetland,Water,Water,Water,Water,Water,Water,Water
685,Bareland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
686,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
687,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
