Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R
696,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
697,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
698,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
699,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
700,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
701,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
702,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
703,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
704,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
705,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
706,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
707,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
708,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
709,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
710,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
711,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
712,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
713,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
714,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
715,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
716,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
717,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
718,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
719,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
720,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
721,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
722,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
723,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
724,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
725,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
726,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
727,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
728,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
729,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
730,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
731,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
732,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
733,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
734,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
735,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
736,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
737,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
738,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
739,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
740,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
741,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
742,Grassland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
743,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
744,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
745,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
746,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
747,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
748,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
749,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
750,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
751,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
752,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
753,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
754,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
755,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
756,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
757,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
758,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
759,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
760,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
761,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
762,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
763,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Water
764,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Water
765,Grassland,NULL,Water,NULL,Water,NULL,Wetland,Forest
766,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Water
767,Grassland,NULL,Water,NULL,Water,Water,Grassland,Grassland
768,Grassland,NULL,Water,NULL,Water,Water,Wetland,Water
769,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland,Water
770,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
771,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
772,Grassland,NULL,Water,Non_Water,Water,Water,Water,Water
773,Grassland,NULL,Water,Water,Water,NULL,Wetland,Grassland
774,Grassland,NULL,Water,Water,Water,NULL,Wetland,Water
775,Grassland,NULL,Water,Water,Water,NULL,Water,Water
776,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
777,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Wetland
778,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Water
779,Grassland,NULL,Water,Water,Water,Grassland,Water,Grassland
780,Grassland,NULL,Water,Water,Water,Grassland,Water,Water
781,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
782,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
783,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
784,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
785,Grassland,NULL,Water,Water,Water,Wetland,Water,Forest
786,Grassland,NULL,Water,Water,Water,Wetland,Forest,Water
787,Grassland,NULL,Water,Water,Water,Bareland,Water,Grassland
788,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
789,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
790,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
791,Grassland,NULL,Water,Water,Water,Water,Water,Water
792,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
793,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
794,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
795,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
796,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
797,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
798,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
799,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
800,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
801,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
802,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
803,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
804,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
805,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
806,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
807,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
808,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
809,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
810,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
811,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
812,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
813,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
814,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
815,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
816,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
817,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
818,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
819,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
820,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
821,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
822,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
823,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
824,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
825,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
826,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
827,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
828,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
829,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
830,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
831,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
832,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
833,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
834,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
835,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
836,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
837,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
838,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
839,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
840,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Forest
841,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
842,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
843,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
844,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
845,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
846,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
847,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
848,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
849,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
850,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Water
851,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
852,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
853,Grassland,Wetland,Water,Water,Water,Wetland,Forest,Water
854,Grassland,Bareland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
855,Grassland,Bareland,Wetland,Water,Wetland,Wetland,Water,Grassland
856,Grassland,Built-up,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
857,Grassland,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
858,Grassland,Built-up,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
859,Grassland,Built-up,Wetland,NULL,Wetland,Grassland,Water,Forest
860,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
861,Grassland,Built-up,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
862,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
863,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
864,Grassland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
865,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
866,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
867,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
868,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
869,Grassland,Water,Cropland,Water,Non_Wetland,Wetland,Bareland,Grassland
870,Grassland,Water,Cropland,Water,Non_Wetland,Water,Water,Water
871,Grassland,Water,Wetland,NULL,Wetland,NULL,Grassland,Forest
872,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
873,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
874,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
875,Grassland,Water,Wetland,NULL,Wetland,Water,Grassland,Grassland
876,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
877,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
878,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
879,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
880,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Water
881,Grassland,Water,Wetland,Water,Wetland,Wetland,Grassland,Water
882,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
883,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
884,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
885,Grassland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
886,Grassland,Water,Wetland,Water,Wetland,Bareland,Water,Water
887,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
888,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
889,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
890,Grassland,Water,Wetland,Water,Wetland,Water,Water,Forest
891,Grassland,Water,Bareland,Water,Non_Wetland,Grassland,Wetland,Forest
892,Grassland,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Forest
893,Grassland,Water,Water,Water,Water,Grassland,Water,Water
894,Grassland,Water,Water,Water,Water,Wetland,Wetland,Grassland
895,Grassland,Water,Water,Water,Water,Wetland,Wetland,Water
896,Grassland,Water,Water,Water,Water,Water,Water,Water
897,Grassland,Water,Water,Water,Water,Water,Water,Forest
898,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
899,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
900,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
901,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
902,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
903,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
904,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
905,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
906,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
907,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
908,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
909,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
910,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
911,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
912,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
913,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
914,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
915,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
916,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Forest,Forest
917,Grassland,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
918,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
919,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
920,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
921,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
922,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
923,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
924,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
925,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
926,Grassland,Forest,Water,Non_Water,Water,Wetland,Water,Water
927,Grassland,Forest,Water,Water,Water,Grassland,Water,Water
928,Grassland,Forest,Water,Water,Water,Wetland,Grassland,Water
929,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Water
930,Grassland,Forest,Water,Water,Water,Water,Wetland,Forest
931,Grassland,Forest,Water,Water,Water,Water,Water,Water
932,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
933,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
934,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
935,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
936,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
937,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
938,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
939,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
940,Grassland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
941,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
942,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
943,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
944,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
945,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
946,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
947,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
948,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
949,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
950,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
951,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
952,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
953,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
954,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
955,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
956,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
957,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
958,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
959,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
960,Cropland,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
961,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
962,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
963,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
964,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
965,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
966,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
967,Cropland,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
968,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
969,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
970,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
971,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
972,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
973,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Water
974,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
975,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
976,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
977,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
978,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
979,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Forest,Forest
980,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
981,Cropland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
982,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
983,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
984,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
985,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
986,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
987,Cropland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
988,Cropland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
989,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
990,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
991,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
992,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
993,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
994,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
995,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
996,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
997,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
998,Cropland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
999,Cropland,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1000,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
1001,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
1002,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Water
1003,Cropland,NULL,Water,NULL,Water,Wetland,Water,Water
1004,Cropland,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
1005,Cropland,NULL,Water,Water,Water,Grassland,Water,Water
1006,Cropland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1007,Cropland,NULL,Water,Water,Water,Wetland,Wetland,Water
1008,Cropland,NULL,Water,Water,Water,Bareland,Wetland,Water
1009,Cropland,NULL,Water,Water,Water,Bareland,Water,Grassland
1010,Cropland,NULL,Water,Water,Water,Bareland,Water,Water
1011,Cropland,NULL,Water,Water,Water,Water,Water,Grassland
1012,Cropland,NULL,Water,Water,Water,Water,Water,Water
1013,Cropland,NULL,Water,Water,Water,Water,Water,Forest
1014,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1015,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1016,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1017,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1018,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1019,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1020,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1021,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1022,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1023,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1024,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1025,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1026,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Forest,Grassland
1027,Cropland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
1028,Cropland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Water
1029,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1030,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1031,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1032,Cropland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
1033,Cropland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
1034,Cropland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
1035,Cropland,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
1036,Cropland,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
1037,Cropland,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
1038,Cropland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1039,Cropland,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
1040,Cropland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1041,Cropland,Bareland,Wetland,Water,Wetland,Water,Water,Water
1042,Cropland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
1043,Cropland,Bareland,Water,NULL,Water,Water,Wetland,Water
1044,Cropland,Bareland,Water,Water,Water,Grassland,Wetland,Water
1045,Cropland,Bareland,Water,Water,Water,Bareland,Wetland,Water
1046,Cropland,Bareland,Water,Water,Water,Bareland,Water,Water
1047,Cropland,Bareland,Water,Water,Water,Water,Wetland,Water
1048,Cropland,Bareland,Water,Water,Water,Water,Water,Water
1049,Cropland,Built-up,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
1050,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1051,Cropland,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Water
