Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R
1115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
1116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1126,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
1136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1137,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1138,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1139,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1140,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1141,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1142,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1143,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1144,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1145,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1146,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1147,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1148,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1149,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1150,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1151,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1152,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1153,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1154,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1155,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1156,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1157,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1158,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1159,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1160,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
1161,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1162,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1163,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1164,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1165,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1166,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1167,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1168,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1169,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1170,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1171,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1172,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
1173,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1174,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1175,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1176,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1177,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1178,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1179,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1180,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1181,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1182,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1183,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1184,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1185,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1186,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1187,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1188,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1189,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
1190,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1191,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1192,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
1193,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1194,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1195,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1196,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1197,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
1198,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1199,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1200,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1201,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1202,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1203,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1204,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1205,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1206,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1207,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1208,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1209,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1210,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
1211,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
1212,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
1213,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Built-up
1214,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1215,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
1216,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1217,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1218,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1219,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1220,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1221,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1222,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1223,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1224,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1225,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1226,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1227,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1228,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Grassland
1229,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Bareland
1230,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Built-up
1231,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Built-up
1232,NULL,Built-up,Water,NULL,Water,Cropland,NULL,Bareland
1233,NULL,Built-up,Water,NULL,Water,Bareland,NULL,Cropland
1234,NULL,Built-up,Water,NULL,Water,Bareland,NULL,Bareland
1235,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Grassland
1236,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1237,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1238,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1239,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1240,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1241,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1242,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1243,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1244,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1245,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1246,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1247,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1248,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1249,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Water
1250,NULL,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1251,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1252,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1253,NULL,Water,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1254,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1255,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1256,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1257,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1258,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1259,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1260,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1261,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1262,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1263,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
1264,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1265,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
1266,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1267,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1268,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
1269,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1270,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
1271,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
1272,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1273,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1274,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1275,NULL,Water,Water,NULL,Water,Grassland,Grassland,Grassland
1276,NULL,Water,Water,NULL,Water,Bareland,Water,Grassland
1277,NULL,Water,Water,NULL,Water,Bareland,Water,Water
1278,NULL,Water,Water,NULL,Water,Water,Grassland,Grassland
1279,NULL,Water,Water,NULL,Water,Water,Water,Water
1280,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1281,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1282,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1283,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1284,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1285,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1286,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1287,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1288,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1289,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1290,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1291,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1292,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1293,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1294,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
1295,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1296,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1297,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1298,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1299,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1300,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1301,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1302,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1303,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1304,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1305,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1306,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1307,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1308,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1309,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1310,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1311,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1312,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1313,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1314,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1315,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1316,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1317,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1318,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1319,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1320,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1321,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1322,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1323,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1324,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1325,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1326,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1327,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1328,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1329,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1330,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1331,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1332,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1333,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
1334,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1335,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1336,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1337,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1338,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1339,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1340,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1341,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1342,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1343,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1344,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1345,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1346,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1347,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1348,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1349,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
1350,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1351,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1352,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1353,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1354,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1355,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1356,NULL,Forest,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
1357,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1358,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
1359,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1360,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1361,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1362,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1363,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1364,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1365,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1366,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1367,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1368,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1369,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1370,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1371,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1372,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1373,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1374,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1375,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1376,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1377,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1378,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1379,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1380,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1381,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1382,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1383,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1384,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1385,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1386,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1387,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1388,NULL,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
1389,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1390,NULL,Forest,Wetland,NULL,Wetland,Water,Grassland,Grassland
1391,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1392,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1393,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
1394,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1395,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
1396,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
1397,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1398,NULL,Forest,Water,NULL,Water,Grassland,Grassland,Grassland
1399,NULL,Forest,Water,NULL,Water,Wetland,Grassland,Water
1400,NULL,Forest,Water,NULL,Water,Wetland,Wetland,Forest
1401,NULL,Forest,Water,NULL,Water,Water,Wetland,Grassland
1402,NULL,Forest,Water,Non_Water,Water,Grassland,Wetland,Water
1403,NULL,Forest,Water,Non_Water,Water,Wetland,Wetland,Water
1404,NULL,Forest,Water,Water,Water,Grassland,Wetland,Water
1405,NULL,Forest,Water,Water,Water,Wetland,Wetland,Grassland
1406,NULL,Forest,Water,Water,Water,Wetland,Wetland,Water
1407,NULL,Forest,Water,Water,Water,Water,Wetland,Water
1408,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1409,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1410,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1411,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1412,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
1413,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1414,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1415,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1416,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1417,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1418,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1419,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1420,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1421,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1422,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1423,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1424,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1425,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
1426,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1427,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1428,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1429,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1430,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1431,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1432,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1433,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1434,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1435,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1436,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1437,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1438,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1439,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1440,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
