Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUA_M_R
9271,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
9272,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
9273,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
9274,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Cropland
9275,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
9276,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
9277,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
9278,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
9279,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
9280,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
9281,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Cropland
9282,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
9283,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9284,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Cropland
9285,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
9286,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
9287,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
9288,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
9289,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
9290,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
9291,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
9292,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Cropland
9293,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
9294,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
9295,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
9296,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland,NULL
9297,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
9298,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
9299,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9300,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
9301,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
9302,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
9303,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9304,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,NULL,NULL
9305,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
9306,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
9307,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
9308,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
9309,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
9310,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
9311,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
9312,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
9313,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9314,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
9315,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
9316,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
9317,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
9318,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
9319,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
9320,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
9321,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
9322,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
9323,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
9324,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
9325,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
9326,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
9327,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
9328,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
9329,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9330,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
9331,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
9332,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9333,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
9334,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
9335,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9336,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
9337,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
9338,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
9339,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
9340,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
9341,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
9342,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
9343,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9344,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9345,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
9346,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
9347,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
9348,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
9349,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9350,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
9351,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
9352,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
9353,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
9354,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
9355,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
9356,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
9357,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
9358,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
9359,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
9360,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
9361,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
9362,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
9363,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
9364,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
9365,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,NULL
9366,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
9367,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
9368,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Forest
9369,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
9370,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
9371,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
9372,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
9373,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
9374,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
9375,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9376,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
9377,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
9378,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
9379,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
9380,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
9381,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
9382,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
9383,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
9384,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
9385,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
9386,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
9387,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
9388,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
9389,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Water
9390,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
9391,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
9392,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
9393,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
9394,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
9395,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
9396,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
9397,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
9398,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
9399,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
9400,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
9401,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
9402,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Forest,Forest
9403,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
9404,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
9405,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
9406,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
9407,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9408,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Cropland
9409,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
9410,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
9411,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
9412,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
9413,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
9414,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
9415,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
9416,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Forest
9417,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
9418,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9419,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
9420,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
9421,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
9422,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
9423,Cropland,Cropland,Wetland,Water,Wetland,NULL,Forest,Grassland
9424,Cropland,Cropland,Wetland,Water,Wetland,Shrubland,Forest,Wetland
9425,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
9426,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Built-up,Grassland
9427,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Forest,Cropland
9428,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9429,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
9430,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
9431,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
9432,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
9433,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
9434,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
9435,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
9436,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
9437,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
9438,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
9439,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
9440,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
9441,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
9442,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
9443,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
9444,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
9445,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
9446,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
9447,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
9448,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
9449,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
9450,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
9451,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
9452,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
9453,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
9454,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
9455,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
9456,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
9457,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Built-up,Forest
9458,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
9459,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
9460,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
9461,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
9462,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
9463,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
9464,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
9465,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
9466,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
9467,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
9468,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
9469,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
9470,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
9471,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
9472,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
9473,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
9474,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
9475,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest,Shrubland,Forest
9476,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
9477,Cropland,Cropland,Water,NULL,Water,Water,Grassland,Grassland
9478,Cropland,Cropland,Water,Water,Water,Built-up,Forest,Grassland
9479,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
9480,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
9481,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
9482,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
9483,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
9484,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
9485,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
9486,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
9487,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
9488,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
9489,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
9490,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
9491,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
9492,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
9493,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
9494,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
9495,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
9496,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
9497,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
9498,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
9499,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
9500,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
9501,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
9502,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Built-up
9503,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
9504,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9505,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9506,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
9507,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
9508,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9509,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
9510,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9511,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
9512,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Built-up
9513,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
9514,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
9515,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
9516,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
9517,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
9518,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
9519,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
9520,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
9521,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
9522,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
9523,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
9524,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
9525,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9526,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
9527,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
9528,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
9529,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
9530,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
9531,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
9532,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
9533,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
9534,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
9535,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Cropland
9536,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
9537,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
9538,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Cropland
9539,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
9540,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
9541,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
9542,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
9543,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
9544,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
9545,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
9546,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
9547,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Built-up
9548,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
9549,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
9550,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
9551,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
9552,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
9553,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
9554,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
9555,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
9556,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Built-up,NULL
9557,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Built-up,Grassland
9558,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Built-up,Cropland
9559,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Built-up,Forest
9560,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
9561,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
9562,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
9563,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
9564,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
9565,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9566,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
9567,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
9568,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
9569,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
9570,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
9571,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
9572,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
9573,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
9574,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Built-up,Cropland
9575,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
9576,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
9577,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
9578,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
9579,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
9580,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
9581,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
9582,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,Shrubland,NULL
