Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R
339,Water,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
340,Water,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
341,Water,Built-up,Grassland,Water,Non_Wetland,Grassland,NULL,Water
342,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
343,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
344,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
345,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
346,Water,Built-up,Water,NULL,Water,NULL,NULL,Grassland
347,Water,Built-up,Water,NULL,Water,NULL,NULL,Forest
348,Water,Built-up,Water,Water,Water,Forest,NULL,Grassland
349,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
350,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
351,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
352,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
353,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
354,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
355,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
356,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
357,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
358,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
359,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
360,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
361,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
362,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
363,Water,Water,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
364,Water,Water,Grassland,NULL,Non_Wetland,Wetland,NULL,Water
365,Water,Water,Grassland,NULL,Non_Wetland,Water,NULL,Water
366,Water,Water,Grassland,NULL,Non_Wetland,Water,NULL,Forest
367,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
368,Water,Water,Grassland,NULL,Non_Wetland,Forest,NULL,Water
369,Water,Water,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
370,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
371,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
372,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
373,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
374,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
375,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
376,Water,Water,Grassland,Water,Non_Wetland,Wetland,NULL,Water
377,Water,Water,Grassland,Water,Non_Wetland,Water,NULL,Water
378,Water,Water,Grassland,Water,Non_Wetland,Forest,NULL,Forest
379,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
380,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
381,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
382,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
383,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
384,Water,Water,Wetland,NULL,Wetland,Wetland,Grassland,Water
385,Water,Water,Wetland,NULL,Wetland,Water,NULL,Water
386,Water,Water,Wetland,NULL,Wetland,Water,NULL,Forest
387,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Water
388,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
389,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
390,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
391,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
392,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
393,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
394,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Water
395,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
396,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
397,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
398,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
399,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
400,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
401,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
402,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
403,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
404,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
405,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Water
406,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
407,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
408,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
409,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
410,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
411,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
412,Water,Water,Wetland,Water,Wetland,Water,NULL,Forest
413,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
414,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
415,Water,Water,Wetland,Water,Wetland,Water,Water,Water
416,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
417,Water,Water,Wetland,Water,Wetland,Forest,NULL,Water
418,Water,Water,Wetland,Water,Wetland,Forest,NULL,Forest
419,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
420,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
421,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
422,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
423,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
424,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
425,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
426,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
427,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
428,Water,Water,Water,NULL,Water,NULL,NULL,Water
429,Water,Water,Water,NULL,Water,NULL,NULL,Forest
430,Water,Water,Water,NULL,Water,NULL,Water,Forest
431,Water,Water,Water,NULL,Water,Grassland,NULL,Water
432,Water,Water,Water,NULL,Water,Water,NULL,Water
433,Water,Water,Water,NULL,Water,Water,NULL,Forest
434,Water,Water,Water,NULL,Water,Water,Grassland,Water
435,Water,Water,Water,NULL,Water,Water,Wetland,Water
436,Water,Water,Water,NULL,Water,Water,Wetland,Forest
437,Water,Water,Water,NULL,Water,Water,Water,Water
438,Water,Water,Water,NULL,Water,Water,Water,Forest
439,Water,Water,Water,NULL,Water,Water,Forest,Water
440,Water,Water,Water,NULL,Water,Water,Forest,Forest
441,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
442,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
443,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
444,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
445,Water,Water,Water,Non_Water,Water,Water,NULL,Water
446,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
447,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
448,Water,Water,Water,Non_Water,Water,Water,Water,Water
449,Water,Water,Water,Non_Water,Water,Water,Water,Forest
450,Water,Water,Water,Non_Water,Water,Water,Forest,Water
451,Water,Water,Water,Non_Water,Water,Forest,NULL,Water
452,Water,Water,Water,Water,Water,NULL,NULL,Grassland
453,Water,Water,Water,Water,Water,NULL,NULL,Wetland
454,Water,Water,Water,Water,Water,NULL,NULL,Water
455,Water,Water,Water,Water,Water,NULL,NULL,Forest
456,Water,Water,Water,Water,Water,Wetland,NULL,Water
457,Water,Water,Water,Water,Water,Water,NULL,Grassland
458,Water,Water,Water,Water,Water,Water,NULL,Bareland
459,Water,Water,Water,Water,Water,Water,NULL,Water
460,Water,Water,Water,Water,Water,Water,NULL,Forest
461,Water,Water,Water,Water,Water,Water,Grassland,Water
462,Water,Water,Water,Water,Water,Water,Wetland,Water
463,Water,Water,Water,Water,Water,Water,Wetland,Forest
464,Water,Water,Water,Water,Water,Water,Water,Grassland
465,Water,Water,Water,Water,Water,Water,Water,Water
466,Water,Water,Water,Water,Water,Water,Water,Forest
467,Water,Water,Water,Water,Water,Water,Forest,Water
468,Water,Water,Water,Water,Water,Forest,NULL,Water
469,Water,Water,Water,Water,Water,Forest,NULL,Forest
470,Water,Water,Water,Water,Water,Forest,Water,Water
471,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
472,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
473,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
474,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
475,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
476,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
477,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
478,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Water
479,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
480,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
481,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
482,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
483,Water,Water,Forest,NULL,Non_Wetland,Forest,NULL,Water
484,Water,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
485,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
486,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
487,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
488,Water,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Water
489,Water,Water,Forest,Non_Water,Non_Wetland,Forest,NULL,Water
490,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
491,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
492,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
493,Water,Water,Forest,Water,Non_Wetland,Water,NULL,Water
494,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
495,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
496,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
497,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
498,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
499,Permanent_ice_and_snow,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
500,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
501,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
502,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
503,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
504,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
505,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
506,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
507,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
508,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
509,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
510,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
511,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
512,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
513,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
514,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
515,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
516,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
517,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
518,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
519,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
520,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
521,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
522,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
523,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
524,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
525,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
526,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
527,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
528,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
529,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
530,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
531,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
532,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
533,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
534,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
535,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
536,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
537,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
538,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
539,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
540,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
541,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
542,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
543,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
544,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
545,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
546,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
547,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
548,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
549,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
550,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
551,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
552,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
553,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
554,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
555,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
556,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
557,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
558,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
559,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
560,Forest,NULL,Water,Water,Water,NULL,NULL,Water
561,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
562,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
563,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
564,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
565,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
566,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
567,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
568,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
569,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
570,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
571,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
572,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
573,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
574,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
575,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
576,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
577,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
578,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
579,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
580,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
581,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
582,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
583,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
584,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
585,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
586,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
587,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
588,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
589,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
590,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
591,Forest,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
592,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
593,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
594,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
595,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
596,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
597,Forest,Wetland,Grassland,NULL,Non_Wetland,Forest,Water,Forest
598,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
599,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
600,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
601,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
602,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
603,Forest,Wetland,Water,Water,Water,Forest,NULL,Forest
604,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
605,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
606,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
607,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
608,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
609,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
610,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
611,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
612,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
613,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
614,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
615,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
616,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
617,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
618,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
619,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
620,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
621,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
622,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
623,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
624,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
625,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
626,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
627,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
628,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
629,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
630,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
631,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
632,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
633,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
634,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
635,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
636,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
637,Forest,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
638,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
639,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
640,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
641,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
642,Forest,Built-up,Wetland,NULL,Wetland,Forest,NULL,Forest
643,Forest,Built-up,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
644,Forest,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
645,Forest,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
646,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
647,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
648,Forest,Built-up,Water,NULL,Water,NULL,NULL,Forest
649,Forest,Built-up,Water,Water,Water,NULL,NULL,Forest
650,Forest,Built-up,Water,Water,Water,Grassland,NULL,Forest
651,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
652,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
653,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
654,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
655,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
656,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
657,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
658,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
659,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
660,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
661,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
662,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
663,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
664,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
665,Forest,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
666,Forest,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
667,Forest,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
668,Forest,Built-up,Forest,NULL,Non_Wetland,Forest,Water,Forest
669,Forest,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
670,Forest,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
671,Forest,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
672,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
673,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
674,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
675,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
676,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
677,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
678,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
679,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
680,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
681,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,NULL,Water
682,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
683,Forest,Water,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
684,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
685,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
686,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
687,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
688,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
689,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
690,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
691,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
692,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
693,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
694,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
695,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
696,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
697,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
698,Forest,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
699,Forest,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
700,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Water
701,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Forest
702,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
703,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
704,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
705,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
706,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
707,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
708,Forest,Water,Wetland,NULL,Wetland,Forest,NULL,Water
709,Forest,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
710,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
711,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
