Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXK_M_R
998,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
999,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1000,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
1001,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1002,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1003,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1004,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1005,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1006,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
1007,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1008,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1009,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1010,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1011,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1012,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1013,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
1014,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
1015,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1016,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1017,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1018,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
1019,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1020,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1021,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1022,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1023,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1024,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1025,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1026,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1027,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
1028,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1029,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1030,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1031,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1032,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1033,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1034,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
1035,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1036,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1037,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1038,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1039,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1040,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1041,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1042,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1043,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1044,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1045,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1046,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1047,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1048,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1049,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1050,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1051,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1052,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1053,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1054,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1055,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1056,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1057,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1058,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1059,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1060,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1061,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1062,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1063,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1064,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1065,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1066,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1067,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
1068,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1069,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1070,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1071,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1072,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1073,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1074,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1075,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1076,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1077,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1078,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1079,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1080,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1081,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1082,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1083,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1084,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1085,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1086,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1087,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
1088,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1089,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1090,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
1091,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1092,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1093,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1094,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1095,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
1096,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1097,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1098,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
1099,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1100,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
1101,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1102,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
1103,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1104,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1105,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1106,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1107,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1108,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1109,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1110,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1111,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1112,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1113,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
1114,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1115,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1116,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1117,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
1118,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1119,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1120,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1121,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
1122,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1123,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1124,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Water
1125,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1126,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1127,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
1128,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Water
1129,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1130,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
1131,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Water
1132,NULL,Cropland,Wetland,NULL,Wetland,Water,Grassland,Bareland
1133,NULL,Cropland,Wetland,NULL,Wetland,Water,Grassland,Water
1134,NULL,Cropland,Wetland,NULL,Wetland,Water,Grassland,Forest
1135,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland,Bareland,Forest
1136,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1137,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
1138,NULL,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Water
1139,NULL,Cropland,Wetland,Water,Wetland,Bareland,Grassland,Bareland
1140,NULL,Cropland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
1141,NULL,Cropland,Wetland,Water,Wetland,Bareland,Bareland,Water
1142,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
1143,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Cropland
1144,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1145,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Cropland
1146,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
1147,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
1148,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
1149,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Grassland
1150,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Cropland
1151,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Grassland,Grassland
1152,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Grassland,Cropland
1153,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Grassland,Bareland
1154,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Grassland,Forest
1155,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Bareland,Grassland
1156,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Grassland
1157,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Cropland
1158,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Bareland
1159,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Forest
1160,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
1161,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Bareland
1162,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Built-up
1163,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
1164,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
1165,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Bareland
1166,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Built-up
1167,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1168,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1169,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1170,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1171,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1172,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
1173,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland,Bareland,Water
1174,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1175,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1176,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Water
1177,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
1178,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
1179,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1180,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
1181,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1182,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
1183,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
1184,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
1185,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
1186,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1187,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1188,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1189,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1190,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1191,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1192,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1193,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1194,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1195,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1196,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1197,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
1198,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1199,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1200,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1201,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1202,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
1203,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1204,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
1205,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
1206,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
1207,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
1208,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Bareland
1209,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Wetland,Grassland
1210,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
1211,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Cropland
1212,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Built-up
1213,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1214,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1215,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
1216,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1217,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1218,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1219,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1220,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1221,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1222,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1223,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1224,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1225,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1226,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1227,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1228,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1229,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1230,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1231,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1232,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
1233,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1234,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1235,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
1236,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1237,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1238,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1239,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Forest
1240,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1241,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1242,NULL,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
1243,NULL,Cropland,Water,NULL,Water,Grassland,Bareland,Grassland
1244,NULL,Cropland,Water,NULL,Water,Grassland,Bareland,Forest
1245,NULL,Cropland,Water,NULL,Water,Bareland,Grassland,Grassland
1246,NULL,Cropland,Water,NULL,Water,Bareland,Grassland,Bareland
1247,NULL,Cropland,Water,NULL,Water,Bareland,Grassland,Forest
1248,NULL,Cropland,Water,NULL,Water,Bareland,Wetland,Forest
1249,NULL,Cropland,Water,NULL,Water,Bareland,Bareland,Grassland
1250,NULL,Cropland,Water,NULL,Water,Bareland,Bareland,Cropland
1251,NULL,Cropland,Water,NULL,Water,Bareland,Bareland,Bareland
1252,NULL,Cropland,Water,NULL,Water,Bareland,Bareland,Water
1253,NULL,Cropland,Water,NULL,Water,Bareland,Bareland,Forest
1254,NULL,Cropland,Water,Non_Water,Water,Grassland,Bareland,Wetland
1255,NULL,Cropland,Water,Non_Water,Water,Wetland,Bareland,Wetland
1256,NULL,Cropland,Water,Non_Water,Water,Water,Bareland,Wetland
1257,NULL,Cropland,Water,Water,Water,Wetland,Wetland,Wetland
1258,NULL,Cropland,Water,Water,Water,Bareland,Grassland,Water
1259,NULL,Cropland,Water,Water,Water,Bareland,Grassland,Forest
1260,NULL,Cropland,Water,Water,Water,Water,Grassland,Water
1261,NULL,Cropland,Water,Water,Water,Water,Bareland,Grassland
1262,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1263,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1264,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1265,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1266,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1267,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1268,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1269,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1270,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1271,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1272,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1273,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1274,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1275,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1276,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1277,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1278,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1279,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1280,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
1281,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1282,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1283,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1284,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1285,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1286,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
1287,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
1288,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
1289,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1290,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1291,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1292,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1293,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1294,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1295,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1296,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1297,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1298,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Water,Water
1299,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1300,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1301,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1302,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1303,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
1304,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
1305,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1306,NULL,Wetland,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Water
1307,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
1308,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
1309,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1310,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1311,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1312,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
