Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R
389,Wetland,NULL,NULL,Water,Non_Wetland,NULL,Grassland
390,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
391,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
392,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
393,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
394,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
395,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
396,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
397,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
398,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
399,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
400,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
401,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
402,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
403,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
404,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
405,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Water
406,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
407,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
408,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
409,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
410,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
411,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
412,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
413,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
414,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
415,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
416,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
417,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL
418,Wetland,NULL,Wetland,NULL,Wetland,NULL,Grassland
419,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland
420,Wetland,NULL,Wetland,NULL,Wetland,NULL,Bareland
421,Wetland,NULL,Wetland,NULL,Wetland,NULL,Water
422,Wetland,NULL,Wetland,NULL,Wetland,NULL,Forest
423,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
424,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
425,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
426,Wetland,NULL,Wetland,Water,Wetland,NULL,Grassland
427,Wetland,NULL,Wetland,Water,Wetland,NULL,Wetland
428,Wetland,NULL,Wetland,Water,Wetland,NULL,Forest
429,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
430,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
431,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
432,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
433,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
434,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
435,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
436,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
437,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
438,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
439,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
440,Wetland,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
441,Wetland,NULL,Built-up,Water,Non_Wetland,NULL,Wetland
442,Wetland,NULL,Water,NULL,Water,NULL,Grassland
443,Wetland,NULL,Water,NULL,Water,NULL,Wetland
444,Wetland,NULL,Water,NULL,Water,NULL,Water
445,Wetland,NULL,Water,NULL,Water,NULL,Forest
446,Wetland,NULL,Water,Non_Water,Water,NULL,Grassland
447,Wetland,NULL,Water,Non_Water,Water,NULL,Wetland
448,Wetland,NULL,Water,Water,Water,NULL,Grassland
449,Wetland,NULL,Water,Water,Water,NULL,Wetland
450,Wetland,NULL,Water,Water,Water,NULL,Forest
451,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
452,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
453,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
454,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
455,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Water
456,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
457,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
458,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
459,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
460,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL
461,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
462,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
463,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Forest
464,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
465,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland
466,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Forest
467,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
468,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
469,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
470,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
471,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
472,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
473,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
474,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
475,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
476,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
477,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
478,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
479,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
480,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
481,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
482,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
483,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
484,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
485,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
486,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
487,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
488,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland
489,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water
490,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Forest
491,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
492,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
493,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Water
494,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
495,Wetland,Wetland,Wetland,Water,Wetland,NULL,Grassland
496,Wetland,Wetland,Wetland,Water,Wetland,NULL,Wetland
497,Wetland,Wetland,Wetland,Water,Wetland,NULL,Water
498,Wetland,Wetland,Wetland,Water,Wetland,NULL,Forest
499,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
500,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
501,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
502,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Forest
503,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
504,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,Wetland
505,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
506,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
507,Wetland,Wetland,Built-up,Water,Non_Wetland,NULL,Grassland
508,Wetland,Wetland,Built-up,Water,Non_Wetland,NULL,Wetland
509,Wetland,Wetland,Water,NULL,Water,NULL,Grassland
510,Wetland,Wetland,Water,NULL,Water,NULL,Wetland
511,Wetland,Wetland,Water,NULL,Water,NULL,Water
512,Wetland,Wetland,Water,NULL,Water,NULL,Forest
513,Wetland,Wetland,Water,Non_Water,Water,NULL,Grassland
514,Wetland,Wetland,Water,Non_Water,Water,NULL,Wetland
515,Wetland,Wetland,Water,Non_Water,Water,NULL,Forest
516,Wetland,Wetland,Water,Water,Water,NULL,Grassland
517,Wetland,Wetland,Water,Water,Water,NULL,Wetland
518,Wetland,Wetland,Water,Water,Water,NULL,Water
519,Wetland,Wetland,Water,Water,Water,NULL,Forest
520,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
521,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
522,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
523,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Water
524,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
525,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
526,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
527,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water
528,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
529,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
530,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
531,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,Forest
532,Wetland,Bareland,Wetland,Water,Wetland,NULL,Bareland
533,Wetland,Bareland,Wetland,Water,Wetland,NULL,Water
534,Wetland,Bareland,Water,Water,Water,NULL,Water
535,Wetland,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
536,Wetland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
537,Wetland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
538,Wetland,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
539,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
540,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,Water
541,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,Water
542,Wetland,Water,Wetland,NULL,Wetland,NULL,Wetland
543,Wetland,Water,Wetland,NULL,Wetland,NULL,Water
544,Wetland,Water,Wetland,NULL,Wetland,NULL,Forest
545,Wetland,Water,Wetland,Water,Wetland,NULL,Wetland
546,Wetland,Water,Wetland,Water,Wetland,NULL,Water
547,Wetland,Water,Wetland,Water,Wetland,NULL,Forest
548,Wetland,Water,Water,NULL,Water,NULL,Grassland
549,Wetland,Water,Water,NULL,Water,NULL,Water
550,Wetland,Water,Water,Water,Water,NULL,Grassland
551,Wetland,Water,Water,Water,Water,NULL,Wetland
552,Wetland,Water,Water,Water,Water,NULL,Bareland
553,Wetland,Water,Water,Water,Water,NULL,Water
554,Wetland,Water,Water,Water,Water,NULL,Forest
555,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Bareland
556,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water
557,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Forest
558,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,Forest
559,Wetland,Water,Forest,Water,Non_Wetland,NULL,Water
560,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland
561,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,Forest
562,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
563,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
564,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
565,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
566,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
567,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
568,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
569,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
570,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
571,Wetland,Forest,Cropland,Water,Non_Wetland,NULL,Forest
572,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL
573,Wetland,Forest,Wetland,NULL,Wetland,NULL,Grassland
574,Wetland,Forest,Wetland,NULL,Wetland,NULL,Wetland
575,Wetland,Forest,Wetland,NULL,Wetland,NULL,Water
576,Wetland,Forest,Wetland,NULL,Wetland,NULL,Forest
577,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Grassland
578,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Forest
579,Wetland,Forest,Wetland,Water,Wetland,NULL,Grassland
580,Wetland,Forest,Wetland,Water,Wetland,NULL,Forest
581,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL,Grassland
582,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL,Forest
583,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland
584,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
585,Wetland,Forest,Water,NULL,Water,NULL,Forest
586,Wetland,Forest,Water,Non_Water,Water,NULL,Forest
587,Wetland,Forest,Water,Water,Water,NULL,Grassland
588,Wetland,Forest,Water,Water,Water,NULL,Forest
589,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL
590,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
591,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
592,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Water
593,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
594,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
595,Wetland,Forest,Forest,Water,Non_Wetland,NULL,Grassland
596,Wetland,Forest,Forest,Water,Non_Wetland,NULL,Forest
597,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
598,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
599,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
600,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
601,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
602,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
603,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
604,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
605,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
606,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
607,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
608,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
609,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
610,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL
611,Bareland,NULL,Wetland,NULL,Wetland,NULL,Grassland
612,Bareland,NULL,Wetland,NULL,Wetland,NULL,Water
613,Bareland,NULL,Wetland,NULL,Wetland,NULL,Forest
614,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
615,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
616,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
617,Bareland,NULL,Wetland,Water,Wetland,NULL,Grassland
618,Bareland,NULL,Wetland,Water,Wetland,NULL,Wetland
619,Bareland,NULL,Wetland,Water,Wetland,NULL,Water
620,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
621,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
622,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
623,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
624,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
625,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
626,Bareland,NULL,Water,Water,Water,NULL,Forest
627,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
628,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
629,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
630,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
631,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
632,Bareland,NULL,Forest,Water,Non_Wetland,NULL,Bareland
633,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
634,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
635,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
636,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
637,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Wetland
638,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
639,Bareland,Wetland,Wetland,Water,Wetland,NULL,Grassland
640,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
641,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
642,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
643,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
644,Bareland,Bareland,Wetland,NULL,Wetland,NULL,Grassland
645,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
646,Bareland,Bareland,Wetland,Water,Wetland,NULL,Wetland
647,Bareland,Bareland,Wetland,Water,Wetland,NULL,Bareland
648,Bareland,Bareland,Wetland,Water,Wetland,NULL,Water
649,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
650,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
651,Bareland,Bareland,Water,NULL,Water,NULL,Bareland
652,Bareland,Bareland,Water,Water,Water,NULL,Water
653,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
654,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Bareland
655,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
656,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
657,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
658,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
659,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
660,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,Water
661,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water
662,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
663,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,Water
664,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
665,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,Water
666,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,Water
667,Bareland,Water,Grassland,Water,Non_Wetland,NULL,Grassland
668,Bareland,Water,Grassland,Water,Non_Wetland,NULL,Water
669,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,Bareland
670,Bareland,Water,Wetland,NULL,Wetland,NULL,Grassland
671,Bareland,Water,Wetland,NULL,Wetland,NULL,Water
672,Bareland,Water,Wetland,Non_Water,Wetland,NULL,Water
673,Bareland,Water,Wetland,Water,Wetland,NULL,Wetland
674,Bareland,Water,Wetland,Water,Wetland,NULL,Water
675,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,Grassland
676,Bareland,Water,Bareland,Water,Non_Wetland,NULL,Water
677,Bareland,Water,Water,NULL,Water,NULL,Water
678,Bareland,Water,Water,Non_Water,Water,NULL,Water
679,Bareland,Water,Water,Non_Water,Water,NULL,Forest
680,Bareland,Water,Water,Water,Water,NULL,Wetland
681,Bareland,Water,Water,Water,Water,NULL,Bareland
682,Bareland,Water,Water,Water,Water,NULL,Water
683,Bareland,Water,Water,Water,Water,NULL,Forest
684,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL
685,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
686,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Bareland
687,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Water
688,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Forest
689,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland
690,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,Water
691,Bareland,Water,Forest,Water,Non_Wetland,NULL,Water
692,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
693,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
694,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
695,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
696,Bareland,Forest,Wetland,NULL,Wetland,NULL,Forest
697,Bareland,Forest,Wetland,Water,Wetland,NULL,Forest
698,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
699,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL
700,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
701,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
702,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
703,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
704,Water,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
705,Water,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
706,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland
707,Water,NULL,NULL,Water,Non_Wetland,NULL,Grassland
708,Water,NULL,NULL,Water,Non_Wetland,NULL,Wetland
709,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
710,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
711,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
712,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
713,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
714,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
715,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
716,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
717,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
718,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
719,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
720,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Water
721,Water,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
722,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
723,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
724,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
725,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
726,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Water
727,Water,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
728,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
729,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
730,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
731,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL
732,Water,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
733,Water,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
734,Water,NULL,Grassland,Water,Non_Wetland,NULL,Water
735,Water,NULL,Grassland,Water,Non_Wetland,NULL,Forest
736,Water,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
737,Water,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
738,Water,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
739,Water,NULL,Wetland,NULL,Wetland,NULL,NULL
740,Water,NULL,Wetland,NULL,Wetland,NULL,Grassland
741,Water,NULL,Wetland,NULL,Wetland,NULL,Wetland
742,Water,NULL,Wetland,NULL,Wetland,NULL,Bareland
743,Water,NULL,Wetland,NULL,Wetland,NULL,Water
744,Water,NULL,Wetland,NULL,Wetland,NULL,Forest
745,Water,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
746,Water,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
747,Water,NULL,Wetland,Non_Water,Wetland,NULL,Forest
748,Water,NULL,Wetland,Water,Wetland,NULL,NULL
749,Water,NULL,Wetland,Water,Wetland,NULL,Grassland
750,Water,NULL,Wetland,Water,Wetland,NULL,Wetland
751,Water,NULL,Wetland,Water,Wetland,NULL,Bareland
752,Water,NULL,Wetland,Water,Wetland,NULL,Water
753,Water,NULL,Wetland,Water,Wetland,NULL,Forest
754,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
755,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
756,Water,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
757,Water,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
758,Water,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
759,Water,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
760,Water,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
761,Water,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
762,Water,NULL,Water,NULL,Water,NULL,Grassland
763,Water,NULL,Water,NULL,Water,NULL,Wetland
764,Water,NULL,Water,NULL,Water,NULL,Water
765,Water,NULL,Water,NULL,Water,NULL,Forest
766,Water,NULL,Water,Non_Water,Water,NULL,Grassland
767,Water,NULL,Water,Non_Water,Water,NULL,Wetland
768,Water,NULL,Water,Non_Water,Water,NULL,Water
769,Water,NULL,Water,Non_Water,Water,NULL,Forest
770,Water,NULL,Water,Water,Water,NULL,NULL
771,Water,NULL,Water,Water,Water,NULL,Grassland
772,Water,NULL,Water,Water,Water,NULL,Wetland
773,Water,NULL,Water,Water,Water,NULL,Bareland
774,Water,NULL,Water,Water,Water,NULL,Water
775,Water,NULL,Water,Water,Water,NULL,Forest
776,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL
777,Water,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
778,Water,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
779,Water,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
780,Water,NULL,Forest,NULL,Non_Wetland,NULL,Water
781,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest
782,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
783,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
784,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
785,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
786,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL
