Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R
1170,NULL,Forest,Forest,Water,Non_Wetland,Wetland,Water,Wetland
1171,NULL,Forest,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1172,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1173,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1174,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1175,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1176,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1177,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1178,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1179,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1180,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1181,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1182,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1183,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1184,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1185,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1186,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
1187,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1188,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1189,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1190,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1191,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1192,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1193,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1194,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1195,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1196,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1197,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
1198,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
1199,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1200,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1201,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
1202,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1203,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1204,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
1205,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
1206,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
1207,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1208,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1209,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1210,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
1211,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
1212,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1213,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
1214,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
1215,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1216,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1217,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
1218,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1219,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
1220,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
1221,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1224,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1225,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1226,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1227,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1229,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1230,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1234,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1235,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
1236,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1237,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1238,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1241,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1242,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
1243,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
1244,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1245,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1246,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
1247,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1248,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
1249,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1250,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
1251,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
1252,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
1253,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
1254,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
1255,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
1256,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1257,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1258,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1259,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1260,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1261,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1262,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1263,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1264,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1265,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1266,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
1267,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1268,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
1269,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
1270,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1271,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
1272,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1273,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1274,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1275,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1276,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
1277,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
1278,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1279,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1280,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
1281,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1282,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1283,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1284,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1285,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1286,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1287,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
1288,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
1289,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1290,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1291,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
1292,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Water
1293,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Water
1294,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1295,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
1296,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
1297,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
1298,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
1299,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
1300,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
1301,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
1302,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1303,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1304,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1305,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
1306,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
1307,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
1308,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1309,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1310,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1311,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1312,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Forest
1313,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
1314,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Wetland
1315,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Water,Wetland
1316,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1317,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1318,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1319,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1320,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1321,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1322,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1323,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
1324,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1325,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
1326,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
1327,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
1328,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
1329,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1330,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
1331,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
1332,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
1333,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
1334,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
1335,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Water
1336,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
1337,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
1338,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
1339,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1340,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
1341,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1342,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1343,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1344,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1345,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1346,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1347,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1348,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1349,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Cropland
1350,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1351,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
1352,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1353,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1354,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1355,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
1356,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1357,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
1358,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
1359,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
1360,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
1361,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
1362,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
1363,Grassland,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
1364,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1365,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1366,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1367,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
1368,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1369,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1370,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1371,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
1372,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1373,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1374,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1375,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1376,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
1377,Grassland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1378,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
1379,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Water
1380,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1381,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
1382,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1383,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
1384,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1385,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1386,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
1387,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Forest
1388,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
1389,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Forest
1390,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1391,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1392,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Water,Grassland
1393,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Water,Forest
1394,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water,Wetland,Grassland
1395,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
1396,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1397,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1398,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1399,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1400,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1401,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
1402,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1403,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1404,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
1405,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1406,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
1407,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
1408,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
1409,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
1410,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1411,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
1412,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
1413,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
1414,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
1415,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1416,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1417,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1418,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1419,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1420,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1421,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1422,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1423,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1424,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1425,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1426,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
1427,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1428,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1429,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1430,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1431,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
1432,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
1433,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
1434,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
1435,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
1436,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1437,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
1438,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
1439,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
1440,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1441,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
1442,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
1443,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
1444,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
1445,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
1446,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
1447,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
1448,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
1449,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1450,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Grassland
1451,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
1452,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1453,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1454,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
1455,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1456,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1457,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
1458,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1459,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Wetland
1460,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
1461,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1462,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1463,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
1464,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1465,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1466,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
1467,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Water
1468,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
1469,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
1470,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
1471,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
1472,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
1473,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
1474,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
1475,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Forest
1476,Grassland,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
1477,Grassland,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Wetland
1478,Grassland,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
1479,Grassland,NULL,Built-up,Water,Non_Wetland,Water,Water,Wetland
1480,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
1481,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
1482,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
1483,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
1484,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Forest
1485,Grassland,NULL,Water,NULL,Water,Wetland,Water,Grassland
1486,Grassland,NULL,Water,NULL,Water,Wetland,Water,Water
1487,Grassland,NULL,Water,NULL,Water,Wetland,Forest,Grassland
1488,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
1489,Grassland,NULL,Water,NULL,Water,Water,Wetland,Wetland
1490,Grassland,NULL,Water,NULL,Water,Water,Water,Water
1491,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland,Grassland
1492,Grassland,NULL,Water,Non_Water,Water,NULL,Water,Grassland
1493,Grassland,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
1494,Grassland,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
1495,Grassland,NULL,Water,Non_Water,Water,Grassland,Water,Forest
1496,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
1497,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
