Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R
376,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
377,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
378,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Water
379,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
380,Water,Forest,Water,NULL,Water,Water,Water,Water
381,Water,Forest,Water,Water,Water,Water,Wetland,Water
382,Water,Forest,Water,Water,Water,Water,Water,Water
383,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
384,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
385,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
386,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water,Water,Water
387,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
388,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
389,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
390,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
391,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
392,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
393,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
394,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
395,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
396,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
397,Forest,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
398,Forest,NULL,Wetland,Water,Wetland,Bareland,Water,Water
399,Forest,NULL,Wetland,Water,Wetland,Water,Water,Water
400,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
401,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
402,Forest,NULL,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
403,Forest,NULL,Water,NULL,Water,Bareland,Built-up,Grassland
404,Forest,NULL,Water,NULL,Water,Bareland,Built-up,Bareland
405,Forest,NULL,Water,NULL,Water,Bareland,Built-up,Forest
406,Forest,NULL,Water,NULL,Water,Built-up,Built-up,Grassland
407,Forest,NULL,Water,NULL,Water,Built-up,Built-up,Forest
408,Forest,NULL,Water,NULL,Water,Water,Built-up,Grassland
409,Forest,NULL,Water,NULL,Water,Water,Built-up,Forest
410,Forest,NULL,Water,Water,Water,Bareland,Wetland,Water
411,Forest,NULL,Water,Water,Water,Water,Water,Water
412,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
413,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
414,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
415,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
416,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
417,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
418,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
419,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
420,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
421,Forest,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Water
422,Forest,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
423,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
424,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
425,Forest,Bareland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
426,Forest,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
427,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
428,Forest,Bareland,Water,Non_Water,Water,Bareland,Water,Water
429,Forest,Bareland,Water,Water,Water,Water,Water,Water
430,Forest,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
431,Forest,Built-up,NULL,Water,Non_Wetland,Water,Water,Forest
432,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
433,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
434,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
435,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
436,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Bareland
437,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
438,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
439,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
440,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
441,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Built-up
442,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Forest
443,Forest,Built-up,Shrubland,Water,Non_Wetland,Water,Built-up,Forest
444,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
445,Forest,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
446,Forest,Built-up,Grassland,Water,Non_Wetland,Water,Water,Forest
447,Forest,Built-up,Wetland,NULL,Wetland,Water,Bareland,Forest
448,Forest,Built-up,Bareland,Water,Non_Wetland,Water,Water,Forest
449,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
450,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
451,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
452,Forest,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
453,Forest,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
454,Forest,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Water,Grassland
455,Forest,Built-up,Built-up,Non_Water,Non_Wetland,Water,Bareland,Grassland
456,Forest,Built-up,Water,NULL,Water,Bareland,Wetland,Grassland
457,Forest,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
458,Forest,Built-up,Water,NULL,Water,Bareland,Built-up,Built-up
459,Forest,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
460,Forest,Built-up,Water,Water,Water,Water,Built-up,Forest
461,Forest,Built-up,Water,Water,Water,Water,Water,Forest
462,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
463,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
464,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
465,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
466,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
467,Forest,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Forest
468,Forest,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
469,Forest,Built-up,Forest,Water,Non_Wetland,Built-up,Wetland,Forest
470,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
471,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
472,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
473,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
474,Forest,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
475,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
476,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
477,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
478,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
479,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
480,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
481,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Water
482,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Water
483,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
484,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
485,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
486,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
487,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
488,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Water
489,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
490,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
491,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
492,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
493,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
494,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
495,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
496,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
497,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
498,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Water
499,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
500,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
501,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
502,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
503,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
504,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Water
505,Forest,Water,NULL,Water,Non_Wetland,Forest,Forest,Forest
506,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
507,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
508,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
509,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
510,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
511,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
512,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
513,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
514,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
515,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
516,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
517,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
518,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
519,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Water
520,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
521,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
522,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
523,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
524,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
525,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
526,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
527,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
528,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
529,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
530,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
531,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
532,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
533,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
534,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
535,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
536,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
537,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Wetland,Water
538,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
539,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
540,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
541,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
542,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
543,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
544,Forest,Water,Cropland,NULL,Non_Wetland,Water,Forest,Water
545,Forest,Water,Cropland,NULL,Non_Wetland,Water,Forest,Forest
546,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
547,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
548,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
549,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
550,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
551,Forest,Water,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
552,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
553,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Forest
554,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
555,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Water
556,Forest,Water,Cropland,Water,Non_Wetland,Water,Forest,Water
557,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
558,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
559,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
560,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
561,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
562,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
563,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
564,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Grassland
565,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Water
566,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Forest
567,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
568,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
569,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
570,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
571,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
572,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
573,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
574,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
575,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
576,Forest,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
577,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
578,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
579,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Grassland
580,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
581,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
582,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
583,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
584,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
585,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
586,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
587,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
588,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
589,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
590,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
591,Forest,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
592,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
593,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
594,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
595,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
596,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
597,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
598,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
599,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
600,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
601,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
602,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
603,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
604,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
605,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
606,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
607,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
608,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
609,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
610,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Forest
611,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
612,Forest,Water,Wetland,Water,Wetland,Built-up,Water,Grassland
613,Forest,Water,Wetland,Water,Wetland,Water,NULL,Grassland
614,Forest,Water,Wetland,Water,Wetland,Water,NULL,Water
615,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
616,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
617,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
618,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
619,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
620,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
621,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
622,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
623,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
624,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
625,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
626,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
627,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
628,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
629,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Forest
630,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Water
631,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Water
632,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
633,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
634,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
635,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
636,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
637,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
638,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
639,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
640,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
641,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
642,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
643,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
644,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
645,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
646,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
647,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Water
648,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
649,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
650,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
651,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
652,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Grassland
653,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
654,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
655,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
656,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
657,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
658,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
659,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
660,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
661,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
662,Forest,Water,Bareland,Water,Non_Wetland,NULL,Forest,Water
663,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
664,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
665,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
666,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
667,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
668,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
669,Forest,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Water
670,Forest,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Forest
671,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
672,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
673,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
674,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
675,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
676,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
677,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
678,Forest,Water,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
679,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
680,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
681,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
682,Forest,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
683,Forest,Water,Built-up,Water,Non_Wetland,Water,Water,Water
684,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
685,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
686,Forest,Water,Water,NULL,Water,NULL,Water,Water
687,Forest,Water,Water,NULL,Water,NULL,Water,Forest
688,Forest,Water,Water,NULL,Water,NULL,Forest,Water
689,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
690,Forest,Water,Water,NULL,Water,Bareland,Water,Water
691,Forest,Water,Water,NULL,Water,Water,NULL,Water
692,Forest,Water,Water,NULL,Water,Water,NULL,Forest
693,Forest,Water,Water,NULL,Water,Water,Wetland,Water
694,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
695,Forest,Water,Water,NULL,Water,Water,Water,Grassland
696,Forest,Water,Water,NULL,Water,Water,Water,Water
697,Forest,Water,Water,NULL,Water,Water,Water,Forest
698,Forest,Water,Water,NULL,Water,Water,Forest,Grassland
699,Forest,Water,Water,NULL,Water,Water,Forest,Water
700,Forest,Water,Water,NULL,Water,Water,Forest,Forest
701,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
702,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
703,Forest,Water,Water,NULL,Water,Forest,Water,Water
704,Forest,Water,Water,NULL,Water,Forest,Water,Forest
705,Forest,Water,Water,NULL,Water,Forest,Forest,Water
706,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
707,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
708,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
709,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
710,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
711,Forest,Water,Water,Non_Water,Water,NULL,Forest,Water
712,Forest,Water,Water,Non_Water,Water,NULL,Forest,Forest
713,Forest,Water,Water,Non_Water,Water,Bareland,Water,Water
714,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
715,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
716,Forest,Water,Water,Non_Water,Water,Water,Water,Water
717,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
718,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
719,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
720,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
721,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Forest
722,Forest,Water,Water,Non_Water,Water,Forest,Water,Water
723,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
724,Forest,Water,Water,Non_Water,Water,Forest,Forest,Water
725,Forest,Water,Water,Non_Water,Water,Forest,Forest,Forest
726,Forest,Water,Water,Water,Water,NULL,Wetland,Grassland
727,Forest,Water,Water,Water,Water,NULL,Wetland,Water
728,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
729,Forest,Water,Water,Water,Water,NULL,Water,Grassland
730,Forest,Water,Water,Water,Water,NULL,Water,Water
731,Forest,Water,Water,Water,Water,NULL,Water,Forest
732,Forest,Water,Water,Water,Water,NULL,Forest,Water
733,Forest,Water,Water,Water,Water,NULL,Forest,Forest
734,Forest,Water,Water,Water,Water,Bareland,Water,Water
735,Forest,Water,Water,Water,Water,Built-up,Water,Water
736,Forest,Water,Water,Water,Water,Water,NULL,Grassland
737,Forest,Water,Water,Water,Water,Water,NULL,Water
738,Forest,Water,Water,Water,Water,Water,Wetland,Grassland
739,Forest,Water,Water,Water,Water,Water,Wetland,Water
740,Forest,Water,Water,Water,Water,Water,Wetland,Forest
741,Forest,Water,Water,Water,Water,Water,Built-up,Grassland
742,Forest,Water,Water,Water,Water,Water,Water,Grassland
743,Forest,Water,Water,Water,Water,Water,Water,Water
744,Forest,Water,Water,Water,Water,Water,Water,Forest
745,Forest,Water,Water,Water,Water,Water,Forest,Water
746,Forest,Water,Water,Water,Water,Water,Forest,Forest
747,Forest,Water,Water,Water,Water,Forest,Wetland,Water
748,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
749,Forest,Water,Water,Water,Water,Forest,Water,Grassland
750,Forest,Water,Water,Water,Water,Forest,Water,Water
751,Forest,Water,Water,Water,Water,Forest,Water,Forest
752,Forest,Water,Water,Water,Water,Forest,Forest,Water
753,Forest,Water,Water,Water,Water,Forest,Forest,Forest
754,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
755,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
756,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
757,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
