Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R
325,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
326,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
327,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
328,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
329,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
330,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
331,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
332,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
333,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
334,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
335,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
336,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
337,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
338,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
339,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
340,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
341,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
342,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
343,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
344,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
345,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
346,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
347,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
348,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
349,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
350,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
351,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
352,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
353,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
354,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
355,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
356,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
357,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
358,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
359,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
360,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
361,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
362,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
363,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
364,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
365,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
366,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
367,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
368,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
372,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
373,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
374,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
375,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
376,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
377,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
378,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
379,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
380,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
381,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
382,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
383,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
384,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
385,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
386,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
387,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
388,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
389,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
390,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
391,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
392,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
393,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
394,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
395,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
396,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
397,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
398,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
399,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
400,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
401,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
402,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
403,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
404,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
405,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
406,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
407,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
408,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
409,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
410,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
411,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
412,Water,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
413,Water,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
414,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
415,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
416,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
417,Water,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
418,Water,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
419,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
420,Water,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
421,Water,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
422,Water,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
423,Water,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
424,Water,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
425,Water,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
426,Water,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
427,Water,NULL,Bareland,NULL,Non_Wetland,Water,Water,Bareland
428,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
429,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
430,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
431,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
432,Water,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
433,Water,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
434,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
435,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
436,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
437,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
438,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
439,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
440,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
441,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Water
442,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
443,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
444,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
445,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
446,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
447,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
448,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
449,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
450,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
451,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
452,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
453,Water,Water,NULL,Water,Non_Wetland,Water,Water,Wetland
454,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
455,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
456,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
457,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
458,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
459,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
460,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
461,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
462,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
463,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
464,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
465,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
466,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
467,Water,Water,Shrubland,Water,Non_Wetland,Water,Forest,Water
468,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Water
469,Water,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Water
470,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
471,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
472,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
473,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
474,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
475,Water,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
476,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
477,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
478,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Water
479,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Forest
480,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
481,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
482,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
483,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
484,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
485,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
486,Water,Water,Wetland,NULL,Wetland,Water,Forest,Wetland
487,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
488,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
489,Water,Water,Wetland,NULL,Wetland,Forest,Grassland,Forest
490,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
491,Water,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
492,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
493,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
494,Water,Water,Wetland,Non_Water,Wetland,Water,Grassland,Forest
495,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
496,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
497,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
498,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
499,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
500,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
501,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
502,Water,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
503,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
504,Water,Water,Wetland,Water,Wetland,Water,Grassland,Water
505,Water,Water,Wetland,Water,Wetland,Water,Grassland,Forest
506,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
507,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
508,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
509,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
510,Water,Water,Wetland,Water,Wetland,Water,Water,Water
511,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
512,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
513,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
514,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
515,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Water
516,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
517,Water,Water,Bareland,NULL,Non_Wetland,Water,Grassland,Water
518,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
519,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
520,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
521,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
522,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
523,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
524,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
525,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
526,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
527,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
528,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
529,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
530,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
531,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
532,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
533,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
534,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
535,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
536,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
537,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Bareland
538,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
539,Water,Water,Water,NULL,Water,NULL,Grassland,Forest
540,Water,Water,Water,NULL,Water,Grassland,Water,Forest
541,Water,Water,Water,NULL,Water,Water,Wetland,Water
542,Water,Water,Water,NULL,Water,Water,Wetland,Forest
543,Water,Water,Water,NULL,Water,Water,Water,Water
544,Water,Water,Water,NULL,Water,Water,Water,Forest
545,Water,Water,Water,NULL,Water,Water,Forest,Water
546,Water,Water,Water,NULL,Water,Water,Forest,Forest
547,Water,Water,Water,NULL,Water,Forest,Grassland,Forest
548,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
549,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
550,Water,Water,Water,Non_Water,Water,Water,Water,Water
551,Water,Water,Water,Non_Water,Water,Water,Water,Forest
552,Water,Water,Water,Non_Water,Water,Water,Forest,Water
553,Water,Water,Water,Water,Water,Water,Wetland,Water
554,Water,Water,Water,Water,Water,Water,Water,Grassland
555,Water,Water,Water,Water,Water,Water,Water,Bareland
556,Water,Water,Water,Water,Water,Water,Water,Water
557,Water,Water,Water,Water,Water,Water,Water,Forest
558,Water,Water,Water,Water,Water,Water,Forest,Water
559,Water,Water,Water,Water,Water,Water,Forest,Forest
560,Water,Water,Water,Water,Water,Forest,Water,Water
561,Water,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Water
562,Water,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
563,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
564,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
565,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
566,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
567,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
568,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
569,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Water
570,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
571,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
572,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
573,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
574,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
575,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
576,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
577,Water,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
578,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
579,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
580,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
581,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
582,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
583,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
584,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
585,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
586,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
587,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
588,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
589,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
590,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
591,Permanent_ice_and_snow,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
592,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
593,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
594,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
595,Permanent_ice_and_snow,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
596,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
597,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
598,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
599,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
600,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
601,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
602,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
603,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
604,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
605,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
606,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
607,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
608,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
609,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
610,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
611,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
612,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
613,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
614,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
615,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
616,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
617,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
618,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
619,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
620,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
621,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
622,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
623,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
624,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
625,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
626,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
627,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
628,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
629,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
630,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
631,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
632,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
633,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
634,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
635,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
636,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
637,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
638,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
639,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
640,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
641,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
642,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
643,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
644,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
645,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
646,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
647,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
648,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
649,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
650,Forest,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
651,Forest,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
652,Forest,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
653,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
654,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
655,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
656,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
657,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
658,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
659,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
660,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
661,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
662,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
663,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
664,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
665,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
666,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
667,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
668,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
669,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
670,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
671,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
672,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
673,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
674,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
675,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
676,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
677,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
678,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
679,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
