Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R
377,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
378,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
379,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
380,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Water
381,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
382,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
383,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
384,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Water
385,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
386,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
387,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
388,Water,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
389,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
390,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
391,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
392,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
393,Water,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
394,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
395,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
396,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
397,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
398,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
399,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
400,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
401,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
402,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
403,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
404,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
405,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
406,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
407,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
408,Water,Water,Water,NULL,Water,NULL,Wetland,Water
409,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
410,Water,Water,Water,NULL,Water,NULL,Water,Water
411,Water,Water,Water,NULL,Water,NULL,Water,Forest
412,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
413,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
414,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
415,Water,Water,Water,NULL,Water,Wetland,Forest,Water
416,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
417,Water,Water,Water,NULL,Water,Bareland,Water,Water
418,Water,Water,Water,NULL,Water,Water,Grassland,Grassland
419,Water,Water,Water,NULL,Water,Water,Grassland,Water
420,Water,Water,Water,NULL,Water,Water,Wetland,Water
421,Water,Water,Water,NULL,Water,Water,Wetland,Forest
422,Water,Water,Water,NULL,Water,Water,Bareland,Water
423,Water,Water,Water,NULL,Water,Water,Water,Grassland
424,Water,Water,Water,NULL,Water,Water,Water,Bareland
425,Water,Water,Water,NULL,Water,Water,Water,Water
426,Water,Water,Water,NULL,Water,Water,Water,Forest
427,Water,Water,Water,NULL,Water,Water,Forest,Water
428,Water,Water,Water,NULL,Water,Water,Forest,Forest
429,Water,Water,Water,NULL,Water,Forest,Wetland,Water
430,Water,Water,Water,NULL,Water,Forest,Wetland,Forest
431,Water,Water,Water,NULL,Water,Forest,Water,Water
432,Water,Water,Water,NULL,Water,Forest,Water,Forest
433,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
434,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
435,Water,Water,Water,Non_Water,Water,NULL,Water,Water
436,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
437,Water,Water,Water,Non_Water,Water,Grassland,Water,Forest
438,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
439,Water,Water,Water,Non_Water,Water,Wetland,Forest,Water
440,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
441,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
442,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
443,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
444,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
445,Water,Water,Water,Non_Water,Water,Water,Water,Water
446,Water,Water,Water,Non_Water,Water,Water,Water,Forest
447,Water,Water,Water,Non_Water,Water,Water,Forest,Water
448,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
449,Water,Water,Water,Non_Water,Water,Forest,Wetland,Water
450,Water,Water,Water,Non_Water,Water,Forest,Water,Water
451,Water,Water,Water,Non_Water,Water,Forest,Water,Forest
452,Water,Water,Water,Non_Water,Water,Forest,Forest,Forest
453,Water,Water,Water,Water,Water,NULL,Wetland,Water
454,Water,Water,Water,Water,Water,NULL,Wetland,Forest
455,Water,Water,Water,Water,Water,NULL,Water,Water
456,Water,Water,Water,Water,Water,NULL,Water,Forest
457,Water,Water,Water,Water,Water,NULL,Forest,Water
458,Water,Water,Water,Water,Water,Grassland,Water,Water
459,Water,Water,Water,Water,Water,Wetland,Wetland,Water
460,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
461,Water,Water,Water,Water,Water,Wetland,Water,Water
462,Water,Water,Water,Water,Water,Wetland,Water,Forest
463,Water,Water,Water,Water,Water,Bareland,Water,Water
464,Water,Water,Water,Water,Water,Water,Wetland,Grassland
465,Water,Water,Water,Water,Water,Water,Wetland,Water
466,Water,Water,Water,Water,Water,Water,Wetland,Forest
467,Water,Water,Water,Water,Water,Water,Bareland,Water
468,Water,Water,Water,Water,Water,Water,Water,Grassland
469,Water,Water,Water,Water,Water,Water,Water,Bareland
470,Water,Water,Water,Water,Water,Water,Water,Water
471,Water,Water,Water,Water,Water,Water,Water,Forest
472,Water,Water,Water,Water,Water,Water,Forest,Water
473,Water,Water,Water,Water,Water,Water,Forest,Forest
474,Water,Water,Water,Water,Water,Forest,Wetland,Water
475,Water,Water,Water,Water,Water,Forest,Wetland,Forest
476,Water,Water,Water,Water,Water,Forest,Water,Water
477,Water,Water,Water,Water,Water,Forest,Water,Forest
478,Water,Water,Water,Water,Water,Forest,Forest,Forest
479,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
480,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
481,Water,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
482,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
483,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
484,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
485,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
486,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
487,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
488,Water,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
489,Water,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
490,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
491,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
492,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
493,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
494,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
495,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
496,Water,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
497,Water,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
498,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
499,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
500,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
501,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
502,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
503,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
504,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
505,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
506,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
507,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
508,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
509,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Water
510,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
511,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
512,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
513,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
514,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
515,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
516,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
517,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
518,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
519,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Water
520,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
521,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
522,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
523,Water,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
524,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
525,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
526,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
527,Water,Water,Forest,Water,Non_Wetland,Water,Bareland,Water
528,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
529,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
530,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
531,Water,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
532,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Water
533,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
534,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
535,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
536,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
537,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
538,Permanent_ice_and_snow,Bareland,Water,Water,Water,Bareland,Water,Water
539,Permanent_ice_and_snow,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
540,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
541,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
542,Forest,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
543,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
544,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
545,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
546,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
547,Forest,NULL,Wetland,Water,Wetland,Water,Water,Grassland
548,Forest,NULL,Wetland,Water,Wetland,Water,Water,Wetland
549,Forest,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
550,Forest,NULL,Bareland,Water,Non_Wetland,NULL,Wetland,Grassland
551,Forest,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
552,Forest,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
553,Forest,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
554,Forest,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
555,Forest,NULL,Water,Water,Water,Water,Wetland,Grassland
556,Forest,NULL,Water,Water,Water,Water,Wetland,Wetland
557,Forest,NULL,Water,Water,Water,Water,Water,Grassland
558,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
559,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
560,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
561,Forest,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
562,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
563,Forest,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
564,Forest,Bareland,Wetland,NULL,Wetland,Water,Water,Water
565,Forest,Bareland,Wetland,Non_Water,Wetland,Grassland,Water,Forest
566,Forest,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
567,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
568,Forest,Bareland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
569,Forest,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
570,Forest,Bareland,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
571,Forest,Bareland,Water,Water,Water,Water,Wetland,Water
572,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
573,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
574,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
575,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
576,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Water
577,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
578,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
579,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
580,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
581,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
582,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
583,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
584,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
585,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
586,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
587,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
588,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Water
589,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
590,Forest,Water,NULL,NULL,Non_Wetland,Forest,Water,Water
591,Forest,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
592,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
593,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
594,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
595,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
596,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
597,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
598,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
599,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
600,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
601,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
602,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
603,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Wetland,Water
604,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Water
605,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
606,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
607,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Water
608,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
609,Forest,Water,NULL,Water,Non_Wetland,Bareland,Water,Bareland
610,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
611,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
612,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
613,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
614,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Water
615,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
616,Forest,Water,NULL,Water,Non_Wetland,Forest,Wetland,Water
617,Forest,Water,NULL,Water,Non_Wetland,Forest,Water,Water
618,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
619,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
620,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
621,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
622,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
623,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
624,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
625,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
626,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
627,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
628,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
629,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
630,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Water
631,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Water
632,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
633,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
634,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
635,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
636,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
637,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
638,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest,Water,Water
639,Forest,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
640,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
641,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
642,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
643,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
644,Forest,Water,Shrubland,Water,Non_Wetland,Forest,Water,Forest
645,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
646,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
647,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
648,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
649,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
650,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
651,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
652,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
653,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
654,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
655,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
656,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
657,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Water,Water
658,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Water,Forest
659,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
660,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
661,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
662,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
663,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
664,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest,Forest
665,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
666,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
667,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
668,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
669,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Bareland,Water
670,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
671,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
672,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
673,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
674,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
675,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
676,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
677,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Water
678,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
679,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
680,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Forest
681,Forest,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
682,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
683,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
684,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
685,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
686,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
687,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
688,Forest,Water,Grassland,Water,Non_Wetland,Forest,Wetland,Water
689,Forest,Water,Grassland,Water,Non_Wetland,Forest,Wetland,Forest
690,Forest,Water,Grassland,Water,Non_Wetland,Forest,Water,Forest
691,Forest,Water,Wetland,NULL,Wetland,NULL,Grassland,Forest
692,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
693,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
694,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Grassland
695,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
696,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
697,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
698,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
699,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
700,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
701,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Water
702,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
703,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
704,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
705,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
706,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
707,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
708,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
709,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
710,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
711,Forest,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
712,Forest,Water,Wetland,NULL,Wetland,Water,Grassland,Forest
713,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
714,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
715,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
716,Forest,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
717,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
718,Forest,Water,Wetland,NULL,Wetland,Water,Water,Bareland
719,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
720,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
721,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
722,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
723,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
724,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
725,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
726,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
727,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
728,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
729,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
730,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
731,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
732,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
733,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
734,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
735,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
736,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
737,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
738,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
739,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
740,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
741,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
742,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
743,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
744,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
745,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
746,Forest,Water,Wetland,Non_Water,Wetland,Water,Grassland,Forest
747,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
748,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
749,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
750,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
751,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
752,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
753,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
754,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
755,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
756,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
757,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
758,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
759,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
760,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
761,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
762,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
763,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
764,Forest,Water,Wetland,Water,Wetland,NULL,Water,Grassland
