Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R
349,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
350,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
351,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Forest
352,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
353,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
354,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
355,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
356,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
357,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
358,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
359,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
360,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
361,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
362,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
363,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
364,Grassland,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
365,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
366,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
367,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
368,Grassland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
369,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
370,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
371,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
372,Grassland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
373,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
374,Grassland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
375,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
376,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
377,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
378,Grassland,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
379,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
380,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
381,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
382,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
383,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
384,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
385,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
386,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
387,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
388,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
389,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
390,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
391,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
392,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
393,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
394,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
395,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
396,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
397,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
398,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
399,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
400,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Water
401,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
402,Grassland,Water,Water,Water,Water,NULL,NULL,Wetland
403,Grassland,Water,Water,Water,Water,NULL,NULL,Water
404,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
405,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
406,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
407,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
408,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
409,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
410,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
411,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
412,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
413,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
414,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
415,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
416,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
417,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
418,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
419,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
420,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
421,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
422,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
423,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
424,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
425,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
426,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
427,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
428,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
429,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
430,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
431,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
432,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
433,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
434,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
435,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
436,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
437,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
438,Grassland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
439,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
440,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
441,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
442,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
443,Grassland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
444,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
445,Grassland,Forest,Water,NULL,Water,NULL,NULL,Water
446,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
447,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
448,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
449,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
450,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
451,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
452,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
453,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
454,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
455,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
456,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
457,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
458,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
459,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
460,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
461,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
462,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
463,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
464,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
465,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
466,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
467,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
468,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
469,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
470,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
471,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
472,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
473,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
474,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
475,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
476,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
477,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
478,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
479,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
480,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
481,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
482,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
483,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
484,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
485,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
486,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
487,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
488,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
489,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
490,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
491,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
492,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
493,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
494,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
495,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
496,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
497,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
498,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
499,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
500,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
501,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
502,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
503,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
504,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
505,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
506,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
507,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
508,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
509,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
510,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
511,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
512,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
513,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
514,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
515,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
516,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
517,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
518,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
519,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
520,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
521,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
522,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
523,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
524,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
525,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
526,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
527,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
528,Cropland,Wetland,Water,Water,Water,NULL,NULL,Grassland
529,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
530,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
531,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
532,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
533,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
534,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
535,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
536,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
537,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
538,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
539,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
540,Cropland,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
541,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
542,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
543,Cropland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
544,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Forest
545,Cropland,Built-up,Water,Water,Water,NULL,NULL,Forest
546,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
547,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
548,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
549,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
550,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
551,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
552,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
553,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
554,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
555,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
556,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
557,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
558,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
559,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
560,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
561,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
562,Cropland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
563,Cropland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
564,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
565,Cropland,Water,Water,Water,Water,NULL,NULL,Grassland
566,Cropland,Water,Water,Water,Water,NULL,NULL,Water
567,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
568,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
569,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
570,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
571,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
572,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
573,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
574,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
575,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
576,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
577,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
578,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
579,Cropland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
580,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
581,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
582,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
583,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
584,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
585,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
586,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
587,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
588,Cropland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
589,Cropland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
590,Cropland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
591,Cropland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
592,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
593,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Water
594,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
595,Cropland,Forest,Water,Water,Water,NULL,NULL,Grassland
596,Cropland,Forest,Water,Water,Water,NULL,NULL,Wetland
597,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
598,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
599,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
600,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
601,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
602,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
603,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
604,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
605,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
606,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
607,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
608,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
609,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
610,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
611,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
612,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
613,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
614,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
615,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
616,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
617,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
618,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
619,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
620,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
621,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
622,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
623,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
624,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
625,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
626,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
627,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
628,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
629,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
630,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
631,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
632,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
633,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
634,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
635,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
636,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
637,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
638,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
639,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
640,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
641,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
642,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
643,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
644,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
645,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
646,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
647,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
648,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
649,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
650,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
651,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
652,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
653,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
654,Wetland,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
655,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
656,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
657,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
658,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
659,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
660,Wetland,Water,Water,Water,Water,NULL,NULL,Water
661,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
662,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
663,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
664,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
665,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
666,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
667,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
668,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
669,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
670,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
671,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
672,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
673,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
674,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
675,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
676,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
677,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
678,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
679,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
680,Bareland,NULL,Water,Water,Water,NULL,NULL,Wetland
681,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
682,Bareland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
683,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
684,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
685,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
686,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
687,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
688,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
689,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
690,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
691,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
692,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
693,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
694,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
695,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
696,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
697,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
698,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
699,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
700,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
701,Bareland,Bareland,Water,Water,Water,NULL,NULL,Wetland
702,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
703,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
704,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
705,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
