Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R
762,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
763,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
764,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
765,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
766,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
767,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
768,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
769,Cropland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
770,Cropland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
771,Cropland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
772,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
773,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
774,Cropland,Cropland,Wetland,NULL,Wetland,Built-up,Wetland,Forest
775,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
776,Cropland,Cropland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
777,Cropland,Cropland,Wetland,Water,Wetland,Grassland,Water,Grassland
778,Cropland,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
779,Cropland,Cropland,Wetland,Water,Wetland,Wetland,Water,Grassland
780,Cropland,Cropland,Wetland,Water,Wetland,Wetland,Water,Water
781,Cropland,Cropland,Wetland,Water,Wetland,Bareland,Water,Grassland
782,Cropland,Cropland,Wetland,Water,Wetland,Water,Wetland,Grassland
783,Cropland,Cropland,Wetland,Water,Wetland,Water,Water,Grassland
784,Cropland,Cropland,Wetland,Water,Wetland,Water,Water,Water
785,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
786,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
787,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
788,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
789,Cropland,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
790,Cropland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
791,Cropland,Bareland,Wetland,Water,Wetland,Water,Water,Water
792,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
793,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
794,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
795,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
796,Cropland,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Water
797,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
798,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
799,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
800,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
801,Cropland,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
802,Cropland,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
803,Cropland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
804,Cropland,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
805,Cropland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
806,Cropland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
807,Cropland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
808,Cropland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
809,Cropland,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
810,Cropland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
811,Cropland,Water,Wetland,Water,Wetland,Built-up,Built-up,Water
812,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
813,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
814,Cropland,Water,Wetland,Water,Wetland,Water,Water,Grassland
815,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
816,Cropland,Water,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
817,Cropland,Water,Water,Water,Water,Water,Water,Water
818,Cropland,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
819,Cropland,Water,Forest,Water,Non_Wetland,Bareland,Water,Forest
820,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
821,Cropland,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
822,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
823,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
824,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
825,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
826,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
827,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
828,Cropland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
829,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
830,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
831,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
832,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
833,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
834,Cropland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
835,Cropland,Forest,Wetland,Water,Wetland,Grassland,Water,Water
836,Cropland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
837,Cropland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
838,Cropland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
839,Cropland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
840,Cropland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
841,Cropland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
842,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
843,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Water
844,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
845,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
846,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
847,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
848,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
849,Cropland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
850,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
851,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
852,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
853,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
854,Wetland,NULL,Water,Water,Water,Water,Wetland,Grassland
855,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
856,Wetland,NULL,Water,Water,Water,Water,Water,Water
857,Wetland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
858,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
859,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
860,Wetland,Water,Water,Water,Water,Wetland,Wetland,Grassland
861,Wetland,Water,Water,Water,Water,Water,Wetland,Water
862,Wetland,Water,Water,Water,Water,Water,Wetland,Forest
863,Wetland,Water,Water,Water,Water,Water,Water,Water
864,Wetland,Forest,Water,Water,Water,Water,Water,Water
865,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
866,Bareland,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
867,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
868,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
869,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
870,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
871,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
872,Bareland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
873,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
874,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
875,Bareland,NULL,Wetland,Water,Wetland,Built-up,Water,Water
876,Bareland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
877,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
878,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
879,Bareland,NULL,Water,Water,Water,Water,Water,Water
880,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
881,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
882,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
883,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
884,Bareland,Cropland,Wetland,Water,Wetland,Water,Water,Water
885,Bareland,Cropland,Water,NULL,Water,Water,Grassland,Grassland
886,Bareland,Cropland,Water,Water,Water,Water,Water,Water
887,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Water,Water
888,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
889,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Water,Water
890,Bareland,Bareland,Cropland,Water,Non_Wetland,Water,Water,Water
891,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Grassland
892,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
893,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
894,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
895,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
896,Bareland,Bareland,Wetland,Water,Wetland,Built-up,Built-up,Water
897,Bareland,Bareland,Wetland,Water,Wetland,Built-up,Water,Water
898,Bareland,Bareland,Wetland,Water,Wetland,Water,Grassland,Water
899,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Bareland
900,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
901,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
902,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
903,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
904,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Water
905,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
906,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
907,Bareland,Bareland,Water,Water,Water,Built-up,Water,Water
908,Bareland,Bareland,Water,Water,Water,Water,Wetland,Bareland
909,Bareland,Bareland,Water,Water,Water,Water,Wetland,Water
910,Bareland,Bareland,Water,Water,Water,Water,Water,Grassland
911,Bareland,Bareland,Water,Water,Water,Water,Water,Bareland
912,Bareland,Bareland,Water,Water,Water,Water,Water,Water
913,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Water
914,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
915,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
916,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
917,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
918,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
919,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Bareland
920,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
921,Bareland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
922,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
923,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Water
924,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
925,Bareland,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Water
926,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
927,Bareland,Water,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
928,Bareland,Water,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
929,Bareland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
930,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
931,Bareland,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
932,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
933,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
934,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
935,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
936,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
937,Bareland,Water,Wetland,NULL,Wetland,Water,Forest,Forest
938,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
939,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
940,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
941,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
942,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
943,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
944,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Water
945,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
946,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
947,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Forest
948,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
949,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
950,Bareland,Water,Wetland,Water,Wetland,Built-up,Built-up,Water
951,Bareland,Water,Wetland,Water,Wetland,Built-up,Water,Water
952,Bareland,Water,Wetland,Water,Wetland,Water,Grassland,Water
953,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
954,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
955,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
956,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
957,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
958,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
959,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
960,Bareland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
961,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
962,Bareland,Water,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
963,Bareland,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
964,Bareland,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
965,Bareland,Water,Water,NULL,Water,Bareland,Wetland,Forest
966,Bareland,Water,Water,NULL,Water,Bareland,Forest,Forest
967,Bareland,Water,Water,NULL,Water,Water,Wetland,Grassland
968,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
969,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Forest
970,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
971,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
972,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
973,Bareland,Water,Water,Water,Water,Bareland,Wetland,Forest
974,Bareland,Water,Water,Water,Water,Bareland,Water,Water
975,Bareland,Water,Water,Water,Water,Built-up,Water,Water
976,Bareland,Water,Water,Water,Water,Water,Wetland,Grassland
977,Bareland,Water,Water,Water,Water,Water,Wetland,Water
978,Bareland,Water,Water,Water,Water,Water,Water,Grassland
979,Bareland,Water,Water,Water,Water,Water,Water,Water
980,Bareland,Water,Water,Water,Water,Water,Water,Forest
981,Bareland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Water
982,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
983,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
984,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
985,Bareland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Grassland
986,Bareland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
987,Bareland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Forest
988,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
989,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
990,Bareland,Forest,Wetland,Water,Wetland,Water,Grassland,Water
991,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
992,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
993,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
994,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
995,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
996,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
997,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
998,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
999,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1000,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1001,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1002,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1003,Water,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1004,Water,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1005,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
1006,Water,NULL,Water,Water,Water,Wetland,Water,Water
1007,Water,NULL,Water,Water,Water,Water,Wetland,Grassland
1008,Water,NULL,Water,Water,Water,Water,Wetland,Water
1009,Water,NULL,Water,Water,Water,Water,Water,Grassland
1010,Water,NULL,Water,Water,Water,Water,Water,Wetland
1011,Water,NULL,Water,Water,Water,Water,Water,Water
1012,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1013,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1014,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1015,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
1016,Water,Bareland,Water,Water,Water,Water,Water,Water
1017,Water,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
1018,Water,Built-up,Wetland,Water,Wetland,Built-up,Water,Water
1019,Water,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
1020,Water,Built-up,Built-up,Water,Non_Wetland,Grassland,Water,Forest
1021,Water,Built-up,Built-up,Water,Non_Wetland,Built-up,Water,Water
1022,Water,Built-up,Water,Water,Water,Built-up,Water,Water
1023,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1024,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1025,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1026,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
1027,Water,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1028,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
1029,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1030,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1031,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
1032,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1033,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
1034,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
1035,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
1036,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1037,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
1038,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
1039,Water,Water,NULL,Water,Non_Wetland,Grassland,Forest,Water
1040,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1041,Water,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
1042,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1043,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
1044,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
1045,Water,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
1046,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
1047,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
1048,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
1049,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
1050,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
1051,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
1052,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
1053,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1054,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1055,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1056,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1057,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
1058,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
1059,Water,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Water
1060,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
1061,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
1062,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
1063,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
1064,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
1065,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
1066,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
1067,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
1068,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
1069,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
1070,Water,Water,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
1071,Water,Water,Grassland,Water,Non_Wetland,Grassland,Water,Forest
1072,Water,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
1073,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
1074,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
1075,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
1076,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
1077,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
1078,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
1079,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1080,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Water
1081,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
1082,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1083,Water,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Water
1084,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
1085,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Grassland
1086,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
1087,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
1088,Water,Water,Cropland,NULL,Non_Wetland,Water,Forest,Water
1089,Water,Water,Cropland,NULL,Non_Wetland,Water,Forest,Forest
1090,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
1091,Water,Water,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1092,Water,Water,Cropland,Water,Non_Wetland,Built-up,Water,Water
1093,Water,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
1094,Water,Water,Cropland,Water,Non_Wetland,Water,Wetland,Forest
1095,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
1096,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
1097,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
1098,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
1099,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
1100,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
1101,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
1102,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Water
1103,Water,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1104,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1105,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
1106,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1107,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
1108,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
1109,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
1110,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
1111,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
1112,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1113,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
1114,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1115,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
1116,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
1117,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
1118,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1119,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
1120,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1121,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
1122,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1123,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
1124,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
1125,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
1126,Water,Water,Wetland,NULL,Wetland,Bareland,Forest,Water
1127,Water,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
1128,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
1129,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
1130,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
1131,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
1132,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
