Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R
9021,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
9022,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,NULL
9023,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
9024,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
9025,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
9026,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Forest
9027,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Water,Bareland
9028,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
9029,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
9030,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
9031,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Wetland
9032,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
9033,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
9034,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
9035,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
9036,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9037,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
9038,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
9039,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
9040,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
9041,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
9042,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
9043,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
9044,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
9045,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
9046,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
9047,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
9048,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
9049,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
9050,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
9051,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
9052,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
9053,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
9054,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
9055,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
9056,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
9057,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Water,Built-up
9058,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
9059,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
9060,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
9061,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
9062,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
9063,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
9064,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
9065,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
9066,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
9067,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
9068,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
9069,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
9070,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
9071,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
9072,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
9073,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
9074,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,NULL
9075,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
9076,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Cropland
9077,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
9078,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Forest
9079,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,NULL
9080,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,Water,Grassland
9081,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,Water,Bareland
9082,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
9083,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
9084,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
9085,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Wetland
9086,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
9087,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
9088,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
9089,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Bareland
9090,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
9091,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
9092,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
9093,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
9094,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
9095,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
9096,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
9097,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
9098,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
9099,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Bareland
9100,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
9101,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
9102,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
9103,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
9104,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
9105,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
9106,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
9107,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
9108,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
9109,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
9110,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
9111,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9112,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
9113,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
9114,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
9115,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
9116,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
9117,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Wetland
9118,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Forest
9119,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
9120,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
9121,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
9122,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
9123,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
9124,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
9125,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
9126,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
9127,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water,NULL,Bareland
9128,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest,NULL,Grassland
9129,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
9130,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
9131,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
9132,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
9133,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
9134,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
9135,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
9136,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland,NULL,Cropland
9137,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
9138,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
9139,Cropland,Cropland,Cropland,Water,Non_Wetland,Water,Water,Grassland
9140,Cropland,Cropland,Cropland,Water,Non_Wetland,Water,Water,Wetland
9141,Cropland,Cropland,Cropland,Water,Non_Wetland,Water,Water,Bareland
9142,Cropland,Cropland,Cropland,Water,Non_Wetland,Water,Water,Water
9143,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
9144,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
9145,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
9146,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
9147,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Built-up
9148,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
9149,Cropland,Cropland,Wetland,NULL,Wetland,NULL,Shrubland,NULL
9150,Cropland,Cropland,Wetland,NULL,Wetland,NULL,Shrubland,Forest
9151,Cropland,Cropland,Wetland,NULL,Wetland,NULL,Built-up,Forest
9152,Cropland,Cropland,Wetland,NULL,Wetland,NULL,Water,NULL
9153,Cropland,Cropland,Wetland,NULL,Wetland,NULL,Water,Wetland
9154,Cropland,Cropland,Wetland,NULL,Wetland,NULL,Water,Forest
9155,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,NULL
9156,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
9157,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Cropland
9158,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
9159,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Forest
9160,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
9161,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
9162,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,Water,NULL
9163,Cropland,Cropland,Wetland,NULL,Wetland,Shrubland,Water,Forest
9164,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,NULL
9165,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
9166,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Cropland
9167,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Wetland
9168,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Forest
9169,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
9170,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,NULL
9171,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Grassland
9172,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Cropland
9173,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Wetland
9174,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Forest
9175,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,Shrubland,Wetland
9176,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,Shrubland,Forest
9177,Cropland,Cropland,Wetland,NULL,Wetland,Bareland,NULL,Forest
9178,Cropland,Cropland,Wetland,NULL,Wetland,Bareland,Built-up,Forest
9179,Cropland,Cropland,Wetland,NULL,Wetland,Water,NULL,Grassland
9180,Cropland,Cropland,Wetland,NULL,Wetland,Water,NULL,Wetland
9181,Cropland,Cropland,Wetland,NULL,Wetland,Water,NULL,Forest
9182,Cropland,Cropland,Wetland,NULL,Wetland,Water,Water,Water
9183,Cropland,Cropland,Wetland,NULL,Wetland,Forest,NULL,NULL
9184,Cropland,Cropland,Wetland,NULL,Wetland,Forest,NULL,Grassland
9185,Cropland,Cropland,Wetland,NULL,Wetland,Forest,NULL,Cropland
9186,Cropland,Cropland,Wetland,NULL,Wetland,Forest,NULL,Wetland
9187,Cropland,Cropland,Wetland,NULL,Wetland,Forest,NULL,Forest
9188,Cropland,Cropland,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
9189,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
9190,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
9191,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
9192,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
9193,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
9194,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,Shrubland,NULL
9195,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,Water,NULL
9196,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,Water,Grassland
9197,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,Water,Forest
9198,Cropland,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,NULL
9199,Cropland,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,Grassland
9200,Cropland,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
9201,Cropland,Cropland,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
9202,Cropland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Water
9203,Cropland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
9204,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
9205,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
9206,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland,NULL,NULL
9207,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland,NULL,Wetland
9208,Cropland,Cropland,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
9209,Cropland,Cropland,Wetland,Non_Water,Wetland,Water,NULL,Grassland
9210,Cropland,Cropland,Wetland,Non_Water,Wetland,Water,NULL,Wetland
9211,Cropland,Cropland,Wetland,Non_Water,Wetland,Water,NULL,Water
9212,Cropland,Cropland,Wetland,Non_Water,Wetland,Water,Water,NULL
9213,Cropland,Cropland,Wetland,Non_Water,Wetland,Water,Water,Water
9214,Cropland,Cropland,Wetland,Non_Water,Wetland,Water,Water,Forest
9215,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest,NULL,NULL
9216,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
9217,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
9218,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
9219,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
9220,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
9221,Cropland,Cropland,Wetland,Water,Wetland,NULL,Water,NULL
9222,Cropland,Cropland,Wetland,Water,Wetland,NULL,Water,Grassland
9223,Cropland,Cropland,Wetland,Water,Wetland,NULL,Water,Wetland
9224,Cropland,Cropland,Wetland,Water,Wetland,NULL,Water,Water
9225,Cropland,Cropland,Wetland,Water,Wetland,Shrubland,NULL,Wetland
9226,Cropland,Cropland,Wetland,Water,Wetland,Shrubland,NULL,Water
9227,Cropland,Cropland,Wetland,Water,Wetland,Shrubland,Water,Water
9228,Cropland,Cropland,Wetland,Water,Wetland,Cropland,NULL,Wetland
9229,Cropland,Cropland,Wetland,Water,Wetland,Water,NULL,Grassland
9230,Cropland,Cropland,Wetland,Water,Wetland,Water,NULL,Water
9231,Cropland,Cropland,Wetland,Water,Wetland,Water,Water,Wetland
9232,Cropland,Cropland,Wetland,Water,Wetland,Water,Water,Water
9233,Cropland,Cropland,Wetland,Water,Wetland,Water,Water,Forest
9234,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
9235,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
9236,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
9237,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
9238,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,NULL,NULL
9239,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,NULL,Cropland
9240,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,NULL,Wetland
9241,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,NULL,Forest
9242,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9243,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,NULL
9244,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
9245,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Cropland
9246,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Wetland
9247,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Forest
9248,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
9249,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,NULL
9250,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Grassland
9251,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Cropland
9252,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Wetland
9253,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Forest
9254,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
9255,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
9256,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
9257,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
9258,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
9259,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
9260,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Shrubland,NULL
9261,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
9262,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Cropland
9263,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Bareland
9264,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
9265,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland,Bareland
9266,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Built-up,Cropland
9267,Cropland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,NULL
9268,Cropland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9269,Cropland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Cropland
9270,Cropland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Wetland
9271,Cropland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Forest
9272,Cropland,Cropland,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9273,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,NULL
9274,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
9275,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Cropland
9276,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
9277,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Forest
9278,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9279,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
9280,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
9281,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,NULL
9282,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
9283,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Cropland
9284,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Wetland
9285,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Bareland
9286,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Forest
9287,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,Shrubland,NULL
9288,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,Grassland,Cropland
9289,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
9290,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Cropland
9291,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Wetland
9292,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
9293,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Built-up
9294,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
9295,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
9296,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
9297,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
9298,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
9299,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up,Built-up,NULL
9300,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
9301,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
9302,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
9303,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9304,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
9305,Cropland,Cropland,Bareland,Water,Non_Wetland,Forest,NULL,Wetland
9306,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
9307,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
9308,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
9309,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
9310,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
9311,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
9312,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
9313,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
9314,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
9315,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Cropland
9316,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
9317,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
9318,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
9319,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
9320,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
9321,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
9322,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
9323,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
9324,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
9325,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
9326,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
9327,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
9328,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
9329,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
9330,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
9331,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
9332,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
9333,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
9334,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
9335,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,NULL
