Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R
345,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
346,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
347,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
348,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
349,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
350,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
351,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
352,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
353,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
354,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
355,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
356,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
357,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
358,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
359,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
360,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
361,Bareland,Water,Water,NULL,Water,NULL,NULL,Grassland
362,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
363,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
364,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
365,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
366,Bareland,Water,Water,Water,Water,NULL,NULL,Water
367,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
368,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
369,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
370,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
371,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
372,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
373,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
374,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
375,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
376,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
377,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
378,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
379,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
380,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
381,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
382,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
383,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
384,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
385,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
386,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
387,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
388,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
389,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
390,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
391,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
392,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
393,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
394,Water,NULL,Water,NULL,Water,NULL,NULL,Water
395,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
396,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
397,Water,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
398,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
399,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
400,Water,NULL,Water,Water,Water,NULL,NULL,Water
401,Water,NULL,Water,Water,Water,NULL,NULL,Forest
402,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
403,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
404,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
405,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
406,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
407,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
408,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
409,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
410,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
411,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
412,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
413,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
414,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
415,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
416,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
417,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
418,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
419,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
420,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
421,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
422,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
423,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
424,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
425,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
426,Water,Wetland,Water,Water,Water,NULL,NULL,Water
427,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
428,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
429,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
430,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
431,Water,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
432,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
433,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
434,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
435,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
436,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
437,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
438,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
439,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
440,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
441,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
442,Water,Bareland,Water,Water,Water,NULL,NULL,Water
443,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
444,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
445,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
446,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
447,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
448,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
449,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
450,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
451,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
452,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
453,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
454,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
455,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
456,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
457,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
458,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
459,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
460,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
461,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
462,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
463,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
464,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
465,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
466,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
467,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
468,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
469,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
470,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
471,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
472,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
473,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
474,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
475,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
476,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
477,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
478,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
479,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
480,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
481,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
482,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
483,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
484,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
485,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
486,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
487,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
488,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
489,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
490,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
491,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
492,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
493,Water,Water,Water,NULL,Water,NULL,NULL,Water
494,Water,Water,Water,NULL,Water,NULL,NULL,Forest
495,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
496,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
497,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
498,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
499,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
500,Water,Water,Water,Water,Water,NULL,NULL,Grassland
501,Water,Water,Water,Water,Water,NULL,NULL,Wetland
502,Water,Water,Water,Water,Water,NULL,NULL,Water
503,Water,Water,Water,Water,Water,NULL,NULL,Forest
504,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
505,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
506,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
507,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
508,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
509,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
510,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
511,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
512,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
513,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
514,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
515,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
516,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
517,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
518,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
519,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
520,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
521,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
522,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
523,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
524,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
525,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
526,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
527,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
528,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
529,Water,Forest,Water,NULL,Water,NULL,NULL,Grassland
530,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
531,Water,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
532,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
533,Water,Forest,Water,Water,Water,NULL,NULL,Water
534,Water,Forest,Water,Water,Water,NULL,NULL,Forest
535,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
536,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
537,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
538,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
539,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
540,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
541,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
542,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
543,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
544,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
545,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
546,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
547,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
548,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
549,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
550,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
551,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
552,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
553,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
554,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
555,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
556,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
557,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
558,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
559,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
560,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
561,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
562,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
563,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
564,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
565,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
566,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
567,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
568,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
569,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
570,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
571,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
572,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
573,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
574,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
575,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
576,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
577,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
578,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
579,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
580,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
581,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
582,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
583,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
584,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
585,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
586,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
587,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
588,Forest,NULL,Water,Water,Water,NULL,NULL,Water
589,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
590,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
591,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
592,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
593,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
594,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
595,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
596,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
597,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
598,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
599,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
600,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
601,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
602,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
603,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
604,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
605,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
606,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
607,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
608,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
609,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
610,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
611,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
612,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
613,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
614,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
615,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
616,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
617,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
618,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
619,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
620,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
621,Forest,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
622,Forest,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
623,Forest,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
624,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
625,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
626,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
627,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
628,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
629,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
630,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
631,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
632,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
633,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
634,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
635,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
636,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
637,Forest,Wetland,Water,NULL,Water,NULL,NULL,Wetland
638,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
639,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
640,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
641,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
642,Forest,Wetland,Water,Water,Water,NULL,NULL,Wetland
643,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
644,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
645,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
646,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
647,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
648,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
649,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
650,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
651,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
652,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
653,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
654,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
655,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
656,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
657,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
658,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
659,Forest,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
660,Forest,Bareland,Water,Non_Water,Water,NULL,NULL,Water
661,Forest,Bareland,Water,Water,Water,NULL,NULL,Water
662,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
663,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
664,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
665,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
666,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
667,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
668,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
669,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
670,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
671,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
672,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
673,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
674,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
675,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
676,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
677,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
678,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
679,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
680,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
681,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
682,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
683,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
684,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
685,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
686,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
687,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
688,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
689,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
690,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
691,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
692,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
693,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
694,Forest,Water,Wetland,Water,Wetland,NULL,NULL,NULL
695,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
696,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
697,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
698,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
699,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
700,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
701,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
702,Forest,Water,Water,NULL,Water,NULL,NULL,Water
703,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
704,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
705,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
706,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
707,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
708,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
709,Forest,Water,Water,Water,Water,NULL,NULL,Water
710,Forest,Water,Water,Water,Water,NULL,NULL,Forest
711,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
712,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
713,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
714,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
715,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
716,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
717,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
718,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
719,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
