Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTC_M_R
703,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
704,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
705,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
706,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
707,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
708,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
709,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
710,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
711,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
712,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
713,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
714,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
715,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
716,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
717,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
718,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
719,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
720,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
721,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
722,Forest,Forest,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
723,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
724,Forest,Forest,Water,NULL,Water,NULL,NULL,Bareland
725,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
726,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
727,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
728,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
729,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
730,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
731,Forest,Forest,Water,Water,Water,NULL,NULL,Water
732,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
733,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
734,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
735,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
736,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
737,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
738,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
739,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
740,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
741,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
742,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
743,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
744,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
745,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
746,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
747,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
748,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
749,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
750,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
751,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
752,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
