Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R
450,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
451,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
452,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
453,Bareland,NULL,Wetland,Non_Water,Wetland,Water
454,Bareland,NULL,Wetland,Water,Wetland,Water
455,Bareland,NULL,Water,Water,Water,Water
456,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
457,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
458,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
459,Bareland,Wetland,Wetland,Water,Wetland,Water
460,Bareland,Wetland,Water,Water,Water,Water
461,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
462,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
463,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
464,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water
465,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
466,Bareland,Bareland,Wetland,NULL,Wetland,Water
467,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
468,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
469,Bareland,Bareland,Wetland,Non_Water,Wetland,Forest
470,Bareland,Bareland,Wetland,Water,Wetland,Grassland
471,Bareland,Bareland,Wetland,Water,Wetland,Wetland
472,Bareland,Bareland,Wetland,Water,Wetland,Bareland
473,Bareland,Bareland,Wetland,Water,Wetland,Water
474,Bareland,Bareland,Wetland,Water,Wetland,Forest
475,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
476,Bareland,Bareland,Water,NULL,Water,Water
477,Bareland,Bareland,Water,Non_Water,Water,Grassland
478,Bareland,Bareland,Water,Non_Water,Water,Bareland
479,Bareland,Bareland,Water,Non_Water,Water,Water
480,Bareland,Bareland,Water,Non_Water,Water,Forest
481,Bareland,Bareland,Water,Water,Water,Grassland
482,Bareland,Bareland,Water,Water,Water,Bareland
483,Bareland,Bareland,Water,Water,Water,Water
484,Bareland,Bareland,Water,Water,Water,Forest
485,Bareland,Bareland,Forest,NULL,Non_Wetland,Water
486,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
487,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Bareland
488,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
489,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Forest
490,Bareland,Bareland,Forest,Water,Non_Wetland,Water
491,Bareland,Built-up,Wetland,Water,Wetland,Water
492,Bareland,Built-up,Water,Water,Water,Water
493,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
494,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
495,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Forest
496,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
497,Bareland,Water,Shrubland,Water,Non_Wetland,Water
498,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
499,Bareland,Water,Grassland,Water,Non_Wetland,Water
500,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
501,Bareland,Water,Wetland,NULL,Wetland,Water
502,Bareland,Water,Wetland,NULL,Wetland,Forest
503,Bareland,Water,Wetland,Non_Water,Wetland,Water
504,Bareland,Water,Wetland,Non_Water,Wetland,Forest
505,Bareland,Water,Wetland,Water,Wetland,Water
506,Bareland,Water,Wetland,Water,Wetland,Forest
507,Bareland,Water,Bareland,NULL,Non_Wetland,Water
508,Bareland,Water,Bareland,Water,Non_Wetland,Water
509,Bareland,Water,Water,NULL,Water,Water
510,Bareland,Water,Water,NULL,Water,Forest
511,Bareland,Water,Water,Non_Water,Water,Forest
512,Bareland,Water,Water,Water,Water,Grassland
513,Bareland,Water,Water,Water,Water,Bareland
514,Bareland,Water,Water,Water,Water,Water
515,Bareland,Water,Water,Water,Water,Forest
516,Bareland,Water,Forest,NULL,Non_Wetland,Forest
517,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
518,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
519,Bareland,Water,Forest,Water,Non_Wetland,Bareland
520,Bareland,Water,Forest,Water,Non_Wetland,Water
521,Bareland,Water,Forest,Water,Non_Wetland,Forest
522,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
523,Bareland,Forest,Wetland,Non_Water,Wetland,Water
524,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
525,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water
526,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest
527,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
528,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
529,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
530,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
531,Water,NULL,Shrubland,Water,Non_Wetland,Water
532,Water,NULL,Grassland,Water,Non_Wetland,Water
533,Water,NULL,Cropland,Water,Non_Wetland,Water
534,Water,NULL,Wetland,NULL,Wetland,Forest
535,Water,NULL,Wetland,Non_Water,Wetland,Grassland
536,Water,NULL,Wetland,Non_Water,Wetland,Water
537,Water,NULL,Wetland,Non_Water,Wetland,Forest
538,Water,NULL,Wetland,Water,Wetland,NULL
539,Water,NULL,Wetland,Water,Wetland,Grassland
540,Water,NULL,Wetland,Water,Wetland,Water
541,Water,NULL,Wetland,Water,Wetland,Forest
542,Water,NULL,Bareland,Water,Non_Wetland,Water
543,Water,NULL,Water,NULL,Water,Wetland
544,Water,NULL,Water,NULL,Water,Forest
545,Water,NULL,Water,Non_Water,Water,Grassland
546,Water,NULL,Water,Non_Water,Water,Water
547,Water,NULL,Water,Water,Water,Grassland
548,Water,NULL,Water,Water,Water,Wetland
549,Water,NULL,Water,Water,Water,Water
550,Water,NULL,Water,Water,Water,Forest
551,Water,NULL,Forest,NULL,Non_Wetland,NULL
552,Water,NULL,Forest,NULL,Non_Wetland,Grassland
553,Water,NULL,Forest,NULL,Non_Wetland,Wetland
554,Water,NULL,Forest,NULL,Non_Wetland,Water
555,Water,NULL,Forest,NULL,Non_Wetland,Forest
556,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
557,Water,NULL,Forest,Non_Water,Non_Wetland,Water
558,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
559,Water,NULL,Forest,Water,Non_Wetland,Water
560,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
561,Water,Wetland,Shrubland,NULL,Non_Wetland,Water
562,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
563,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water
564,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
565,Water,Wetland,Shrubland,Water,Non_Wetland,Water
566,Water,Wetland,Shrubland,Water,Non_Wetland,Forest
567,Water,Wetland,Grassland,NULL,Non_Wetland,Forest
568,Water,Wetland,Wetland,NULL,Wetland,Grassland
569,Water,Wetland,Wetland,NULL,Wetland,Wetland
570,Water,Wetland,Wetland,NULL,Wetland,Water
571,Water,Wetland,Wetland,NULL,Wetland,Forest
572,Water,Wetland,Wetland,Non_Water,Wetland,Grassland
573,Water,Wetland,Wetland,Non_Water,Wetland,Water
574,Water,Wetland,Wetland,Non_Water,Wetland,Forest
575,Water,Wetland,Wetland,Water,Wetland,Wetland
576,Water,Wetland,Wetland,Water,Wetland,Water
577,Water,Wetland,Wetland,Water,Wetland,Forest
578,Water,Wetland,Water,NULL,Water,Grassland
579,Water,Wetland,Water,NULL,Water,Wetland
580,Water,Wetland,Water,NULL,Water,Water
581,Water,Wetland,Water,NULL,Water,Forest
582,Water,Wetland,Water,Non_Water,Water,Grassland
583,Water,Wetland,Water,Non_Water,Water,Water
584,Water,Wetland,Water,Non_Water,Water,Forest
585,Water,Wetland,Water,Water,Water,Grassland
586,Water,Wetland,Water,Water,Water,Wetland
587,Water,Wetland,Water,Water,Water,Water
588,Water,Wetland,Water,Water,Water,Forest
589,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
590,Water,Wetland,Forest,NULL,Non_Wetland,Water
591,Water,Wetland,Forest,NULL,Non_Wetland,Forest
592,Water,Wetland,Forest,Non_Water,Non_Wetland,Grassland
593,Water,Wetland,Forest,Non_Water,Non_Wetland,Water
594,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest
595,Water,Wetland,Forest,Water,Non_Wetland,Wetland
596,Water,Wetland,Forest,Water,Non_Wetland,Water
597,Water,Wetland,Forest,Water,Non_Wetland,Forest
598,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
599,Water,Bareland,Shrubland,Water,Non_Wetland,Water
600,Water,Bareland,Wetland,NULL,Wetland,Water
601,Water,Bareland,Wetland,NULL,Wetland,Forest
602,Water,Bareland,Wetland,Non_Water,Wetland,Grassland
603,Water,Bareland,Wetland,Non_Water,Wetland,Water
604,Water,Bareland,Wetland,Non_Water,Wetland,Forest
605,Water,Bareland,Wetland,Water,Wetland,Wetland
606,Water,Bareland,Wetland,Water,Wetland,Water
607,Water,Bareland,Wetland,Water,Wetland,Forest
608,Water,Bareland,Water,NULL,Water,Water
609,Water,Bareland,Water,Non_Water,Water,Bareland
610,Water,Bareland,Water,Non_Water,Water,Water
611,Water,Bareland,Water,Non_Water,Water,Forest
612,Water,Bareland,Water,Water,Water,Grassland
613,Water,Bareland,Water,Water,Water,Water
614,Water,Bareland,Water,Water,Water,Forest
615,Water,Bareland,Forest,NULL,Non_Wetland,Water
616,Water,Bareland,Forest,NULL,Non_Wetland,Forest
617,Water,Bareland,Forest,Non_Water,Non_Wetland,Water
618,Water,Bareland,Forest,Non_Water,Non_Wetland,Forest
619,Water,Bareland,Forest,Water,Non_Wetland,Grassland
620,Water,Bareland,Forest,Water,Non_Wetland,Water
621,Water,Bareland,Forest,Water,Non_Wetland,Forest
622,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
623,Water,Built-up,Shrubland,NULL,Non_Wetland,Water
624,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
625,Water,Built-up,Shrubland,Water,Non_Wetland,Grassland
626,Water,Built-up,Shrubland,Water,Non_Wetland,Forest
627,Water,Built-up,Grassland,NULL,Non_Wetland,Forest
628,Water,Built-up,Wetland,NULL,Wetland,Water
629,Water,Built-up,Wetland,NULL,Wetland,Forest
630,Water,Built-up,Wetland,Water,Wetland,Water
631,Water,Built-up,Wetland,Water,Wetland,Forest
632,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
633,Water,Built-up,Water,Water,Water,Water
634,Water,Built-up,Water,Water,Water,Forest
635,Water,Built-up,Forest,NULL,Non_Wetland,Grassland
636,Water,Built-up,Forest,NULL,Non_Wetland,Forest
637,Water,Built-up,Forest,Non_Water,Non_Wetland,Forest
638,Water,Built-up,Forest,Water,Non_Wetland,Water
639,Water,Water,NULL,NULL,Non_Wetland,Water
640,Water,Water,NULL,NULL,Non_Wetland,Forest
641,Water,Water,NULL,Non_Water,Non_Wetland,Water
642,Water,Water,NULL,Non_Water,Non_Wetland,Forest
643,Water,Water,NULL,Water,Non_Wetland,Water
644,Water,Water,NULL,Water,Non_Wetland,Forest
645,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
646,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
647,Water,Water,Shrubland,NULL,Non_Wetland,Water
648,Water,Water,Shrubland,NULL,Non_Wetland,Forest
649,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
650,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
651,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
652,Water,Water,Shrubland,Water,Non_Wetland,Grassland
653,Water,Water,Shrubland,Water,Non_Wetland,Bareland
654,Water,Water,Shrubland,Water,Non_Wetland,Water
655,Water,Water,Shrubland,Water,Non_Wetland,Forest
656,Water,Water,Grassland,NULL,Non_Wetland,Water
657,Water,Water,Grassland,NULL,Non_Wetland,Forest
658,Water,Water,Grassland,Non_Water,Non_Wetland,Water
659,Water,Water,Grassland,Non_Water,Non_Wetland,Forest
660,Water,Water,Grassland,Water,Non_Wetland,Water
661,Water,Water,Cropland,NULL,Non_Wetland,Grassland
662,Water,Water,Cropland,NULL,Non_Wetland,Water
663,Water,Water,Cropland,NULL,Non_Wetland,Forest
664,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
665,Water,Water,Cropland,Non_Water,Non_Wetland,Water
666,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
667,Water,Water,Cropland,Water,Non_Wetland,Water
668,Water,Water,Wetland,NULL,Wetland,NULL
669,Water,Water,Wetland,NULL,Wetland,Grassland
670,Water,Water,Wetland,NULL,Wetland,Wetland
671,Water,Water,Wetland,NULL,Wetland,Water
672,Water,Water,Wetland,NULL,Wetland,Forest
673,Water,Water,Wetland,Non_Water,Wetland,NULL
674,Water,Water,Wetland,Non_Water,Wetland,Grassland
675,Water,Water,Wetland,Non_Water,Wetland,Wetland
676,Water,Water,Wetland,Non_Water,Wetland,Bareland
677,Water,Water,Wetland,Non_Water,Wetland,Water
678,Water,Water,Wetland,Non_Water,Wetland,Forest
679,Water,Water,Wetland,Water,Wetland,Grassland
680,Water,Water,Wetland,Water,Wetland,Wetland
681,Water,Water,Wetland,Water,Wetland,Water
682,Water,Water,Wetland,Water,Wetland,Forest
683,Water,Water,Bareland,NULL,Non_Wetland,Water
684,Water,Water,Bareland,Water,Non_Wetland,Water
685,Water,Water,Built-up,NULL,Non_Wetland,Forest
686,Water,Water,Water,NULL,Water,Grassland
687,Water,Water,Water,NULL,Water,Wetland
688,Water,Water,Water,NULL,Water,Water
689,Water,Water,Water,NULL,Water,Forest
690,Water,Water,Water,Non_Water,Water,Grassland
691,Water,Water,Water,Non_Water,Water,Wetland
692,Water,Water,Water,Non_Water,Water,Water
693,Water,Water,Water,Non_Water,Water,Forest
694,Water,Water,Water,Water,Water,Grassland
695,Water,Water,Water,Water,Water,Wetland
696,Water,Water,Water,Water,Water,Water
697,Water,Water,Water,Water,Water,Forest
698,Water,Water,Forest,NULL,Non_Wetland,Grassland
699,Water,Water,Forest,NULL,Non_Wetland,Wetland
700,Water,Water,Forest,NULL,Non_Wetland,Bareland
701,Water,Water,Forest,NULL,Non_Wetland,Water
702,Water,Water,Forest,NULL,Non_Wetland,Forest
703,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
704,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
705,Water,Water,Forest,Non_Water,Non_Wetland,Bareland
706,Water,Water,Forest,Non_Water,Non_Wetland,Water
707,Water,Water,Forest,Non_Water,Non_Wetland,Forest
708,Water,Water,Forest,Water,Non_Wetland,Grassland
709,Water,Water,Forest,Water,Non_Wetland,Wetland
710,Water,Water,Forest,Water,Non_Wetland,Water
711,Water,Water,Forest,Water,Non_Wetland,Forest
712,Water,Forest,NULL,NULL,Non_Wetland,Forest
713,Water,Forest,Shrubland,Non_Water,Non_Wetland,Water
714,Water,Forest,Grassland,Water,Non_Wetland,Water
715,Water,Forest,Wetland,NULL,Wetland,Water
716,Water,Forest,Wetland,NULL,Wetland,Forest
717,Water,Forest,Wetland,Non_Water,Wetland,Grassland
718,Water,Forest,Wetland,Non_Water,Wetland,Wetland
719,Water,Forest,Wetland,Non_Water,Wetland,Water
720,Water,Forest,Wetland,Non_Water,Wetland,Forest
721,Water,Forest,Wetland,Water,Wetland,Water
722,Water,Forest,Wetland,Water,Wetland,Forest
723,Water,Forest,Water,NULL,Water,Grassland
724,Water,Forest,Water,Non_Water,Water,Water
725,Water,Forest,Water,Non_Water,Water,Forest
726,Water,Forest,Water,Water,Water,Grassland
727,Water,Forest,Water,Water,Water,Water
728,Water,Forest,Water,Water,Water,Forest
729,Water,Forest,Forest,NULL,Non_Wetland,Water
730,Water,Forest,Forest,NULL,Non_Wetland,Forest
731,Water,Forest,Forest,Non_Water,Non_Wetland,Water
732,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
733,Water,Forest,Forest,Water,Non_Wetland,Forest
734,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
735,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
736,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
737,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
738,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
739,Forest,NULL,Shrubland,NULL,Non_Wetland,Water
740,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
741,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
742,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
743,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
744,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water
745,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
746,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
747,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
748,Forest,NULL,Shrubland,Water,Non_Wetland,Water
749,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
750,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
751,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up
752,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
753,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
754,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest
755,Forest,NULL,Grassland,Water,Non_Wetland,Water
756,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
757,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
758,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
759,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
760,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
761,Forest,NULL,Wetland,NULL,Wetland,NULL
762,Forest,NULL,Wetland,NULL,Wetland,Grassland
763,Forest,NULL,Wetland,NULL,Wetland,Wetland
764,Forest,NULL,Wetland,NULL,Wetland,Water
765,Forest,NULL,Wetland,NULL,Wetland,Forest
766,Forest,NULL,Wetland,Non_Water,Wetland,NULL
767,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
768,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
769,Forest,NULL,Wetland,Non_Water,Wetland,Bareland
770,Forest,NULL,Wetland,Non_Water,Wetland,Water
771,Forest,NULL,Wetland,Non_Water,Wetland,Forest
772,Forest,NULL,Wetland,Water,Wetland,Grassland
773,Forest,NULL,Wetland,Water,Wetland,Wetland
774,Forest,NULL,Wetland,Water,Wetland,Water
775,Forest,NULL,Wetland,Water,Wetland,Forest
776,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
777,Forest,NULL,Bareland,NULL,Non_Wetland,Built-up
778,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
779,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland
780,Forest,NULL,Bareland,Water,Non_Wetland,Water
781,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
782,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
783,Forest,NULL,Water,NULL,Water,Grassland
784,Forest,NULL,Water,NULL,Water,Wetland
785,Forest,NULL,Water,NULL,Water,Water
786,Forest,NULL,Water,NULL,Water,Forest
787,Forest,NULL,Water,Non_Water,Water,Grassland
788,Forest,NULL,Water,Non_Water,Water,Wetland
789,Forest,NULL,Water,Non_Water,Water,Water
790,Forest,NULL,Water,Non_Water,Water,Forest
791,Forest,NULL,Water,Water,Water,Grassland
792,Forest,NULL,Water,Water,Water,Wetland
793,Forest,NULL,Water,Water,Water,Water
794,Forest,NULL,Water,Water,Water,Forest
795,Forest,NULL,Forest,NULL,Non_Wetland,NULL
796,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
797,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
798,Forest,NULL,Forest,NULL,Non_Wetland,Water
799,Forest,NULL,Forest,NULL,Non_Wetland,Forest
800,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
801,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
802,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
803,Forest,NULL,Forest,Non_Water,Non_Wetland,Water
804,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
805,Forest,NULL,Forest,Water,Non_Wetland,NULL
806,Forest,NULL,Forest,Water,Non_Wetland,Grassland
807,Forest,NULL,Forest,Water,Non_Wetland,Wetland
808,Forest,NULL,Forest,Water,Non_Wetland,Water
809,Forest,NULL,Forest,Water,Non_Wetland,Forest
810,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
811,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
812,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
813,Forest,Cropland,Wetland,Water,Wetland,Water
814,Forest,Cropland,Water,Water,Water,Water
815,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
816,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
817,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
818,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
819,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland
820,Forest,Wetland,Shrubland,NULL,Non_Wetland,Water
821,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
822,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
823,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
824,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Water
825,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
826,Forest,Wetland,Shrubland,Water,Non_Wetland,Water
827,Forest,Wetland,Shrubland,Water,Non_Wetland,Forest
828,Forest,Wetland,Grassland,NULL,Non_Wetland,Grassland
829,Forest,Wetland,Grassland,NULL,Non_Wetland,Forest
830,Forest,Wetland,Grassland,Water,Non_Wetland,Water
831,Forest,Wetland,Wetland,NULL,Wetland,NULL
832,Forest,Wetland,Wetland,NULL,Wetland,Grassland
833,Forest,Wetland,Wetland,NULL,Wetland,Wetland
834,Forest,Wetland,Wetland,NULL,Wetland,Water
835,Forest,Wetland,Wetland,NULL,Wetland,Forest
836,Forest,Wetland,Wetland,Non_Water,Wetland,Grassland
837,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland
838,Forest,Wetland,Wetland,Non_Water,Wetland,Water
839,Forest,Wetland,Wetland,Non_Water,Wetland,Forest
840,Forest,Wetland,Wetland,Water,Wetland,Grassland
841,Forest,Wetland,Wetland,Water,Wetland,Wetland
842,Forest,Wetland,Wetland,Water,Wetland,Water
843,Forest,Wetland,Wetland,Water,Wetland,Forest
844,Forest,Wetland,Water,NULL,Water,Wetland
845,Forest,Wetland,Water,NULL,Water,Water
846,Forest,Wetland,Water,NULL,Water,Forest
847,Forest,Wetland,Water,Non_Water,Water,Grassland
848,Forest,Wetland,Water,Non_Water,Water,Wetland
849,Forest,Wetland,Water,Non_Water,Water,Water
850,Forest,Wetland,Water,Non_Water,Water,Forest
851,Forest,Wetland,Water,Water,Water,Grassland
852,Forest,Wetland,Water,Water,Water,Wetland
853,Forest,Wetland,Water,Water,Water,Water
854,Forest,Wetland,Water,Water,Water,Forest
855,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
856,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
857,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
858,Forest,Wetland,Forest,NULL,Non_Wetland,Water
859,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
860,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL
861,Forest,Wetland,Forest,Non_Water,Non_Wetland,Grassland
862,Forest,Wetland,Forest,Non_Water,Non_Wetland,Wetland
863,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water
864,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest
865,Forest,Wetland,Forest,Water,Non_Wetland,Grassland
866,Forest,Wetland,Forest,Water,Non_Wetland,Wetland
867,Forest,Wetland,Forest,Water,Non_Wetland,Water
868,Forest,Wetland,Forest,Water,Non_Wetland,Forest
869,Forest,Bareland,Grassland,NULL,Non_Wetland,Grassland
870,Forest,Bareland,Wetland,NULL,Wetland,Water
871,Forest,Bareland,Wetland,Water,Wetland,Grassland
872,Forest,Bareland,Wetland,Water,Wetland,Water
873,Forest,Bareland,Bareland,NULL,Non_Wetland,Bareland
874,Forest,Bareland,Water,Water,Water,Water
875,Forest,Bareland,Forest,NULL,Non_Wetland,Forest
876,Forest,Bareland,Forest,Water,Non_Wetland,Water
877,Forest,Built-up,NULL,Water,Non_Wetland,Forest
878,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
879,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
880,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
881,Forest,Built-up,Shrubland,Water,Non_Wetland,Water
882,Forest,Built-up,Shrubland,Water,Non_Wetland,Forest
883,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
884,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up
885,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
886,Forest,Built-up,Grassland,Water,Non_Wetland,Water
887,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
888,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
889,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
890,Forest,Built-up,Wetland,NULL,Wetland,Forest
891,Forest,Built-up,Wetland,Non_Water,Wetland,Water
892,Forest,Built-up,Wetland,Water,Wetland,Water
893,Forest,Built-up,Bareland,NULL,Non_Wetland,Grassland
894,Forest,Built-up,Bareland,NULL,Non_Wetland,Built-up
895,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
896,Forest,Built-up,Bareland,Water,Non_Wetland,Water
897,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
898,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
899,Forest,Built-up,Water,Non_Water,Water,Water
900,Forest,Built-up,Water,Non_Water,Water,Forest
901,Forest,Built-up,Water,Water,Water,Grassland
902,Forest,Built-up,Water,Water,Water,Water
903,Forest,Built-up,Water,Water,Water,Forest
904,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
905,Forest,Built-up,Forest,NULL,Non_Wetland,Water
906,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
907,Forest,Built-up,Forest,Non_Water,Non_Wetland,Forest
908,Forest,Built-up,Forest,Water,Non_Wetland,Water
909,Forest,Built-up,Forest,Water,Non_Wetland,Forest
910,Forest,Water,NULL,NULL,Non_Wetland,Water
911,Forest,Water,NULL,NULL,Non_Wetland,Forest
912,Forest,Water,NULL,Water,Non_Wetland,Forest
913,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
914,Forest,Water,Shrubland,NULL,Non_Wetland,Water
915,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
916,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
917,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water
918,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
919,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
920,Forest,Water,Shrubland,Water,Non_Wetland,Water
921,Forest,Water,Shrubland,Water,Non_Wetland,Forest
922,Forest,Water,Grassland,Water,Non_Wetland,Water
