Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R
712,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
713,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
714,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
715,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
716,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
717,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
718,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
719,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
720,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
721,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
722,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
723,Bareland,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Water
724,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
725,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
726,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
727,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
728,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
729,Bareland,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
730,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
731,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
732,Bareland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
733,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
734,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
735,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Water
736,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
737,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
738,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
739,Bareland,Water,Wetland,NULL,Wetland,Water,Bareland,Water
740,Bareland,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
741,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
742,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Forest
743,Bareland,Water,Wetland,NULL,Wetland,Water,Forest,Water
744,Bareland,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
745,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
746,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
747,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
748,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
749,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
750,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
751,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
752,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
753,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
754,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
755,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
756,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
757,Bareland,Water,Wetland,Non_Water,Wetland,Water,Bareland,Water
758,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
759,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
760,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
761,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
762,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
763,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
764,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Bareland
765,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
766,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
767,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
768,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
769,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Forest
770,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
771,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
772,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
773,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,Grassland
774,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,Water
775,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,Forest
776,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
777,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
778,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
779,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
780,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
781,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
782,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
783,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
784,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
785,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
786,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
787,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
788,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Water
789,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
790,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
791,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
792,Bareland,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
793,Bareland,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
794,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
795,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
796,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
797,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
798,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
799,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
800,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
801,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
802,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
803,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
804,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
805,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
806,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
807,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
808,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
809,Bareland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
810,Bareland,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
811,Bareland,Water,Bareland,Water,Non_Wetland,Water,Bareland,Forest
812,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
813,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
814,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
815,Bareland,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
816,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Water
817,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
818,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
819,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
820,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
821,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
822,Bareland,Water,Built-up,Water,Non_Wetland,Water,Water,Bareland
823,Bareland,Water,Built-up,Water,Non_Wetland,Water,Water,Water
824,Bareland,Water,Water,NULL,Water,Grassland,Wetland,Water
825,Bareland,Water,Water,NULL,Water,Bareland,Wetland,Water
826,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Grassland
827,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Water
828,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Forest
829,Bareland,Water,Water,NULL,Water,Bareland,Water,Grassland
830,Bareland,Water,Water,NULL,Water,Bareland,Water,Water
831,Bareland,Water,Water,NULL,Water,Water,Wetland,Water
832,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
833,Bareland,Water,Water,NULL,Water,Water,Bareland,Water
834,Bareland,Water,Water,NULL,Water,Water,Bareland,Forest
835,Bareland,Water,Water,NULL,Water,Water,Water,Water
836,Bareland,Water,Water,NULL,Water,Water,Water,Forest
837,Bareland,Water,Water,NULL,Water,Water,Forest,Water
838,Bareland,Water,Water,Non_Water,Water,Bareland,Wetland,Grassland
839,Bareland,Water,Water,Non_Water,Water,Bareland,Wetland,Water
840,Bareland,Water,Water,Non_Water,Water,Bareland,Bareland,Water
841,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
842,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Forest
843,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Grassland
844,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
845,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Forest
846,Bareland,Water,Water,Non_Water,Water,Water,Bareland,Water
847,Bareland,Water,Water,Non_Water,Water,Water,Water,Grassland
848,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
849,Bareland,Water,Water,Non_Water,Water,Water,Water,Forest
850,Bareland,Water,Water,Water,Water,Bareland,Wetland,Grassland
851,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
852,Bareland,Water,Water,Water,Water,Bareland,Bareland,Bareland
853,Bareland,Water,Water,Water,Water,Bareland,Bareland,Water
854,Bareland,Water,Water,Water,Water,Bareland,Bareland,Forest
855,Bareland,Water,Water,Water,Water,Bareland,Water,Grassland
856,Bareland,Water,Water,Water,Water,Bareland,Water,Water
857,Bareland,Water,Water,Water,Water,Bareland,Water,Forest
858,Bareland,Water,Water,Water,Water,Water,Wetland,Grassland
859,Bareland,Water,Water,Water,Water,Water,Wetland,Water
860,Bareland,Water,Water,Water,Water,Water,Wetland,Forest
861,Bareland,Water,Water,Water,Water,Water,Bareland,Bareland
862,Bareland,Water,Water,Water,Water,Water,Bareland,Water
863,Bareland,Water,Water,Water,Water,Water,Water,Grassland
864,Bareland,Water,Water,Water,Water,Water,Water,Bareland
865,Bareland,Water,Water,Water,Water,Water,Water,Water
866,Bareland,Water,Water,Water,Water,Water,Water,Forest
867,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
868,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
869,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
870,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
871,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
872,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
873,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
874,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
875,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
876,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
877,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
878,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
879,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
880,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
881,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
882,Bareland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
883,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
884,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
885,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
886,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
887,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
888,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
889,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
890,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
891,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
892,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Grassland
893,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
894,Bareland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
895,Bareland,Water,Forest,Water,Non_Wetland,Water,Bareland,Water
896,Bareland,Water,Forest,Water,Non_Wetland,Water,Bareland,Forest
897,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
898,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
899,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Forest
900,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
901,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
902,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
903,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
904,Bareland,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
905,Bareland,Forest,NULL,NULL,Non_Wetland,Water,Bareland,Forest
906,Bareland,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
907,Bareland,Forest,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
908,Bareland,Forest,NULL,Water,Non_Wetland,Bareland,Bareland,Water
909,Bareland,Forest,Shrubland,Water,Non_Wetland,Water,Water,Water
910,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
911,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
912,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
913,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
914,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
915,Bareland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
916,Bareland,Forest,Wetland,NULL,Wetland,NULL,Bareland,Forest
917,Bareland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
918,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
919,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Water
920,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
921,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
922,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
923,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Water
924,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Forest
925,Bareland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
926,Bareland,Forest,Wetland,NULL,Wetland,Water,Bareland,Forest
927,Bareland,Forest,Wetland,NULL,Wetland,Water,Water,Forest
928,Bareland,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
929,Bareland,Forest,Wetland,NULL,Wetland,Forest,Bareland,Forest
930,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
931,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
932,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
933,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
934,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
935,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
936,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
937,Bareland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
938,Bareland,Forest,Wetland,Water,Wetland,Bareland,Bareland,Bareland
939,Bareland,Forest,Wetland,Water,Wetland,Bareland,Bareland,Water
940,Bareland,Forest,Wetland,Water,Wetland,Bareland,Bareland,Forest
941,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
942,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
943,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
944,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
945,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
946,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
947,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
948,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
949,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
950,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
951,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
952,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Water,Forest
953,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Forest
954,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
955,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest,Bareland,Forest
956,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
957,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
958,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland,Water,Water
959,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
960,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
961,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
962,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
963,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
964,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
965,Bareland,Forest,Water,NULL,Water,Bareland,Wetland,Forest
966,Bareland,Forest,Water,NULL,Water,Bareland,Bareland,Water
967,Bareland,Forest,Water,NULL,Water,Bareland,Bareland,Forest
968,Bareland,Forest,Water,NULL,Water,Water,Water,Forest
969,Bareland,Forest,Water,NULL,Water,Water,Forest,Forest
970,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
971,Bareland,Forest,Water,Water,Water,Bareland,Wetland,Water
972,Bareland,Forest,Water,Water,Water,Bareland,Bareland,Grassland
973,Bareland,Forest,Water,Water,Water,Bareland,Bareland,Bareland
974,Bareland,Forest,Water,Water,Water,Bareland,Bareland,Water
975,Bareland,Forest,Water,Water,Water,Bareland,Bareland,Forest
976,Bareland,Forest,Water,Water,Water,Water,Wetland,Water
977,Bareland,Forest,Water,Water,Water,Water,Bareland,Water
978,Bareland,Forest,Water,Water,Water,Water,Water,Grassland
979,Bareland,Forest,Water,Water,Water,Water,Water,Bareland
980,Bareland,Forest,Water,Water,Water,Water,Water,Water
981,Bareland,Forest,Water,Water,Water,Water,Water,Forest
982,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
983,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
984,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
985,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
986,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
987,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
988,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
989,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
990,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
991,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
992,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Bareland,Forest
993,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
994,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
995,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
996,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
997,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
998,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Water
999,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
1000,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
1001,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
1002,Water,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
1003,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
1004,Water,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
1005,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
1006,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1007,Water,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
1008,Water,NULL,Water,NULL,Water,Water,Water,Water
1009,Water,NULL,Water,Water,Water,Bareland,Bareland,Grassland
1010,Water,NULL,Water,Water,Water,Bareland,Bareland,Water
1011,Water,NULL,Water,Water,Water,Water,Wetland,Grassland
1012,Water,NULL,Water,Water,Water,Water,Wetland,Wetland
1013,Water,NULL,Water,Water,Water,Water,Wetland,Water
1014,Water,NULL,Water,Water,Water,Water,Water,Grassland
1015,Water,NULL,Water,Water,Water,Water,Water,Water
1016,Water,NULL,Water,Water,Water,Water,Water,Forest
1017,Water,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
1018,Water,NULL,Forest,Water,Non_Wetland,Water,Water,Water
1019,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
1020,Water,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1021,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1022,Water,Wetland,Wetland,NULL,Wetland,Water,Bareland,Water
1023,Water,Wetland,Wetland,NULL,Wetland,Water,Bareland,Forest
1024,Water,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
1025,Water,Wetland,Wetland,Water,Wetland,Water,Bareland,Water
1026,Water,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1027,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
1028,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
1029,Water,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
1030,Water,Wetland,Bareland,Water,Non_Wetland,Water,Bareland,Water
1031,Water,Wetland,Water,NULL,Water,Bareland,Bareland,Forest
1032,Water,Wetland,Water,NULL,Water,Water,Bareland,Forest
1033,Water,Wetland,Water,Non_Water,Water,Water,Bareland,Water
1034,Water,Wetland,Water,Water,Water,Bareland,Bareland,Water
1035,Water,Wetland,Water,Water,Water,Water,Bareland,Water
1036,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1037,Water,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
1038,Water,Wetland,Forest,Water,Non_Wetland,Water,Bareland,Water
1039,Water,Bareland,NULL,Water,Non_Wetland,Water,Wetland,Water
1040,Water,Bareland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
1041,Water,Bareland,Grassland,Water,Non_Wetland,Water,Wetland,Water
1042,Water,Bareland,Grassland,Water,Non_Wetland,Water,Water,Grassland
1043,Water,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,Water
1044,Water,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1045,Water,Bareland,Wetland,NULL,Wetland,Bareland,Water,Water
1046,Water,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
1047,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Water
1048,Water,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1049,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
1050,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Forest
1051,Water,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
1052,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1053,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Forest
1054,Water,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
1055,Water,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
1056,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
1057,Water,Bareland,Wetland,Water,Wetland,Water,Water,Forest
1058,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
1059,Water,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Water
1060,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
1061,Water,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
1062,Water,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
1063,Water,Bareland,Water,NULL,Water,Bareland,Water,Water
1064,Water,Bareland,Water,NULL,Water,Water,Bareland,Forest
1065,Water,Bareland,Water,NULL,Water,Water,Water,Water
1066,Water,Bareland,Water,Non_Water,Water,Water,Water,Water
1067,Water,Bareland,Water,Non_Water,Water,Water,Water,Forest
1068,Water,Bareland,Water,Water,Water,Bareland,Bareland,Water
1069,Water,Bareland,Water,Water,Water,Bareland,Water,Water
1070,Water,Bareland,Water,Water,Water,Water,Bareland,Water
1071,Water,Bareland,Water,Water,Water,Water,Water,Water
1072,Water,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1073,Water,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Water
1074,Water,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1075,Water,Bareland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
1076,Water,Bareland,Forest,NULL,Non_Wetland,Water,Water,Forest
1077,Water,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
1078,Water,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
1079,Water,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1080,Water,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1081,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1082,Water,Water,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
