Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R
10669,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Water
10670,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
10671,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,NULL
10672,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Grassland
10673,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Cropland
10674,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Bareland
10675,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
10676,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
10677,Water,Water,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
10678,Water,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
10679,Water,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
10680,Water,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
10681,Water,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Water
10682,Water,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
10683,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
10684,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
10685,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Water
10686,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
10687,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
10688,Water,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
10689,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
10690,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Wetland
10691,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Bareland
10692,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
10693,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
10694,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,NULL
10695,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
10696,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
10697,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Forest
10698,Water,Water,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
10699,Water,Water,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
10700,Water,Water,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
10701,Water,Water,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
10702,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
10703,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Water
10704,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
10705,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,NULL
10706,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,Wetland
10707,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,Water
10708,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
10709,Water,Water,NULL,NULL,Non_Wetland,Forest,Forest,Water
10710,Water,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
10711,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
10712,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
10713,Water,Water,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
10714,Water,Water,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
10715,Water,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
10716,Water,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
10717,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
10718,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
10719,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
10720,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
10721,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
10722,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
10723,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
10724,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
10725,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
10726,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
10727,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
10728,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
10729,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
10730,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
10731,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
10732,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
10733,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Forest,Water
10734,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
10735,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
10736,Water,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
10737,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
10738,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
10739,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
10740,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
10741,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
10742,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
10743,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
10744,Water,Water,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
10745,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
10746,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
10747,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Water
10748,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
10749,Water,Water,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
10750,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
10751,Water,Water,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
10752,Water,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
10753,Water,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
10754,Water,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
10755,Water,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
10756,Water,Water,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
10757,Water,Water,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
10758,Water,Water,NULL,Water,Non_Wetland,Shrubland,Water,Water
10759,Water,Water,NULL,Water,Non_Wetland,Shrubland,Water,Forest
10760,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Grassland
10761,Water,Water,NULL,Water,Non_Wetland,Wetland,NULL,Water
10762,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,NULL
10763,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Forest
10764,Water,Water,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
10765,Water,Water,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
10766,Water,Water,NULL,Water,Non_Wetland,Bareland,Wetland,NULL
10767,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,NULL
10768,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Grassland
10769,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
10770,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Forest
10771,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Water
10772,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Forest
10773,Water,Water,NULL,Water,Non_Wetland,Water,Shrubland,Water
10774,Water,Water,NULL,Water,Non_Wetland,Water,Shrubland,Forest
10775,Water,Water,NULL,Water,Non_Wetland,Water,Grassland,NULL
10776,Water,Water,NULL,Water,Non_Wetland,Water,Grassland,Water
10777,Water,Water,NULL,Water,Non_Wetland,Water,Grassland,Forest
10778,Water,Water,NULL,Water,Non_Wetland,Water,Water,NULL
10779,Water,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
10780,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
10781,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
10782,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
10783,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
10784,Water,Water,NULL,Water,Non_Wetland,Forest,NULL,Forest
10785,Water,Water,NULL,Water,Non_Wetland,Forest,Shrubland,Grassland
10786,Water,Water,NULL,Water,Non_Wetland,Forest,Water,Water
10787,Water,Water,NULL,Water,Non_Wetland,Forest,Water,Forest
10788,Water,Water,NULL,Water,Non_Wetland,Forest,Forest,Forest
10789,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
10790,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10791,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
10792,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
10793,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
10794,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10795,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
10796,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
10797,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
10798,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
10799,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
10800,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
10801,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
10802,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
10803,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
10804,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
10805,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
10806,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
10807,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
10808,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
10809,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
10810,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
10811,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10812,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10813,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10814,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
10815,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
10816,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10817,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
10818,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10819,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
10820,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
10821,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
10822,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
10823,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
10824,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
10825,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
10826,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
10827,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
10828,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
10829,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
10830,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
10831,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
10832,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
10833,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
10834,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
10835,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
10836,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
10837,Water,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
10838,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
10839,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
10840,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
10841,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
10842,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
10843,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
10844,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
10845,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10846,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
10847,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
10848,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
10849,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
10850,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
10851,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
10852,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
10853,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
10854,Water,Water,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
10855,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
10856,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
10857,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
10858,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
10859,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
10860,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
10861,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
10862,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
10863,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
10864,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
10865,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
10866,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
10867,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
10868,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Cropland
10869,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
10870,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
10871,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
10872,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
10873,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
10874,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
10875,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
10876,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
10877,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
10878,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
10879,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
10880,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
10881,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
10882,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
10883,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
10884,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
10885,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
10886,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
10887,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
10888,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
10889,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
10890,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
10891,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
10892,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
10893,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
10894,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
10895,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
10896,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
10897,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
10898,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
10899,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
10900,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
10901,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
10902,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
10903,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
10904,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
10905,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
10906,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Water
10907,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
10908,Water,Water,Shrubland,NULL,Non_Wetland,Built-up,NULL,Water
10909,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
10910,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
10911,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Cropland
10912,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
10913,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
10914,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
10915,Water,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
10916,Water,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
10917,Water,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Cropland
10918,Water,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
10919,Water,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
10920,Water,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Water
10921,Water,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
10922,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
10923,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
10924,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
10925,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
10926,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
10927,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
10928,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
10929,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
10930,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
10931,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
10932,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
10933,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
10934,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Cropland
10935,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
10936,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
10937,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
10938,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
10939,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
10940,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
10941,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
10942,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
10943,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
10944,Water,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Water
10945,Water,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
10946,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
10947,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
10948,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Water
10949,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
10950,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Wetland,Water
10951,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
10952,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
10953,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Water
10954,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
10955,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Water
10956,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
10957,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10958,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
10959,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
10960,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Water
10961,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
10962,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
10963,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
10964,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
10965,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
10966,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
10967,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
10968,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,NULL
10969,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
10970,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
10971,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Water
10972,Water,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Forest
10973,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
10974,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
10975,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
10976,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
10977,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Cropland
10978,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
10979,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
10980,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
10981,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
10982,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
10983,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
10984,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
10985,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
10986,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
10987,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
10988,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Forest
10989,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
10990,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
10991,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Water
10992,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
10993,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
10994,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,NULL
10995,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
10996,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
10997,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
10998,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
10999,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
11000,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Water
11001,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
11002,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Wetland
11003,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Bareland
11004,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Water
11005,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Forest
11006,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
11007,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,NULL
11008,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
11009,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
11010,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
11011,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
11012,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
11013,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
