Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R
360,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
361,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
362,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
363,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
364,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
365,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
366,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
367,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
368,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
369,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
370,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
371,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
372,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
373,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
374,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
375,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
376,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
377,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
378,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
379,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
380,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
381,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
382,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
383,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Forest
384,Forest,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
385,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
386,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
387,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
388,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
389,Forest,NULL,Wetland,Water,Wetland,Water,Water,Forest
390,Forest,NULL,Water,Water,Water,Water,Water,Grassland
391,Forest,NULL,Water,Water,Water,Water,Water,Forest
392,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
393,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
394,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
395,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
396,Forest,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
397,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
398,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
399,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
400,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
401,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
402,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
403,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
404,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
405,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
406,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
407,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
408,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
409,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
410,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
411,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
412,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
413,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
414,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
415,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
416,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
417,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
418,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
419,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
420,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
421,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
422,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
423,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
424,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
425,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
426,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
427,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
428,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
429,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
430,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
431,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
432,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
433,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
434,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
435,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
436,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
437,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
438,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
439,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
440,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
441,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
442,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
443,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
444,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
445,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
446,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
447,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
448,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
449,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
450,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
451,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
452,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
453,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
454,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
455,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
456,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
457,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
458,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
459,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
460,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
461,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
462,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
463,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
464,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
465,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
466,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
467,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
468,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
469,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
470,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
471,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
472,Forest,Water,Water,NULL,Water,NULL,NULL,Water
473,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
474,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
475,Forest,Water,Water,NULL,Water,NULL,Water,Forest
476,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
477,Forest,Water,Water,NULL,Water,Water,Wetland,Water
478,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
479,Forest,Water,Water,NULL,Water,Water,Water,Water
480,Forest,Water,Water,NULL,Water,Water,Water,Forest
481,Forest,Water,Water,NULL,Water,Water,Forest,Water
482,Forest,Water,Water,NULL,Water,Water,Forest,Forest
483,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
484,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
485,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
486,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
487,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
488,Forest,Water,Water,Water,Water,NULL,NULL,Water
489,Forest,Water,Water,Water,Water,NULL,NULL,Forest
490,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
491,Forest,Water,Water,Water,Water,NULL,Water,Forest
492,Forest,Water,Water,Water,Water,NULL,Forest,Forest
493,Forest,Water,Water,Water,Water,Water,Wetland,Water
494,Forest,Water,Water,Water,Water,Water,Wetland,Forest
495,Forest,Water,Water,Water,Water,Water,Water,Water
496,Forest,Water,Water,Water,Water,Water,Water,Forest
497,Forest,Water,Water,Water,Water,Water,Forest,Forest
498,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
499,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
500,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
501,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
502,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
503,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
504,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
505,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
506,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
507,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
508,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
509,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
510,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
511,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
512,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
513,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
514,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
515,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
516,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
517,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
518,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
519,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
520,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
521,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
522,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
523,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
524,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Water
525,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
526,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
527,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
528,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
529,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
530,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
531,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
532,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
533,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
534,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
535,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
536,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
537,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
538,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
539,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
540,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
541,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
542,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Water
543,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Forest
544,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Water
545,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Forest
546,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
547,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
548,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
549,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
550,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
551,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
552,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
553,Forest,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
554,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
555,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
556,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
557,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
558,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
559,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
560,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
561,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
562,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
563,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
564,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
565,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
566,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
567,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
568,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
569,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
570,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
571,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
572,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
573,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
574,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
575,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
576,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
577,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Forest
578,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
579,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
580,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
581,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
582,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
583,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
584,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
585,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
586,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
587,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
588,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
589,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Forest
590,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
591,Forest,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
592,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
593,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
594,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
595,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
596,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
597,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
598,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
599,Forest,Forest,Wetland,Non_Water,Wetland,Water,Forest,Forest
600,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
601,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
602,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Forest
603,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
604,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
605,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
606,Forest,Forest,Water,NULL,Water,NULL,Wetland,Forest
607,Forest,Forest,Water,NULL,Water,NULL,Water,Forest
608,Forest,Forest,Water,NULL,Water,NULL,Forest,Forest
609,Forest,Forest,Water,NULL,Water,Forest,Forest,Forest
610,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
611,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Forest
612,Forest,Forest,Water,Water,Water,NULL,NULL,Water
613,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
614,Forest,Forest,Water,Water,Water,NULL,Wetland,Forest
615,Forest,Forest,Water,Water,Water,NULL,Forest,Forest
616,Forest,Forest,Water,Water,Water,Water,Wetland,Forest
617,Forest,Forest,Water,Water,Water,Water,Water,Forest
618,Forest,Forest,Water,Water,Water,Water,Forest,Forest
619,Forest,Forest,Water,Water,Water,Forest,Forest,Forest
620,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
621,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
622,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
623,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
624,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
625,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
626,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
627,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
628,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
629,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
630,Forest,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
631,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
632,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
633,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
634,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
635,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
636,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
637,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
638,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
639,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
640,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
641,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Water
642,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
643,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
644,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
645,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
646,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
647,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
648,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
649,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
650,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
651,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
652,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
653,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
654,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
655,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
656,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
657,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
658,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
659,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
660,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Forest
661,Forest,Forest,Forest,Water,Non_Wetland,NULL,Forest,Forest
662,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
663,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
664,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Forest
665,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
