Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R
697,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Grassland
698,NULL,Built-up,Water,NULL,NULL,Bareland,Built-up,Bareland
699,NULL,Built-up,Water,NULL,NULL,Bareland,Built-up,Built-up
700,NULL,Built-up,Water,NULL,Water,Water,Built-up,Grassland
701,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
702,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
703,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
704,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
705,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
706,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
707,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
708,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
709,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
710,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
711,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
712,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
713,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
714,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Bareland
715,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
716,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
717,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
718,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
719,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
720,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
721,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
722,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
723,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
724,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
725,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
726,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
727,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
728,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
729,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
730,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
731,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
732,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
733,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
734,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
735,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
736,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
737,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
738,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
739,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
740,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
741,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
742,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
743,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
744,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
745,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
746,NULL,Water,Wetland,NULL,NULL,Grassland,Water,Wetland
747,NULL,Water,Wetland,NULL,NULL,Grassland,Water,Water
748,NULL,Water,Wetland,NULL,NULL,Bareland,Bareland,Wetland
749,NULL,Water,Wetland,NULL,NULL,Bareland,Bareland,Bareland
750,NULL,Water,Wetland,NULL,NULL,Bareland,Bareland,Water
751,NULL,Water,Wetland,NULL,NULL,Bareland,Water,Grassland
752,NULL,Water,Wetland,NULL,NULL,Bareland,Water,Wetland
753,NULL,Water,Wetland,NULL,NULL,Bareland,Water,Bareland
754,NULL,Water,Wetland,NULL,NULL,Bareland,Water,Water
755,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
756,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
757,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
758,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
759,NULL,Water,Wetland,NULL,Wetland,Grassland,Bareland,Wetland
760,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Wetland
761,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Bareland
762,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
763,NULL,Water,Wetland,NULL,Wetland,Grassland,Forest,Bareland
764,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
765,NULL,Water,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
766,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
767,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Wetland
768,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
769,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
770,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
771,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
772,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
773,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
774,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
775,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
776,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
777,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Wetland
778,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Bareland
779,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
780,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,Wetland
781,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,Bareland
782,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,Water
783,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
784,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
785,NULL,Water,Wetland,NULL,Wetland,Water,Bareland,Grassland
786,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
787,NULL,Water,Wetland,NULL,Wetland,Water,Water,Wetland
788,NULL,Water,Wetland,NULL,Wetland,Forest,Bareland,Wetland
789,NULL,Water,Wetland,NULL,Wetland,Forest,Water,Wetland
790,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
791,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
792,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
793,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Wetland
794,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
795,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
796,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
797,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
798,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Forest,Bareland
799,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
800,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
801,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Wetland
802,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Bareland,Bareland
803,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,Wetland
804,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
805,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
806,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Wetland
807,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
808,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
809,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
810,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Wetland
811,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
812,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
813,NULL,Water,Built-up,NULL,Non_Wetland,Water,Grassland,Water
814,NULL,Water,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
815,NULL,Water,Water,NULL,NULL,Bareland,Water,Water
816,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
817,NULL,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
818,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
819,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
820,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
821,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
822,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
823,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
824,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
825,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
826,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
827,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
828,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
829,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
830,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
831,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
832,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
833,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
834,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
835,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
836,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
837,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
838,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
839,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
840,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
841,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
842,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
843,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
844,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
845,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
846,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
847,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
848,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
849,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
850,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
851,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
852,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
853,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
854,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
855,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Wetland
856,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
857,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Built-up,Wetland
858,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
859,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
860,NULL,Forest,Wetland,NULL,NULL,Grassland,Grassland,Grassland
861,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
862,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
863,NULL,Forest,Wetland,NULL,Wetland,NULL,Built-up,Wetland
864,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Wetland
865,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
866,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
867,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
868,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
869,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
870,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Water
871,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
872,NULL,Forest,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
873,NULL,Forest,Wetland,NULL,Wetland,Grassland,Bareland,Wetland
874,NULL,Forest,Wetland,NULL,Wetland,Grassland,Bareland,Bareland
875,NULL,Forest,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
876,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
877,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Wetland
878,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
879,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
880,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
881,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
882,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
883,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
884,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Wetland
885,NULL,Forest,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
886,NULL,Forest,Wetland,NULL,Wetland,Bareland,Grassland,Forest
887,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
888,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
889,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
890,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
891,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
892,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
893,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
894,NULL,Forest,Wetland,NULL,Wetland,Bareland,Built-up,Grassland
895,NULL,Forest,Wetland,NULL,Wetland,Bareland,Built-up,Forest
896,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Wetland
897,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,Grassland
898,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,Bareland
899,NULL,Forest,Wetland,NULL,Wetland,Water,Grassland,Grassland
900,NULL,Forest,Wetland,NULL,Wetland,Water,Grassland,Wetland
901,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
902,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
903,NULL,Forest,Wetland,NULL,Wetland,Water,Forest,Grassland
904,NULL,Forest,Wetland,NULL,Wetland,Water,Forest,Bareland
905,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Grassland
906,NULL,Forest,Wetland,NULL,Wetland,Forest,Bareland,Grassland
907,NULL,Forest,Wetland,NULL,Wetland,Forest,Bareland,Wetland
908,NULL,Forest,Wetland,NULL,Wetland,Forest,Bareland,Bareland
909,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Grassland
910,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
911,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
912,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
913,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
914,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Built-up,Grassland
915,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Bareland
916,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
917,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
918,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
919,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Wetland
920,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
921,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
922,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
923,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
924,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
925,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
926,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
927,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
928,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
929,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
930,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
931,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
932,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
933,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
934,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
935,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
936,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
937,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
938,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
939,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
940,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
941,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
942,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
943,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
944,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
945,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
946,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
947,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
948,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
949,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
950,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
951,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
952,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
953,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
954,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
955,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
956,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
957,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
958,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
959,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
960,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
961,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
962,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
963,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
964,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
965,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
966,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
967,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
968,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
969,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Wetland
970,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
971,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
972,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
973,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
974,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
975,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
976,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
977,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
978,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
979,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
980,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
981,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
982,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
983,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
984,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
985,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
986,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
987,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
988,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
989,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
990,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
991,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
992,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
993,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
994,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
995,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
996,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
997,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
998,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
999,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
1000,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1001,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1002,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1003,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1004,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1005,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1006,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
1007,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1008,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1009,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1010,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1011,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1012,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1013,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1014,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1015,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
1016,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
1017,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1018,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1019,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1020,Grassland,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
1021,Grassland,NULL,Wetland,NULL,Wetland,NULL,Bareland,Wetland
1022,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
1023,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1024,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1025,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
1026,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1027,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1028,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1029,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
1030,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1031,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1032,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
1033,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Wetland
1034,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1035,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
1036,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
