Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDC_M_R
1597,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1598,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
1599,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1600,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1601,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
1602,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1603,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
1604,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1605,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1606,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1607,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1608,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1609,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1610,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1611,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1612,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1613,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
1614,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
1615,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
1616,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
1617,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1618,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1619,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1620,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1621,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1622,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
1623,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
1624,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
1625,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1626,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
1627,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
1628,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
1629,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1630,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1631,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
1632,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
1633,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
1634,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
1635,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
1636,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
1637,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
1638,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
1639,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
1640,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
1641,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Wetland
1642,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
1643,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
1644,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
1645,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1646,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1647,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
1648,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1649,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
1650,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1651,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1652,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1653,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1654,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1655,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1656,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1657,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1658,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1659,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
1660,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
1661,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1662,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
1663,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1664,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1665,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1666,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1667,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1668,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1669,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1670,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
1671,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
1672,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1673,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
1674,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
1675,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
1676,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
1677,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
1678,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
1679,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
1680,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
1681,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
1682,Bareland,NULL,Water,NULL,Water,NULL,NULL,Wetland
1683,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
1684,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
1685,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1686,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
1687,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
1688,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
1689,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
1690,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
1691,Bareland,NULL,Water,Water,Water,NULL,NULL,Cropland
1692,Bareland,NULL,Water,Water,Water,NULL,NULL,Wetland
1693,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
1694,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
1695,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1696,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1697,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1698,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1699,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1700,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1701,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1702,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1703,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
1704,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1705,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
1706,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1707,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1708,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1709,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1710,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1711,Bareland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1712,Bareland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1713,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1714,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
1715,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1716,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
1717,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1718,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1719,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1720,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1721,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1722,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1723,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1724,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1725,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1726,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1727,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1728,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1729,Bareland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1730,Bareland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1731,Bareland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1732,Bareland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1733,Bareland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1734,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1735,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1736,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1737,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1738,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1739,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1740,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1741,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1742,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1743,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1744,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1745,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1746,Bareland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1747,Bareland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1748,Bareland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1749,Bareland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1750,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1751,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1752,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1753,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1754,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1755,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1756,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
1757,Bareland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1758,Bareland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1759,Bareland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1760,Bareland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1761,Bareland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
1762,Bareland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
1763,Bareland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
1764,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1765,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
1766,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
1767,Bareland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
1768,Bareland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
1769,Bareland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
1770,Bareland,Cropland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
1771,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1772,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1773,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1774,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
1775,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1776,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1777,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1778,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1779,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1780,Bareland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1781,Bareland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
1782,Bareland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1783,Bareland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
1784,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1785,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1786,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1787,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1788,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1789,Bareland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1790,Bareland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
1791,Bareland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1792,Bareland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
1793,Bareland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
1794,Bareland,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
1795,Bareland,Cropland,Water,Non_Water,Water,NULL,NULL,Water
1796,Bareland,Cropland,Water,Water,Water,NULL,NULL,Wetland
1797,Bareland,Cropland,Water,Water,Water,NULL,NULL,Water
1798,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1799,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1800,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1801,Bareland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1802,Bareland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1803,Bareland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1804,Bareland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1805,Bareland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1806,Bareland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
1807,Bareland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1808,Bareland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
1809,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1810,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1811,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1812,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1813,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
1814,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1815,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1816,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1817,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1818,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1819,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
1820,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1821,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1822,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1823,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1824,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1825,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1826,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
1827,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1828,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1829,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1830,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1831,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1832,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1833,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1834,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
1835,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1836,Bareland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1837,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1838,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1839,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1840,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1841,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1842,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1843,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1844,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1845,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
1846,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
1847,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
1848,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
1849,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
1850,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
1851,Bareland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
1852,Bareland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
1853,Bareland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
1854,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1855,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1856,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1857,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1858,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1859,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1860,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1861,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1862,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1863,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
1864,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1865,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
1866,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1867,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1868,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1869,Bareland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1870,Bareland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
1871,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
1872,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,NULL
1873,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
1874,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Cropland
1875,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
1876,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
1877,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
1878,Bareland,Wetland,Water,Water,Water,NULL,NULL,Grassland
1879,Bareland,Wetland,Water,Water,Water,NULL,NULL,Wetland
1880,Bareland,Wetland,Water,Water,Water,NULL,NULL,Bareland
1881,Bareland,Wetland,Water,Water,Water,NULL,NULL,Water
1882,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1883,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1884,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1885,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1886,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1887,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1888,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
1889,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1890,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1891,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
1892,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1893,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1894,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1895,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1896,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
1897,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1898,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1899,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1900,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1901,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1902,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1903,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1904,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1905,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1906,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1907,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1908,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1909,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1910,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1911,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1912,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1913,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1914,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1915,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1916,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1917,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
1918,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1919,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1920,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
