Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R
3156,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
3157,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
3158,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
3159,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
3160,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
3161,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Water
3162,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
3163,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
3164,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Bareland
3165,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Water
3166,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
3167,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
3168,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
3169,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Wetland
3170,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Water
3171,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
3172,Grassland,Wetland,Water,NULL,Water,Wetland,Water,Grassland
3173,Grassland,Wetland,Water,NULL,Water,Wetland,Water,Wetland
3174,Grassland,Wetland,Water,NULL,Water,Water,Wetland,Grassland
3175,Grassland,Wetland,Water,NULL,Water,Water,Wetland,Wetland
3176,Grassland,Wetland,Water,NULL,Water,Water,Wetland,Water
3177,Grassland,Wetland,Water,NULL,Water,Water,Water,Grassland
3178,Grassland,Wetland,Water,Non_Water,Water,Grassland,Wetland,Cropland
3179,Grassland,Wetland,Water,Non_Water,Water,Grassland,Wetland,Wetland
3180,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
3181,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
3182,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Water
3183,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
3184,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
3185,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Water
3186,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
3187,Grassland,Wetland,Water,Non_Water,Water,Water,Wetland,Wetland
3188,Grassland,Wetland,Water,Non_Water,Water,Water,Wetland,Water
3189,Grassland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
3190,Grassland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
3191,Grassland,Wetland,Water,Non_Water,Water,Water,Water,Water
3192,Grassland,Wetland,Water,Water,Water,NULL,Grassland,Wetland
3193,Grassland,Wetland,Water,Water,Water,NULL,Wetland,Wetland
3194,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Wetland
3195,Grassland,Wetland,Water,Water,Water,Grassland,Water,Wetland
3196,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
3197,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
3198,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Bareland
3199,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
3200,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
3201,Grassland,Wetland,Water,Water,Water,Wetland,Water,Grassland
3202,Grassland,Wetland,Water,Water,Water,Wetland,Water,Wetland
3203,Grassland,Wetland,Water,Water,Water,Wetland,Water,Bareland
3204,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
3205,Grassland,Wetland,Water,Water,Water,Wetland,Water,Forest
3206,Grassland,Wetland,Water,Water,Water,Water,Wetland,Grassland
3207,Grassland,Wetland,Water,Water,Water,Water,Wetland,Wetland
3208,Grassland,Wetland,Water,Water,Water,Water,Wetland,Bareland
3209,Grassland,Wetland,Water,Water,Water,Water,Wetland,Water
3210,Grassland,Wetland,Water,Water,Water,Water,Wetland,Forest
3211,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
3212,Grassland,Wetland,Water,Water,Water,Water,Water,Wetland
3213,Grassland,Wetland,Water,Water,Water,Water,Water,Water
3214,Grassland,Wetland,Water,Water,Water,Water,Water,Forest
3215,Grassland,Wetland,Water,Water,Water,Forest,Wetland,Wetland
3216,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3217,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
3218,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3219,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
3220,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
3221,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
3222,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3223,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3224,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3225,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3226,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3227,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Water
3228,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Wetland
3229,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
3230,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
3231,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3232,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3233,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3234,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
3235,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
3236,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
3237,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
3238,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
3239,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
3240,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
3241,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Water
3242,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Water,Wetland
3243,Grassland,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
3244,Grassland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
3245,Grassland,Bareland,Wetland,Water,Wetland,Water,Wetland,Wetland
3246,Grassland,Bareland,Wetland,Water,Wetland,Water,Water,Wetland
3247,Grassland,Bareland,Wetland,Water,Wetland,Water,Water,Water
3248,Grassland,Bareland,Water,Water,Water,Wetland,Wetland,Wetland
3249,Grassland,Bareland,Water,Water,Water,Wetland,Water,Wetland
3250,Grassland,Bareland,Water,Water,Water,Water,Wetland,Wetland
3251,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3252,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3253,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3254,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3255,Grassland,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Grassland
3256,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3257,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3258,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3259,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3260,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3261,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
3262,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3263,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
3264,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3265,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3266,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
3267,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
3268,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3269,Grassland,Water,NULL,NULL,Non_Wetland,Water,Water,Wetland
3270,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
3271,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3272,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3273,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3274,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3275,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3276,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3277,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3278,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
3279,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
3280,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
3281,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3282,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3283,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
3284,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3285,Grassland,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3286,Grassland,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
3287,Grassland,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3288,Grassland,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
3289,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3290,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
3291,Grassland,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
3292,Grassland,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
3293,Grassland,Water,Grassland,Water,Non_Wetland,Grassland,Water,Wetland
3294,Grassland,Water,Wetland,NULL,Wetland,NULL,Wetland,Wetland
3295,Grassland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
3296,Grassland,Water,Wetland,NULL,Wetland,NULL,Water,Grassland
3297,Grassland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
3298,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3299,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3300,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
3301,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
3302,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
3303,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
3304,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Wetland
3305,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Water
3306,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
3307,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
3308,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
3309,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
3310,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3311,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
3312,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
3313,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3314,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
3315,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
3316,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
3317,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
3318,Grassland,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
3319,Grassland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
3320,Grassland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
3321,Grassland,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
3322,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
3323,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
3324,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
3325,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
3326,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
3327,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Forest
3328,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
3329,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
3330,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
3331,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
3332,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
3333,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
3334,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
3335,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
3336,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
3337,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
3338,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
3339,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
3340,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
3341,Grassland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
3342,Grassland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
3343,Grassland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
3344,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
3345,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
3346,Grassland,Water,Wetland,Water,Wetland,NULL,Wetland,Wetland
3347,Grassland,Water,Wetland,Water,Wetland,NULL,Water,Wetland
3348,Grassland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
3349,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
3350,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Wetland
3351,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
3352,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
3353,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
3354,Grassland,Water,Wetland,Water,Wetland,Wetland,Bareland,Grassland
3355,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
3356,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
3357,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
3358,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
3359,Grassland,Water,Wetland,Water,Wetland,Bareland,Wetland,Wetland
3360,Grassland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
3361,Grassland,Water,Wetland,Water,Wetland,Bareland,Water,Wetland
3362,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
3363,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Water
3364,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
3365,Grassland,Water,Wetland,Water,Wetland,Water,Water,Wetland
3366,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
3367,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3368,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
3369,Grassland,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
3370,Grassland,Water,Water,NULL,Water,Wetland,Wetland,Wetland
3371,Grassland,Water,Water,NULL,Water,Wetland,Water,Grassland
3372,Grassland,Water,Water,NULL,Water,Wetland,Water,Wetland
3373,Grassland,Water,Water,NULL,Water,Wetland,Water,Water
3374,Grassland,Water,Water,NULL,Water,Water,Water,Wetland
3375,Grassland,Water,Water,Non_Water,Water,Wetland,Water,Wetland
3376,Grassland,Water,Water,Non_Water,Water,Wetland,Water,Water
3377,Grassland,Water,Water,Water,Water,Wetland,Wetland,Grassland
3378,Grassland,Water,Water,Water,Water,Wetland,Wetland,Wetland
3379,Grassland,Water,Water,Water,Water,Wetland,Wetland,Water
3380,Grassland,Water,Water,Water,Water,Wetland,Water,Grassland
3381,Grassland,Water,Water,Water,Water,Wetland,Water,Wetland
3382,Grassland,Water,Water,Water,Water,Wetland,Water,Water
3383,Grassland,Water,Water,Water,Water,Water,Wetland,Wetland
3384,Grassland,Water,Water,Water,Water,Water,Water,Wetland
3385,Grassland,Water,Water,Water,Water,Water,Water,Water
3386,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3387,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3388,Grassland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
3389,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3390,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3391,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3392,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3393,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3394,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3395,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3396,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3397,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3398,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3399,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3400,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3401,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3402,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3403,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3404,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3405,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3406,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3407,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3408,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3409,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3410,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3411,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
3412,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3413,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
3414,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3415,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
3416,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
3417,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3418,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3419,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3420,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3421,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
3422,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3423,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3424,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3425,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
3426,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3427,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3428,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
3429,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
3430,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
3431,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3432,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
3433,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3434,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3435,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3436,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
3437,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3438,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3439,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
3440,Grassland,Forest,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
3441,Grassland,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
3442,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
3443,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
3444,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
3445,Grassland,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
3446,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3447,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3448,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
3449,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
3450,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
3451,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Water,Grassland
3452,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
3453,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
3454,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
3455,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
3456,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
3457,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3458,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
3459,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
3460,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3461,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
3462,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Wetland
3463,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
3464,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
3465,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Wetland
3466,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
3467,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
3468,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
3469,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
3470,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
3471,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
3472,Grassland,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
3473,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
3474,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
3475,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
3476,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
3477,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
3478,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
3479,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
3480,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
3481,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
3482,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
3483,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
3484,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
3485,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
3486,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
3487,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
3488,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
3489,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
3490,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
3491,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
3492,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
3493,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
3494,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
3495,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Wetland
3496,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
3497,Grassland,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
3498,Grassland,Forest,Wetland,Water,Wetland,NULL,Wetland,Wetland
