Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHJ_M_R
378,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest
379,NULL,Water,Grassland,Water,Non_Wetland,NULL,Grassland
380,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest
381,NULL,Water,Cropland,Water,Non_Wetland,NULL,Grassland
382,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
383,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland
384,NULL,Water,Wetland,NULL,Wetland,NULL,Bareland
385,NULL,Water,Wetland,NULL,Wetland,NULL,Water
386,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
387,NULL,Water,Wetland,Non_Water,Wetland,NULL,Grassland
388,NULL,Water,Wetland,Non_Water,Wetland,NULL,Wetland
389,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest
390,NULL,Water,Wetland,Water,Wetland,NULL,Grassland
391,NULL,Water,Wetland,Water,Wetland,NULL,Wetland
392,NULL,Water,Wetland,Water,Wetland,NULL,Bareland
393,NULL,Water,Wetland,Water,Wetland,NULL,Water
394,NULL,Water,Wetland,Water,Wetland,NULL,Forest
395,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Grassland
396,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Bareland
397,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Forest
398,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,Grassland
399,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,Forest
400,NULL,Water,Bareland,Water,Non_Wetland,NULL,Grassland
401,NULL,Water,Bareland,Water,Non_Wetland,NULL,Wetland
402,NULL,Water,Bareland,Water,Non_Wetland,NULL,Bareland
403,NULL,Water,Bareland,Water,Non_Wetland,NULL,Water
404,NULL,Water,Water,NULL,Water,NULL,Water
405,NULL,Water,Water,Water,Water,NULL,Water
406,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
407,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
408,NULL,Water,Forest,Water,Non_Wetland,NULL,Forest
409,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland
410,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
411,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
412,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland
413,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
414,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
415,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
416,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Grassland
417,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Forest
418,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
419,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
420,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
421,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
422,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
423,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland
424,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest
425,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Grassland
426,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Wetland
427,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Forest
428,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL
429,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
430,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
431,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL
432,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
433,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland
434,NULL,Forest,Wetland,NULL,Wetland,NULL,Water
435,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
436,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Grassland
437,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Wetland
438,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Forest
439,NULL,Forest,Wetland,Water,Wetland,NULL,Grassland
440,NULL,Forest,Wetland,Water,Wetland,NULL,Wetland
441,NULL,Forest,Wetland,Water,Wetland,NULL,Forest
442,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL
443,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Grassland
444,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Forest
445,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,Grassland
446,NULL,Forest,Bareland,Water,Non_Wetland,NULL,Forest
447,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL
448,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
449,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
450,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
451,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
452,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
453,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
454,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
455,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
456,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland
457,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland
458,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland
459,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
460,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
461,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
462,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
463,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
464,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
465,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
466,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
467,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
468,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
469,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
470,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
471,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
472,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
473,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
474,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
475,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
476,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
477,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
478,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
479,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
480,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
481,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
482,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
483,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
484,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
485,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
486,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Cropland
487,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
488,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
489,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
490,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
491,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Cropland
492,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
493,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Water
494,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
495,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
496,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
497,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
498,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
499,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
500,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water
501,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
502,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
503,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Cropland
504,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
505,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
506,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
507,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Cropland
508,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Forest
509,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL
510,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
511,Grassland,NULL,Wetland,NULL,Wetland,NULL,Cropland
512,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
513,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water
514,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest
515,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
516,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
517,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
518,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water
519,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
520,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL
521,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland
522,Grassland,NULL,Wetland,Water,Wetland,NULL,Cropland
523,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland
524,Grassland,NULL,Wetland,Water,Wetland,NULL,Bareland
525,Grassland,NULL,Wetland,Water,Wetland,NULL,Water
526,Grassland,NULL,Wetland,Water,Wetland,NULL,Forest
527,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
528,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Cropland
529,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
530,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
531,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
532,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
533,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland
534,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
535,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
536,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
537,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
538,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
539,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
540,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
541,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
542,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
543,Grassland,NULL,Water,NULL,Water,NULL,Grassland
544,Grassland,NULL,Water,NULL,Water,NULL,Wetland
545,Grassland,NULL,Water,NULL,Water,NULL,Water
546,Grassland,NULL,Water,NULL,Water,NULL,Forest
547,Grassland,NULL,Water,Non_Water,Water,NULL,Grassland
548,Grassland,NULL,Water,Non_Water,Water,NULL,Cropland
549,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland
550,Grassland,NULL,Water,Non_Water,Water,NULL,Forest
551,Grassland,NULL,Water,Water,Water,NULL,Grassland
552,Grassland,NULL,Water,Water,Water,NULL,Wetland
553,Grassland,NULL,Water,Water,Water,NULL,Bareland
554,Grassland,NULL,Water,Water,Water,NULL,Water
555,Grassland,NULL,Water,Water,Water,NULL,Forest
556,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
557,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
558,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
559,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
560,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
561,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
562,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
563,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
564,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
565,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Cropland
566,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
567,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest
568,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
569,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
570,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
571,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
572,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
573,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
574,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
575,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
576,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
577,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
578,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
579,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
580,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,Grassland
581,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,Wetland
582,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
583,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
584,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
585,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
586,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland
587,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Forest
588,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
589,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
590,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Forest
591,Grassland,Cropland,Wetland,Water,Wetland,NULL,Grassland
592,Grassland,Cropland,Wetland,Water,Wetland,NULL,Wetland
593,Grassland,Cropland,Wetland,Water,Wetland,NULL,Water
594,Grassland,Cropland,Wetland,Water,Wetland,NULL,Forest
595,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
596,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
597,Grassland,Cropland,Bareland,Water,Non_Wetland,NULL,Grassland
598,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
599,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
600,Grassland,Cropland,Water,NULL,Water,NULL,Grassland
601,Grassland,Cropland,Water,Water,Water,NULL,Wetland
602,Grassland,Cropland,Water,Water,Water,NULL,Forest
603,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
604,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,Wetland
605,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
606,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
607,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
608,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
609,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL
610,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
611,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
612,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
613,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
614,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
615,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
616,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
617,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
618,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
619,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
620,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
621,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
622,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
623,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
624,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
625,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
626,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Water
627,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
628,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL
629,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
630,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
631,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
632,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
633,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
634,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL
635,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
636,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Cropland
637,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland
638,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest
639,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
640,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Cropland
641,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
642,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
643,Grassland,Wetland,Wetland,Water,Wetland,NULL,Grassland
644,Grassland,Wetland,Wetland,Water,Wetland,NULL,Cropland
645,Grassland,Wetland,Wetland,Water,Wetland,NULL,Wetland
646,Grassland,Wetland,Wetland,Water,Wetland,NULL,Water
647,Grassland,Wetland,Wetland,Water,Wetland,NULL,Forest
648,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
649,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland
650,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
651,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
652,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
653,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,Wetland
654,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
655,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,Built-up
656,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
657,Grassland,Wetland,Built-up,Water,Non_Wetland,NULL,Grassland
658,Grassland,Wetland,Water,NULL,Water,NULL,Grassland
659,Grassland,Wetland,Water,NULL,Water,NULL,Wetland
660,Grassland,Wetland,Water,NULL,Water,NULL,Forest
661,Grassland,Wetland,Water,Non_Water,Water,NULL,Grassland
662,Grassland,Wetland,Water,Non_Water,Water,NULL,Wetland
663,Grassland,Wetland,Water,Non_Water,Water,NULL,Forest
664,Grassland,Wetland,Water,Water,Water,NULL,Grassland
665,Grassland,Wetland,Water,Water,Water,NULL,Wetland
666,Grassland,Wetland,Water,Water,Water,NULL,Forest
667,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
668,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
669,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
670,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
671,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
672,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
673,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
674,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
675,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
676,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Water
677,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Forest
678,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
679,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,Forest
680,Grassland,Bareland,Wetland,Water,Wetland,NULL,Grassland
681,Grassland,Bareland,Wetland,Water,Wetland,NULL,Wetland
682,Grassland,Bareland,Wetland,Water,Wetland,NULL,Water
683,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
684,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
685,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
686,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
687,Grassland,Built-up,Wetland,NULL,Wetland,NULL,Forest
688,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
689,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
690,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
691,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
692,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
693,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Forest
694,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,Grassland
695,Grassland,Water,Grassland,Water,Non_Wetland,NULL,Grassland
696,Grassland,Water,Wetland,NULL,Wetland,NULL,Grassland
697,Grassland,Water,Wetland,NULL,Wetland,NULL,Forest
698,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Grassland
699,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Water
700,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Forest
701,Grassland,Water,Wetland,Water,Wetland,NULL,Grassland
702,Grassland,Water,Wetland,Water,Wetland,NULL,Cropland
703,Grassland,Water,Wetland,Water,Wetland,NULL,Wetland
704,Grassland,Water,Wetland,Water,Wetland,NULL,Water
705,Grassland,Water,Wetland,Water,Wetland,NULL,Forest
706,Grassland,Water,Water,NULL,Water,NULL,Forest
707,Grassland,Water,Water,Non_Water,Water,NULL,Forest
708,Grassland,Water,Water,Water,Water,NULL,Grassland
709,Grassland,Water,Water,Water,Water,NULL,Wetland
710,Grassland,Water,Water,Water,Water,NULL,Water
711,Grassland,Water,Water,Water,Water,NULL,Forest
712,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest
713,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
714,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
715,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
716,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
717,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
718,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
719,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
720,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
721,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest
722,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,Grassland
723,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
724,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
725,Grassland,Forest,Wetland,NULL,Wetland,NULL,Grassland
726,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland
727,Grassland,Forest,Wetland,NULL,Wetland,NULL,Water
728,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest
729,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Grassland
730,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Forest
731,Grassland,Forest,Wetland,Water,Wetland,NULL,Grassland
732,Grassland,Forest,Wetland,Water,Wetland,NULL,Wetland
733,Grassland,Forest,Wetland,Water,Wetland,NULL,Water
734,Grassland,Forest,Wetland,Water,Wetland,NULL,Forest
735,Grassland,Forest,Water,Water,Water,NULL,Forest
736,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL
737,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
738,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
739,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
740,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
741,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
742,Grassland,Forest,Forest,Water,Non_Wetland,NULL,Grassland
743,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
744,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
745,Cropland,NULL,NULL,Water,Non_Wetland,NULL,Grassland
746,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
747,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
748,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
749,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
750,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
751,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
752,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
753,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
754,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
755,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
756,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
757,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
758,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
759,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
760,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
761,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
762,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
763,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
764,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
